bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
0.78501844,0.34719768,10.241325,23.54234424,87.29679286,20.263818740844727,4.5509996,1.0,7800067,0
5.4934928E-9,-7.771561E-16,10.152295,23.54234424,87.29679286,20.263818740844727,4.5509996,1.0,7800079,0
2.0011717E-9,-1.7763568E-15,10.161167,23.54234424,87.29679286,20.263818740844727,4.5509996,1.0,7800098,0
0.020507446,0.086011514,10.223818,23.54234424,87.29679286,20.263818740844727,4.5509996,1.0,7800106,0
0.14860144,0.044106964,10.126288,23.54234424,87.29679286,20.263818740844727,4.5509996,1.0,7800113,0
-0.059700307,0.102692865,10.187793,23.54234424,87.29679286,20.263818740844727,4.5509996,1.0,7800120,0
-0.39034,0.078749545,10.285909,23.54234424,87.29679286,20.263818740844727,4.5509996,1.0,7800127,0
-0.22730286,0.3970217,10.34756,23.54234424,87.29679286,20.263818740844727,4.5509996,1.0,7800135,0
-1.209155,-0.24410306,10.107544,23.54234424,87.29679286,20.263818740844727,4.5509996,1.0,7800142,0
-0.25843847,-1.0634075,9.597774,23.54234424,87.29679286,20.263818740844727,4.5509996,1.0,7800149,0
-0.06477064,0.08118876,10.097673,23.54234424,87.29679286,20.263818740844727,4.5509996,1.0,7800156,0
-0.6600994,0.11347363,10.520216,23.54234424,87.29679286,20.263818740844727,4.5509996,1.0,7800163,0
-1.730459,-1.3181894,9.201144,23.54234424,87.29679286,20.263818740844727,4.5509996,1.0,7800170,0
1.2422175,-0.75631446,8.498716,23.54234424,87.29679286,20.263818740844727,4.5509996,1.0,7800179,0
-4.1106596,-6.76424,5.8755026,23.54234424,87.29679286,20.263818740844727,4.5509996,1.0,7800188,0
0.14600882,-9.457905,5.8294797,23.54234424,87.29679286,20.263818740844727,4.5509996,1.0,7800195,0
0.7360129,-1.7396858,7.2463164,23.54234424,87.29679286,20.263818740844727,4.5509996,1.0,7800202,0
1.1881139,-0.59329575,10.068744,23.54234424,87.29679286,20.263818740844727,4.5509996,1.0,7800209,0
0.18784912,0.11908409,11.111922,23.54234424,87.29679286,20.263818740844727,4.5509996,1.0,7800216,0
1.6961868,-1.4339294,9.184063,23.54234062,87.29678959,20.263818740844727,4.5509996,1.0,7800230,0
-0.86673164,-0.14849105,10.014941,23.54234062,87.29678959,20.263818740844727,4.5509996,1.0,7800237,0
0.8609916,2.8894536,10.918627,23.54234062,87.29678959,20.263818740844727,4.5509996,1.0,7800244,0
-0.6283556,-3.535588,8.059681,23.54234062,87.29678959,20.263818740844727,4.5509996,1.0,7800251,0
1.3892741,5.43987,12.058899,23.54234062,87.29678959,20.263818740844727,4.5509996,1.0,7800258,0
-0.26260895,2.4305387,10.9172125,23.54234062,87.29678959,20.263818740844727,4.5509996,1.0,7800269,0
-0.13687234,-1.0960094,9.451718,23.54234062,87.29678959,20.263818740844727,4.5509996,1.0,7800276,0
0.6829762,-2.4136026,8.884942,23.54234062,87.29678959,20.263818740844727,4.5509996,1.0,7800289,0
