bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
-0.5546954,-2.6186907,8.842573,23.54305845,87.29733973,-179.94712829589844,4.5509996,5.0,7695887,0
0.40644473,3.359932,11.257452,23.54305845,87.29733973,-179.94712829589844,4.5509996,5.0,7695902,1
0.35599294,-2.3783221,9.011206,23.54305845,87.29733973,-179.94712829589844,4.5509996,5.0,7695914,0
0.19328487,3.2683482,11.508282,23.54305845,87.29733973,-179.94712829589844,4.5509996,5.0,7695921,0
1.5982653,-0.0773313,9.601806,23.54305845,87.29733973,-179.94712829589844,4.5509996,5.0,7695948,0
0.6213662,2.398743,11.628697,23.54305845,87.29733973,-179.94712829589844,4.5509996,5.0,7695955,0
0.96193725,3.664391,11.571635,23.54305845,87.29733973,-179.94712829589844,4.5509996,5.0,7695981,0
0.18801154,-3.5365305,8.586644,23.54305845,87.29733973,-179.94712829589844,4.5509996,5.0,7696002,0
1.4472829,3.658024,11.443614,23.54305845,87.29733973,-179.94712829589844,4.5509996,5.0,7696022,0
1.4472829,3.658024,11.443614,23.54305845,87.29733973,-179.94712829589844,4.5509996,0.0,7696036,0
1.1049353,-1.786864,9.10446,23.54305845,87.29733973,-179.94712829589844,4.5509996,0.0,7696046,0
1.7656484,3.3256803,11.201864,23.54305845,87.29733973,-179.94712829589844,4.5509996,0.0,7696065,0
-0.44435543,-2.7821693,8.790258,23.54305845,87.29733973,-179.94712829589844,4.5509996,0.0,7696083,0
1.4598452,3.2889102,11.158153,23.54305845,87.29733973,-179.94712829589844,4.5509996,0.0,7696103,0
0.87721944,-0.9017956,9.670877,23.54305845,87.29733973,-179.94712829589844,4.5509996,0.0,7696123,0
1.9825238,2.2248843,10.801201,23.54305845,87.29733973,-179.94712829589844,4.5509996,0.0,7696144,0
-0.06024181,-2.1440465,8.980443,23.54305845,87.29733973,-179.94712829589844,4.5509996,0.0,7696165,0
1.4978081,2.2265759,10.87978,23.54305845,87.29733973,-179.94712829589844,4.5509996,0.0,7696186,0
0.47740307,0.6390719,10.382288,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696205,0
2.3143797,-0.11528469,9.663032,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696225,0
0.17487824,0.9240295,10.162881,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696246,0
1.1690392,0.04455239,9.624528,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696266,0
0.7403038,1.8435816,11.604656,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696286,0
1.6372534,-1.1140789,9.385863,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696306,0
0.680773,1.5648503,10.106562,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696327,0
1.2769909,-0.8746057,9.427683,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696347,0
0.43747565,3.1235254,11.879556,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696367,0
1.0686624,-2.524982,8.793617,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696388,0
1.2362678,3.2486491,10.801877,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696408,0
1.011071,-2.2988014,8.99187,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696428,0
1.0246146,4.5197406,12.051787,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696449,0
0.27318364,-4.201576,8.154028,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696470,0
1.299899,4.2922316,11.777333,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696489,0
0.8987874,-1.9437398,8.967127,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696510,0
1.8369881,3.244309,11.220378,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696530,0
-0.5349105,-2.9008873,8.770681,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696550,0
1.5961403,3.340554,11.151117,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696570,0
0.57847923,-0.85685694,9.858948,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696591,0
2.0575566,1.9061247,10.6552,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696611,0
-0.28935665,-1.6667149,9.172381,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696632,0
1.5397615,1.8634694,10.545598,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696653,0
0.02230416,0.9867452,10.988318,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696672,0
2.1256459,-0.52173203,9.577182,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696693,0
0.47344598,1.3232175,10.104121,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696713,0
0.83731943,-0.7464788,9.493076,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696733,0
0.73413146,2.8622828,11.867692,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696756,0
1.2586174,-2.5531743,8.846565,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696774,0
0.87519205,3.2030904,10.72013,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696794,0
1.2068964,-1.9238757,9.108247,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696815,0
0.944768,4.039252,11.862338,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696837,0
0.321839,-3.8256466,8.208554,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696856,0
1.4434038,4.5030613,11.703745,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696876,0
0.73993176,-2.7750552,8.678729,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696896,0
1.7908663,4.3184223,11.739528,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696916,0
-0.52238274,-3.7853541,8.484254,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696940,0
1.728671,3.4380152,11.541131,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696957,0
0.4814417,-0.82627976,9.590508,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696977,0
2.1917212,1.9133703,10.554809,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7696998,0
-0.27064192,-1.0607113,9.394389,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7697020,0
1.260425,1.5232952,10.338022,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7697038,0
0.5667464,0.6910249,10.938252,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7697059,0
2.0571666,-0.120195754,9.839901,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7697079,0
0.34227493,0.6697819,9.852536,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7697099,0
1.4769835,0.044269156,9.761037,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7697120,0
0.47159463,1.2329074,11.057911,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7697140,0
1.548507,-0.56246275,9.550168,23.54305619,87.29734073,-179.94712829589844,4.5509996,0.0,7697160,0
1.019407,2.2083874,10.498952,23.54305427,87.29734035,-179.94712829589844,4.5509996,0.0,7697182,0
1.1031399,-0.878845,9.422889,23.54305427,87.29734035,-179.94712829589844,4.5509996,0.0,7697201,0
1.224241,2.6053638,11.101892,23.54305427,87.29734035,-179.94712829589844,4.5509996,0.0,7697221,0
0.20544405,-2.2331994,9.07437,23.54305427,87.29734035,-179.94712829589844,4.5509996,0.0,7697241,0
1.401338,2.400434,10.9292345,23.54305427,87.29734035,-179.94712829589844,4.5509996,0.0,7697261,0
1.2555003,-0.8518993,9.429605,23.54305427,87.29734035,-179.94712829589844,4.5509996,0.0,7697282,0
2.0881472,2.9233027,11.041581,23.54305427,87.29734035,-179.94712829589844,4.5509996,0.0,7697304,0
-0.24366938,-2.685861,8.774781,23.54305427,87.29734035,-179.94712829589844,4.5509996,0.0,7697323,0
1.6302491,2.74147,10.932373,23.54305427,87.29734035,-179.94712829589844,4.5509996,0.0,7697343,0
0.4880931,-0.20806296,10.44685,23.54305427,87.29734035,-179.94712829589844,4.5509996,0.0,7697363,0
0.4880931,-0.20806296,10.44685,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697375,0
2.1076534,0.5905368,10.146444,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697386,0
-0.118172646,-0.20114183,9.504539,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697403,0
1.5187744,1.0229633,10.125877,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697424,0
0.044329822,1.5937427,11.403349,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697445,0
1.4326121,-1.6807183,9.056155,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697465,0
0.89636934,3.00074,10.809834,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697486,0
0.99006927,-2.0298595,9.007466,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697505,0
0.7156873,4.344125,12.122297,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697525,0
0.23026103,-3.8411005,8.327386,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697546,0
1.173011,4.242393,11.511871,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697566,0
1.0151057,-2.289328,8.97062,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697587,0
1.6157943,3.4729676,11.399409,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697607,0
-0.42421818,-3.1430795,8.650088,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697628,0
1.556902,3.868521,11.259678,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697648,0
0.91233104,-1.9998412,9.245663,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697669,0
1.4314816,3.4999468,11.370186,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697688,0
-0.13202757,-3.2946916,8.580365,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697709,0
1.4106551,2.8251958,11.558568,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697729,0
0.4878768,0.02811596,9.736802,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697749,0
2.24631,0.85642344,10.003848,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697770,0
-0.36946222,-0.11355476,9.913777,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697790,0
0.78027034,1.0160863,10.075162,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697811,0
1.0870806,1.2829624,11.018074,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697831,0
1.571987,-0.390853,9.805113,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697853,0
0.13722266,0.10669469,9.712536,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697871,0
1.1616837,0.5194533,10.021915,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697892,0
0.2846002,2.0947633,11.489773,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697912,1
1.7862066,-1.5069641,9.162688,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697933,0
0.6286537,1.89005,10.29046,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697953,0
0.8120608,-1.0147626,9.489961,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697973,0
0.6675668,3.3598022,11.915708,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7697994,0
0.9195516,-3.0344083,8.609976,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7698013,0
0.8202174,3.571989,11.058663,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7698034,0
1.0314109,-1.9495968,9.125215,23.54305427,87.29734035,-179.94712829589844,4.5509996,1.0,7698054,0
