x=0.050247192 , y=4.244873 , z=9.092728
x=0.011962891 , y=4.364502 , z=8.901306
x=0.023925781 , y=4.208969 , z=8.3437805
x=-0.01675415 , y=4.0055847 , z=8.748154
x=-0.095718384 , y=3.8356934 , z=9.298508
x=-0.15553284 , y=3.6969147 , z=8.874985
x=-0.19142151 , y=3.7854462 , z=8.669189
x=-0.062210083 , y=3.625122 , z=8.93959
x=0.110076904 , y=3.603592 , z=9.547363
x=0.26081848 , y=3.4791565 , z=9.430115
x=0.37327576 , y=3.5246277 , z=9.190826
x=0.275177 , y=3.4408722 , z=9.157333
x=0.0 , y=3.6897278 , z=9.255432
x=-0.093322754 , y=3.5700989 , z=8.736191
x=0.1268158 , y=4.146759 , z=9.296112
x=0.2368927 , y=3.8811646 , z=8.427521
x=0.18185425 , y=3.8763733 , z=8.6237335
x=0.2033844 , y=3.6299133 , z=9.341583
x=0.18902588 , y=3.632309 , z=9.276978
x=0.29193115 , y=3.9673004 , z=9.064011
x=0.33259583 , y=4.0295105 , z=8.762512
x=0.41635132 , y=3.9194489 , z=9.164505
x=0.4283142 , y=3.8189392 , z=9.619141
x=0.23928833 , y=3.768692 , z=9.095123
x=0.13639832 , y=3.9673004 , z=8.853439
x=0.122039795 , y=4.125229 , z=8.839081
x=0.3014984 , y=4.1443634 , z=8.812759
x=0.49531555 , y=4.2831573 , z=8.98027
x=0.59103394 , y=4.256836 , z=8.712265
x=0.5934143 , y=4.256836 , z=8.755341
x=0.59820557 , y=4.1156616 , z=8.963516
x=0.624527 , y=4.101303 , z=9.250656
x=0.5670929 , y=4.0534363 , z=9.04248
x=0.5096741 , y=4.1395874 , z=8.874985
x=0.5096741 , y=4.065399 , z=8.997009
x=0.67477417 , y=3.9266205 , z=9.044876
x=0.69392395 , y=3.900299 , z=9.18605
x=0.50727844 , y=3.9314117 , z=9.080765
x=0.33021545 , y=4.1084747 , z=8.889343
x=0.47616577 , y=3.9936218 , z=9.025726
x=0.58384705 , y=3.907486 , z=9.131012
x=0.40678406 , y=4.055832 , z=8.812759
x=0.19142151 , y=4.141983 , z=8.652451
x=0.21534729 , y=4.113266 , z=8.8989105
x=0.43788147 , y=4.0127563 , z=8.987442
x=0.5312042 , y=3.9912262 , z=8.774475
x=0.45224 , y=3.878769 , z=8.781662
x=0.34457397 , y=3.9625092 , z=9.267395
x=0.38046265 , y=3.912262 , z=9.272186
x=0.53359985 , y=3.8644104 , z=9.169296
x=0.6460571 , y=3.8572235 , z=9.221939
x=0.50727844 , y=3.8644104 , z=9.188446
x=0.28474426 , y=3.8692017 , z=9.142975
x=0.102890015 , y=3.940979 , z=9.064011
x=0.057434082 , y=3.8404846 , z=8.925232
x=0.08375549 , y=3.9649048 , z=9.004196
x=0.14356995 , y=4.063019 , z=8.860626
x=0.447464 , y=4.0582275 , z=8.846268
x=0.58384705 , y=4.055832 , z=8.901306
x=0.35653687 , y=3.8428802 , z=8.626129
x=0.0047912598 , y=3.9960175 , z=9.121445
x=0.021530151 , y=3.9098663 , z=9.176468
x=0.37806702 , y=3.9194489 , z=9.013763
x=0.6149597 , y=3.9577332 , z=8.709869
x=0.24885559 , y=3.6179504 , z=8.738586
x=0.122039795 , y=4.2879333 , z=10.238892
x=0.30867004 , y=3.2111664 , z=9.63829
x=-0.01675415 , y=5.017746 , z=9.265015
x=0.41156006 , y=1.7706909 , z=2.5770721
x=1.208374 , y=6.1615143 , z=14.526825
x=-0.4139557 , y=1.7778625 , z=10.810776
x=-0.3062744 , y=4.2998962 , z=8.449051
x=1.5314026 , y=5.5130615 , z=7.7766724
x=1.7682953 , y=2.3042908 , z=5.3934174
x=0.66041565 , y=3.8883362 , z=15.067612
x=-1.5433655 , y=3.929016 , z=9.588043
x=-0.6891327 , y=3.9218292 , z=3.2039948
x=1.9333954 , y=4.8789673 , z=10.595413
x=1.249054 , y=2.3353882 , z=11.454437
x=-0.1651001 , y=4.0534363 , z=9.834503
x=-0.17468262 , y=6.0849457 , z=6.857834
x=0.68196106 , y=3.4360962 , z=5.8097687
x=1.2658081 , y=3.3619232 , z=12.129211
x=0.275177 , y=3.6801605 , z=11.499908
x=-0.15074158 , y=4.072586 , z=6.16391
x=1.0384827 , y=5.09671 , z=8.181061
x=1.1150513 , y=3.735199 , z=9.355942
x=0.2416687 , y=3.2901306 , z=9.841675
x=-0.37088013 , y=4.4147644 , z=9.9756775
x=-0.14356995 , y=3.385849 , z=6.8889313
x=1.0624084 , y=3.9864502 , z=9.511475
x=1.1820526 , y=3.7136536 , z=10.226929
x=0.6269226 , y=3.4863434 , z=8.779266
x=0.40678406 , y=4.7856445 , z=9.138184
x=0.27757263 , y=3.7950134 , z=7.750351
x=0.3637085 , y=4.0175476 , z=9.561722
x=0.41635132 , y=4.08934 , z=10.164719
x=0.45703125 , y=4.3788605 , z=8.489731
x=0.7130585 , y=4.6588287 , z=8.157135
x=0.58384705 , y=4.204193 , z=8.116455
x=0.40678406 , y=3.3882294 , z=8.051849
x=0.5312042 , y=4.3956146 , z=10.057037
x=0.36849976 , y=4.096512 , z=9.121445
x=0.5001068 , y=4.249649 , z=9.011368
x=0.97387695 , y=4.0582275 , z=9.810577
x=1.1270142 , y=3.1657104 , z=9.753143
x=0.8183441 , y=3.3356018 , z=9.86322
x=0.17468262 , y=3.3547363 , z=8.633301
x=0.06939697 , y=3.7926178 , z=9.171692
x=0.4019928 , y=3.7256317 , z=9.590439
x=0.69392395 , y=3.419342 , z=8.738586
x=0.61735535 , y=3.8213348 , z=8.429916
x=0.119644165 , y=4.3956146 , z=8.334198
x=-0.13160706 , y=4.5104675 , z=8.839081
x=0.49771118 , y=4.512863 , z=8.231308
x=1.5003052 , y=4.4482574 , z=7.4440765
x=1.2849426 , y=4.618149 , z=8.8007965
x=0.2679901 , y=4.084549 , z=9.236298
x=0.32781982 , y=4.9340057 , z=9.867996
x=0.92362976 , y=4.2927246 , z=8.602203
x=1.1700897 , y=3.500702 , z=8.700302
x=0.5288086 , y=3.4337006 , z=9.506683
x=-0.28474426 , y=3.672989 , z=10.303497
x=-0.1603241 , y=3.4983063 , z=10.04985
x=0.78723145 , y=3.6227264 , z=8.791229
x=1.3591309 , y=3.5605164 , z=8.638092
x=0.80158997 , y=4.237686 , z=10.19342
x=-0.1603241 , y=3.907486 , z=8.678772
x=0.23210144 , y=4.3381805 , z=8.035095
x=1.134201 , y=4.1683044 , z=8.707489
x=1.0456696 , y=3.632309 , z=8.630905
x=0.5312042 , y=4.2927246 , z=9.580856
x=0.4019928 , y=4.754532 , z=9.068802
x=0.75613403 , y=4.141983 , z=7.606781
x=1.0791626 , y=3.7878418 , z=8.985046
x=0.63409424 , y=3.2614136 , z=10.09053
x=0.1651001 , y=3.661026 , z=9.525833
x=0.3637085 , y=4.0821533 , z=8.513657
x=0.9379883 , y=3.7710876 , z=8.355743
x=1.1557312 , y=3.6394806 , z=9.667007
x=0.57188416 , y=3.8979034 , z=9.525833
x=0.021530151 , y=4.0175476 , z=8.365311
x=0.2416687 , y=4.639679 , z=8.568695
x=0.8111725 , y=3.8332977 , z=7.7407837
x=0.9188385 , y=4.3788605 , z=9.994827
x=0.46899414 , y=3.7926178 , z=8.863022
x=0.5647125 , y=5.063217 , z=10.389633
x=0.13639832 , y=4.9172516 , z=10.80838
x=-0.33021545 , y=3.878769 , z=6.2668
x=0.80877686 , y=3.907486 , z=3.3930206
x=1.6199341 , y=4.015152 , z=9.772293
x=0.3254242 , y=2.7110748 , z=13.493134
x=-0.77049255 , y=4.8478546 , z=10.19104
x=0.4905243 , y=5.0488586 , z=6.477371
x=3.0460663 , y=3.0747833 , z=10.4566345
x=3.3020935 , y=2.371292 , z=15.139389
x=0.34934998 , y=2.4933167 , z=8.721832
x=-1.426117 , y=3.1537476 , z=4.3166504
x=-0.58384705 , y=2.3928223 , z=7.3292084
x=0.7417755 , y=1.036087 , z=11.284546
x=0.63648987 , y=3.6873474 , z=12.847061
x=-0.32302856 , y=6.111267 , z=7.6378937
x=0.04307556 , y=6.6017914 , z=4.6085815
x=1.627121 , y=5.613556 , z=8.662018
x=1.4739838 , y=4.118042 , z=10.449463
x=-0.19142151 , y=4.7449646 , z=7.1066895
x=-0.39242554 , y=6.077774 , z=5.206787
x=1.2035828 , y=5.5585327 , z=6.4534454
x=2.7876434 , y=4.721039 , z=9.1453705
