x=0.2632141 , y=4.3860474 , z=8.772095
x=0.2536316 , y=4.3860474 , z=8.829514
x=0.20578003 , y=4.4075775 , z=8.786438
x=0.1986084 , y=4.3788605 , z=8.726624
x=0.19621277 , y=4.3621216 , z=8.73381
x=0.19621277 , y=4.364502 , z=8.764908
x=0.16989136 , y=4.3549347 , z=8.786438
x=0.1603241 , y=4.340576 , z=8.805588
x=0.21534729 , y=4.3358 , z=8.781662
x=0.23449707 , y=4.342972 , z=8.779266
x=0.24406433 , y=4.37648 , z=8.834305
x=0.23449707 , y=4.3908234 , z=8.853439
x=0.25602722 , y=4.3788605 , z=8.822342
x=0.29670715 , y=4.4075775 , z=8.8007965
x=0.2416687 , y=4.4027863 , z=8.776871
x=0.22970581 , y=4.445862 , z=8.714661
x=0.20578003 , y=4.455429 , z=8.6979065
x=0.21534729 , y=4.4362946 , z=8.712265
x=0.21534729 , y=4.4243317 , z=8.712265
x=0.21534729 , y=4.4147644 , z=8.729019
x=0.2033844 , y=4.3453674 , z=8.750549
x=0.19381714 , y=4.364502 , z=8.760132
x=0.14117432 , y=4.3214417 , z=8.798416
x=0.1268158 , y=4.3094788 , z=8.848663
x=0.1651001 , y=4.2927246 , z=8.843872
x=0.18902588 , y=4.3286133 , z=8.772095
x=0.15792847 , y=4.3214417 , z=8.817551
x=0.13160706 , y=4.352539 , z=8.807983
x=0.114852905 , y=4.3668976 , z=8.843872
x=0.13160706 , y=4.359726 , z=8.772095
x=0.1268158 , y=4.381256 , z=8.714661
x=0.13160706 , y=4.371689 , z=8.736191
x=0.093322754 , y=4.369293 , z=8.793625
x=0.112457275 , y=4.371689 , z=8.781662
x=0.13400269 , y=4.3788605 , z=8.719452
x=0.107681274 , y=4.369293 , z=8.73381
x=0.117248535 , y=4.3453674 , z=8.805588
x=0.13160706 , y=4.3358 , z=8.8367
x=0.18902588 , y=4.3334045 , z=8.798416
x=0.17706299 , y=4.3214417 , z=8.776871
x=0.14356995 , y=4.3094788 , z=8.819946
x=0.1268158 , y=4.3381805 , z=8.8367
x=0.090927124 , y=4.3573303 , z=8.805588
x=0.110076904 , y=4.359726 , z=8.774475
x=0.14596558 , y=4.359726 , z=8.752945
