x=0.3397827 , y=6.628113 , z=7.204788
x=0.30867004 , y=6.467804 , z=7.195221
x=0.21296692 , y=6.6640167 , z=7.2885437
x=0.059814453 , y=6.4821625 , z=6.7118683
x=0.13639832 , y=6.546768 , z=7.573288
x=0.42591858 , y=6.798004 , z=8.111664
x=0.47616577 , y=6.546768 , z=6.580261
x=0.5096741 , y=6.558731 , z=6.7788696
x=0.30389404 , y=6.5850525 , z=7.9298096
x=0.059814453 , y=6.455841 , z=7.984848
x=0.15792847 , y=6.6807556 , z=7.422531
x=0.550354 , y=6.22612 , z=6.3960114
x=0.5814514 , y=6.7453613 , z=8.008774
x=0.033493042 , y=6.192627 , z=7.137787
x=-0.08375549 , y=7.0612183 , z=7.343567
x=0.38523865 , y=6.632904 , z=6.623337
x=0.6077728 , y=6.7860413 , z=7.0899353
x=0.32063293 , y=6.3888397 , z=7.412964
x=0.2368927 , y=6.757324 , z=7.9298096
x=0.25602722 , y=6.5348053 , z=6.9176483
x=0.41156006 , y=6.620941 , z=6.948761
x=0.3134613 , y=6.5036926 , z=7.520645
x=0.088531494 , y=6.829117 , z=7.5373993
x=0.23210144 , y=6.2979126 , z=6.8602295
x=0.65802 , y=6.6640167 , z=8.066208
x=0.58384705 , y=5.9365997 , z=7.319641
x=0.2871399 , y=6.518051 , z=7.9609222
x=-0.009567261 , y=6.376877 , z=7.314865
x=0.01675415 , y=6.541977 , z=7.2646027
x=0.27757263 , y=6.30748 , z=7.360321
x=0.2416687 , y=6.5036926 , z=7.331604
x=-0.0143585205 , y=6.2931213 , z=6.9655
x=-0.100494385 , y=6.690338 , z=7.659424
x=-0.105285645 , y=6.278763 , z=7.0660095
x=0.22492981 , y=6.4630127 , z=7.4967194
x=0.3134613 , y=6.4055786 , z=7.401001
x=0.119644165 , y=6.484543 , z=7.195221
x=-0.0047912598 , y=6.419937 , z=7.5014954
x=-0.01914978 , y=6.273987 , z=7.664215
x=0.052642822 , y=6.1280212 , z=7.664215
x=0.124420166 , y=6.3266296 , z=7.7120667
x=0.06460571 , y=6.278763 , z=7.2646027
x=0.01675415 , y=6.3936157 , z=7.5014954
x=-0.026321411 , y=6.2524414 , z=7.4560394
x=-0.047851562 , y=6.374481 , z=7.3962097
x=0.052642822 , y=6.4821625 , z=7.2622223
x=0.14356995 , y=6.455841 , z=7.1593323
x=0.20817566 , y=6.4008026 , z=7.3627167
x=0.20100403 , y=6.415161 , z=7.4440765
x=0.1268158 , y=6.4342957 , z=7.2957153
x=0.093322754 , y=6.4534454 , z=7.257431
x=0.16270447 , y=6.439087 , z=7.3866425
x=0.26081848 , y=6.5036926 , z=7.3698883
x=0.4019928 , y=6.443878 , z=7.3986053
x=0.40678406 , y=6.4749756 , z=7.4273224
x=0.3756714 , y=6.4247284 , z=7.441681
x=0.4091797 , y=6.5276184 , z=7.5637054
x=0.46420288 , y=6.5611267 , z=7.331604
x=0.49771118 , y=6.661621 , z=7.2598267
x=0.50727844 , y=6.6352997 , z=7.2622223
x=0.43788147 , y=6.541977 , z=7.290924
x=0.4019928 , y=6.604187 , z=7.3938293
x=0.38046265 , y=6.551544 , z=7.207184
x=0.39720154 , y=6.508484 , z=7.286148
x=0.37088013 , y=6.4654083 , z=7.389038
x=0.34217834 , y=6.4319153 , z=7.3052826
x=0.3134613 , y=6.4630127 , z=7.3962097
x=0.31825256 , y=6.3960114 , z=7.417755
x=0.32302856 , y=6.3888397 , z=7.4680023
x=0.33021545 , y=6.3912354 , z=7.4656067
x=0.37327576 , y=6.3912354 , z=7.3914337
x=0.38046265 , y=6.4247284 , z=7.4440765
x=0.279953 , y=6.3912354 , z=7.3962097
x=0.22013855 , y=6.455841 , z=7.3651123
x=0.24406433 , y=6.479767 , z=7.3698883
x=0.33259583 , y=6.460617 , z=7.3339996
x=0.29670715 , y=6.4462585 , z=7.338791
x=0.21534729 , y=6.4342957 , z=7.3363953
x=0.114852905 , y=6.4342957 , z=7.389038
x=0.08375549 , y=6.4630127 , z=7.405792
x=0.110076904 , y=6.427124 , z=7.290924
