x=0.7034912 , y=6.376877 , z=7.085144
x=0.44984436 , y=6.4582214 , z=7.4321136
x=0.33259583 , y=6.2979126 , z=7.3124695
x=0.4402771 , y=6.3194427 , z=7.4153595
x=0.4905243 , y=6.242874 , z=7.3986053
x=0.4355011 , y=6.2237244 , z=7.4560394
x=0.32781982 , y=6.324234 , z=7.623535
x=0.35414124 , y=6.3026886 , z=7.3579254
x=0.5814514 , y=6.3433685 , z=7.4440765
x=0.6963043 , y=6.381653 , z=7.503891
x=0.5670929 , y=6.386444 , z=7.3363953
x=0.46899414 , y=6.3912354 , z=7.410568
x=0.43788147 , y=6.3625183 , z=7.561325
x=0.55274963 , y=6.376877 , z=7.5062866
x=0.59820557 , y=6.508484 , z=7.3938293
x=0.5001068 , y=6.5563354 , z=7.2023926
x=0.38763428 , y=6.5395813 , z=7.2957153
x=0.38285828 , y=6.501297 , z=7.503891
x=0.4019928 , y=6.422333 , z=7.463211
x=0.4785614 , y=6.448654 , z=7.350754
x=0.49531555 , y=6.47258 , z=7.2957153
x=0.4091797 , y=6.477371 , z=7.3172455
x=0.39482117 , y=6.455841 , z=7.377075
x=0.3900299 , y=6.4079742 , z=7.3459625
x=0.44984436 , y=6.3672943 , z=7.4321136
x=0.45703125 , y=6.3338013 , z=7.511078
x=0.43070984 , y=6.3553314 , z=7.5469666
x=0.4091797 , y=6.3338013 , z=7.4775696
x=0.37327576 , y=6.312271 , z=7.3866425
x=0.30389404 , y=6.364914 , z=7.3627167
x=0.20578003 , y=6.4031982 , z=7.2335052
x=0.21534729 , y=6.484543 , z=7.257431
x=0.275177 , y=6.422333 , z=7.228714
x=0.3756714 , y=6.3146667 , z=7.3363953
x=0.37088013 , y=6.30748 , z=7.446457
x=0.27757263 , y=6.2644043 , z=7.379471
x=0.24406433 , y=6.295517 , z=7.487137
x=0.23210144 , y=6.2931213 , z=7.441681
x=0.27757263 , y=6.242874 , z=7.379471
x=0.36131287 , y=6.254837 , z=7.511078
x=0.32781982 , y=6.202194 , z=7.5134583
x=0.21534729 , y=6.2883453 , z=7.5589294
x=0.100494385 , y=6.340973 , z=7.446457
x=0.14596558 , y=6.3792725 , z=7.372284
x=0.21534729 , y=6.4342957 , z=7.350754
x=0.28474426 , y=6.4366913 , z=7.286148
x=0.28474426 , y=6.427124 , z=7.412964
x=0.22013855 , y=6.3720856 , z=7.4608154
x=0.1986084 , y=6.4295197 , z=7.4656067
x=0.114852905 , y=6.4319153 , z=7.3627167
x=0.052642822 , y=6.479767 , z=7.228714
x=0.119644165 , y=6.47258 , z=7.0420837
x=0.22970581 , y=6.4630127 , z=7.269394
x=0.27757263 , y=6.381653 , z=7.3244324
x=0.36849976 , y=6.4031982 , z=7.4560394
x=0.4785614 , y=6.34816 , z=7.463211
x=0.5048828 , y=6.3720856 , z=7.4990997
x=0.45463562 , y=6.2907257 , z=7.6378937
x=0.32063293 , y=6.3936157 , z=7.5996094
x=0.28953552 , y=6.5395813 , z=7.549362
x=0.4091797 , y=6.6185455 , z=7.3339996
x=0.5670929 , y=6.4917297 , z=7.1808624
x=0.50727844 , y=6.47258 , z=7.3531494
x=0.21296692 , y=6.5036926 , z=7.1449738
x=0.090927124 , y=6.6640167 , z=7.176071
x=0.3254242 , y=6.666397 , z=7.2502594
x=0.61735535 , y=6.57547 , z=7.207184
x=0.66041565 , y=6.522827 , z=7.281357
x=0.45224 , y=6.417557 , z=7.4392853
x=0.28234863 , y=6.3936157 , z=7.7479553
x=0.29193115 , y=6.3672943 , z=7.657028
x=0.4665985 , y=6.439087 , z=7.367508
x=0.59580994 , y=6.4749756 , z=7.3579254
x=0.5383911 , y=6.496521 , z=7.417755
x=0.4139557 , y=6.5682983 , z=7.3124695
x=0.3517456 , y=6.654434 , z=7.1856537
x=0.46420288 , y=6.599411 , z=7.178467
x=0.5383911 , y=6.654434 , z=7.3746796
x=0.48335266 , y=6.570694 , z=7.2311096
x=0.4355011 , y=6.5850525 , z=7.372284
x=0.38523865 , y=6.4630127 , z=7.4440765
x=0.31825256 , y=6.47258 , z=7.5086823
x=0.29670715 , y=6.551544 , z=7.405792
x=0.34695435 , y=6.570694 , z=7.257431
x=0.36849976 , y=6.467804 , z=7.384247
x=0.35414124 , y=6.4295197 , z=7.5637054
x=0.25602722 , y=6.398407 , z=7.429718
x=0.25602722 , y=6.5108643 , z=7.3627167
x=0.29910278 , y=6.5850525 , z=7.278961
x=0.3014984 , y=6.5850525 , z=7.204788
x=0.275177 , y=6.5563354 , z=7.3172455
x=0.23928833 , y=6.55394 , z=7.3866425
x=0.25602722 , y=6.484543 , z=7.3363953
x=0.28953552 , y=6.5108643 , z=7.4680023
x=0.23449707 , y=6.5060883 , z=7.3914337
x=0.21296692 , y=6.551544 , z=7.343567
x=0.1986084 , y=6.55394 , z=7.3124695
x=0.17945862 , y=6.508484 , z=7.343567
x=0.14117432 , y=6.4869385 , z=7.3962097
x=0.08375549 , y=6.5108643 , z=7.412964
x=0.088531494 , y=6.4821625 , z=7.331604
x=0.13160706 , y=6.520447 , z=7.401001
x=0.14356995 , y=6.455841 , z=7.3866425
x=0.06700134 , y=6.455841 , z=7.2957153
x=-0.01675415 , y=6.477371 , z=7.331604
x=-0.105285645 , y=6.443878 , z=7.343567
x=0.0047912598 , y=6.551544 , z=7.6498566
x=0.25125122 , y=6.336197 , z=7.9178467
x=0.37088013 , y=6.798004 , z=7.6546326
x=0.27278137 , y=6.8769684 , z=8.951553
x=-1.3830566 , y=5.3982086 , z=3.3260193
x=0.08135986 , y=5.5537415 , z=6.477371
x=1.2921295 , y=8.889343 , z=13.280167
x=-0.8446655 , y=4.515259 , z=2.3449707
x=0.44506836 , y=6.8937225 , z=9.274582
x=0.66760254 , y=6.752548 , z=9.911072
x=-0.25602722 , y=4.8550415 , z=2.7876434
x=0.69392395 , y=7.733597 , z=12.291931
x=-0.1603241 , y=4.64447 , z=6.7286224
x=-0.17945862 , y=6.029907 , z=5.419739
x=-0.5814514 , y=8.104492 , z=9.812973
x=-1.6462555 , y=4.8502502 , z=5.173279
x=0.5048828 , y=6.242874 , z=10.442276
x=1.4524384 , y=6.8937225 , z=7.4990997
x=0.27757263 , y=8.173889 , z=3.0221405
x=-1.1270142 , y=7.858032 , z=6.4630127
x=-1.2275238 , y=4.778473 , z=8.628525
x=0.57188416 , y=6.2668 , z=10.837097
x=0.61735535 , y=7.8101807 , z=5.1254272
x=-0.1531372 , y=6.838684 , z=2.1726837
x=0.093322754 , y=6.4342957 , z=9.796219
x=-0.30389404 , y=5.063217 , z=10.504486
x=-0.7034912 , y=6.707077 , z=7.3531494
x=-0.38523865 , y=6.8004 , z=6.4295197
x=0.91166687 , y=5.1972046 , z=8.614166
x=1.7108612 , y=5.6638184 , z=10.693527
x=0.13160706 , y=5.950943 , z=6.1615143
x=-1.3758698 , y=6.6831512 , z=5.71167
x=-1.2634125 , y=6.0179443 , z=8.252853
x=-0.32063293 , y=5.264206 , z=7.9369965
x=0.52163696 , y=6.6640167 , z=7.10907
x=-0.071777344 , y=7.5373993 , z=4.9172516
x=-0.8279114 , y=6.632904 , z=5.7595215
x=-0.63409424 , y=6.508484 , z=9.571289
x=-0.29193115 , y=5.8863373 , z=6.250046
x=0.653244 , y=7.405792 , z=5.551346
x=0.35414124 , y=7.5708923 , z=7.771881
x=-0.7393799 , y=5.8097687 , z=7.841278
x=-0.33499146 , y=6.5276184 , z=9.477966
x=-0.102890015 , y=6.130417 , z=7.1497498
x=0.1651001 , y=6.1615143 , z=6.9846497
x=-0.18664551 , y=6.7693024 , z=9.183655
x=-1.0193481 , y=5.414963 , z=6.8243256
x=-0.4355011 , y=6.582657 , z=8.360519
x=0.04067993 , y=6.221344 , z=6.3840485
x=0.41156006 , y=6.2404785 , z=6.972687
x=0.0765686 , y=6.829117 , z=9.449265
x=-1.1557312 , y=6.324234 , z=5.17807
x=-0.6316986 , y=7.022934 , z=6.20459
x=0.090927124 , y=6.563507 , z=8.9730835
x=-0.22253418 , y=5.436493 , z=7.630707
x=-0.23210144 , y=6.1136627 , z=7.5397797
x=-0.1483612 , y=6.757324 , z=7.573288
x=-0.13400269 , y=6.3936157 , z=7.0157623
x=-0.18185425 , y=6.175873 , z=7.6163483
x=-0.39242554 , y=5.5657043 , z=7.7766724
x=-0.4355011 , y=6.1256256 , z=7.779068
x=-0.2679901 , y=6.3888397 , z=6.2189484
x=0.12921143 , y=6.6400757 , z=6.752548
x=-0.023925781 , y=6.08255 , z=7.377075
x=-0.42352295 , y=6.1663055 , z=7.350754
x=-0.46899414 , y=6.838684 , z=7.0827484
x=-0.27038574 , y=6.6424713 , z=7.135391
x=-0.088531494 , y=6.139984 , z=7.372284
x=0.052642822 , y=6.3385925 , z=7.9872437
x=-0.36849976 , y=7.0205383 , z=7.893921
x=-0.40678406 , y=6.7286224 , z=7.8388824
x=-0.32063293 , y=7.836487 , z=10.698303
x=-1.249054 , y=5.469986 , z=4.857437
x=-0.28234863 , y=5.9892426 , z=2.868988
x=0.95951843 , y=7.422531 , z=7.602005
x=-0.63409424 , y=6.6352997 , z=8.583054
x=-2.0554352 , y=6.5491486 , z=8.154739
x=-0.45942688 , y=6.489334 , z=7.6426697
x=2.2707825 , y=6.4989014 , z=9.080765
x=2.617752 , y=6.168701 , z=9.217148
x=0.22013855 , y=5.417343 , z=6.0586243
x=-1.2514496 , y=4.675583 , z=5.572891
x=-0.830307 , y=4.484146 , z=8.394028
x=-0.39720154 , y=4.2305145 , z=9.116653
x=-0.5312042 , y=5.9102783 , z=9.43251
x=-0.933197 , y=6.7908325 , z=8.013565
x=-0.54556274 , y=7.367508 , z=6.632904
x=0.011962891 , y=7.944168 , z=6.130417
x=-0.42352295 , y=7.0468597 , z=5.2833557
x=-0.67237854 , y=7.422531 , z=6.489334
x=-0.36131287 , y=7.5421753 , z=5.24028
x=0.5431671 , y=7.525421 , z=5.4436646
x=1.5505524 , y=7.664215 , z=8.020737
x=0.8877411 , y=8.4227295 , z=11.009384
x=-2.0410767 , y=6.7333984 , z=5.5944214
x=-1.8927155 , y=4.462616 , z=-0.3397827
x=1.7491608 , y=8.070984 , z=11.48555
x=0.3517456 , y=4.656433 , z=10.872986
x=-1.8017883 , y=4.4769745 , z=7.697708
x=-0.33738708 , y=6.0059814 , z=9.255432
x=1.7180481 , y=5.2331085 , z=10.597809
x=2.0075836 , y=5.647064 , z=10.368103
x=0.41635132 , y=5.723633 , z=2.457428
x=-0.117248535 , y=7.142578 , z=3.9242249
x=-1.4596252 , y=6.0227356 , z=9.856033
x=-3.3212433 , y=3.8620148 , z=10.092926
x=-2.5124664 , y=5.8624115 , z=8.494522
x=0.46180725 , y=7.7766724 , z=5.9126587
x=2.1870422 , y=8.204987 , z=4.118042
x=1.426117 , y=7.905884 , z=5.17807
x=-0.95474243 , y=8.322235 , z=11.365906
x=-3.7375946 , y=5.8695984 , z=5.8002014
x=-0.4402771 , y=3.6394806 , z=-1.4045868
x=4.5750732 , y=11.291733 , z=15.335602
x=-0.46420288 , y=5.3814545 , z=4.4362946
x=-3.2015991 , y=6.6592255 , z=4.015152
x=-1.1006927 , y=8.386841 , z=12.268005
x=0.5862427 , y=2.663208 , z=4.2951202
x=4.015152 , y=7.463211 , z=13.146164
x=1.4787598 , y=7.7144623 , z=9.336792
x=-2.0482635 , y=3.9768677 , z=0.9690857
x=-1.3280182 , y=6.262024 , z=9.994827
x=-1.7395782 , y=2.3904266 , z=8.532806
x=-1.5984039 , y=5.883957 , z=15.227921
x=-2.8307037 , y=8.006378 , z=5.441284
x=-0.62213135 , y=4.067795 , z=-8.293518
x=3.6490479 , y=12.354141 , z=16.316666
x=-0.9882355 , y=3.775879 , z=5.802597
x=-3.2183533 , y=6.592224 , z=7.051651
x=-0.36131287 , y=6.1088715 , z=7.6043854
x=3.5246277 , y=6.960724 , z=8.025528
x=3.1298065 , y=10.56192 , z=13.272995
x=-2.239685 , y=5.4795685 , z=-1.6486511
x=-0.59103394 , y=8.384445 , z=6.1375885
x=-0.39720154 , y=6.118454 , z=12.425934
x=-3.661026 , y=0.5383911 , z=4.7617188
x=-1.1964111 , y=5.551346 , z=11.17926
x=0.7680969 , y=9.298508 , z=8.420349
x=0.48095703 , y=5.3814545 , z=1.4715881
x=0.052642822 , y=6.891327 , z=10.7030945
x=0.090927124 , y=2.5220337 , z=7.4273224
x=0.79441833 , y=10.37767 , z=16.692337
x=-1.6438751 , y=3.3092804 , z=-1.5840454
x=1.036087 , y=9.956543 , z=7.7479553
x=0.7537384 , y=6.8602295 , z=9.276978
x=-1.7658997 , y=2.7397766 , z=1.4931183
x=-1.0217285 , y=8.219345 , z=11.9808655
x=-2.182251 , y=5.864807 , z=5.618347
x=-2.2420807 , y=8.851059 , z=7.862808
x=-0.055038452 , y=4.845459 , z=5.6614227
x=2.5698853 , y=8.666809 , z=13.213165
x=1.9597168 , y=2.9216309 , z=1.2275238
x=0.6795654 , y=8.994614 , z=11.059631
x=-2.9072723 , y=3.672989 , z=4.331009
x=-2.1463623 , y=6.620941 , z=9.207581
x=0.15074158 , y=8.181061 , z=10.04985
x=-0.38763428 , y=6.2596283 , z=6.5348053
x=-0.052642822 , y=5.91745 , z=4.1850433
x=0.77049255 , y=8.537598 , z=9.724426
x=-0.48812866 , y=4.965103 , z=3.1776733
x=0.04547119 , y=7.3052826 , z=10.066605
x=-0.52163696 , y=7.286148 , z=6.941574
x=-0.023925781 , y=5.77388 , z=5.8408813
x=-0.090927124 , y=10.839493 , z=13.990829
x=-2.5292206 , y=3.2733765 , z=1.8185425
x=0.74894714 , y=7.9298096 , z=3.8141632
x=3.1178436 , y=9.236298 , z=8.810379
x=-1.179657 , y=4.3166504 , z=-0.23449707
x=-2.6249237 , y=3.7088776 , z=9.650253
x=-0.6460571 , y=7.544571 , z=16.053452
x=0.8422699 , y=7.6378937 , z=6.5682983
x=1.701294 , y=10.157532 , z=4.7569275
x=0.20100403 , y=3.4695892 , z=1.6462555
x=1.7132568 , y=4.6037903 , z=9.647858
x=0.32063293 , y=11.332413 , z=12.205795
x=-4.278366 , y=2.222931 , z=-9.7986145
x=-0.95951843 , y=6.0514526 , z=13.272995
x=2.4358978 , y=4.821533 , z=19.463226
x=1.5266266 , y=8.566299 , z=8.566299
x=0.095718384 , y=7.216751 , z=-0.81355286
x=-0.26560974 , y=6.8650055 , z=6.582657
x=0.37088013 , y=2.8163452 , z=8.461029
x=-0.77049255 , y=9.245865 , z=13.399811
x=-4.3142548 , y=4.022339 , z=-2.9742737
x=-1.6582336 , y=6.2931213 , z=8.5902405
x=2.4693909 , y=5.69014 , z=17.974884
x=1.8544312 , y=5.9078827 , z=9.51387
x=0.45224 , y=8.772095 , z=6.18544
x=-2.1607208 , y=4.4985046 , z=1.758728
x=-1.8951111 , y=4.6325073 , z=10.980667
x=-0.63409424 , y=5.4891357 , z=9.207581
x=-0.011962891 , y=10.248459 , z=4.718643
x=-0.5647125 , y=3.5485535 , z=-5.3982086
x=1.1365967 , y=7.073181 , z=17.83371
x=-0.7537384 , y=2.6990967 , z=13.296921
x=-0.38523865 , y=9.604797 , z=10.877777
x=-0.23928833 , y=6.5395813 , z=-1.9549408
x=0.8757782 , y=3.4624176 , z=5.544174
x=1.3232269 , y=4.2544403 , z=15.639496
x=-0.95951843 , y=6.2404785 , z=5.5537415
x=-1.8759766 , y=10.662415 , z=5.659027
x=-2.050644 , y=0.2416687 , z=-0.23928833
x=0.76091003 , y=5.9198456 , z=24.672394
x=0.43070984 , y=1.6821594 , z=10.571487
x=1.7874451 , y=10.217346 , z=3.419342
x=0.8685913 , y=7.5637054 , z=1.1270142
x=-1.1605225 , y=5.687744 , z=9.88475
x=-1.3184509 , y=5.8121643 , z=13.993225
x=0.100494385 , y=5.458023 , z=-0.45703125
