x=0.35174021945697265 , y=3.18838959340536 , z=3.5425177767849862
x=0.22491873611424193 , y=3.2290612728675567 , z=3.715999922590819
x=0.1662953662047465 , y=3.148908081265636 , z=3.6561787560811423
x=0.2201351789912261 , y=3.1596729921118487 , z=3.70762297566726
x=0.2452583904841944 , y=3.1213892765723057 , z=3.6992460287437012
x=0.21774721506857225 , y=3.111814533048566 , z=3.7279626300372124
x=0.16390740228209266 , y=3.162068585312211 , z=3.8117092114396764
x=0.1770679063286673 , y=3.15129604518829 , z=3.678906374373749
x=0.2907212563471152 , y=3.171635699558242 , z=3.7219812763140157
x=0.3481468296564296 , y=3.1907775573280137 , z=3.75188804493
x=0.28354210602373736 , y=3.193173150528376 , z=3.6681414635275362
x=0.23449347963798176 , y=3.195568743728738 , z=3.705227382466898
x=0.2189373823910451 , y=3.1812104430819823 , z=3.780604646223511
x=0.2763705849780677 , y=3.18838959340536 , z=3.7530858415301807
x=0.299098203270674 , y=3.2541921136382332 , z=3.6968580648210474
x=0.2500495768849184 , y=3.2781175285310207 , z=3.601141146694482
x=0.1938141708980768 , y=3.269740581607462 , z=3.6478018091575835
x=0.19142620697542295 , y=3.2505987238376903 , z=3.75188804493
x=0.20099332122145463 , y=3.2111172116979665 , z=3.7315483905600475
x=0.23927703676099757 , y=3.224277715744541 , z=3.675320613850914
x=0.2476539836845564 , y=3.2362404231909347 , z=3.6478018091575835
x=0.2045867110219976 , y=3.2386360163912964 , z=3.658566720003796
x=0.19740756069861978 , y=3.2278711055450837 , z=3.6884811178974886
x=0.1950119674982578 , y=3.2039380613745885 , z=3.672925020650552
x=0.22491873611424193 , y=3.183598407004636 , z=3.715999922590819
x=0.22851212591478492 , y=3.1668521424352263 , z=3.7554814347305427
x=0.21535162186821027 , y=3.177617053281439 , z=3.7734254959001334
x=0.2045867110219976 , y=3.1668521424352263 , z=3.738727540883425
x=0.18663502057469897 , y=3.1560872315890136 , z=3.6932646750205045
x=0.151944694835699 , y=3.182408239682163 , z=3.681301967574111
x=0.10288843917223522 , y=3.2015500974519346 , z=3.6166972439414184
x=0.10767199629525105 , y=3.2422217769141315 , z=3.628659951387812
x=0.13758639418894336 , y=3.2111172116979665 , z=3.6143016507410564
x=0.18783281717487996 , y=3.157285028189195 , z=3.6681414635275362
x=0.18543722397451798 , y=3.153691638388652 , z=3.7231714436364887
x=0.13878419078912435 , y=3.1321541874185184 , z=3.6896789144976694
x=0.1220302969420067 , y=3.147710284665455 , z=3.743511098006441
x=0.11604894321880987 , y=3.146512488065274 , z=3.720783479713835
x=0.13878419078912435 , y=3.1213892765723057 , z=3.6896789144976694
x=0.18065366685150214 , y=3.1273706302955024 , z=3.7554814347305427
x=0.16390740228209266 , y=3.1010496222023534 , z=3.7566716020530158
x=0.10767199629525105 , y=3.14412452414262 , z=3.77940684962333
x=0.050246422985936616 , y=3.1704379029580614 , z=3.7231714436364887
x=0.07298167055625109 , y=3.189587390005541 , z=3.6860855246971265
x=0.10767199629525105 , y=3.2170985654211632 , z=3.675320613850914
x=0.14236995131195918 , y=3.218296362021344 , z=3.643018252034568
x=0.14236995131195918 , y=3.213512804898328 , z=3.7064251790670792
x=0.11006758949561304 , y=3.185994000204998 , z=3.7303505939598662
x=0.09930267864940039 , y=3.2147106014985094 , z=3.7327461871602283
x=0.05742557330931444 , y=3.2159083980986902 , z=3.681301967574111
x=0.026321008093149304 , y=3.2398338129914777 , z=3.6143016507410564
x=0.059821166509676435 , y=3.2362404231909347 , z=3.520987955092561
x=0.11485114661862889 , y=3.231456866067919 , z=3.634641305111009
x=0.13878419078912435 , y=3.1907775573280137 , z=3.6621601098043395
x=0.18424705665204513 , y=3.2015500974519346 , z=3.7279626300372124
x=0.23927703676099757 , y=3.1740312927586043 , z=3.7315483905600475
x=0.25243754080757225 , y=3.185994000204998 , z=3.7494924517296377
x=0.22731432931460394 , y=3.145314691465093 , z=3.818888361763054
x=0.16031401248154967 , y=3.1967589110512105 , z=3.7997465039932825
x=0.14476554451232118 , y=3.269740581607462 , z=3.7746232925003143
x=0.2045867110219976 , y=3.3092220937471857 , z=3.666943666927355
x=0.28354210602373736 , y=3.2458151667146744 , z=3.5903762358482694
x=0.25363533740775324 , y=3.2362404231909347 , z=3.676518410451095
x=0.10648182897277822 , y=3.251796520437871 , z=3.5724321746786787
x=0.04546286586292079 , y=3.3319573413175 , z=3.5879806426479073
x=0.16270960568191167 , y=3.333147508639973 , z=3.6250741908649773
x=0.3086729467944138 , y=3.287684642777052 , z=3.6035367398948437
x=0.33020276848683916 , y=3.261363634683903 , z=3.640622658834206
x=0.22611653271442292 , y=3.2087292477753127 , z=3.7195856831136536
x=0.14117215471177819 , y=3.1967589110512105 , z=3.8739183418720065
x=0.14596334111250217 , y=3.183598407004636 , z=3.828455476009086
x=0.23329568303780077 , y=3.219494158621525 , z=3.6836975607744726
x=0.297900406670493 , y=3.2374382197911156 , z=3.678906374373749
x=0.26919143465468987 , y=3.2482107599150365 , z=3.708820772267441
x=0.20697467494465144 , y=3.2840988822542174 , z=3.6561787560811423
x=0.17587010972848632 , y=3.3271661549167764 , z=3.592771829048631
x=0.23209788643761975 , y=3.299654979501154 , z=3.589178439248088
x=0.26919143465468987 , y=3.3271661549167764 , z=3.6872833212973077
x=0.24167262996135958 , y=3.2852966788543982 , z=3.6154994473412376
x=0.21774721506857225 , y=3.2924758291777763 , z=3.6860855246971265
x=0.1926163742978958 , y=3.231456866067919 , z=3.7219812763140157
x=0.15912384515907682 , y=3.2362404231909347 , z=3.754283638130362
x=0.148351305035156 , y=3.2757219353306586 , z=3.702839418544244
x=0.17347451652812432 , y=3.2852966788543982 , z=3.628659951387812
x=0.18424705665204513 , y=3.233852459268281 , z=3.692066878420323
x=0.1770679063286673 , y=3.2147106014985094 , z=3.781794813545984
x=0.12801165066520354 , y=3.1991545042515726 , z=3.714802125990638
x=0.12801165066520354 , y=3.2553822809607063 , z=3.681301967574111
x=0.149549101635337 , y=3.2924758291777763 , z=3.6394248622340246
x=0.150746898235518 , y=3.2924758291777763 , z=3.602338943294663
x=0.13758639418894336 , y=3.2781175285310207 , z=3.658566720003796
x=0.11964233301935287 , y=3.2769197319308394 , z=3.6932646750205045
x=0.12801165066520354 , y=3.2422217769141315 , z=3.6681414635275362
x=0.14476554451232118 , y=3.2553822809607063 , z=3.7339439837604096
x=0.11724673981899088 , y=3.2529943170380524 , z=3.6956602682208666
x=0.10648182897277822 , y=3.2757219353306586 , z=3.671727224050371
x=0.09930267864940039 , y=3.2769197319308394 , z=3.6561787560811423
x=0.08972793512566057 , y=3.2541921136382332 , z=3.671727224050371
x=0.07058607735588909 , y=3.2434195735143123 , z=3.6980482321435204
x=0.04187710534008595 , y=3.2553822809607063 , z=3.7064251790670792
x=0.044265069262739785 , y=3.2410316095916585 , z=3.665745870327174
x=0.06580252023287327 , y=3.26017346736143 , z=3.700443825343882
x=0.0717838739560701 , y=3.2278711055450837 , z=3.6932646750205045
x=0.03350015841652713 , y=3.2278711055450837 , z=3.6478018091575835
x=-0.008376946923558823 , y=3.2386360163912964 , z=3.665745870327174
x=-0.05264201618629861 , y=3.221889751821887 , z=3.671727224050371
x=0.002395593200361995 , y=3.2757219353306586 , z=3.8248697154862508
x=0.1256236867425497 , y=3.1680499390354075 , z=3.9588627198746513
x=0.18543722397451798 , y=3.398950028872846 , z=3.8272576794089046
x=0.13638859758876234 , y=3.4384315410125703 , z=4.475708138213897
x=-0.6915177314675516 , y=2.699062979759444 , z=1.6629841791582975
x=0.040679308739904954 , y=2.7768282074387107 , z=3.2386360163912964
x=0.6460548656046308 , y=4.444603572997733 , z=6.639981638464505
x=-0.4223262968128617 , y=2.257594825176811 , z=1.1724673981899087
x=0.2225307721915881 , y=3.446808487936129 , z=4.637219947295629
x=0.3337961582873821 , y=3.37622241058024 , z=4.955460008336074
x=-0.12801165066520354 , y=2.4274835811821003 , z=1.3938003737813158
x=0.3469566623339568 , y=3.866739191548629 , z=6.145871467695573
x=-0.08016082087962892 , y=2.322199548809503 , z=3.3642597031338464
x=-0.08972793512566057 , y=3.0149074475995277 , z=2.7098278906056565
x=-0.2907212563471152 , y=4.052184044800855 , z=4.906411381950318
x=-0.8231151426555899 , y=2.425087987981738 , z=2.586599797063469
x=0.25243754080757225 , y=3.1213892765723057 , z=5.22105805319022
x=0.7262080572065516 , y=3.446808487936129 , z=3.7494924517296377
x=0.13878419078912435 , y=4.086881999817563 , z=1.5110471136003067
x=-0.56349845152464 , y=3.928955951258667 , z=3.231456866067919
x=-0.6137525037882847 , y=2.3891998656425573 , z=4.314196329132167
x=0.28593769922409934 , y=3.133351984018699 , z=5.4184656138888405
x=0.3086729467944138 , y=3.9050305363658797 , z=2.5626743821706817
x=-0.07656743107908592 , y=3.419289683242799 , z=1.086325223587083
x=0.046660662463101785 , y=3.2170985654211632 , z=4.8980344350267595
x=-0.151944694835699 , y=2.5315698169545167 , z=5.252162618406386
x=-0.35174021945697265 , y=3.3534871630099254 , z=3.676518410451095
x=-0.1926163742978958 , y=3.4001478254730273 , z=3.2147106014985094
x=0.45582645522938886 , y=2.5985625045098626 , z=4.307017178808789
x=0.8554175044719361 , y=2.8318658168253714 , z=5.34668173993277
x=0.06580252023287327 , y=2.9754259354598034 , z=3.0807099678324006
x=-0.6879243416670086 , y=3.341524455563532 , z=2.855791231718159
x=-0.6316965649578752 , y=3.0089260938763305 , z=4.126363511957287
x=-0.16031401248154967 , y=2.6320626629263897 , z=3.968437463398391
x=0.2608144877311311 , y=3.3319573413175 , z=3.55448048423138
x=-0.03588812233918096 , y=3.7686419387771175 , z=2.4585881463982653
x=-0.4139493498893029 , y=3.3164012440705637 , z=2.8797166466109463
x=-0.3170422644402645 , y=3.2541921136382332 , z=4.785571252330784
x=-0.14596334111250217 , y=2.9431235736434576 , z=3.1249750370951404
x=0.32661700796400434 , y=3.702839418544244 , z=2.77563041083853
x=0.1770679063286673 , y=3.785388203346527 , z=3.8858810493184004
x=-0.3696842806265631 , y=2.9048398581039145 , z=3.9205790043351083
x=-0.1674931628049275 , y=3.263759227884265 , z=4.738910589867682
x=-0.05144421958611761 , y=3.0651614998631724 , z=3.5748201386013325
x=0.08254878480228275 , y=3.0807099678324006 , z=3.4922713537990497
x=-0.09332132492620357 , y=3.3845993575037987 , z=4.591757081432707
x=-0.5096662680158685 , y=2.7074399266830027 , z=3.412110532919421
x=-0.21774721506857225 , y=3.291278032577595 , z=4.180195695466058
x=0.020339654369952477 , y=3.110624365726093 , z=3.191975353928195
x=0.20577687834447045 , y=3.120191479972125 , z=3.486290000075853
x=0.03828371553954296 , y=3.414506126119783 , z=4.724559918498635
x=-0.5778567521713955 , y=3.162068585312211 , z=2.5889953902638307
x=-0.3158444678400835 , y=3.5114132115688212 , z=3.102247418802534
x=0.04546286586292079 , y=3.2817032890538553 , z=4.48647304906011
x=-0.11126538609579405 , y=2.7182048375292154 , z=3.815294971962511
x=-0.11604894321880987 , y=3.0567845529396136 , z=3.7698321060995905
x=-0.07417946715643209 , y=3.3786103745028937 , z=3.786585999946708
x=-0.06700031683305425 , y=3.1967589110512105 , z=3.5078274510459866
x=-0.09092573172584158 , y=3.0878891181557786 , z=3.808115821639133
x=-0.1962097640984388 , y=2.782809561161908 , z=3.888276642518762
x=-0.21774721506857225 , y=3.0627659066628103 , z=3.8894744391189433
x=-0.13399300438840037 , y=3.1943709471285566 , z=3.109426569125912
x=0.06460472363269226 , y=3.3199870045933983 , z=3.37622241058024
x=-0.011962707446393656 , y=3.0412284556926767 , z=3.6884811178974886
x=-0.21175823206766728 , y=3.0831055610327627 , z=3.675320613850914
x=-0.23449347963798176 , y=3.419289683242799 , z=3.5413199801848054
x=-0.13519080098858136 , y=3.321184801193579 , z=3.5676409882779545
x=-0.044265069262739785 , y=3.069945056986188 , z=3.6860855246971265
x=0.026321008093149304 , y=3.1692477356355884 , z=3.9935606748913592
x=-0.18424705665204513 , y=3.5102154149686404 , z=3.946900012428258
x=-0.2033889144218166 , y=3.3642597031338464 , z=3.9193812077349275
x=-0.16031401248154967 , y=3.918183411134746 , z=5.349069703855424
x=-0.6245174146344974 , y=2.734951102098625 , z=2.428681377782281
x=-0.14117215471177819 , y=2.994575422507283 , z=1.4344720532435127
x=0.4797518701221762 , y=3.7112087361900947 , z=3.8009443005934638
x=-0.3170422644402645 , y=3.3175990406707445 , z=4.291461081561852
x=-1.0277018536775875 , y=3.2745241387304773 , z=4.077307256293823
x=-0.22970992251496591 , y=3.2446173701144936 , z=3.821276325685708
x=1.1353738499728387 , y=3.249400927237509 , z=4.54031286184659
x=1.3088559957786712 , y=3.084303357632944 , z=4.6085033460021165
x=0.11006758949561304 , y=2.7086300940054757 , z=3.0292657482462833
x=-0.6257152112346783 , y=2.3377556460564395 , z=2.786402950962451
x=-0.4151471464894839 , y=2.242038727929874 , z=4.196949589313176
x=-0.19859772802109263 , y=2.1152248738648516 , z=4.55825692301618
x=-0.2655980448541469 , y=2.9550939103675593 , z=4.716182971575076
x=-0.46659136607560153 , y=3.3953642683500114 , z=4.0067211789379344
x=-0.2727771951775247 , y=3.6836975607744726 , z=3.3164012440705637
x=0.005981353723196828 , y=3.972023223921226 , z=3.0651614998631724
x=-0.21175823206766728 , y=3.5233759190152147 , z=2.6416374064501293
x=-0.33618412221003596 , y=3.7112087361900947 , z=3.2446173701144936
x=-0.18065366685150214 , y=3.7710299026997713 , z=2.620099955479996
x=0.2715793985773437 , y=3.7626529557762125 , z=2.7217905980520505
x=0.7752643128700153 , y=3.832048865809629 , z=4.010306939460769
x=0.4438637477829952 , y=4.211300260682224 , z=5.504607788491666
x=-1.0205227033542097 , y=3.3666476670565 , z=2.7971678618086635
x=-0.9463432361977777 , y=2.2312738170836615 , z=-0.1698887560052895
x=0.8745669915194157 , y=4.035430150953737 , z=5.742687028652483
x=0.17587010972848632 , y=2.3281809025327 , z=5.436409675058431
x=-0.9008803703348569 , y=2.2384529674070395 , z=3.848795130379038
x=-0.16869095940510848 , y=3.0029447401531337 , z=4.6276452037718885
x=0.8590108942724791 , y=2.616514194957161 , z=5.298823280869487
x=1.0037764387848003 , y=2.8234888699018126 , z=5.183972134250859
x=0.20817247154483245 , y=2.8617725854413556 , z=1.2286951748990422
x=-0.05862336990949544 , y=3.571234378078498 , z=1.9620823824289715
x=-0.7298014470070946 , y=3.0113216870766926 , z=4.927941203642743
x=-1.6605962152356437 , y=1.9309778172128065 , z=5.046385740061916
x=-1.2562139795923726 , y=2.9311608661970636 , z=4.247196012299113
x=0.23090008983743876 , y=3.888276642518762 , z=2.956284077690032
x=1.0935043739104608 , y=4.1024304677867915 , z=2.05898946787801
x=0.7130475531599769 , y=3.9528813661514546 , z=2.5889953902638307
x=-0.47736390619952235 , y=4.161053837696287 , z=5.6828658621428065
x=-1.8687686867804763 , y=2.9347542559976065 , z=2.9000563009808986
x=-0.2201351789912261 , y=1.8197124311170123 , z=-0.7022826423137642
x=2.2875015937927947 , y=5.645779943203444 , z=7.667683492142093
x=-0.23209788643761975 , y=2.690686032835885 , z=2.2181133130370867
x=-1.6007750487259673 , y=3.329561748117138 , z=2.0075452482918923
x=-0.5503379474780653 , y=4.193356199512633 , z=6.133908760249179
x=0.2931168495474772 , y=1.3315836140712773 , z=2.147527235681198
x=2.0075452482918923 , y=3.7315483905600475 , z=6.572981321631451
x=0.7393685612531262 , y=3.857172077302597 , z=4.668324512511793
x=-1.0241160931547528 , y=1.988403390522121 , z=0.484535427245192
x=-0.6639989267742213 , y=3.1309640200960454 , z=4.99733711367616
x=-0.8697758051186918 , y=1.1951950164825151 , z=4.2663378700688845
x=-0.7991897277628026 , y=2.9419334063209845 , z=7.613843679355613
x=-1.4153301954737412 , y=4.003127789137391 , z=2.7206004307295775
x=-0.31106091071706765 , y=2.033866256385042 , z=-4.146695537049531
x=1.8244959882400282 , y=6.176976032911738 , z=8.15820790238819
