x=-0.28234863 , y=9.537796 , z=-0.71784973
x=0.119644165 , y=9.738785 , z=-1.3375854
x=0.32781982 , y=9.389435 , z=-0.53359985
x=-0.03111267 , y=9.848862 , z=-0.7513428
x=-0.27038574 , y=9.932602 , z=-0.8374939
x=0.007171631 , y=9.808182 , z=-1.4691925
x=0.36849976 , y=9.595215 , z=-1.311264
x=-0.0143585205 , y=9.650253 , z=-1.8951111
x=-0.6628113 , y=9.537796 , z=-0.8183441
x=-0.5694885 , y=10.102493 , z=-0.7992096
x=0.3014984 , y=9.712463 , z=-0.4905243
x=0.6460571 , y=9.2482605 , z=-1.2610168
x=-0.32302856 , y=9.707687 , z=-0.8374939
x=-0.7010956 , y=9.463608 , z=-1.1892395
x=0.16270447 , y=9.963715 , z=-1.138977
x=0.3014984 , y=9.525833 , z=-0.5312042
x=0.29193115 , y=9.63829 , z=-1.5433655
x=0.16270447 , y=10.155136 , z=-1.036087
x=-0.093322754 , y=9.796219 , z=-1.0576324
x=0.21296692 , y=9.71965 , z=-1.1605225
x=0.4139557 , y=9.650253 , z=-1.2035828
x=-0.052642822 , y=10.009171 , z=-1.2251282
x=0.19142151 , y=9.5282135 , z=-0.46180725
x=0.59820557 , y=9.621536 , z=-0.3397827
x=0.3756714 , y=9.540192 , z=-1.1964111
x=0.098098755 , y=9.547363 , z=-0.9308014
x=-0.071777344 , y=9.578476 , z=-0.72502136
x=-0.24406433 , y=9.602402 , z=-0.5862427
x=0.13639832 , y=9.858429 , z=-0.8805542
x=0.8446655 , y=9.738785 , z=-1.1294098
x=0.96191406 , y=9.820145 , z=-0.8374939
x=0.15074158 , y=9.67897 , z=-1.0121613
x=0.21057129 , y=9.939789 , z=-0.1531372
x=-0.34457397 , y=9.162125 , z=0.727417
x=-0.32302856 , y=9.769897 , z=-2.6608124
x=0.6029968 , y=9.908676 , z=-0.21534729
x=0.55752563 , y=8.834305 , z=-0.51924133
x=-0.49771118 , y=10.001999 , z=-0.122039795
x=-0.59103394 , y=9.71965 , z=-1.4763641
x=0.04307556 , y=10.159927 , z=-0.7992096
x=0.6197357 , y=9.221939 , z=-1.2251282
x=-0.086135864 , y=9.982849 , z=-1.1030884
x=-0.6053772 , y=10.174286 , z=-1.4931183
x=-0.24645996 , y=9.717255 , z=-0.24885559
x=0.25125122 , y=9.439682 , z=-0.7298126
x=0.04307556 , y=9.542572 , z=-0.97387695
x=-0.37327576 , y=9.841675 , z=-0.8805542
x=-0.275177 , y=9.355942 , z=-0.653244
x=0.0 , y=9.399002 , z=-0.105285645
x=0.13877869 , y=9.521042 , z=-1.0480499
x=-0.04067993 , y=9.769897 , z=-0.78245544
x=-0.110076904 , y=9.82254 , z=-0.8685913
x=-0.04547119 , y=9.705292 , z=-1.174881
x=-0.12921143 , y=9.698105 , z=-1.2131653
x=-0.06700134 , y=9.595215 , z=-1.0432739
x=-0.088531494 , y=9.736389 , z=-0.6963043
x=0.021530151 , y=9.717255 , z=-0.6795654
x=0.279953 , y=9.580856 , z=-0.7513428
x=0.39242554 , y=9.533005 , z=-0.55513
x=0.1531372 , y=9.63829 , z=-0.933197
x=-0.01675415 , y=9.556931 , z=-0.8805542
x=0.06939697 , y=9.662216 , z=-0.35414124
x=0.23928833 , y=9.722046 , z=-0.79441833
x=0.3900299 , y=9.970886 , z=-1.1988068
x=0.3134613 , y=9.731613 , z=-1.277771
x=0.047851562 , y=9.755539 , z=-0.81355286
x=-0.088531494 , y=9.858429 , z=-1.0959167
x=0.057434082 , y=9.750748 , z=-1.2418823
x=0.2416687 , y=9.628723 , z=-0.6149597
x=0.24406433 , y=9.585648 , z=-0.82073975
x=-0.08375549 , y=9.750748 , z=-1.208374
x=-0.1483612 , y=9.657425 , z=-1.0887299
x=0.105285645 , y=9.602402 , z=-0.95951843
x=0.2033844 , y=9.8033905 , z=-1.2203369
x=0.33738708 , y=9.98764 , z=-1.4739838
x=0.46180725 , y=9.867996 , z=-1.3710938
x=0.33021545 , y=9.8033905 , z=-1.0480499
x=0.13877869 , y=9.805786 , z=-1.1581268
x=0.07896423 , y=9.791428 , z=-1.1581268
x=0.2033844 , y=9.655045 , z=-0.8183441
x=0.26560974 , y=9.533005 , z=-0.75613403
x=0.102890015 , y=9.600006 , z=-0.6915283
x=-0.0382843 , y=9.518646 , z=-0.71066284
x=-0.086135864 , y=9.489929 , z=-0.55752563
x=0.007171631 , y=9.592819 , z=-0.5790558
x=0.110076904 , y=9.669403 , z=-0.928421
x=0.1483612 , y=9.683746 , z=-0.88534546
x=0.011962891 , y=9.729218 , z=-0.83270264
x=-0.112457275 , y=9.662216 , z=-0.96191406
x=-0.07417297 , y=9.6957245 , z=-0.93559265
x=0.071777344 , y=9.628723 , z=-0.933197
x=0.124420166 , y=9.63829 , z=-0.85902405
x=0.021530151 , y=9.717255 , z=-0.7513428
x=0.0143585205 , y=9.619141 , z=-0.68434143
x=-0.007171631 , y=9.652649 , z=-0.53359985
x=-0.04067993 , y=9.650253 , z=-0.7154541
x=-0.057434082 , y=9.645462 , z=-0.6125641
x=-0.009567261 , y=9.717255 , z=-0.69392395
