POTHOLE : 1
time : 2019-11-17 21:12:04
position : 23.54969879 , 87.29926585
----------------------------------
ACCELEROMETER DATA
----------------------------------
x=-5.32164 , y=10.872986 , z=-3.780655
x=0.6412811 , y=11.370697 , z=1.0959167
x=5.87677 , y=7.092331 , z=8.982651
x=7.8053894 , y=6.850647 , z=1.1174469
x=5.7379913 , y=8.465805 , z=-2.3497467
x=-0.16749573 , y=14.280365 , z=-2.9623108
x=-2.2253265 , y=14.75415 , z=0.07896423
x=3.0197449 , y=18.731018 , z=9.446869
x=5.4628143 , y=17.580063 , z=-5.0416718
x=3.115448 , y=11.042877 , z=0.15792847
x=-0.19381714 , y=-1.2299042 , z=-6.592224
x=-5.48674 , y=3.1369934 , z=-8.934799
x=-9.171692 , y=4.520035 , z=-31.142593
x=-5.9605255 , y=3.8237305 , z=-31.86522
x=5.0321045 , y=13.734802 , z=11.827728
x=3.5150604 , y=10.102493 , z=-1.4644012
x=3.048462 , y=9.332016 , z=0.6460571
x=6.3625183 , y=5.1517487 , z=0.59580994
x=3.4839478 , y=2.1032867 , z=1.277771
x=-2.9862366 , y=3.517456 , z=-2.589035
x=-0.100494385 , y=4.9866486 , z=-7.3244324
x=8.463409 , y=13.232315 , z=-5.934204
x=7.7192535 , y=17.869598 , z=0.12921143
x=1.9190369 , y=15.76152 , z=10.363312
x=-3.385849 , y=22.279572 , z=25.62474
x=-4.8957214 , y=28.25206 , z=24.521652
x=2.376068 , y=28.137207 , z=27.187256
x=11.992828 , y=15.536591 , z=-4.76651
x=5.740387 , y=0.24406433 , z=-18.98465
x=-6.1088715 , y=-5.6781616 , z=3.0149536
x=-15.531815 , y=-5.7667084 , z=-9.836899
x=-12.880569 , y=-20.812775 , z=-58.485367
-----------------------------------
GPS DATA
-----------------------------------
 23.54888479 , 87.30056763 , 0.0
 23.54888478 , 87.30056762 , 0.0
 23.54888479 , 87.30056762 , 0.0
 23.54888478 , 87.30056763 , 0.0
 23.54888477 , 87.30056764 , 0.0
 23.54888476 , 87.30056764 , 0.0
 23.54889755 , 87.30055375 , 10.8
 23.54892189 , 87.30052412 , 16.019999313354493
 23.54895461 , 87.30048219 , 19.619999313354494
 23.5489852 , 87.30044206 , 23.652000617980956
 23.54901573 , 87.30038481 , 26.603999519348147
 23.54905644 , 87.30031828 , 29.987999725341798
 23.54909977 , 87.30024557 , 32.79599876403809
 23.54914612 , 87.30016402 , 35.1
 23.54920045 , 87.30008837 , 37.1879997253418
 23.54924984 , 87.2999988 , 39.20400123596192
 23.549306 , 87.29990532 , 39.49200096130371
 23.54935386 , 87.2998271 , 32.292000961303714
 23.5493971 , 87.2997528 , 32.292000961303714
 23.5494411 , 87.29968222 , 30.67200164794922
 23.54948198 , 87.29961145 , 30.67200164794922
 23.54952885 , 87.29952971 , 35.63999862670899
 23.54957945 , 87.29944694 , 37.29599876403809
 23.54963279 , 87.29936353 , 37.29599876403809
 23.54969879 , 87.29926585 , 40.7879997253418
-----------------------------------
