x=-0.14117215471177819 , y=4.768824987761374 , z=-0.35891936978035044
x=0.059821166509676435 , y=4.869317833733248 , z=-0.6687824838972372
x=0.16390740228209266 , y=4.694645520604943 , z=-0.2667958414543279
x=-0.015556097246936648 , y=4.924355443119909 , z=-0.3756656343497599
x=-0.13519080098858136 , y=4.966224919182286 , z=-0.4187405362900269
x=0.003585760522834833 , y=4.904015788749956 , z=-0.7345850041301104
x=0.18424705665204513 , y=4.797533959777178 , z=-0.6556219798506625
x=-0.007179150323377825 , y=4.825052764470509 , z=-0.9475410327979586
x=-0.33140056508702015 , y=4.768824987761374 , z=-0.40916579276628706
x=-0.28473990262391835 , y=5.051169297184932 , z=-0.3995986785202554
x=0.150746898235518 , y=4.856157329686673 , z=-0.2452583904841944
x=0.3230236181634613 , y=4.624059443249053 , z=-0.6304987683576941
x=-0.16151180908173066 , y=4.85376936576402 , z=-0.4187405362900269
x=-0.3505424228567916 , y=4.731731439544305 , z=-0.5946106460185132
x=0.08135098820210175 , y=4.981781016429223 , z=-0.5694798052478367
x=0.150746898235518 , y=4.762843634038178 , z=-0.2655980448541469
x=0.14596334111250217 , y=4.819071410747312 , z=-0.7716709230694724
x=0.08135098820210175 , y=5.07749030527808 , z=-0.5180355856617191
x=-0.046660662463101785 , y=4.8980344350267595 , z=-0.52880812578564
x=0.10648182897277822 , y=4.8597507194872165 , z=-0.5802523453717575
x=0.20697467494465144 , y=4.825052764470509 , z=-0.6017821670641829
x=-0.026321008093149304 , y=5.004508634721829 , z=-0.6125547071881037
x=0.0957092888488574 , y=4.764033801360651 , z=-0.23090008983743876
x=0.299098203270674 , y=4.8106944638237525 , z=-0.1698887560052895
x=0.18783281717487996 , y=4.770022784361556 , z=-0.598196406541348
x=0.04904862638575562 , y=4.77360854488439 , z=-0.4653935694754205
x=-0.03588812233918096 , y=4.789164642131327 , z=-0.36250513030318526
x=-0.1220302969420067 , y=4.801127349577721 , z=-0.2931168495474772
x=0.06819811343323526 , y=4.929139000242924 , z=-0.4402703579824522
x=0.4223262968128617 , y=4.869317833733248 , z=-0.5646962481248209
x=0.48094966672235717 , y=4.909997142473153 , z=-0.4187405362900269
x=0.07536963447890492 , y=4.839411065117264 , z=-0.5060728782153254
x=0.10528403237259722 , y=4.96981830898283 , z=-0.07656743107908592
x=-0.17228434920565147 , y=4.580992170586494 , z=0.3637029269033663
x=-0.16151180908173066 , y=4.884873930980184 , z=-1.3303858174710965
x=0.301493796471036 , y=4.954262211735893 , z=-0.10767199629525105
x=0.27875854890072155 , y=4.417084768304402 , z=-0.25961669113095004
x=-0.2488517802847374 , y=5.000922874198994 , z=-0.06101896310985743
x=-0.29551244274783917 , y=4.8597507194872165 , z=-0.7381707646529452
x=0.021537450970133473 , y=5.079885898478443 , z=-0.3995986785202554
x=0.30986311411688666 , y=4.610898939202479 , z=-0.6125547071881037
x=-0.04306727266255879 , y=4.991348130675255 , z=-0.5515357440782462
x=-0.30268396379350887 , y=5.08706504880182 , z=-0.746547711576504
x=-0.12322809354218771 , y=4.858552922887036 , z=-0.1244258901423687
x=0.1256236867425497 , y=4.719768732097911 , z=-0.3649007235035473
x=0.021537450970133473 , y=4.771212951684029 , z=-0.486931020445554
x=-0.18663502057469897 , y=4.920762053319366 , z=-0.4402703579824522
x=-0.13758639418894336 , y=4.677899256035533 , z=-0.32661700796400434
x=0.0 , y=4.699429077727959 , z=-0.05264201618629861
x=0.06938828075570809 , y=4.760448040837816 , z=-0.524016939384916
x=-0.020339654369952477 , y=4.884873930980184 , z=-0.3912217315966966
x=-0.05503760938666061 , y=4.911194939073334 , z=-0.4342890042592554
x=-0.022735247570314473 , y=4.852571569163839 , z=-0.5874314956951354
x=-0.06460472363269226 , y=4.848978179363296 , z=-0.6065733534649068
x=-0.03350015841652713 , y=4.797533959777178 , z=-0.5216289754622622
x=-0.044265069262739785 , y=4.868120037133067 , z=-0.3481468296564296
x=0.010764910846212658 , y=4.858552922887036 , z=-0.339777512010579
x=0.1399743581115972 , y=4.7903548094538 , z=-0.3756656343497599
x=0.1962097640984388 , y=4.766429394561013 , z=-0.27756075230054056
x=0.07656743107908592 , y=4.819071410747312 , z=-0.46659136607560153
x=-0.008376946923558823 , y=4.778392102007406 , z=-0.4402703579824522
x=0.03469795501670813 , y=4.831034118193705 , z=-0.1770679063286673
x=0.11964233301935287 , y=4.860948516087397 , z=-0.3972030853198934
x=0.1950119674982578 , y=4.985366776952058 , z=-0.599394203141529
x=0.15672825195871484 , y=4.865732073210413 , z=-0.638875715281253
x=0.023925414892787312 , y=4.877694780656807 , z=-0.4067701995659251
x=-0.044265069262739785 , y=4.929139000242924 , z=-0.5479499835554115
x=0.0287166012935113 , y=4.875299187456445 , z=-0.6209316541116625
x=0.1208325003418257 , y=4.814287853624296 , z=-0.3074751501942328
x=0.1220302969420067 , y=4.792750402654162 , z=-0.41036358936646805
x=-0.04187710534008595 , y=4.875299187456445 , z=-0.6041777602645448
x=-0.07417946715643209 , y=4.828638524993343 , z=-0.5443565937548684
x=0.05264201618629861 , y=4.801127349577721 , z=-0.4797518701221762
x=0.10169064257205424 , y=4.901620195549594 , z=-0.6101591139877417
x=0.16869095940510848 , y=4.993743723875617 , z=-0.7369805973304724
x=0.23090008983743876 , y=4.93392255736594 , z=-0.6855363777443547
x=0.16510519888227365 , y=4.901620195549594 , z=-0.524016939384916
x=0.06938828075570809 , y=4.902817992149775 , z=-0.5790545487715766
x=0.03948151213972396 , y=4.895638841826397 , z=-0.5790545487715766
x=0.10169064257205424 , y=4.82744835767087 , z=-0.40916579276628706
x=0.13280283706592752 , y=4.766429394561013 , z=-0.37806122755012195
x=0.05144421958611761 , y=4.79992955297754 , z=-0.3457588657337758
x=-0.01914185776977148 , y=4.759250244237635 , z=-0.35532597997980747
x=-0.04306727266255879 , y=4.744891943590879 , z=-0.27875854890072155
x=0.003585760522834833 , y=4.7963361631769965 , z=-0.2895234597469342
x=0.05503760938666061 , y=4.834627507994248 , z=-0.4642034021529477
x=0.07417946715643209 , y=4.841799029039918 , z=-0.4426659511828142
x=0.005981353723196828 , y=4.864534276610232 , z=-0.4163449430896649
x=-0.05622777670913345 , y=4.831034118193705 , z=-0.48094966672235717
x=-0.037085918939361966 , y=4.847788012040823 , z=-0.4677891626757825
x=0.03588812233918096 , y=4.814287853624296 , z=-0.46659136607560153
x=0.06220913043233027 , y=4.819071410747312 , z=-0.42950544713623956
x=0.010764910846212658 , y=4.858552922887036 , z=-0.3756656343497599
x=0.007179150323377825 , y=4.809496667223572 , z=-0.3421654759332328
x=-0.003585760522834833 , y=4.826250561070689 , z=-0.2667958414543279
x=-0.020339654369952477 , y=4.825052764470509 , z=-0.35772157318016945
x=-0.0287166012935113 , y=4.822657171270146 , z=-0.30627735359405184
x=-0.00478355712301583 , y=4.858552922887036 , z=-0.3469566623339568
x=-0.015556097246936648 , y=4.880090373857169 , z=-0.3337961582873821
x=-0.05144421958611761 , y=4.814287853624296 , z=-0.44744950830583
x=-0.06220913043233027 , y=4.81787361414713 , z=-0.3924195281968776
x=-0.03588812233918096 , y=4.865732073210413 , z=-0.42591968661340474
x=0.010764910846212658 , y=4.848978179363296 , z=-0.49769593129176665
x=0.010764910846212658 , y=4.837015471916902 , z=-0.4761661095993413
x=-0.046660662463101785 , y=4.8106944638237525 , z=-0.40318443904309026
x=-0.04306727266255879 , y=4.854959533086492 , z=-0.3541358126573346
x=-0.007179150323377825 , y=4.856157329686673 , z=-0.4594122157522237
x=0.00478355712301583 , y=4.809496667223572 , z=-0.4235240934130427
x=0.016746264569409485 , y=4.825052764470509 , z=-0.32541921136382335
x=0.06340692703251127 , y=4.857355126286854 , z=-0.3613073337030043
x=0.12801165066520354 , y=4.912392735673515 , z=-0.46659136607560153
x=0.18783281717487996 , y=4.857355126286854 , z=-0.3984008819200744
x=0.18424705665204513 , y=4.801127349577721 , z=-0.4187405362900269
x=0.09212352832602257 , y=4.846590215440641 , z=-0.46180780895258566
x=0.026321008093149304 , y=4.863336480010052 , z=-0.5299982931081128
x=0.08972793512566057 , y=4.832231914793886 , z=-0.4797518701221762
x=0.16390740228209266 , y=4.8453924188404605 , z=-0.4953079673691128
x=0.11844453641917187 , y=4.846590215440641 , z=-0.5395730366318526
x=0.1208325003418257 , y=4.847788012040823 , z=-0.5132520285387033
x=0.20697467494465144 , y=4.815485650224477 , z=-0.46659136607560153
x=0.1662953662047465 , y=4.820269207347493 , z=-0.524016939384916
x=0.15313486215817185 , y=4.81787361414713 , z=-0.5012893210923096
x=0.1256236867425497 , y=4.832231914793886 , z=-0.4737705163989793
x=0.08016082087962892 , y=4.822657171270146 , z=-0.47855407352199514
x=0.09212352832602257 , y=4.825052764470509 , z=-0.4797518701221762
x=0.12681385406502255 , y=4.84419462224028 , z=-0.4917145775685698
x=0.05862336990949544 , y=4.851373772563657 , z=-0.48812881704573496
x=0.05742557330931444 , y=4.856157329686673 , z=-0.45822204842975084
x=0.07656743107908592 , y=4.868120037133067 , z=-0.46180780895258566
x=0.10886979289543205 , y=4.877694780656807 , z=-0.5479499835554115
x=0.12920944726538452 , y=4.841799029039918 , z=-0.5204311788620811
x=0.08972793512566057 , y=4.847788012040823 , z=-0.4402703579824522
x=0.026321008093149304 , y=4.825052764470509 , z=-0.4163449430896649
x=0.016746264569409485 , y=4.815485650224477 , z=-0.4127591825668301
x=0.03469795501670813 , y=4.813090057024114 , z=-0.4606100123524047
x=0.027518804693330304 , y=4.803515313500375 , z=-0.4642034021529477
x=0.023925414892787312 , y=4.820269207347493 , z=-0.3900239349965156
x=0.10169064257205424 , y=4.833429711394067 , z=-0.3206356542408075
x=0.1435677479121402 , y=4.882478337779823 , z=-0.40318443904309026
x=0.16031401248154967 , y=4.847788012040823 , z=-0.42950544713623956
x=0.1244258901423687 , y=4.841799029039918 , z=-0.3984008819200744
x=0.05862336990949544 , y=4.846590215440641 , z=-0.4426659511828142
x=0.007179150323377825 , y=4.907601549272791 , z=-0.45223306542884584
x=0.05622777670913345 , y=4.807108703300917 , z=-0.5359872761090178
x=0.05144421958611761 , y=4.826250561070689 , z=-0.334986325609855
x=0.04546286586292079 , y=4.84419462224028 , z=-0.3912217315966966
x=0.05144421958611761 , y=4.823854967870327 , z=-0.46300560555276665
