x=0.55513 , y=9.633499 , z=-1.0337067
x=0.52163696 , y=9.604797 , z=-1.0217285
x=0.5647125 , y=9.702896 , z=-1.0384827
x=0.79681396 , y=9.717255 , z=-1.1868439
x=0.8925171 , y=9.705292 , z=-1.2418823
x=0.8494568 , y=9.652649 , z=-1.1222382
x=0.7800598 , y=9.664612 , z=-1.2514496
x=0.6508484 , y=9.640686 , z=-1.2993011
x=0.59580994 , y=9.619141 , z=-1.1868439
x=0.5694885 , y=9.609573 , z=-1.0791626
x=0.47138977 , y=9.674179 , z=-1.0648041
x=0.39720154 , y=9.674179 , z=-1.2418823
x=0.36849976 , y=9.635895 , z=-1.0576324
x=0.4402771 , y=9.633499 , z=-0.96191406
x=0.4857483 , y=9.702896 , z=-1.1629181
x=0.48335266 , y=9.779465 , z=-1.2873383
x=0.49531555 , y=9.693329 , z=-1.1533356
x=0.4355011 , y=9.631119 , z=-1.0289154
x=0.30389404 , y=9.643082 , z=-1.1198425
x=0.23210144 , y=9.647858 , z=-1.2059784
x=0.22732544 , y=9.645462 , z=-0.9667053
x=0.27278137 , y=9.640686 , z=-0.8925171
x=0.44267273 , y=9.63829 , z=-1.0384827
x=0.4857483 , y=9.609573 , z=-0.91645813
x=0.45224 , y=9.540192 , z=-0.69392395
x=0.43070984 , y=9.573685 , z=-0.6891327
x=0.41156006 , y=9.595215 , z=-0.8614197
x=0.38046265 , y=9.600006 , z=-1.2179413
x=0.36610413 , y=9.614365 , z=-1.1222382
x=0.3014984 , y=9.628723 , z=-1.0671997
x=0.30867004 , y=9.652649 , z=-0.9523468
x=0.36610413 , y=9.712463 , z=-0.95474243
x=0.53359985 , y=9.686142 , z=-1.0624084
x=0.61016846 , y=9.602402 , z=-0.9523468
x=0.57188416 , y=9.583252 , z=-0.9834442
x=0.41635132 , y=9.609573 , z=-1.1485596
x=0.33738708 , y=9.592819 , z=-1.1174469
x=0.42591858 , y=9.595215 , z=-1.1294098
x=0.49291992 , y=9.671783 , z=-1.1174469
x=0.5096741 , y=9.726822 , z=-1.2993011
x=0.5431671 , y=9.745972 , z=-1.311264
x=0.5766754 , y=9.745972 , z=-1.1557312
x=0.5862427 , y=9.710068 , z=-1.1700897
x=0.6077728 , y=9.702896 , z=-1.1964111
x=0.653244 , y=9.657425 , z=-1.1030884
x=0.61735535 , y=9.549759 , z=-1.0456696
x=0.49771118 , y=9.566513 , z=-0.9260254
x=0.37806702 , y=9.600006 , z=-0.9667053
x=0.41156006 , y=9.583252 , z=-1.0193481
x=0.57188416 , y=9.643082 , z=-1.0959167
x=0.67237854 , y=9.643082 , z=-1.2466583
x=0.59580994 , y=9.7005005 , z=-1.2993011
x=0.47138977 , y=9.712463 , z=-1.2849426
x=0.50727844 , y=9.729218 , z=-1.2562256
x=0.5312042 , y=9.755539 , z=-1.2346954
x=0.58384705 , y=9.698105 , z=-1.2179413
x=0.5623169 , y=9.63829 , z=-1.0935211
x=0.4857483 , y=9.643082 , z=-0.9906311
x=0.4355011 , y=9.631119 , z=-0.98106384
x=0.45703125 , y=9.609573 , z=-0.91645813
x=0.5479584 , y=9.600006 , z=-0.9308014
x=0.53359985 , y=9.650253 , z=-0.9882355
x=0.5096741 , y=9.662216 , z=-1.0624084
x=0.5001068 , y=9.669403 , z=-1.1078796
x=0.4785614 , y=9.676575 , z=-1.105484
x=0.50727844 , y=9.717255 , z=-1.1652985
x=0.51924133 , y=9.714859 , z=-1.2179413
x=0.55752563 , y=9.669403 , z=-1.1533356
x=0.5264282 , y=9.657425 , z=-1.1270142
x=0.5407715 , y=9.671783 , z=-1.0337067
x=0.550354 , y=9.655045 , z=-0.9308014
x=0.59820557 , y=9.628723 , z=-0.88534546
x=0.6316986 , y=9.602402 , z=-1.0217285
x=0.55752563 , y=9.645462 , z=-1.0959167
x=0.5359955 , y=9.717255 , z=-1.0432739
x=0.49531555 , y=9.702896 , z=-1.1485596
x=0.447464 , y=9.633499 , z=-1.2059784
x=0.6029968 , y=9.690933 , z=-1.0839539
x=0.64367676 , y=9.717255 , z=-1.2346954
x=0.54556274 , y=9.767502 , z=-1.1581268
x=0.59580994 , y=9.5354 , z=-1.5074768
x=0.093322754 , y=10.671997 , z=1.2969055
x=0.19142151 , y=7.733597 , z=-5.1302185
x=1.1246338 , y=9.384644 , z=0.3062744
x=0.9068756 , y=11.066803 , z=0.028717041
x=0.03111267 , y=9.286545 , z=-1.7371826
x=0.8039856 , y=9.580856 , z=-1.7276154
x=1.5505524 , y=10.260422 , z=0.39242554
x=1.1174469 , y=9.355942 , z=-0.6053772
x=0.55992126 , y=8.537598 , z=-2.2324982
x=-0.5264282 , y=10.035492 , z=-1.7467651
x=0.32063293 , y=9.279373 , z=-1.4596252
x=1.3351898 , y=9.243469 , z=1.6223297
x=0.75852966 , y=9.753143 , z=-0.9786682
x=0.21057129 , y=9.475586 , z=-1.9549408
x=0.45463562 , y=9.245865 , z=-2.3808594
x=0.6915283 , y=9.461227 , z=-1.134201
x=0.8805542 , y=10.083359 , z=-0.9260254
x=1.2442627 , y=10.313065 , z=-1.208374
x=0.74417114 , y=10.949554 , z=-0.9451599
x=0.61016846 , y=9.832108 , z=-0.7154541
x=0.727417 , y=8.946762 , z=-1.4907227
x=0.011962891 , y=9.61676 , z=-2.395218
x=-0.45463562 , y=10.346573 , z=-0.94277954
x=0.55992126 , y=9.138184 , z=-0.8279114
x=0.80158997 , y=9.016159 , z=-0.5431671
x=0.40678406 , y=9.970886 , z=-1.1413727
x=0.8614197 , y=9.800995 , z=-2.0123596
x=0.5096741 , y=9.583252 , z=-1.0337067
x=0.035888672 , y=9.317657 , z=-0.27278137
x=0.447464 , y=9.86322 , z=-0.5024872
x=0.4785614 , y=10.813171 , z=-1.0504456
x=0.63409424 , y=10.183853 , z=-1.036087
x=1.385437 , y=9.004196 , z=0.38763428
x=0.9643097 , y=9.312866 , z=-0.7728882
x=-0.447464 , y=9.92543 , z=-2.766098
x=0.12921143 , y=9.607178 , z=-1.179657
x=1.0935211 , y=8.724228 , z=-0.8949127
x=0.098098755 , y=8.726624 , z=-1.9166565
x=-0.1651001 , y=9.3511505 , z=-1.7970123
x=0.61016846 , y=9.39183 , z=-1.2131653
x=0.38523865 , y=9.18605 , z=-0.54556274
x=0.5048828 , y=9.324829 , z=-0.78723145
x=0.93559265 , y=10.39682 , z=-0.3014984
x=0.550354 , y=10.638489 , z=-0.79681396
x=0.46180725 , y=9.834503 , z=-1.2586212
x=0.93559265 , y=9.439682 , z=-0.99780273
x=0.41635132 , y=10.226929 , z=-1.7180481
x=-0.49291992 , y=10.466202 , z=-2.7684937
x=-0.107681274 , y=10.045074 , z=-1.1006927
x=0.5766754 , y=9.291336 , z=-1.4859467
x=0.2632141 , y=10.100098 , z=-1.3639069
x=0.30389404 , y=10.372879 , z=-0.78245544
x=0.7393799 , y=9.353546 , z=-0.5790558
x=0.5479584 , y=9.224335 , z=-0.4402771
x=0.4905243 , y=9.652649 , z=-0.25842285
x=0.61735535 , y=9.439682 , z=-0.38763428
x=0.03111267 , y=8.901306 , z=-0.6628113
x=-0.23928833 , y=8.987442 , z=-0.39720154
x=0.5240326 , y=9.662216 , z=-0.9667053
x=0.42352295 , y=9.889542 , z=-1.861618
x=0.30389404 , y=9.401398 , z=-1.4428711
x=0.9020996 , y=9.573685 , z=-0.9260254
x=0.6125641 , y=9.911072 , z=-2.4789581
x=0.023925781 , y=10.018753 , z=-2.6560364
x=0.9020996 , y=9.537796 , z=-0.5790558
x=1.0121613 , y=9.49472 , z=-0.6699829
x=0.011962891 , y=9.937393 , z=-1.385437
x=0.18902588 , y=9.521042 , z=-0.73698425
x=0.54556274 , y=8.872589 , z=-0.99780273
x=-0.0047912598 , y=9.631119 , z=0.5694885
x=-0.088531494 , y=10.241287 , z=-1.6079712
x=0.64845276 , y=10.616959 , z=0.5144501
x=0.42591858 , y=10.071396 , z=-2.3162537
x=-0.119644165 , y=7.594818 , z=-5.7667084
x=-0.18185425 , y=9.066406 , z=-1.5984039
x=-0.31825256 , y=11.6315155 , z=0.29910278
x=-0.75852966 , y=12.078964 , z=-0.9834442
x=0.64367676 , y=10.334595 , z=-1.5553284
x=2.0171509 , y=9.757935 , z=1.7371826
x=1.8113708 , y=9.415756 , z=0.62931824
x=0.1483612 , y=9.293716 , z=-2.6105652
x=-0.45942688 , y=8.925232 , z=-3.2805634
x=0.6771698 , y=8.221741 , z=0.87815857
x=0.8614197 , y=8.645264 , z=2.3353882
x=-0.27278137 , y=9.442078 , z=0.34695435
x=-0.95474243 , y=8.238495 , z=-1.9333954
x=-0.8231354 , y=7.6666107 , z=-2.0626068
x=-0.3134613 , y=8.288742 , z=-2.7852478
x=0.55992126 , y=10.217346 , z=-3.4695892
x=1.7108612 , y=11.131409 , z=-2.8402863
x=1.7563324 , y=11.576477 , z=-1.2849426
x=0.8279114 , y=11.933014 , z=-1.1030884
x=0.6269226 , y=11.387436 , z=-2.5962067
x=0.59820557 , y=11.408981 , z=-1.5768738
x=-0.22013855 , y=9.4253235 , z=-1.9429779
x=-0.97387695 , y=6.7333984 , z=-4.1276245
x=-0.9523468 , y=8.853439 , z=1.5098724
x=-0.36610413 , y=10.636093 , z=2.802002
x=0.27278137 , y=9.848862 , z=0.112457275
x=0.82073975 , y=9.135803 , z=0.086135864
x=0.95951843 , y=9.317657 , z=2.1583252
x=0.8685913 , y=9.018555 , z=0.7728882
x=-0.06700134 , y=9.08316 , z=-5.149353
x=-0.41874695 , y=9.681366 , z=-4.4315033
x=1.3160553 , y=9.734009 , z=1.655838
x=1.1365967 , y=10.116852 , z=3.2303162
x=-0.6915283 , y=9.731613 , z=-2.0841522
x=-0.624527 , y=8.774475 , z=-3.6083832
x=0.01675415 , y=7.915451 , z=-2.8522491
x=-0.45942688 , y=7.4895325 , z=-3.3356018
x=0.100494385 , y=9.836899 , z=-1.2873383
x=1.8017883 , y=12.193817 , z=-0.16270447
x=1.7802582 , y=13.062424 , z=3.098709
x=0.5431671 , y=7.8963165 , z=-4.8550415
x=0.114852905 , y=8.635696 , z=-2.675171
x=-0.31106567 , y=11.578873 , z=0.33021545
