x=0.27756075230054056 , y=4.816675817546949 , z=-0.5168454183392462
x=0.2608144877311311 , y=4.8023251461779015 , z=-0.5108564353383412
x=0.2823519387012645 , y=4.851373772563657 , z=-0.5192333822619001
x=0.3984008819200744 , y=4.858552922887036 , z=-0.5934128494183322
x=0.44625171170564903 , y=4.852571569163839 , z=-0.6209316541116625
x=0.4247218900132237 , y=4.826250561070689 , z=-0.5611104876019861
x=0.3900239349965156 , y=4.832231914793886 , z=-0.6257152112346783
x=0.32541921136382335 , y=4.820269207347493 , z=-0.6496406261274656
x=0.297900406670493 , y=4.809496667223572 , z=-0.5934128494183322
x=0.28473990262391835 , y=4.804713110100556 , z=-0.5395730366318526
x=0.23569127623816274 , y=4.837015471916902 , z=-0.5323938863084747
x=0.19859772802109263 , y=4.837015471916902 , z=-0.6209316541116625
x=0.18424705665204513 , y=4.81787361414713 , z=-0.52880812578564
x=0.2201351789912261 , y=4.816675817546949 , z=-0.48094966672235717
x=0.24287042656154056 , y=4.851373772563657 , z=-0.5814501419719386
x=0.24167262996135958 , y=4.8896574881032 , z=-0.6436592724042688
x=0.2476539836845564 , y=4.846590215440641 , z=-0.5766589555712146
x=0.21774721506857225 , y=4.815485650224477 , z=-0.5144498251388843
x=0.151944694835699 , y=4.8214670039476735 , z=-0.5599126910018051
x=0.11604894321880987 , y=4.823854967870327 , z=-0.6029799636643639
x=0.11366097929615604 , y=4.822657171270146 , z=-0.48334525992271915
x=0.13638859758876234 , y=4.820269207347493 , z=-0.44625171170564903
x=0.2213329755914071 , y=4.819071410747312 , z=-0.5192333822619001
x=0.24287042656154056 , y=4.804713110100556 , z=-0.45822204842975084
x=0.22611653271442292 , y=4.770022784361556 , z=-0.3469566623339568
x=0.21535162186821027 , y=4.7867690489309656 , z=-0.3445610691335948
x=0.20577687834447045 , y=4.797533959777178 , z=-0.43070324373642055
x=0.19022841037524196 , y=4.79992955297754 , z=-0.6089613173875607
x=0.18304926005186414 , y=4.807108703300917 , z=-0.5611104876019861
x=0.150746898235518 , y=4.814287853624296 , z=-0.5335916829086558
x=0.15433265875835284 , y=4.826250561070689 , z=-0.4761661095993413
x=0.18304926005186414 , y=4.856157329686673 , z=-0.47736390619952235
x=0.2667958414543279 , y=4.842996825640099 , z=-0.5311960897082938
x=0.30507955699387085 , y=4.801127349577721 , z=-0.4761661095993413
x=0.28593769922409934 , y=4.7915526060539815 , z=-0.4917145775685698
x=0.20817247154483245 , y=4.804713110100556 , z=-0.5742709916485608
x=0.16869095940510848 , y=4.7963361631769965 , z=-0.558714894401624
x=0.21295602866784827 , y=4.797533959777178 , z=-0.5646962481248209
x=0.24645618708437542 , y=4.835817675316721 , z=-0.558714894401624
x=0.2548331340079342 , y=4.863336480010052 , z=-0.6496406261274656
x=0.2715793985773437 , y=4.872911223533791 , z=-0.6556219798506625
x=0.2883332924244614 , y=4.872911223533791 , z=-0.5778567521713955
