x=1.4787598 , y=0.19142151 , z=11.653046
x=2.7397766 , y=-2.1128693 , z=7.1162567
x=1.8448639 , y=-1.861618 , z=4.8885345
x=0.21774292 , y=0.653244 , z=17.001007
x=-1.9932251 , y=-0.3014984 , z=12.825531
x=-0.55274963 , y=-1.3208313 , z=3.2925262
x=1.9956207 , y=-0.4355011 , z=7.9824524
x=0.4785614 , y=-1.1222382 , z=12.131607
x=-1.9716797 , y=-0.95474243 , z=9.174088
x=-0.7034912 , y=1.1533356 , z=8.671585
x=1.8281097 , y=0.021530151 , z=12.763321
x=1.2227325 , y=-0.59580994 , z=12.650848
x=-0.28234863 , y=-0.021530151 , z=8.616562
x=0.9379883 , y=0.33021545 , z=9.5282135
x=1.7563324 , y=-1.0815582 , z=9.865616
x=0.8446655 , y=-1.8735809 , z=3.8548431
x=0.7417755 , y=0.550354 , z=12.236893
x=0.27278137 , y=0.19621277 , z=16.424332
x=-0.624527 , y=-1.1294098 , z=6.6017914
x=0.68434143 , y=0.30389404 , z=6.5563354
x=1.7563324 , y=-1.282547 , z=9.851257
x=1.2849426 , y=-1.5409851 , z=12.442673
x=0.18424988 , y=-0.45224 , z=9.422943
x=0.39482117 , y=0.22013855 , z=9.592819
x=1.4907227 , y=-0.090927124 , z=14.804398
x=0.91645813 , y=-0.70588684 , z=10.899307
x=0.6795654 , y=-0.91645813 , z=6.0442657
x=1.3710938 , y=0.03111267 , z=11.114655
x=0.095718384 , y=-1.8592224 , z=7.276581
x=0.06460571 , y=-1.2299042 , z=6.1327972
x=1.8448639 , y=-0.14117432 , z=14.567505
x=1.174881 , y=-0.9906311 , z=13.048065
x=-0.5312042 , y=-0.80877686 , z=5.8672028
x=-0.14596558 , y=-0.4857483 , z=6.1040955
x=1.9381866 , y=-1.421341 , z=11.667404
x=1.7682953 , y=-1.7371826 , z=11.775085
x=-0.8111725 , y=-0.1603241 , z=7.5302124
x=-1.0671997 , y=-0.21534729 , z=9.985245
x=0.99780273 , y=-0.54556274 , z=16.000809
x=1.1365967 , y=-1.5457611 , z=9.188446
x=0.35414124 , y=-1.2251282 , z=5.6039886
x=-0.40438843 , y=-2.1248322 , z=8.556732
x=0.112457275 , y=-0.5096741 , z=15.141785
x=-0.39242554 , y=-1.1294098 , z=4.8023987
x=0.41156006 , y=-1.9142609 , z=7.9417725
x=0.94277954 , y=0.22253418 , z=18.419952
x=-1.557724 , y=-2.1631165 , z=7.9369965
x=-1.0839539 , y=-0.6077728 , z=4.914856
x=1.3184509 , y=-1.0432739 , z=9.128616
x=1.2322998 , y=-1.3208313 , z=12.466614
x=-1.0863342 , y=-1.0265198 , z=9.86322
x=-1.1844482 , y=-0.20578003 , z=9.300903
x=1.1820526 , y=-0.6412811 , z=11.679367
x=1.1964111 , y=-1.0624084 , z=12.201004
x=-1.1006927 , y=-1.208374 , z=5.9844513
x=-0.61735535 , y=-0.5934143 , z=8.336594
x=1.2610168 , y=-0.4857483 , z=11.928223
x=0.9499512 , y=-1.3663025 , z=6.180664
x=0.4737854 , y=-0.83987427 , z=8.721832
x=0.36131287 , y=-0.06460571 , z=15.567703
x=-0.6795654 , y=-1.2849426 , z=9.561722
x=-0.6269226 , y=-1.2873383 , z=4.3286133
x=1.3184509 , y=-0.9140625 , z=8.599808
x=2.067398 , y=-1.0145569 , z=11.9066925
x=0.08135986 , y=-0.7537384 , z=11.42334
x=-1.4117584 , y=-0.6891327 , z=8.384445
x=0.76330566 , y=-0.04307556 , z=11.89711
x=2.8091736 , y=-0.83509827 , z=14.045868
x=1.414154 , y=-1.7156525 , z=6.2237244
x=0.14596558 , y=-0.71066284 , z=6.5682983
x=0.7154541 , y=0.110076904 , z=11.95694
x=1.4309082 , y=-1.5361938 , z=7.932205
x=1.9836426 , y=-1.0193481 , z=11.088333
x=0.6197357 , y=-0.2033844 , z=15.091537
x=-1.076767 , y=-0.624527 , z=7.819748
x=0.6029968 , y=-1.3328094 , z=4.4291077
x=3.3666992 , y=-1.2012024 , z=10.949554
x=2.0123596 , y=-0.6915283 , z=14.203796
x=-1.7874451 , y=0.17706299 , z=8.307877
x=-1.0480499 , y=-0.117248535 , z=7.1497498
x=3.0197449 , y=-0.13160706 , z=17.113464
x=2.9192505 , y=-1.4165497 , z=10.267609
x=0.5383911 , y=-0.9499512 , z=5.2666016
x=0.54556274 , y=0.9882355 , z=9.372681
x=2.0171509 , y=-0.7417755 , z=8.0733795
x=2.2253265 , y=-0.550354 , z=14.85704
x=-0.35414124 , y=-0.36131287 , z=12.413971
x=-0.88534546 , y=-0.48812866 , z=4.455429
x=2.5052795 , y=-0.32063293 , z=9.126221
x=2.4550323 , y=-1.6917267 , z=13.0672
x=-0.7393799 , y=-1.5361938 , z=6.65683
x=-1.1581268 , y=1.2801666 , z=9.073578
x=1.6845398 , y=0.5312042 , z=10.731812
x=2.354538 , y=-1.5170441 , z=10.401596
x=0.6197357 , y=-0.6412811 , z=10.987839
x=1.031311 , y=-0.3014984 , z=6.3385925
x=2.806778 , y=0.36610413 , z=13.263412
x=0.78723145 , y=-1.0576324 , z=10.834702
x=-1.9956207 , y=-1.2897339 , z=6.111267
x=0.1483612 , y=0.28953552 , z=13.639084
x=2.7373962 , y=-1.9405823 , z=9.74118
x=1.5960083 , y=-1.3375854 , z=7.269394
x=-1.2681885 , y=0.15553284 , z=9.647858
x=-1.6845398 , y=-0.3014984 , z=11.784653
x=1.1246338 , y=-1.0887299 , z=10.382462
x=2.9862366 , y=-1.0504456 , z=5.3766785
x=2.1942139 , y=0.40678406 , z=14.141586
x=-0.43788147 , y=0.050247192 , z=11.207977
x=-0.8877411 , y=-2.1583252 , z=6.994217
x=1.8879395 , y=0.17228699 , z=15.730423
x=1.6988983 , y=-2.490921 , z=6.6711884
x=0.7154541 , y=0.42352295 , z=7.451248
x=0.2536316 , y=-1.0097656 , z=10.652847
x=-0.81355286 , y=-0.29193115 , z=13.344772
x=-0.13400269 , y=-0.8638153 , z=6.1830597
x=1.5960083 , y=0.68434143 , z=12.210571
x=2.0027924 , y=-0.22732544 , z=10.612167
x=0.830307 , y=-0.98106384 , z=7.9130707
x=0.1483612 , y=0.24885559 , z=11.294128
x=0.91166687 , y=-0.830307 , z=9.310471
x=1.4428711 , y=0.5359955 , z=9.834503
x=0.92123413 , y=-1.2346954 , z=10.4375
x=0.27278137 , y=-0.098098755 , z=10.82753
x=0.72262573 , y=-1.1365967 , z=7.434494
x=1.5768738 , y=0.7800598 , z=11.947357
x=0.653244 , y=-1.1724854 , z=4.496109
x=0.6915283 , y=0.8805542 , z=11.717651
x=0.79441833 , y=0.021530151 , z=11.705688
x=0.90927124 , y=1.2849426 , z=10.545166
x=0.2033844 , y=-0.0382843 , z=12.497711
x=-0.15553284 , y=-0.5694885 , z=11.581268
x=1.6534424 , y=-0.8039856 , z=8.456238
x=3.562912 , y=0.66041565 , z=10.798813
x=1.7443695 , y=-1.1964111 , z=2.6488495
x=-0.46420288 , y=0.04067993 , z=8.915665
x=-0.5742798 , y=0.5288086 , z=13.931015
x=1.2179413 , y=2.0075836 , z=13.265808
x=1.557724 , y=0.59580994 , z=12.67717
x=-0.19621277 , y=-0.6460571 , z=9.973282
x=-0.117248535 , y=-0.5001068 , z=10.057037
x=2.8426666 , y=1.3950195 , z=10.880173
x=3.3356018 , y=-0.74417114 , z=-0.107681274
x=1.7060852 , y=0.29670715 , z=5.7714844
x=-0.48812866 , y=1.6175537 , z=15.046066
x=-0.0023956299 , y=1.9836426 , z=15.311676
x=1.2275238 , y=1.6079712 , z=14.912079
x=0.69392395 , y=-2.6153564 , z=5.4604187
x=0.5407715 , y=0.6077728 , z=14.8498535
x=1.1102753 , y=-0.7154541 , z=9.193222
x=1.5194397 , y=2.2085724 , z=2.0817566
x=1.3686981 , y=-0.81355286 , z=-0.23928833
x=1.3734741 , y=2.6895294 , z=16.84787
x=0.825531 , y=1.5768738 , z=15.586853
x=1.5074768 , y=0.99780273 , z=9.9039
x=2.7134552 , y=-0.7776642 , z=12.411575
x=1.8520508 , y=0.7346039 , z=16.242477
x=-0.55513 , y=-1.1676941 , z=7.590027
x=-1.6031952 , y=-0.24406433 , z=4.1108704
x=0.1268158 , y=2.1750793 , z=4.8694
x=1.3304138 , y=0.07896423 , z=8.157135
x=1.8711853 , y=2.7828522 , z=17.673386
x=2.411972 , y=-1.9836426 , z=2.383255
x=3.838089 , y=5.063217 , z=20.106888
x=3.1776733 , y=-0.96191406 , z=11.21756
x=-1.1078796 , y=0.93559265 , z=8.786438
x=-3.0675964 , y=-1.7036896 , z=6.7812653
x=-1.1676941 , y=3.1944122 , z=9.080765
x=0.9690857 , y=1.3591309 , z=7.080368
x=1.8687897 , y=-1.7563324 , z=5.9078827
x=2.2205353 , y=2.6656036 , z=14.220551
x=3.4791565 , y=0.5144501 , z=11.452057
x=3.3427734 , y=4.359726 , z=16.25444
x=-1.2514496 , y=-2.074585 , z=2.5005035
x=-3.2614136 , y=3.041275 , z=13.272995
x=-0.5862427 , y=-0.1603241 , z=10.413559
x=2.7421722 , y=0.6652069 , z=6.6927185
x=2.2540436 , y=-1.1581268 , z=7.9824524
x=-0.028717041 , y=-0.35891724 , z=9.456436
x=1.0504456 , y=3.378662 , z=18.908081
x=1.6917267 , y=-0.70588684 , z=9.310471
x=-0.21534729 , y=1.5912323 , z=6.8075867
x=-2.096115 , y=1.7324066 , z=10.758133
x=-0.98106384 , y=1.3734741 , z=6.3218384
x=2.9814606 , y=-3.2350922 , z=8.116455
x=3.4384918 , y=1.9573364 , z=15.036499
x=-0.20817566 , y=0.13160706 , z=5.517853
x=-1.426117 , y=3.1896362 , z=13.909485
x=-1.0337067 , y=-0.0765686 , z=8.116455
x=0.3397827 , y=0.38763428 , z=13.282562
x=-0.12921143 , y=3.6586304 , z=11.504684
x=0.06939697 , y=-2.766098 , z=0.14356995
x=2.268402 , y=2.560318 , z=16.811966
x=2.0195465 , y=-1.5625153 , z=7.176071
x=0.30389404 , y=4.503296 , z=10.547562
x=-1.7324066 , y=1.2442627 , z=3.596405
x=-0.46180725 , y=0.85902405 , z=10.999802
x=0.93559265 , y=2.9024963 , z=16.981857
x=0.279953 , y=-3.7878418 , z=1.8807526
x=1.3088684 , y=3.0173492 , z=15.962524
x=1.1318054 , y=-1.9932251 , z=7.3124695
x=0.47138977 , y=3.672989 , z=11.949753
x=-1.0815582 , y=-0.4283142 , z=4.051056
x=-0.68434143 , y=0.7393799 , z=9.559326
x=-0.06700134 , y=2.9431763 , z=17.161331
x=-0.5120697 , y=-2.802002 , z=4.208969
x=1.2107697 , y=1.8687897 , z=17.577682
x=1.7874451 , y=-2.6273193 , z=10.58345
x=0.7920227 , y=3.378662 , z=11.870789
x=-0.74894714 , y=-0.727417 , z=1.450058
x=-0.102890015 , y=0.36849976 , z=7.429718
x=0.3397827 , y=1.5816498 , z=17.79303
x=-1.4596252 , y=-1.8783722 , z=5.831314
x=-0.6388855 , y=2.617752 , z=15.778275
x=1.5816498 , y=-2.2636108 , z=9.480362
x=2.2492523 , y=2.6727905 , z=13.418945
x=-0.2033844 , y=-1.1318054 , z=5.0895386
x=-1.277771 , y=2.1272125 , z=6.0681915
x=-0.71784973 , y=2.5244293 , z=13.871201
x=-0.39959717 , y=-0.8159485 , z=6.305084
x=0.65563965 , y=2.3449707 , z=14.837891
x=2.2827454 , y=-1.7443695 , z=9.047256
x=2.2779694 , y=3.9649048 , z=13.275375
x=-0.7800598 , y=-0.7010956 , z=5.785843
x=-3.000595 , y=2.6153564 , z=7.5756836
x=-2.1032867 , y=1.5146637 , z=11.291733
x=0.42114258 , y=0.43310547 , z=5.927017
x=2.0243225 , y=1.3399811 , z=11.830109
