x=-0.90927124 , y=7.1186523 , z=9.865616
x=1.8209381 , y=7.223938 , z=10.837097
x=1.9094696 , y=6.7166595 , z=2.280365
x=0.9523468 , y=6.518051 , z=3.1011047
x=0.059814453 , y=5.6973114 , z=8.185852
x=-0.2632141 , y=7.613968 , z=14.85704
x=-0.36131287 , y=6.3792725 , z=4.9411774
x=0.94277954 , y=6.250046 , z=-2.3473663
x=2.5220337 , y=7.281357 , z=14.378479
x=-0.46180725 , y=5.5944214 , z=13.0121765
x=-2.2037964 , y=2.7517395 , z=-2.486145
x=0.83509827 , y=10.018753 , z=10.896912
x=1.1222382 , y=5.4436646 , z=8.93959
x=0.7346039 , y=7.441681 , z=7.286148
x=1.524231 , y=3.952942 , z=0.01914978
x=2.371292 , y=10.748566 , z=16.510483
x=-0.59580994 , y=4.268799 , z=3.5413818
x=-0.20817566 , y=9.985245 , z=8.310272
x=1.0408783 , y=6.7118683 , z=8.082962
x=1.9908295 , y=4.4865417 , z=1.1964111
x=2.670395 , y=8.736191 , z=8.772095
x=-1.0480499 , y=7.080368 , z=7.310074
x=-2.7589264 , y=8.752945 , z=10.597809
x=0.0047912598 , y=4.546356 , z=3.7543335
x=3.6347046 , y=8.671585 , z=11.971298
x=3.1274261 , y=3.139389 , z=-1.146164
x=1.8711853 , y=11.318054 , z=10.748566
x=-1.5218353 , y=4.2640076 , z=0.69869995
x=-0.22492981 , y=8.121246 , z=8.611771
x=0.90448 , y=8.889343 , z=13.127029
x=-0.2536316 , y=7.980057 , z=6.6831512
x=1.5792694 , y=4.668396 , z=1.9238281
x=3.3116608 , y=9.805786 , z=13.04567
x=0.279953 , y=2.572281 , z=-3.1680908
x=0.14356995 , y=10.413559 , z=10.317856
x=-0.8901367 , y=5.2378845 , z=2.5339966
x=0.94755554 , y=10.116852 , z=9.454041
x=0.3134613 , y=9.269791 , z=13.452454
x=-1.9956207 , y=5.3599243 , z=6.1256256
x=1.7611237 , y=4.7521515 , z=6.5970154
x=4.2305145 , y=9.195618 , z=7.613968
x=1.5673065 , y=4.3262177 , z=-6.3720856
x=-0.5647125 , y=10.839493 , z=8.193024
x=-2.548355 , y=4.1898346 , z=7.178467
x=0.13639832 , y=12.500107 , z=15.029312
x=-0.33021545 , y=7.3220367 , z=6.4319153
x=0.61735535 , y=3.7256317 , z=3.7591248
x=3.632309 , y=6.821945 , z=16.620544
x=2.3928223 , y=5.9653015 , z=-1.3902283
x=0.64367676 , y=8.757736 , z=-3.3236237
x=-1.414154 , y=6.5850525 , z=5.9892426
x=-0.9260254 , y=9.348755 , z=18.262024
x=-0.48095703 , y=8.997009 , z=9.805786
x=0.41156006 , y=5.28096 , z=0.98583984
x=4.199402 , y=4.220932 , z=13.036102
x=3.7112732 , y=5.77388 , z=8.767303
x=-0.38046265 , y=7.302902 , z=-4.881363
x=-2.560318 , y=9.080765 , z=1.2035828
x=-1.3902283 , y=7.2191467 , z=12.373291
x=0.7537384 , y=9.422943 , z=16.012772
x=0.1651001 , y=5.852844 , z=1.0624084
x=3.0245209 , y=4.7282104 , z=7.092331
x=4.484146 , y=9.044876 , z=14.146362
x=1.2107697 , y=6.008377 , z=-5.3479614
x=-1.1772614 , y=8.609375 , z=-1.8305054
x=-0.9020996 , y=7.819748 , z=10.916061
x=-0.7513428 , y=9.767502 , z=15.079575
x=-1.4620209 , y=7.4727783 , z=0.5240326
x=1.9262238 , y=4.680359 , z=6.0921326
x=5.498703 , y=8.666809 , z=20.32463
x=2.4957123 , y=5.170883 , z=-1.3280182
x=0.6149597 , y=7.9776764 , z=-5.0416718
x=0.54556274 , y=8.221741 , z=12.160324
x=-0.55752563 , y=9.355942 , z=17.371887
x=-2.033905 , y=7.7838593 , z=1.7419739
x=0.31585693 , y=4.393219 , z=1.7802582
x=4.443466 , y=7.0995026 , z=16.534409
x=2.411972 , y=4.7282104 , z=1.0911255
x=0.31825256 , y=9.994827 , z=-2.0147552
x=-0.3637085 , y=7.5517426 , z=7.932205
x=0.8877411 , y=8.812759 , z=16.21138
x=-0.45703125 , y=7.0779724 , z=2.4813538
x=0.39720154 , y=4.8837585 , z=1.5673065
x=3.1082764 , y=8.429916 , z=16.453049
x=1.3040924 , y=4.137192 , z=-0.5934143
x=0.5359955 , y=9.911072 , z=-1.0648041
x=0.13160706 , y=6.6592255 , z=7.2717896
x=0.87815857 , y=8.93959 , z=14.194229
x=-0.5096741 , y=8.216949 , z=2.2779694
x=-0.01914978 , y=5.3647156 , z=-0.1651001
x=2.9431763 , y=7.5924225 , z=15.790237
x=1.9597168 , y=3.768692 , z=1.1150513
x=1.0600128 , y=9.92543 , z=0.41635132
x=-0.21534729 , y=6.1040955 , z=7.2095795
x=0.026321411 , y=8.822342 , z=16.802399
x=-1.0648041 , y=7.2430725 , z=4.6253204
x=-0.1483612 , y=5.5082703 , z=0.91645813
x=2.9168549 , y=7.1234283 , z=15.826126
x=1.9333954 , y=3.7662964 , z=2.313858
x=1.2586212 , y=9.657425 , z=0.37806702
x=-0.2679901 , y=5.883957 , z=4.5391846
x=0.16989136 , y=8.291138 , z=15.450455
x=-0.69392395 , y=8.116455 , z=7.8149567
x=-1.0408783 , y=6.276367 , z=0.117248535
x=1.8065796 , y=7.602005 , z=13.787445
x=2.0650024 , y=4.031906 , z=2.876175
x=2.1032867 , y=10.985443 , z=0.9260254
x=-0.100494385 , y=6.8315125 , z=2.5746765
x=0.098098755 , y=9.521042 , z=13.213165
x=-0.08135986 , y=8.386841 , z=7.422531
x=-0.4091797 , y=6.570694 , z=-0.6053772
x=2.1104736 , y=7.5182495 , z=12.110077
x=1.7611237 , y=4.2065887 , z=3.4408722
x=1.7276154 , y=10.660019 , z=2.371292
x=0.23210144 , y=6.6711884 , z=3.940979
x=0.8925171 , y=8.769699 , z=13.524231
x=1.2442627 , y=7.7527466 , z=8.611771
x=0.5001068 , y=6.4630127 , z=1.4739838
x=2.009964 , y=7.1114655 , z=13.837692
x=1.9860382 , y=3.8237305 , z=5.206787
x=2.428711 , y=9.990036 , z=3.3810577
x=0.6149597 , y=6.0849457 , z=3.2925262
x=0.8949127 , y=8.408386 , z=13.70369
x=1.0648041 , y=8.463409 , z=10.2341
x=0.090927124 , y=7.166504 , z=0.9834442
x=2.0362854 , y=7.4249268 , z=12.14357
x=2.6033936 , y=4.2352905 , z=4.0127563
x=3.9170532 , y=10.351349 , z=1.3040924
x=1.8687897 , y=6.7860413 , z=0.9188385
x=1.4452667 , y=9.332016 , z=12.2560425
x=1.1174469 , y=9.645462 , z=10.365707
x=-0.1651001 , y=7.704895 , z=0.055038452
x=2.108078 , y=7.5373993 , z=10.758133
x=3.2925262 , y=4.922043 , z=6.948761
x=3.9840546 , y=9.645462 , z=2.567505
x=1.8281097 , y=5.7882385 , z=-0.01675415
x=1.7491608 , y=9.269791 , z=13.363907
x=0.9786682 , y=8.470596 , z=10.80838
x=-0.35653687 , y=6.518051 , z=0.38046265
x=1.3567352 , y=6.891327 , z=12.425934
x=2.1104736 , y=3.6418762 , z=8.779266
x=2.4693909 , y=9.008972 , z=6.4534454
x=1.3040924 , y=6.0873413 , z=-0.04067993
x=2.3330078 , y=8.846268 , z=10.186249
x=2.2947235 , y=9.645462 , z=11.006989
x=0.050247192 , y=7.2430725 , z=0.009567261
x=0.8877411 , y=7.525421 , z=10.387238
x=2.1104736 , y=4.8095703 , z=9.358322
x=2.9312134 , y=9.030518 , z=5.0345
x=1.5625153 , y=7.0372925 , z=0.3756714
x=1.5481567 , y=9.001801 , z=10.004395
x=1.7778625 , y=9.875183 , z=11.334808
x=-0.24645996 , y=7.412964 , z=-0.9954071
x=0.4355011 , y=7.257431 , z=8.111664
x=1.4955139 , y=4.587036 , z=8.200211
x=2.691925 , y=8.025528 , z=2.423935
x=2.1439667 , y=6.5563354 , z=1.529007
x=1.2921295 , y=8.575882 , z=11.681763
x=0.01675415 , y=8.896515 , z=11.7391815
x=-0.8494568 , y=7.3866425 , z=3.390625
x=1.0217285 , y=7.829315 , z=11.105087
x=2.519638 , y=4.0366974 , z=6.027527
x=3.012558 , y=8.812759 , z=3.6969147
x=1.524231 , y=7.199997 , z=1.0097656
x=0.8542328 , y=8.985046 , z=9.004196
x=-0.117248535 , y=9.767502 , z=9.028122
x=-1.4596252 , y=7.482361 , z=2.5076752
x=-0.3900299 , y=8.827118 , z=11.820541
x=1.4787598 , y=4.4817505 , z=6.551544
x=3.098709 , y=9.308075 , z=4.6731873
x=2.4430695 , y=6.51326 , z=0.6077728
x=1.6845398 , y=8.465805 , z=8.283951
