x=0.49771118 , y=9.999603 , z=0.18664551
x=-0.1603241 , y=8.98027 , z=-1.6151581
x=-0.15074158 , y=10.74617 , z=-0.48812866
x=0.3134613 , y=9.241089 , z=-2.6321106
x=0.54556274 , y=9.815353 , z=-0.32302856
x=0.72502136 , y=9.281754 , z=-1.2729797
x=-0.22013855 , y=10.248459 , z=-1.071991
x=-0.22732544 , y=9.757935 , z=-2.0530396
x=0.19621277 , y=9.688538 , z=-0.67237854
x=0.34695435 , y=9.346359 , z=-1.3280182
x=0.17945862 , y=9.915863 , z=-1.2586212
x=0.117248535 , y=9.836899 , z=-1.414154
x=0.14117432 , y=9.544968 , z=-1.2538452
x=0.098098755 , y=9.408585 , z=-0.83987427
x=-0.04067993 , y=9.547363 , z=-1.2035828
x=0.0047912598 , y=9.932602 , z=-1.2418823
x=0.24645996 , y=9.542572 , z=-1.3280182
x=0.36131287 , y=9.607178 , z=-0.8805542
x=0.43788147 , y=9.559326 , z=-1.0408783
x=0.15553284 , y=9.769897 , z=-1.071991
x=-0.011962891 , y=9.757935 , z=-1.1078796
x=0.16989136 , y=9.662216 , z=-0.87098694
x=0.3397827 , y=9.583252 , z=-1.1700897
x=0.12921143 , y=9.643082 , z=-1.2729797
x=-0.07417297 , y=9.734009 , z=-1.1868439
x=-0.117248535 , y=9.71965 , z=-0.9523468
x=-0.021530151 , y=9.745972 , z=-1.0217285
x=0.30389404 , y=9.631119 , z=-1.2705841
x=0.28474426 , y=9.671783 , z=-1.2514496
x=-0.13400269 , y=9.623932 , z=-1.2131653
x=-0.37327576 , y=9.619141 , z=-0.8949127
x=-0.31585693 , y=9.726822 , z=-0.85902405
x=0.31585693 , y=9.765106 , z=-1.1126556
x=0.6460571 , y=9.683746 , z=-1.306488
x=0.50727844 , y=9.293716 , z=-1.138977
x=-0.28234863 , y=9.633499 , z=-0.68434143
x=-1.0169525 , y=9.655045 , z=-1.6366882
x=-0.69392395 , y=9.834503 , z=-0.5383911
x=0.3254242 , y=9.308075 , z=-0.9260254
x=0.3517456 , y=9.757935 , z=-1.1078796
x=0.20817566 , y=9.669403 , z=-1.3423767
x=-0.1603241 , y=9.786652 , z=-1.0504456
x=-0.4283142 , y=9.647858 , z=-1.071991
x=-0.102890015 , y=9.607178 , z=-1.0887299
x=0.15553284 , y=9.652649 , z=-1.1988068
x=-0.08375549 , y=9.676575 , z=-1.1700897
x=-0.14356995 , y=9.59761 , z=-0.67237854
x=-0.18185425 , y=9.592819 , z=-0.76091003
x=-0.2871399 , y=9.652649 , z=-1.0432739
x=-0.01914978 , y=9.583252 , z=-1.0408783
x=0.13877869 , y=9.633499 , z=-0.76091003
x=-0.007171631 , y=9.619141 , z=-1.0983124
x=-0.112457275 , y=9.717255 , z=-1.0432739
x=-0.14356995 , y=9.705292 , z=-1.0815582
x=-0.36610413 , y=9.736389 , z=-1.1174469
x=-0.3134613 , y=9.729218 , z=-1.2322998
x=-0.119644165 , y=9.714859 , z=-1.2681885
x=-0.0765686 , y=9.652649 , z=-1.0504456
x=-0.057434082 , y=9.623932 , z=-0.8614197
x=-0.15553284 , y=9.564117 , z=-0.87815857
x=-0.14356995 , y=9.662216 , z=-0.71066284
x=0.055038452 , y=9.585648 , z=-0.9260254
x=0.14356995 , y=9.556931 , z=-1.0337067
x=-0.0023956299 , y=9.602402 , z=-1.0600128
x=-0.25125122 , y=9.590439 , z=-1.0193481
x=-0.4091797 , y=9.686142 , z=-0.93559265
x=-0.1603241 , y=9.714859 , z=-1.0121613
x=0.18424988 , y=9.710068 , z=-1.1270142
x=0.33738708 , y=9.664612 , z=-1.2610168
x=0.24645996 , y=9.674179 , z=-1.2131653
x=0.0143585205 , y=9.67897 , z=-1.076767
x=-0.093322754 , y=9.623932 , z=-0.9140625
x=0.028717041 , y=9.568893 , z=-0.88534546
x=0.1531372 , y=9.578476 , z=-0.9667053
x=0.112457275 , y=9.592819 , z=-1.0576324
x=-0.095718384 , y=9.580856 , z=-1.0001984
x=-0.19381714 , y=9.645462 , z=-0.9451599
x=-0.12921143 , y=9.712463 , z=-1.0839539
x=0.062210083 , y=9.659821 , z=-1.0695953
x=0.107681274 , y=9.600006 , z=-1.0337067
x=-0.105285645 , y=9.664612 , z=-1.1102753
x=-0.1603241 , y=9.686142 , z=-1.0504456
x=-0.25125122 , y=9.683746 , z=-1.2562256
x=-0.447464 , y=9.482758 , z=-0.8566284
x=-0.34217834 , y=9.487549 , z=-0.7848511
x=-0.24406433 , y=9.839294 , z=-0.9403839
x=0.35891724 , y=9.832108 , z=-1.1365967
x=0.7992096 , y=9.650253 , z=-0.98106384
x=0.21534729 , y=9.3703 , z=-0.8901367
x=-0.4857483 , y=9.619141 , z=-0.30867004
x=-0.51924133 , y=9.808182 , z=-1.2155609
x=-0.23210144 , y=9.74118 , z=-1.4787598
x=0.36131287 , y=9.334396 , z=-1.0600128
x=0.07896423 , y=9.516251 , z=-0.90927124
x=-0.43788147 , y=9.961319 , z=-1.2681885
x=-0.119644165 , y=9.982849 , z=-1.2705841
x=0.33259583 , y=9.633499 , z=-1.3447723
x=0.3756714 , y=9.554535 , z=-1.2131653
x=0.14356995 , y=9.6957245 , z=-1.1533356
x=-0.21296692 , y=9.853638 , z=-1.3471527
x=-0.086135864 , y=9.734009 , z=-1.3160553
x=0.39720154 , y=9.470795 , z=-1.146164
x=0.3254242 , y=9.568893 , z=-0.95951843
x=0.050247192 , y=9.667007 , z=-0.99302673
x=0.0143585205 , y=9.789032 , z=-1.0648041
x=0.124420166 , y=9.669403 , z=-1.2155609
x=0.21057129 , y=9.611969 , z=-1.2035828
x=0.16989136 , y=9.633499 , z=-1.0695953
x=-0.055038452 , y=9.755539 , z=-1.0648041
x=-0.055038452 , y=9.710068 , z=-1.0480499
x=0.20578003 , y=9.568893 , z=-0.9499512
x=0.16749573 , y=9.509079 , z=-0.9308014
x=-0.07417297 , y=9.583252 , z=-0.9403839
x=-0.1268158 , y=9.664612 , z=-0.8901367
x=-0.06460571 , y=9.619141 , z=-0.87815857
x=0.15792847 , y=9.640686 , z=-0.96191406
x=0.14356995 , y=9.628723 , z=-1.0528412
x=-0.04547119 , y=9.777069 , z=-1.0408783
x=-0.086135864 , y=9.789032 , z=-1.0145569
x=-0.007171631 , y=9.738785 , z=-1.1533356
x=0.033493042 , y=9.705292 , z=-1.2012024
x=0.055038452 , y=9.724426 , z=-1.1700897
x=-0.021530151 , y=9.74118 , z=-1.134201
x=-0.06700134 , y=9.726822 , z=-1.134201
x=-0.06460571 , y=9.640686 , z=-1.1078796
x=-0.093322754 , y=9.600006 , z=-1.0624084
x=-0.1603241 , y=9.655045 , z=-1.0815582
x=-0.093322754 , y=9.714859 , z=-1.1772614
x=0.009567261 , y=9.676575 , z=-1.1916199
x=0.088531494 , y=9.6263275 , z=-1.1652985
x=0.04307556 , y=9.623932 , z=-1.1006927
x=-0.021530151 , y=9.647858 , z=-1.1294098
x=0.0 , y=9.647858 , z=-1.208374
x=0.1268158 , y=9.59761 , z=-1.1892395
x=0.20100403 , y=9.585648 , z=-1.0935211
x=0.17706299 , y=9.595215 , z=-0.9954071
x=0.18424988 , y=9.631119 , z=-0.9882355
x=0.21296692 , y=9.655045 , z=-1.0241241
x=0.279953 , y=9.585648 , z=-1.0552368
x=0.2632141 , y=9.592819 , z=-1.076767
x=0.16749573 , y=9.671783 , z=-1.0337067
x=0.1651001 , y=9.7005005 , z=-1.0695953
x=0.22253418 , y=9.662216 , z=-1.0408783
x=0.29431152 , y=9.659821 , z=-1.1174469
x=0.29670715 , y=9.643082 , z=-1.0983124
x=0.23928833 , y=9.686142 , z=-1.179657
x=0.114852905 , y=9.717255 , z=-1.036087
x=0.16749573 , y=9.655045 , z=-1.076767
x=0.22253418 , y=9.647858 , z=-0.95951843
x=0.20578003 , y=9.731613 , z=-1.0049896
x=0.21774292 , y=9.643082 , z=-1.1006927
x=0.102890015 , y=9.690933 , z=-1.002594
x=0.055038452 , y=9.671783 , z=-0.9308014
x=-0.009567261 , y=9.631119 , z=-1.1605225
x=0.023925781 , y=9.67897 , z=-1.1294098
x=0.04067993 , y=9.671783 , z=-1.1294098
x=0.08135986 , y=9.676575 , z=-1.1557312
x=0.050247192 , y=9.63829 , z=-1.0695953
x=0.011962891 , y=9.676575 , z=-1.071991
x=0.0143585205 , y=9.683746 , z=-1.0983124
x=0.100494385 , y=9.67897 , z=-1.146164
x=0.110076904 , y=9.659821 , z=-1.1222382
x=0.023925781 , y=9.647858 , z=-1.0193481
x=-0.0382843 , y=9.643082 , z=-1.0384827
x=-0.0765686 , y=9.614365 , z=-1.0408783
x=0.03111267 , y=9.6263275 , z=-1.0337067
x=0.0765686 , y=9.631119 , z=-0.96191406
x=0.110076904 , y=9.647858 , z=-1.0097656
x=0.08135986 , y=9.63829 , z=-1.0935211
x=0.028717041 , y=9.664612 , z=-0.99302673
x=0.07417297 , y=9.633499 , z=-0.9714813
x=0.07896423 , y=9.643082 , z=-0.9954071
x=0.13639832 , y=9.650253 , z=-1.0480499
x=0.20817566 , y=9.645462 , z=-0.9882355
x=0.17945862 , y=9.643082 , z=-1.0265198
x=0.0765686 , y=9.667007 , z=-1.0839539
x=0.090927124 , y=9.67897 , z=-1.0648041
x=0.14596558 , y=9.683746 , z=-1.0552368
x=0.2416687 , y=9.67897 , z=-1.076767
x=0.22970581 , y=9.693329 , z=-1.1844482
x=0.17228699 , y=9.7005005 , z=-1.1126556
x=0.088531494 , y=9.674179 , z=-1.0241241
x=0.124420166 , y=9.671783 , z=-1.076767
x=0.1986084 , y=9.674179 , z=-1.0983124
x=0.18902588 , y=9.628723 , z=-1.0911255
x=0.15553284 , y=9.633499 , z=-1.0576324
x=0.102890015 , y=9.647858 , z=-1.0528412
x=0.0765686 , y=9.63829 , z=-1.1437683
x=0.122039795 , y=9.643082 , z=-1.076767
x=0.17706299 , y=9.669403 , z=-1.036087
x=0.19142151 , y=9.690933 , z=-1.1724854
x=0.119644165 , y=9.722046 , z=-1.1174469
x=0.112457275 , y=9.676575 , z=-1.0959167
x=0.1483612 , y=9.669403 , z=-1.1413727
x=0.14596558 , y=9.707687 , z=-1.146164
x=0.21296692 , y=9.671783 , z=-1.0289154
x=0.22970581 , y=9.645462 , z=-1.0432739
x=0.1268158 , y=9.671783 , z=-1.1198425
x=0.14596558 , y=9.659821 , z=-1.1294098
x=0.114852905 , y=9.633499 , z=-1.1030884
x=0.090927124 , y=9.633499 , z=-1.0935211
x=0.110076904 , y=9.664612 , z=-1.076767
x=0.1483612 , y=9.676575 , z=-1.1294098
x=0.16749573 , y=9.686142 , z=-1.1318054
x=0.19142151 , y=9.671783 , z=-1.146164
x=0.13877869 , y=9.664612 , z=-1.1413727
x=0.15792847 , y=9.67897 , z=-1.0983124
x=0.1986084 , y=9.674179 , z=-1.0983124
x=0.21057129 , y=9.6263275 , z=-1.0983124
x=0.19621277 , y=9.657425 , z=-1.0432739
x=0.20578003 , y=9.621536 , z=-1.0576324
x=0.19142151 , y=9.63829 , z=-1.0432739
x=0.23928833 , y=9.662216 , z=-1.002594
x=0.27038574 , y=9.669403 , z=-1.0504456
x=0.22492981 , y=9.652649 , z=-1.0576324
x=0.1986084 , y=9.671783 , z=-0.9499512
x=0.16749573 , y=9.628723 , z=-1.0791626
x=0.13160706 , y=9.61676 , z=-1.0193481
x=0.1603241 , y=9.662216 , z=-1.0480499
x=0.26081848 , y=9.63829 , z=-0.94277954
x=0.36610413 , y=9.908676 , z=-1.2897339
x=0.0765686 , y=10.37767 , z=0.8757782
x=-0.102890015 , y=7.5804596 , z=-5.3766785
x=0.1986084 , y=9.810577 , z=-0.21057129
x=0.28953552 , y=11.064407 , z=1.7324066
x=-0.102890015 , y=9.207581 , z=-1.1533356
x=0.63648987 , y=9.585648 , z=-1.8807526
x=0.8422699 , y=10.329819 , z=-0.830307
x=1.0743713 , y=9.949356 , z=0.91166687
x=-0.2416687 , y=8.092529 , z=-3.900299
x=-1.6630096 , y=9.812973 , z=-2.663208
x=0.105285645 , y=10.48056 , z=1.6773682
x=0.99302673 , y=9.217148 , z=0.92123413
x=0.928421 , y=9.073578 , z=-1.524231
x=0.72024536 , y=9.454041 , z=-2.1176453
x=0.2536316 , y=9.549759 , z=-1.179657
x=-0.7465668 , y=8.767303 , z=-2.8330994
x=-0.71784973 , y=9.521042 , z=-0.59580994
x=0.74894714 , y=10.700699 , z=0.35414124
x=1.1198425 , y=10.279572 , z=-0.8159485
x=0.6652069 , y=9.511475 , z=-0.26081848
x=0.38046265 , y=9.341583 , z=-1.2681885
x=-0.27038574 , y=10.025925 , z=-3.1202393
x=-0.8829498 , y=9.6957245 , z=-3.2063751
x=0.124420166 , y=9.281754 , z=1.0384827
x=0.89730835 , y=9.501892 , z=1.0049896
x=0.6891327 , y=10.449463 , z=-0.55752563
x=0.8063812 , y=9.985245 , z=-2.0841522
x=0.5240326 , y=9.150162 , z=-1.935791
x=-0.5168457 , y=8.882156 , z=-2.7900238
x=-0.9451599 , y=9.384644 , z=-2.1559296
x=0.028717041 , y=10.332214 , z=0.14596558
x=1.076767 , y=10.238892 , z=-0.1531372
x=1.306488 , y=9.951752 , z=-0.33738708
x=1.3830566 , y=9.88475 , z=-0.39959717
x=0.5431671 , y=10.001999 , z=-1.1557312
x=-0.44984436 , y=9.815353 , z=-1.9956207
x=-0.1986084 , y=9.133408 , z=-1.6749725
x=0.35653687 , y=9.360718 , z=-0.59820557
x=0.87815857 , y=10.0785675 , z=-0.38285828
x=1.0983124 , y=9.765106 , z=-1.2897339
x=0.5934143 , y=8.858231 , z=-1.0049896
x=-0.07896423 , y=8.717056 , z=-0.928421
x=-0.39720154 , y=9.140579 , z=-2.3018951
x=0.04067993 , y=9.348755 , z=-2.5986023
x=0.79681396 , y=9.379868 , z=-1.2131653
x=1.1557312 , y=10.155136 , z=1.0193481
x=1.105484 , y=10.167099 , z=-0.4737854
x=0.7010956 , y=10.128815 , z=-1.8783722
x=0.46420288 , y=10.243668 , z=-1.6295166
x=0.052642822 , y=10.042679 , z=-2.9407806
x=-0.3517456 , y=10.018753 , z=-2.5938263
x=-0.028717041 , y=10.231705 , z=-0.67237854
x=0.87098694 , y=9.609573 , z=0.033493042
x=0.9379883 , y=9.769897 , z=-1.0265198
x=0.65802 , y=10.00679 , z=-1.907074
x=0.5312042 , y=9.291336 , z=-1.2322998
x=0.08135986 , y=9.011368 , z=-0.093322754
x=-0.23928833 , y=9.518646 , z=-0.22492981
x=0.5048828 , y=9.722046 , z=-0.59580994
x=0.87098694 , y=9.406189 , z=-1.2681885
