x=0.43310547 , y=1.2849426 , z=9.676575
x=0.4785614 , y=1.2394867 , z=9.683746
x=0.41156006 , y=1.2466583 , z=9.71965
x=0.33738708 , y=1.2969055 , z=9.750748
x=0.38763428 , y=1.2514496 , z=9.731613
x=0.45942688 , y=1.1892395 , z=9.784256
x=0.4665985 , y=1.1676941 , z=9.824936
x=0.40438843 , y=1.1318054 , z=9.815353
x=0.43070984 , y=1.1557312 , z=9.865616
x=0.48095703 , y=1.1820526 , z=9.839294
x=0.48335266 , y=1.1605225 , z=9.8033905
x=0.4737854 , y=1.174881 , z=9.875183
x=0.5024872 , y=1.1652985 , z=9.858429
x=0.51924133 , y=1.1964111 , z=9.784256
x=0.4665985 , y=1.2729797 , z=9.726822
x=0.4019928 , y=1.3016968 , z=9.640686
x=0.38523865 , y=1.2897339 , z=9.643082
x=0.42114258 , y=1.2897339 , z=9.707687
x=0.4283142 , y=1.2538452 , z=9.6957245
x=0.44506836 , y=1.2634125 , z=9.7005005
x=0.44267273 , y=1.2466583 , z=9.71965
x=0.46899414 , y=1.2179413 , z=9.757935
x=0.46180725 , y=1.2107697 , z=9.858429
x=0.41874695 , y=1.1964111 , z=9.832108
x=0.44984436 , y=1.1988068 , z=9.827316
x=0.4905243 , y=1.1892395 , z=9.800995
x=0.4665985 , y=1.1557312 , z=9.848862
x=0.43070984 , y=1.1772614 , z=9.839294
x=0.41156006 , y=1.2705841 , z=9.810577
x=0.4283142 , y=1.2681885 , z=9.76033
x=0.46899414 , y=1.2705841 , z=9.736389
x=0.4665985 , y=1.3088684 , z=9.71965
x=0.40438843 , y=1.3088684 , z=9.6957245
x=0.3637085 , y=1.3136597 , z=9.669403
x=0.32781982 , y=1.2993011 , z=9.669403
x=0.33499146 , y=1.2873383 , z=9.671783
x=0.39720154 , y=1.2251282 , z=9.705292
x=0.43070984 , y=1.2251282 , z=9.755539
x=0.44506836 , y=1.1988068 , z=9.767502
x=0.45703125 , y=1.1820526 , z=9.779465
x=0.42591858 , y=1.1557312 , z=9.86322
x=0.44984436 , y=1.1126556 , z=9.9062805
x=0.5024872 , y=1.1222382 , z=9.88475
x=0.48335266 , y=1.1365967 , z=9.865616
x=0.4665985 , y=1.1820526 , z=9.848862
x=0.42114258 , y=1.2131653 , z=9.793823
x=0.40438843 , y=1.2586212 , z=9.789032
x=0.42352295 , y=1.2681885 , z=9.717255
x=0.39959717 , y=1.3040924 , z=9.693329
x=0.37327576 , y=1.2993011 , z=9.659821
x=0.39242554 , y=1.3136597 , z=9.674179
x=0.38523865 , y=1.306488 , z=9.67897
x=0.4139557 , y=1.3040924 , z=9.724426
x=0.42352295 , y=1.2681885 , z=9.724426
x=0.39482117 , y=1.2681885 , z=9.710068
x=0.34934998 , y=1.2107697 , z=9.745972
x=0.32781982 , y=1.146164 , z=9.800995
x=0.33738708 , y=1.0695953 , z=9.887146
x=0.34457397 , y=1.1174469 , z=9.9015045
x=0.36131287 , y=1.1222382 , z=9.84407
x=0.34217834 , y=1.1413727 , z=9.791428
x=0.32063293 , y=1.1581268 , z=9.808182
x=0.275177 , y=1.1581268 , z=9.808182
x=0.279953 , y=1.2155609 , z=9.779465
x=0.29670715 , y=1.2514496 , z=9.707687
x=0.29431152 , y=1.277771 , z=9.659821
x=0.32781982 , y=1.2610168 , z=9.686142
x=0.30867004 , y=1.2658081 , z=9.743576
x=0.33499146 , y=1.2562256 , z=9.729218
x=0.38763428 , y=1.2586212 , z=9.743576
x=0.37088013 , y=1.2514496 , z=9.705292
x=0.31825256 , y=1.1964111 , z=9.757935
x=0.31585693 , y=1.1557312 , z=9.84407
x=0.31825256 , y=1.1174469 , z=9.846466
x=0.33259583 , y=1.1222382 , z=9.808182
x=0.3134613 , y=1.1126556 , z=9.784256
x=0.26081848 , y=1.174881 , z=9.769897
x=0.23928833 , y=1.1724854 , z=9.7986145
x=0.25602722 , y=1.1413727 , z=9.762711
x=0.27038574 , y=1.1676941 , z=9.76033
x=0.279953 , y=1.1700897 , z=9.736389
x=0.32302856 , y=1.1868439 , z=9.712463
x=0.31825256 , y=1.2275238 , z=9.71965
x=0.279953 , y=1.2275238 , z=9.724426
x=0.2679901 , y=1.2370911 , z=9.743576
x=0.33499146 , y=1.2370911 , z=9.753143
x=0.35891724 , y=1.1964111 , z=9.748352
