x=0.21654941846839126 , y=0.6424614758040879 , z=4.838213268517083
x=0.23927703676099757 , y=0.6197338575114815 , z=4.841799029039918
x=0.20577687834447045 , y=0.6233196180343163 , z=4.8597507194872165
x=0.16869095940510848 , y=0.6484428295272846 , z=4.875299187456445
x=0.1938141708980768 , y=0.6257152112346783 , z=4.865732073210413
x=0.22970992251496591 , y=0.5946106460185132 , z=4.892053081303563
x=0.23329568303780077 , y=0.5838381058945924 , z=4.912392735673515
x=0.20219111782163562 , y=0.5658940447250019 , z=4.907601549272791
x=0.21535162186821027 , y=0.5778567521713955 , z=4.932732390043467
x=0.24047483336117859 , y=0.5910172562179702 , z=4.919571885996893
x=0.24167262996135958 , y=0.5802523453717575 , z=4.901620195549594
x=0.23688907283834373 , y=0.5874314956951354 , z=4.937515947166483
x=0.25123974420739126 , y=0.5826403092944114 , z=4.929139000242924
x=0.25961669113095004 , y=0.598196406541348 , z=4.892053081303563
x=0.23329568303780077 , y=0.636480122080891 , z=4.863336480010052
x=0.20099332122145463 , y=0.6508384227276467 , z=4.820269207347493
x=0.1926163742978958 , y=0.6448570690044498 , z=4.8214670039476735
x=0.21056806474519443 , y=0.6448570690044498 , z=4.85376936576402
x=0.21415382526802929 , y=0.6269130078348594 , z=4.847788012040823
x=0.2225307721915881 , y=0.6316965649578752 , z=4.850175975963476
x=0.2213329755914071 , y=0.6233196180343163 , z=4.8597507194872165
x=0.23449347963798176 , y=0.6089613173875607 , z=4.8788925772569876
x=0.23090008983743876 , y=0.6053755568647259 , z=4.929139000242924
x=0.20937026814501344 , y=0.598196406541348 , z=4.91597849619635
x=0.22491873611424193 , y=0.599394203141529 , z=4.913582902995988
x=0.2452583904841944 , y=0.5946106460185132 , z=4.900422398949413
x=0.23329568303780077 , y=0.5778567521713955 , z=4.924355443119909
x=0.21535162186821027 , y=0.5886216630176082 , z=4.919571885996893
x=0.20577687834447045 , y=0.63528232548071 , z=4.905213585350137
x=0.21415382526802929 , y=0.634084528880529 , z=4.880090373857169
x=0.23449347963798176 , y=0.63528232548071 , z=4.868120037133067
x=0.23329568303780077 , y=0.6544241832504815 , z=4.8597507194872165
x=0.20219111782163562 , y=0.6544241832504815 , z=4.847788012040823
x=0.18185146345168315 , y=0.6568197764508434 , z=4.834627507994248
x=0.16390740228209266 , y=0.6496406261274656 , z=4.834627507994248
x=0.1674931628049275 , y=0.6436592724042688 , z=4.835817675316721
x=0.19859772802109263 , y=0.6125547071881037 , z=4.852571569163839
x=0.21535162186821027 , y=0.6125547071881037 , z=4.877694780656807
x=0.2225307721915881 , y=0.599394203141529 , z=4.8836761343800035
x=0.22851212591478492 , y=0.5910172562179702 , z=4.8896574881032
x=0.21295602866784827 , y=0.5778567521713955 , z=4.931534593443287
x=0.22491873611424193 , y=0.556319301201262 , z=4.953064415135712
x=0.25123974420739126 , y=0.5611104876019861 , z=4.942299504289499
x=0.24167262996135958 , y=0.5682896379253639 , z=4.932732390043467
x=0.23329568303780077 , y=0.5910172562179702 , z=4.924355443119909
x=0.21056806474519443 , y=0.6065733534649068 , z=4.896836638426579
x=0.20219111782163562 , y=0.6293009717575132 , z=4.894441045226216
x=0.21175823206766728 , y=0.634084528880529 , z=4.858552922887036
x=0.19979552462127362 , y=0.6520362193278276 , z=4.846590215440641
x=0.18663502057469897 , y=0.6496406261274656 , z=4.8298363215935245
x=0.1962097640984388 , y=0.6568197764508434 , z=4.837015471916902
x=0.1926163742978958 , y=0.6532340159280087 , z=4.839411065117264
x=0.20697467494465144 , y=0.6520362193278276 , z=4.86213868340987
x=0.21175823206766728 , y=0.634084528880529 , z=4.86213868340987
x=0.19740756069861978 , y=0.634084528880529 , z=4.854959533086492
x=0.1746723131283053 , y=0.6053755568647259 , z=4.872911223533791
