x=1.203571963406074 , y=-0.939171715152108 , z=5.688847215866003
x=-0.7549246585000629 , y=0.524016939384916 , z=6.986938300798462
x=-0.5383752400316716 , y=0.9618993334447143 , z=5.619458935110295
x=1.6294840207417705 , y=1.5935958984025895 , z=3.5831970855248914
x=2.2982741339167156 , y=-0.9607015368445333 , z=2.7493094027453804
x=0.8960968132118411 , y=0.748943304776866 , z=7.490615585813425
x=-0.32900497188665817 , y=0.36011716638053143 , z=6.544272349615647
x=0.2225307721915881 , y=0.28473990262391835 , z=3.434845780489735
x=0.9319925648287302 , y=1.0647877726169495 , z=2.7134212804061995
x=0.25841889453076905 , y=0.9762576340914699 , z=4.682682813158549
x=-0.7716709230694724 , y=0.9654927232452573 , z=6.924721541088423
x=0.05742557330931444 , y=0.299098203270674 , z=6.15185282141877
x=1.193997219882334 , y=0.6939056953902054 , z=2.992179829306921
x=1.3794420731345602 , y=-0.9858247483375017 , z=1.272960244161782
x=0.7381707646529452 , y=1.0695789590176736 , z=6.7967098904232195
x=0.031104565216165135 , y=1.1293924962496418 , z=7.869874609963728
x=0.8446525936257234 , y=-0.10767199629525105 , z=5.0128855816453886
x=1.7539099108841392 , y=0.8506339473489203 , z=3.6478018091575835
x=1.2574117761925534 , y=-0.47736390619952235 , z=3.329561748117138
x=-0.26321008093149306 , y=0.637677918681072 , z=7.318338865885481
x=-0.787227020316409 , y=0.6209316541116625 , z=7.319529033207955
x=0.47257271979879834 , y=1.240657882345436 , z=3.477913053152294
x=1.988403390522121 , y=-0.7286036504069135 , z=1.085127426986902
x=1.6761446832048723 , y=0.2452583904841944 , z=6.212871784528628
x=-0.5180355856617191 , y=1.2215160245756644 , z=8.038565569368837
x=-0.5455543903550494 , y=0.3493446262566106 , z=4.7102016178518795
x=1.2430534755457978 , y=1.6940887443744628 , z=3.555678280831561
x=1.570860650832275 , y=-0.23329568303780077 , z=1.4117444349509063
x=0.6544241832504815 , y=0.5335916829086558 , z=5.798914805361616
x=-0.299098203270674 , y=0.8901154594886442 , z=8.3556078338091
x=0.1256236867425497 , y=0.8637944513954949 , z=5.034423032615521
x=1.1293924962496418 , y=0.5216289754622622 , z=2.0027616911688764
x=1.2909119346090807 , y=-0.011962707446393656 , z=3.370241056857043
x=0.3684864840263821 , y=0.6747638376204339 , z=7.749034480344194
x=-0.3074751501942328 , y=0.43190104033660154 , z=7.112554358263303
x=0.6029799636643639 , y=0.31106091071706765 , z=4.184979252589074
x=1.083929630386721 , y=0.6005919997417101 , z=2.591390983464193
x=0.7692829591468185 , y=-0.6807451913436308 , z=2.920395955350851
x=0.5299982931081128 , y=0.5850359024947733 , z=8.679829248572743
x=-0.08733997120300674 , y=0.35174021945697265 , z=7.890214264333681
x=0.2703816019771627 , y=0.47855407352199514 , z=2.7612721101917743
x=0.977455430691651 , y=0.22372856879176908 , z=1.3507254718410489
x=0.7836412597935741 , y=-0.5551291338787893 , z=3.890672235719124
x=-0.20817247154483245 , y=0.5084684714156874 , z=8.411843239795942
x=-0.7262080572065516 , y=0.8231151426555899 , z=7.12811045551024
x=0.675961634220615 , y=0.7932083740396059 , z=3.555678280831561
x=1.165288247866531 , y=0.3912217315966966 , z=2.171452650573985
x=0.48334525992271915 , y=-0.6257152112346783 , z=2.9012540975810794
x=0.06460472363269226 , y=0.637677918681072 , z=8.189312467604354
x=-0.4761661095993413 , y=0.6843385811441738 , z=7.458313223997079
x=0.22731432931460394 , y=0.7130475531599769 , z=2.7636677033921364
x=1.2167324674526485 , y=0.6675846872970561 , z=2.3078412481627475
x=0.7680851625466375 , y=-0.5096662680158685 , z=4.11080741471035
x=-0.17347451652812432 , y=0.23449347963798176 , z=7.44156695942767
x=-0.714245349760158 , y=1.1904114593594992 , z=7.319529033207955
x=0.24047483336117859 , y=0.299098203270674 , z=3.3941664717498305
x=0.9607015368445333 , y=0.6149426711107575 , z=3.3116176869475478
x=0.38404258127331875 , y=-0.18424705665204513 , z=3.586782846047726
x=0.6041777602645448 , y=-0.2620122843313121 , z=5.911377988057591
x=0.6293009717575132 , y=0.9415596790747618 , z=8.803057342114931
x=-0.24047483336117859 , y=0.40438223564327125 , z=4.481689491937094
x=-0.025123211492968308 , y=0.8087644712865425 , z=2.0171199918156324
x=0.7991897277628026 , y=-0.08972793512566057 , z=3.488685593276215
x=0.7991897277628026 , y=-0.787227020316409 , z=5.252162618406386
x=-0.06340692703251127 , y=0.9882203415378636 , z=7.831590894424185
x=-0.5874314956951354 , y=1.009757792507997 , z=5.5297309999846345
x=0.36011716638053143 , y=0.7668873659464566 , z=3.200352300851754
x=0.9654927232452573 , y=0.5886216630176082 , z=4.019881682984509
x=0.5467521869552304 , y=-0.4594122157522237 , z=3.8248697154862508
x=0.6891221382671896 , y=0.4797518701221762 , z=5.968803561366905
x=0.5946106460185132 , y=0.6029799636643639 , z=6.997703211644675
x=-0.1926163742978958 , y=0.5204311788620811 , z=4.171826377820207
x=-0.08494437800264475 , y=1.4703678048604019 , z=3.4755250892296403
x=0.6065733534649068 , y=0.0 , z=4.21011009335975
x=0.3924195281968776 , y=-0.3649007235035473 , z=5.106206906571591
x=-0.4390725613822712 , y=0.8207271787329361 , z=6.16859908598818
x=-0.935578325351565 , y=0.6328943615580561 , z=4.868120037133067
x=-0.21295602866784827 , y=0.6233196180343163 , z=3.7710299026997713
x=0.5778567521713955 , y=0.5790545487715766 , z=4.60252199227892
x=0.5048750816151445 , y=-0.8817385125650854 , z=3.8033322645161176
x=0.9595037402443524 , y=0.2883332924244614 , z=5.966415597444252
x=0.7764621094701963 , y=0.48334525992271915 , z=7.058722174754532
x=-0.5228267720624431 , y=-0.2560309306081152 , z=4.427849679150615
x=-0.3696842806265631 , y=1.0911087807100988 , z=4.28069617071564
x=0.7298014470070946 , y=0.4438637477829952 , z=5.3502675004556055
x=0.9846345810150288 , y=-0.9415596790747618 , z=4.5654360733395585
x=0.43668459745961735 , y=0.8721713983190538 , z=5.979576101490826
x=-0.3242214147636423 , y=1.1928070525598613 , z=6.120748256202605
x=-0.636480122080891 , y=0.8506339473489203 , z=4.253177366022309
x=0.23090008983743876 , y=0.9607015368445333 , z=4.238819065375554
x=1.2992812522549313 , y=0.8338876827795108 , z=4.740108386467863
x=1.3938003737813158 , y=0.031104565216165135 , z=3.102247418802534
