x=0.3672963167039093 , y=3.675320613850914 , z=3.750690248329819
x=0.3074751501942328 , y=3.5520925203087264 , z=2.9933776259071023
x=0.2667958414543279 , y=3.5520925203087264 , z=3.0029447401531337
x=0.14715350843497502 , y=3.5425177767849862 , z=3.6848877280969456
x=0.15792604855889583 , y=3.4611667885828847 , z=3.4767152565521133
x=0.40318443904309026 , y=3.4659503457059007 , z=3.0185008374000706
x=0.6592153696512054 , y=3.5484991305081834 , z=3.456383231459869
x=0.5850359024947733 , y=3.6645480737269933 , z=3.7554814347305427
x=0.5754687882487417 , y=3.738727540883425 , z=3.299654979501154
x=0.6137525037882847 , y=3.717190089913292 , z=2.91919815875067
x=0.3900239349965156 , y=3.6573765526813236 , z=3.1429267275424393
x=-0.037085918939361966 , y=3.558073874031923 , z=3.377420207180421
x=-0.15553045535853383 , y=3.6478018091575835 , z=3.3606663133333035
x=0.06101896310985743 , y=3.7195856831136536 , z=2.957481874290213
x=0.3278148045641853 , y=3.6238763942647965 , z=2.8904891867348668
x=0.35174021945697265 , y=3.6394248622340246 , z=3.529357272738412
x=0.21774721506857225 , y=3.5401298128623324 , z=3.477913053152294
x=0.2763705849780677 , y=3.6119136868184025 , z=3.4025434186733894
x=0.29551244274783917 , y=3.4970549109220657 , z=3.2757219353306586
x=0.2608144877311311 , y=3.3893829146268146 , z=3.4599689919827035
x=0.1962097640984388 , y=3.5700365814783166 , z=3.7279626300372124
x=0.07058607735588909 , y=3.5317528659387736 , z=3.0077282972761497
x=0.12920944726538452 , y=3.553290316908907 , z=3.213512804898328
x=0.1782657029288483 , y=3.559271670632104 , z=3.682499764174292
x=0.2225307721915881 , y=3.5724321746786787 , z=3.381005967703256
x=0.41036358936646805 , y=3.6932646750205045 , z=3.221889751821887
x=0.45822204842975084 , y=3.592771829048631 , z=3.189587390005541
x=0.3134565039174297 , y=3.604734536495025 , z=3.401345622073208
x=0.10886979289543205 , y=3.7375297442832442 , z=3.379808171103075
x=0.011962707446393656 , y=3.754283638130362 , z=2.8665561425643715
x=0.08733997120300674 , y=3.759067195253378 , z=3.0232843945230865
x=-0.023925414892787312 , y=3.678906374373749 , z=3.1524938417884707
x=-0.18065366685150214 , y=3.7494924517296377 , z=3.110624365726093
x=-0.19859772802109263 , y=3.828455476009086 , z=3.063963703262991
x=-0.023925414892787312 , y=3.720783479713835 , z=3.081907764432582
x=0.17228434920565147 , y=3.6884811178974886 , z=3.4300622233667197
x=0.19979552462127362 , y=3.6645480737269933 , z=3.3355431018403348
x=0.1782657029288483 , y=3.7686419387771175 , z=3.2434195735143123
x=0.14476554451232118 , y=3.7494924517296377 , z=3.221889751821887
x=0.05144421958611761 , y=3.6801041709739297 , z=3.300845146823627
x=-0.04785845906328278 , y=3.675320613850914 , z=3.337938695040697
x=-0.10169064257205424 , y=3.714802125990638 , z=3.0795121712322198
x=-0.05622777670913345 , y=3.710018568867622 , z=3.0783220039097468
x=0.037085918939361966 , y=3.643018252034568 , z=3.2051358579747693
x=0.12920944726538452 , y=3.638234694911552 , z=3.3355431018403348
x=0.23090008983743876 , y=3.6214808010644344 , z=3.2852966788543982
x=0.2715793985773437 , y=3.5999433500943008 , z=3.306834129824532
x=0.23209788643761975 , y=3.5520925203087264 , z=3.3223825977937604
x=0.10169064257205424 , y=3.5688387848781358 , z=3.3869873214264525
x=-0.046660662463101785 , y=3.5688387848781358 , z=3.2111172116979665
x=-0.0717838739560701 , y=3.5796113250020567 , z=3.2099194150977852
x=-0.05742557330931444 , y=3.532950662538955 , z=3.2781175285310207
x=-0.04306727266255879 , y=3.5496969271083643 , z=3.3439200487638936
x=0.040679308739904954 , y=3.595159792971285 , z=3.2793153251312015
x=0.14715350843497502 , y=3.681301967574111 , z=3.2482107599150365
x=0.22611653271442292 , y=3.658566720003796 , z=3.1584751955116674
x=0.18185146345168315 , y=3.70762297566726 , z=3.2793153251312015
x=0.12681385406502255 , y=3.7064251790670792 , z=3.2470129633148552
x=0.13878419078912435 , y=3.7650485489765746 , z=3.2805131217313823
x=0.149549101635337 , y=3.629857747987993 , z=3.145314691465093
x=0.07298167055625109 , y=3.70762297566726 , z=3.2529943170380524
x=-0.10528403237259722 , y=3.676518410451095 , z=3.138135541141715
x=-0.13638859758876234 , y=3.7686419387771175 , z=3.2422217769141315
x=-0.05622777670913345 , y=3.6143016507410564 , z=3.1142101262489277
x=0.07536963447890492 , y=3.5281594761382307 , z=3.257777874161068
x=-0.33738191881021695 , y=3.220691955221706 , z=2.7947722686083014
x=-0.0011977966001809975 , y=3.5520925203087264 , z=4.406312228180481
x=0.10408623577241623 , y=3.333147508639973 , z=2.739742288499349
x=0.10528403237259722 , y=3.5138088047691833 , z=2.915612398227835
x=-0.08374658140246374 , y=2.923981715873686 , z=3.306834129824532
x=-0.3744678377495789 , y=4.030646593830721 , z=4.7831832884081305
x=-0.5491477801555924 , y=3.3020429434238077 , z=2.160687739727772
x=0.40916579276628706 , y=4.067740142047792 , z=3.4635547525055386
x=0.6484428295272846 , y=3.4240732403658147 , z=2.5985625045098626
x=0.5850359024947733 , y=3.6537831628807806 , z=3.7231714436364887
x=0.10767199629525105 , y=4.037825744154099 , z=3.516196768691837
x=-0.20697467494465144 , y=4.265140073468703 , z=1.9704593293525303
x=0.13399300438840037 , y=3.9229745975354704 , z=2.672741971666295
x=0.35174021945697265 , y=3.487487796676034 , z=3.7327461871602283
x=0.2440605938840134 , y=3.1189936833719436 , z=3.7303505939598662
x=0.1256236867425497 , y=3.601141146694482 , z=3.748302284407165
x=0.01435830064675565 , y=3.377420207180421 , z=2.769649057115333
x=0.3278148045641853 , y=3.55448048423138 , z=3.7183878865134727
x=0.5276103291854589 , y=3.1369453738192425 , z=3.777011256422968
x=0.5359872761090178 , y=3.4647525491057194 , z=3.638234694911552
x=0.3732776704271061 , y=3.4970549109220657 , z=3.081907764432582
