x=0.9068756 , y=6.3218384 , z=-4.790436
x=-1.5816498 , y=10.772491 , z=-2.0171509
x=-1.9860382 , y=4.285553 , z=7.6785736
x=0.55513 , y=9.923035 , z=22.346573
x=-0.0382843 , y=9.743576 , z=7.824524
x=0.44506836 , y=6.6759796 , z=-6.4342957
x=5.391037 , y=8.788834 , z=11.873184
x=3.4217377 , y=5.510666 , z=4.0175476
x=-0.6412811 , y=10.219742 , z=-2.0913239
x=-2.526825 , y=7.8963165 , z=3.8452606
x=-0.7417755 , y=8.772095 , z=15.974487
x=1.0504456 , y=6.920044 , z=12.442673
x=0.4857483 , y=7.623535 , z=0.1483612
x=3.287735 , y=7.6546326 , z=5.69014
x=3.7160492 , y=8.927628 , z=7.1521454
x=0.43070984 , y=7.853241 , z=-5.024933
x=-0.8949127 , y=7.9537354 , z=6.570694
x=-0.7728882 , y=7.802994 , z=16.505692
x=-0.4019928 , y=6.977478 , z=10.901703
x=0.3900299 , y=9.013763 , z=2.3449707
x=3.1752777 , y=6.6376953 , z=4.74736
x=4.417145 , y=8.257629 , z=8.0733795
x=1.8951111 , y=8.535202 , z=-3.8907318
x=-0.8638153 , y=8.937195 , z=4.019943
x=-1.4667969 , y=7.5062866 , z=15.1250305
x=-1.1940155 , y=6.233307 , z=12.693924
x=0.62931824 , y=8.465805 , z=3.1752777
x=3.0508423 , y=6.9678955 , z=4.2233276
x=3.5270233 , y=8.106888 , z=6.9846497
x=1.0935211 , y=8.9730835 , z=-3.3332062
x=-1.5050812 , y=8.355743 , z=2.2085724
x=-1.249054 , y=6.5324097 , z=13.887939
x=-0.4355011 , y=6.5850525 , z=13.966904
x=0.71066284 , y=9.142975 , z=3.2996979
x=2.3521423 , y=7.6785736 , z=5.728424
x=3.1130676 , y=6.336197 , z=6.9272156
x=1.4404755 , y=8.578262 , z=-0.825531
x=-1.3136597 , y=8.216949 , z=0.928421
x=-1.3160553 , y=8.087738 , z=12.952347
x=-0.9308014 , y=6.7812653 , z=13.198807
x=0.20578003 , y=7.812561 , z=2.4550323
x=2.7469635 , y=6.8650055 , z=7.566101
x=3.349945 , y=6.3672943 , z=9.047256
x=0.8638153 , y=9.568893 , z=-0.06460571
x=-2.0602264 , y=8.092529 , z=0.73698425
x=-1.9716797 , y=7.348358 , z=13.205994
x=-0.9260254 , y=5.67099 , z=12.804001
x=-0.04547119 , y=8.647659 , z=1.450058
x=1.902298 , y=8.233704 , z=5.271393
x=2.4047852 , y=7.7838593 , z=8.0327
x=1.3136597 , y=8.951553 , z=-1.4979095
x=-1.0815582 , y=7.8149567 , z=1.1078796
x=-1.2634125 , y=7.812561 , z=14.4717865
x=-1.0169525 , y=7.0157623 , z=13.048065
x=-0.20578003 , y=8.958725 , z=0.79681396
x=2.2899323 , y=7.125824 , z=5.7547455
x=3.007782 , y=6.443878 , z=9.109482
x=1.7180481 , y=8.484955 , z=-0.15074158
x=-1.0504456 , y=8.322235 , z=1.4667969
x=-1.3136597 , y=7.606781 , z=13.849655
x=-0.77526855 , y=6.0849457 , z=14.7469635
x=0.0047912598 , y=7.939392 , z=2.5411835
x=2.5076752 , y=6.920044 , z=5.79541
x=2.892929 , y=7.2382812 , z=8.805588
x=1.0480499 , y=8.350952 , z=-1.450058
x=-1.134201 , y=8.5950165 , z=1.4691925
x=-0.46420288 , y=7.602005 , z=12.416351
x=0.4905243 , y=6.455841 , z=13.921448
x=0.2416687 , y=8.6237335 , z=2.629715
x=1.9788666 , y=7.623535 , z=5.379059
x=2.4478607 , y=8.243271 , z=8.506485
x=1.454834 , y=8.049454 , z=-3.5988007
x=-0.7010956 , y=9.253052 , z=0.7776642
x=-0.9786682 , y=7.195221 , z=10.415955
x=0.3517456 , y=7.4608154 , z=15.096313
x=0.653244 , y=8.762512 , z=3.522232
x=3.0460663 , y=8.312668 , z=6.891327
x=3.426529 , y=8.171494 , z=9.195618
x=1.9142609 , y=7.6115723 , z=-2.2564392
x=-0.37327576 , y=9.303299 , z=1.8137665
x=-1.8185425 , y=7.664215 , z=9.973282
x=-1.3088684 , y=7.0588226 , z=13.014557
x=-0.16270447 , y=8.925232 , z=3.8452606
x=2.7182465 , y=7.3627167 , z=5.38385
x=3.349945 , y=8.240875 , z=7.1641083
x=1.7515411 , y=8.831909 , z=-2.6560364
x=-0.45463562 , y=10.425522 , z=2.675171
x=-0.6628113 , y=8.224136 , z=11.11705
x=0.59820557 , y=6.6999054 , z=13.069595
x=0.9140625 , y=8.336594 , z=3.5365906
x=2.3114624 , y=7.281357 , z=6.6257324
x=2.0195465 , y=8.587845 , z=8.489731
x=1.1676941 , y=8.350952 , z=-2.892929
x=0.5024872 , y=9.911072 , z=3.3092804
x=-0.102890015 , y=6.20459 , z=11.65065
x=-0.114852905 , y=5.8121643 , z=15.711273
x=0.052642822 , y=7.9609222 , z=4.3453674
x=2.6943207 , y=7.8101807 , z=6.932007
x=2.761322 , y=8.542374 , z=9.243469
x=0.550354 , y=5.8384857 , z=-4.64447
x=-0.095718384 , y=10.17189 , z=3.809372
x=-0.68196106 , y=5.9126587 , z=9.004196
x=-0.0382843 , y=6.752548 , z=14.636902
x=0.21774292 , y=8.181061 , z=4.5918274
x=2.3401794 , y=6.295517 , z=5.0512543
x=3.4911346 , y=9.140579 , z=12.830322
x=0.44506836 , y=4.58226 , z=-4.6420746
x=-0.14117432 , y=11.777481 , z=3.5677032
x=-0.59103394 , y=5.83609 , z=6.477371
x=0.4785614 , y=7.1856537 , z=14.084152
x=0.1651001 , y=7.750351 , z=5.8983154
x=0.3397827 , y=5.654236 , z=1.5720825
x=3.0317078 , y=10.229324 , z=14.931213
x=0.78723145 , y=4.689926 , z=-2.4717865
