x=0.4534308620290269 , y=3.1608707887120295 , z=-2.395181219365754
x=-0.7908127808392438 , y=5.386163252072494 , z=-1.0085599959078162
x=-0.9930038986608795 , y=2.142743678558182 , z=3.839228016133007
x=0.27756075230054056 , y=4.96144136205927 , z=11.173115349987716
x=-0.01914185776977148 , y=4.87171342693361 , z=3.9122020574115495
x=0.2225307721915881 , y=3.337938695040697 , z=-3.2170985654211632
x=2.695477219236609 , y=4.394349520734088 , z=5.93650119955056
x=1.7108426382215804 , y=2.7552907564685776 , z=2.0087430448920736
x=-0.3206356542408075 , y=5.1097926670944265 , z=-1.0456459148471782
x=-1.2633931299157504 , y=3.9480978090284387 , z=1.9226008702892476
x=-0.3708820772267441 , y=4.385980203088237 , z=7.9871213497827185
x=0.5252147359850969 , y=3.4599689919827035 , z=6.221241102174478
x=0.24287042656154056 , y=3.8117092114396764 , z=0.07417946715643209
x=1.643842321388526 , y=3.8272576794089046 , z=2.845026320871946
x=1.8579961466565553 , y=4.463745430767504 , z=3.5760179352015133
x=0.21535162186821027 , y=3.926560358058305 , z=-2.512427959184745
x=-0.44744950830583 , y=3.976806781044242 , z=3.2852966788543982
x=-0.38643817447368073 , y=3.901437146565337 , z=8.252719394636866
x=-0.20099332122145463 , y=3.488685593276215 , z=5.450767975705187
x=0.1950119674982578 , y=4.506812703430063 , z=1.1724673981899087
x=1.5876145446793926 , y=3.3187968372709253 , z=2.373643768395621
x=2.208538569513347 , y=4.128751475879941 , z=4.036627947553918
x=0.9475410327979586 , y=4.267535666669065 , z=-1.945336117859562
x=-0.43190104033660154 , y=4.46852898789052 , z=2.0099408414922544
x=-0.7333872075299294 , y=3.7530858415301807 , z=7.5623994597694955
x=-0.596998609941167 , y=3.1166057194492898 , z=6.346864788917028
x=0.3146543005176107 , y=4.2328377116523574 , z=1.5876145446793926
x=1.5253977849693543 , y=3.483894406875491 , z=2.1116314840643087
x=1.763484654407879 , y=4.053381841401036 , z=3.4922713537990497
x=0.5467521869552304 , y=4.48647304906011 , z=-1.6665775689588405
x=-0.7525290652997009 , y=4.177807731543405 , z=1.1042692847566735
x=-0.6245174146344974 , y=3.2661548210846267 , z=6.943863398858195
x=-0.21774721506857225 , y=3.2924758291777763 , z=6.983344910997919
x=0.35532597997980747 , y=4.571417427062755 , z=1.649823675111723
x=1.1760531587127436 , y=3.839228016133007 , z=2.8641681786417177
x=1.5565099794632276 , y=3.1680499390354075 , z=3.4635547525055386
x=0.7202267034833547 , y=4.289065488361491 , z=-0.4127591825668301
x=-0.6568197764508434 , y=4.108411821509988 , z=0.4642034021529477
x=-0.6580175730510245 , y=4.043807097877296 , z=6.476074236182412
x=-0.4653935694754205 , y=3.3905807112269954 , z=6.5993023297246
x=0.10288843917223522 , y=3.9062207036883527 , z=1.2274973782988612
x=1.3734607194113633 , y=3.4324501872893736 , z=3.782992610146165
x=1.6749468866046913 , y=3.183598407004636 , z=4.523558967999472
x=0.43190104033660154 , y=4.784373455730603 , z=-0.03230236181634613
x=-1.0300974468779496 , y=4.046202691077658 , z=0.3684864840263821
x=-0.9858247483375017 , y=3.674122817250733 , z=6.602895719525143
x=-0.46300560555276665 , y=2.8354515773482065 , z=6.4019023983036885
x=-0.022735247570314473 , y=4.323763443378199 , z=0.7250178898840788
x=0.9511344225985017 , y=4.116788768433548 , z=2.6356560527269326
x=1.202374166805893 , y=3.8918700323193054 , z=4.016288293183965
x=0.6568197764508434 , y=4.475708138213897 , z=-0.748943304776866
x=-0.5407708332320336 , y=3.9074185002885335 , z=0.5539313372786082
x=-0.6316965649578752 , y=3.9062207036883527 , z=7.235782451805491
x=-0.5084684714156874 , y=3.5078274510459866 , z=6.523932695245695
x=-0.10288843917223522 , y=4.479293898736732 , z=0.3984008819200744
x=1.1449485934965784 , y=3.562857431154939 , z=2.8773286826882924
x=1.503867963276929 , y=3.221889751821887 , z=4.554671162493346
x=0.8590108942724791 , y=4.242412455176097 , z=-0.07536963447890492
x=-0.5252147359850969 , y=4.161053837696287 , z=0.7333872075299294
x=-0.6568197764508434 , y=3.8033322645161176 , z=6.924721541088423
x=-0.3876283417961536 , y=3.0424262522928576 , z=7.373368845994434
x=0.002395593200361995 , y=3.9696352599985723 , z=1.2705722802391282
x=1.2538183863920105 , y=3.4599689919827035 , z=2.8976607077805365
x=1.4464423899676144 , y=3.6190852078640723 , z=4.402726467657646
x=0.524016939384916 , y=4.1754121383430425 , z=-0.7250178898840788
x=-0.5670918413251829 , y=4.297442435285049 , z=0.7345850041301104
x=-0.23209788643761975 , y=3.8009443005934638 , z=6.2080805981279035
x=0.2452583904841944 , y=3.2278711055450837 , z=6.9606172927053125
x=0.1208325003418257 , y=4.311800735931805 , z=1.314837349501868
x=0.9894181381380446 , y=3.8117092114396764 , z=2.689488236235704
x=1.2239116177760263 , y=4.121572325556563 , z=4.253177366022309
