x=0.44984436 , y=9.109482 , z=-0.0023956299
x=-0.7992096 , y=8.853439 , z=-3.8979034
x=0.75613403 , y=10.2341 , z=0.38763428
x=2.251648 , y=10.937592 , z=-0.22013855
x=0.79441833 , y=9.734009 , z=-5.065613
x=-0.61016846 , y=10.425522 , z=-3.2494507
x=0.20100403 , y=10.48056 , z=2.251648
x=1.3304138 , y=9.119049 , z=-0.49771118
x=1.6366882 , y=9.5282135 , z=-3.3356018
x=1.3758698 , y=10.949554 , z=-0.97387695
x=0.14596558 , y=8.910873 , z=1.3375854
x=-1.2322998 , y=8.482559 , z=-0.5168457
x=-0.7346039 , y=9.461227 , z=-3.7423706
x=0.97387695 , y=9.891922 , z=-1.1652985
x=1.7730865 , y=8.953949 , z=1.076767
x=0.8446655 , y=8.690735 , z=-1.6079712
x=0.2679901 , y=9.769897 , z=-2.8785706
x=1.0911255 , y=11.236694 , z=0.727417
x=1.0695953 , y=9.633499 , z=-2.1463623
x=-0.3014984 , y=9.22673 , z=-4.003189
x=-0.22492981 , y=10.66481 , z=-1.655838
x=0.6891327 , y=10.2508545 , z=1.9333954
x=1.5696869 , y=8.535202 , z=-1.7611237
x=1.8209381 , y=9.867996 , z=-2.342575
x=0.98106384 , y=10.72702 , z=0.4283142
x=-0.19621277 , y=8.987442 , z=2.2205353
x=-0.8422699 , y=8.551941 , z=-3.213562
x=-0.43788147 , y=9.564117 , z=-4.7736816
x=0.68434143 , y=9.549759 , z=-0.098098755
x=1.0624084 , y=8.910873 , z=2.2660065
x=0.5670929 , y=9.635895 , z=-1.8089752
x=1.1413727 , y=9.951752 , z=-4.019943
x=2.244461 , y=10.559525 , z=0.4283142
x=0.8159485 , y=9.044876 , z=-1.4165497
x=-1.8400879 , y=9.466003 , z=-3.115448
x=-0.928421 , y=10.987839 , z=-1.3639069
x=1.4045868 , y=9.934998 , z=1.2945099
x=3.0053864 , y=8.283951 , z=-1.4237366
x=2.2157593 , y=10.360916 , z=-2.7278137
x=-0.14117432 , y=11.030914 , z=0.34695435
x=-0.9667053 , y=8.688339 , z=2.531601
x=-0.27757263 , y=8.630905 , z=-3.0029907
x=-0.028717041 , y=9.872787 , z=-6.4534454
x=0.5240326 , y=9.250656 , z=-0.727417
x=1.2681885 , y=8.511276 , z=3.4791565
x=0.45224 , y=10.042679 , z=-0.30389404
x=0.59820557 , y=10.088135 , z=-5.338394
x=2.560318 , y=10.217346 , z=-0.011962891
x=1.5816498 , y=9.085556 , z=-0.40438843
x=-2.050644 , y=9.51387 , z=-2.4693909
x=-1.6510468 , y=10.832306 , z=-2.383255
x=1.2562256 , y=10.262817 , z=0.727417
x=3.0795593 , y=8.621338 , z=-1.5505524
x=2.3018951 , y=10.018753 , z=-2.7684937
x=0.12921143 , y=10.9088745 , z=-0.17945862
x=-1.076767 , y=9.028122 , z=2.7134552
x=-0.66041565 , y=8.752945 , z=-1.701294
x=0.2368927 , y=9.540192 , z=-6.283554
x=0.8685913 , y=9.396622 , z=-2.1272125
x=1.1820526 , y=8.336594 , z=2.0650024
x=0.16270447 , y=10.358536 , z=1.2346954
x=0.27757263 , y=10.258026 , z=-4.1826477
x=2.1272125 , y=9.71965 , z=-1.7467651
x=2.1032867 , y=9.784256 , z=-0.22492981
x=-1.3782654 , y=9.317657 , z=-3.529419
x=-2.3808594 , y=10.382462 , z=-2.2085724
x=0.49531555 , y=10.719849 , z=0.39720154
x=2.6392822 , y=9.511475 , z=-0.68673706
x=3.1130676 , y=8.745773 , z=-3.500702
x=1.146164 , y=10.554749 , z=-0.55513
x=-1.0648041 , y=9.793823 , z=2.354538
x=-1.2538452 , y=8.664413 , z=-0.16749573
x=-0.23928833 , y=9.128616 , z=-5.09671
x=0.7896271 , y=9.449265 , z=-2.8091736
x=1.5984039 , y=8.307877 , z=1.758728
x=0.6197357 , y=9.808182 , z=1.3447723
