x=0.22491873611424193 , y=4.554671162493346 , z=-0.0011977966001809975
x=-0.3995986785202554 , y=4.426651882550434 , z=-1.948921878382397
x=0.37806122755012195 , y=5.116971817417804 , z=0.1938141708980768
x=1.125806735726807 , y=5.468712036874777 , z=-0.11006758949561304
x=0.3972030853198934 , y=4.866929869810594 , z=-2.5327676135546975
x=-0.30507955699387085 , y=5.212681106266662 , z=-1.6247004636187545
x=0.10050047524958139 , y=5.240199910959992 , z=1.125806735726807
x=0.6651967233744023 , y=4.559454719616362 , z=-0.2488517802847374
x=0.8183315855325741 , y=4.764033801360651 , z=-1.6677753655590215
x=0.6879243416670086 , y=5.474693390597974 , z=-0.486931020445554
x=0.07298167055625109 , y=4.455368483843945 , z=0.6687824838972372
x=-0.6161404677109386 , y=4.241214658575916 , z=-0.25841889453076905
x=-0.3672963167039093 , y=4.730541272221831 , z=-1.87115665070313
x=0.486931020445554 , y=4.945885264812334 , z=-0.5826403092944114
x=0.8865296989658094 , y=4.476905934814079 , z=0.5383752400316716
x=0.4223262968128617 , y=4.345300894348332 , z=-0.8039732848858185
x=0.13399300438840037 , y=4.884873930980184 , z=-1.4392632396442366
x=0.5455543903550494 , y=5.618261138510114 , z=0.3637029269033663
x=0.5347894795088368 , y=4.816675817546949 , z=-1.0731647195405083
x=-0.150746898235518 , y=4.613294532402841 , z=-2.0015638945686955
x=-0.11246318269597505 , y=5.332323439286014 , z=-0.827906329056314
x=0.3445610691335948 , y=5.125348764341363 , z=0.9666828905677302
x=0.784831427116047 , y=4.267535666669065 , z=-0.8805483452426126
x=0.9104551138585967 , y=4.93392255736594 , z=-1.1712696015897277
x=0.490524410246097 , y=5.36342800450218 , z=0.21415382526802929
x=-0.0981048820492194 , y=4.493652199383488 , z=1.1102506384798703
x=-0.4211285002126807 , y=4.2759049843149155 , z=-1.606756402449164
x=-0.2189373823910451 , y=4.78198549180795 , z=-2.386804272442195
x=0.3421654759332328 , y=4.774806341484571 , z=-0.04904862638575562
x=0.5311960897082938 , y=4.455368483843945 , z=1.132985886050185
x=0.28354210602373736 , y=4.81787361414713 , z=-0.9044737601353999
x=0.5706776018480177 , y=4.975799662706026 , z=-2.0099408414922544
x=1.122213345926264 , y=5.279681423099716 , z=0.21415382526802929
x=0.4079679961661061 , y=4.5223688006769995 , z=-0.7082639960369611
x=-0.9200298573823366 , y=4.732929236144486 , z=-1.5577001467857003
x=-0.4642034021529477 , y=5.493835248367746 , z=-0.6819429879438118
x=0.7022826423137642 , y=4.967422715782467 , z=0.6472450329271037
x=1.502670166676748 , y=4.141911979926515 , z=-0.7118573858375041
x=1.1078626745572164 , y=5.180378744450316 , z=-1.3638859758876236
x=-0.07058607735588909 , y=5.515372699337878 , z=0.17347451652812432
x=-0.48334525992271915 , y=4.344103097748151 , z=1.2657810938384042
x=-0.13878419078912435 , y=4.315386496454639 , z=-1.5014723700765669
x=-0.01435830064675565 , y=4.9363181505663025 , z=-3.226673308944903
x=0.2620122843313121 , y=4.625257239849234 , z=-0.3637029269033663
