bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
-0.42714164,0.3923372,9.304359,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31058449,0
-4.490027E-9,-1.2212453E-15,9.729103,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31058510,0
-5.125185E-9,0.0,9.606467,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31058533,0
8.120603E-12,-1.700029E-15,9.778932,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31058570,0
-3.2547966E-8,-1.3322676E-15,9.506849,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31058609,0
1.2032476E-9,-1.110223E-16,9.992262,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31058620,0
5.0717528E-8,-5.551115E-16,9.632941,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31058647,0
-2.1676072E-8,-3.330669E-16,9.448289,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31058658,0
-0.9076707,0.9505088,9.275398,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31058686,0
-1.6202216E-9,-1.5543122E-15,9.812649,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31058695,0
-2.0243078E-8,5.551115E-16,9.944252,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31058724,0
0.43343762,1.3536128,9.562221,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31058743,0
-0.31071436,1.7867234,8.919951,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31058763,0
0.49340305,1.2749865,9.919215,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31058776,0
0.27222863,1.2271843,9.4823065,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31058802,0
0.38635907,1.2042522,9.643298,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31058810,0
2.3767985E-5,1.3030684,8.955978,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31058840,0
0.40585274,1.9310275,9.830572,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31058858,0
0.46539393,0.80486387,9.697531,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31058879,0
0.18635854,1.3023368,9.5854225,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31058895,0
0.23741609,0.95710737,8.985527,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31058916,0
0.1338481,1.6457388,9.965873,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31058926,0
0.7602815,1.5303996,9.463207,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31058955,0
-0.052678898,1.111815,9.530922,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31058993,0
0.6105863,1.0214773,9.300293,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31059007,0
-0.3100193,1.8222156,9.280229,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31059033,0
0.5957074,1.4469118,9.857827,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31059042,0
0.23973306,0.7710646,9.650678,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31059070,0
0.63585144,1.2815832,9.434819,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31059083,0
-0.025055077,1.7649473,8.958673,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31059109,0
0.4600276,1.2090316,10.093405,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31059128,0
0.73537874,1.1247911,9.423319,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31059150,0
0.26542395,1.8077757,9.511852,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31059167,0
0.4359082,0.6401393,9.316686,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31059186,0
-0.07354643,1.4338468,9.574253,23.55661749,87.3078589,47.80324935913086,3.216,0.0,31059196,0
1.1344471,2.068086,9.37111,23.55661452,87.30784449,-102.6028060913086,3.216,0.0,31059223,0
0.2673287,0.65308815,9.830954,23.55661452,87.30784449,-102.6028060913086,3.216,0.0,31059250,0
0.08873777,0.75328374,9.41301,23.55661452,87.30784449,-102.6028060913086,3.216,0.0,31059263,0
-0.5292879,2.0811818,9.075776,23.55661452,87.30784449,-102.6028060913086,3.216,0.0,31059270,0
1.7240547,1.559239,9.861665,23.55661452,87.30784449,-102.6028060913086,3.216,0.0,31059300,0
1.0829742,0.77149475,9.618387,23.55661452,87.30784449,-102.6028060913086,3.216,0.0,31059308,0
-0.011279792,1.3211075,9.56036,23.55661452,87.30784449,-102.6028060913086,3.216,0.0,31059339,0
-0.6247727,1.6220828,8.904603,23.55661452,87.30784449,-102.6028060913086,3.216,0.0,31059349,0
0.85703874,1.055865,10.036976,23.55661452,87.30784449,-102.6028060913086,3.216,0.0,31059377,0
