bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
1.2511439,-0.66004205,9.178011,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431271,0
2.1153963E-9,2.220446E-16,9.4715185,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431290,0
-0.75025326,-1.4052796,10.327642,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431334,0
-2.3500812E-8,-1.5820678E-15,10.135376,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431368,0
5.439127E-9,-1.2212453E-15,10.070317,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431404,0
4.431798,-1.555427,10.511104,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431414,0
-1.2537696,0.041734304,8.99425,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431443,0
-3.0538893,0.8583856,8.771767,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431457,0
-0.12499603,-0.5149862,10.552385,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431481,0
3.3619003,-1.1754596,9.742199,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431490,0
-1.5477023,0.10580921,9.19695,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431521,0
-1.5018733,0.20718838,9.252441,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431535,0
-6.5282864E-9,-1.3322676E-15,10.18294,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431558,0
-2.2095271E-8,-1.9428903E-15,9.880105,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431575,0
-8.322594E-9,-1.110223E-15,9.543596,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431596,0
0.4086208,-0.256011,9.058097,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431603,0
5.7015734E-9,-1.2212453E-15,10.112917,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431637,0
-1.822443E-8,-1.762479E-15,10.089709,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431655,0
-2.546116,0.514514,8.941736,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431673,0
-2.1244495,0.4347587,8.802367,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431681,0
-2.4399545,0.32456595,10.042528,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431711,0
2.4861313E-8,-1.9984014E-15,9.626331,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431723,0
-2.8304431,-0.43287936,9.175403,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431749,0
-1.5481026,-0.78808403,9.090143,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431789,0
-2.638079,0.097265266,9.403085,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431808,0
-0.4644222,-0.049637012,10.010216,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431827,0
-2.5272272,-0.9501684,9.254235,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431841,0
-1.5089655,-0.7081918,9.146031,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431864,0
-2.5412617,0.33348832,9.153029,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431877,0
-0.9739547,-0.23354732,10.189077,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431902,0
-2.1685853,-1.0211049,9.165548,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431911,0
-1.6943074,-1.0914749,9.356948,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431940,0
-2.4804661,0.64143485,8.790468,23.55675494,87.3038131,-81.82662200927734,3.216,0.0,29431952,0
