bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
-1.7863505,2.002211,8.903796,23.55676555,87.3038195,-3.5143208503723145,3.216,0.0,29630508,0
-0.074020565,-0.3824663,9.003352,23.55676555,87.3038195,-3.5143208503723145,3.216,0.0,29630530,0
-0.9959552,1.4370896,10.8585005,23.55676555,87.3038195,-3.5143208503723145,3.216,0.0,29630564,1
-0.054859918,0.2891197,9.102871,23.55676555,87.3038195,-3.5143208503723145,3.216,0.0,29630601,0
-1.0335994,1.5473846,10.41476,23.55676555,87.3038195,-3.5143208503723145,3.216,0.0,29630639,0
0.3468894,-0.7877496,9.037048,23.55676555,87.3038195,-3.5143208503723145,3.216,0.0,29630678,0
0.73426443,-1.2771811,8.908451,23.55676555,87.3038195,-3.5143208503723145,3.216,0.0,29630696,0
-0.40453976,0.5761578,10.614234,23.55676555,87.3038195,-3.5143208503723145,3.216,0.0,29630720,0
8.8333024E-10,-2.220446E-16,9.928899,23.55676555,87.3038195,-3.5143208503723145,3.216,0.0,29630731,0
0.030986793,-1.9574432,8.854941,23.55676555,87.3038195,-3.5143208503723145,3.216,0.0,29630754,0
0.74470025,-2.2482057,8.955942,23.55676555,87.3038195,-3.5143208503723145,3.216,0.0,29630794,0
-9.988007E-9,-8.881784E-16,10.148954,23.55676555,87.3038195,-3.5143208503723145,3.216,0.0,29630809,0
2.0562592E-9,-1.5543122E-15,10.006569,23.55676555,87.3038195,-3.5143208503723145,3.216,0.0,29630833,0
0.051637992,-1.6844071,9.141132,23.55676555,87.3038195,-3.5143208503723145,3.216,0.0,29630847,0
6.0178196E-10,-9.15934E-16,9.453914,23.55676555,87.3038195,-3.5143208503723145,3.216,0.0,29630870,0
-0.9337575,0.92722833,9.205969,23.55676555,87.3038195,-3.5143208503723145,3.216,0.0,29630878,0
-0.8805567,1.5439858,10.2990265,23.55676555,87.3038195,-3.5143208503723145,3.216,0.0,29630909,0
