bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
-1.302504E-8,-6.661338E-16,10.052386,23.55661766,87.30760043,-90.12606811523438,3.216,0.0,29940484,0
-2.967894,2.1208477,8.379048,23.55661766,87.30760043,-90.12606811523438,3.216,0.0,29940522,0
-2.4810018E-9,-1.7763568E-15,10.099401,23.55661766,87.30760043,-90.12606811523438,3.216,0.0,29940551,0
0.29869416,-1.2469529,8.970678,23.55661766,87.30760043,-90.12606811523438,3.216,0.0,29940587,0
5.8786237E-10,0.0,9.599833,23.55661766,87.30760043,-90.12606811523438,3.216,0.0,29940626,0
-0.56884134,-0.59402525,8.753436,23.55661766,87.30760043,-90.12606811523438,3.216,0.0,29940633,0
1.8902432E-8,-4.440892E-16,9.406941,23.55661766,87.30760043,-90.12606811523438,3.216,0.0,29940665,0
1.4547827E-8,4.440892E-16,9.410193,23.55661766,87.30760043,-90.12606811523438,3.216,0.0,29940703,0
-1.0851771,-1.1491433,8.985409,23.55661766,87.30760043,-90.12606811523438,3.216,0.0,29940711,0
0.2661199,-1.6975706,9.1723995,23.55661766,87.30760043,-90.12606811523438,3.216,0.0,29940743,0
-1.3315729,0.04118026,10.330704,23.55661766,87.30760043,-90.12606811523438,3.216,0.0,29940762,0
1.7979087E-9,-1.7763568E-15,9.851562,23.55661766,87.30760043,-90.12606811523438,3.216,0.0,29940784,0
-0.76829326,-0.9059256,9.199287,23.55661766,87.30760043,-90.12606811523438,3.216,0.0,29940798,0
0.2665066,-1.2114173,9.024113,23.55661766,87.30760043,-90.12606811523438,3.216,0.0,29940817,0
8.424266E-11,-1.3322676E-15,10.153698,23.55661766,87.30760043,-90.12606811523438,3.216,0.0,29940855,0
-0.7184355,-1.4752891,9.249415,23.55661766,87.30760043,-90.12606811523438,3.216,0.0,29940871,0
0.61608624,-2.0108254,8.598708,23.55661766,87.30760043,-90.12606811523438,3.216,0.0,29940893,0
6.4182917E-9,-4.440892E-16,9.910941,23.55661766,87.30760043,-90.12606811523438,3.216,0.0,29940936,0
1.4927452,-0.80875826,10.450037,23.55661766,87.30760043,-90.12606811523438,3.216,0.0,29940956,0
