x=-1.912 , y=5.196 , z=11.302
x=-1.236 , y=4.157 , z=10.687
x=-0.381 , y=3.721 , z=7.796
x=-0.034 , y=4.025 , z=7.644
x=1.217 , y=6.052 , z=9.636
x=1.858 , y=7.515 , z=10.748
x=2.618 , y=7.638 , z=7.641
x=2.375 , y=5.865 , z=3.48
x=1.824 , y=4.789 , z=1.426
x=0.92 , y=6.1 , z=3.303
x=0.499 , y=8.419 , z=7.313
x=0.26 , y=9.532 , z=9.413
x=-0.022 , y=9.264 , z=9.813
x=0.389 , y=9.759 , z=10.197
x=0.82 , y=11.153 , z=10.606
x=0.766 , y=10.978 , z=8.63
x=0.872 , y=7.128 , z=3.886
x=1.265 , y=2.688 , z=-1.88
x=1.908 , y=1.526 , z=-2.261
x=1.59 , y=4.62 , z=3.961
x=0.201 , y=7.861 , z=12.454
x=-1.74 , y=7.304 , z=15.212
x=-4.369 , y=3.677 , z=9.068
x=-4.365 , y=0.592 , z=5.419
x=-4.939 , y=1.474 , z=4.744
x=-4.461 , y=5.36 , z=10.034
x=-2.281 , y=8.432 , z=14.624
x=-0.515 , y=6.047 , z=12.406
x=0.662 , y=1.356 , z=7.683
x=1.672 , y=-0.146 , z=8.729
x=2.098 , y=2.695 , z=13.375
x=0.922 , y=5.853 , z=15.758
x=-1.095 , y=4.953 , z=14.277
x=-2.871 , y=1.398 , z=8.784
x=-3.797 , y=-0.468 , z=4.576
x=-3.83 , y=1.28 , z=4.903
x=-3.252 , y=4.364 , z=11.533
x=-1.884 , y=6.12 , z=16.586
x=-0.552 , y=4.406 , z=15.522
x=1.587 , y=0.67 , z=8.79
x=2.69 , y=-1.892 , z=4.841
x=2.689 , y=-0.326 , z=7.724
x=1.914 , y=3.972 , z=13.907
x=0.023 , y=6.985 , z=15.706
x=-2.564 , y=6.101 , z=12.437
x=-4.172 , y=4.505 , z=8.028
x=-4.449 , y=5.524 , z=6.116
x=-2.336 , y=8.84 , z=8.74
x=-0.119 , y=10.605 , z=9.991
x=2.677 , y=7.984 , z=7.91
x=5.517 , y=4.267 , z=3.282
x=7.547 , y=2.436 , z=0.896
x=7.171 , y=4.357 , z=3.85
x=5.218 , y=7.398 , z=8.605
x=2.711 , y=8.43 , z=9.749
x=-0.247 , y=7.16 , z=5.004
x=-2.918 , y=5.272 , z=1.726
x=-4.332 , y=4.885 , z=1.971
x=-4.029 , y=6.028 , z=7.403
x=-2.239 , y=7.316 , z=13.235
x=-1.025 , y=6.342 , z=15.189
x=0.598 , y=3.679 , z=13.917
x=1.915 , y=2.745 , z=12.281
x=2.422 , y=5.272 , z=11.235
x=2.595 , y=8.608 , z=12.488
x=1.447 , y=9.241 , z=9.865
x=0.566 , y=7.346 , z=5.363
x=0.693 , y=7.363 , z=1.519
x=2.65 , y=7.898 , z=3.183
x=1.994 , y=8.341 , z=3.246
x=2.182 , y=7.884 , z=5.058
x=2.386 , y=7.025 , z=5.883
x=0.513 , y=5.142 , z=4.184
x=-2.361 , y=2.273 , z=2.879
x=-4.248 , y=1.853 , z=6.082
x=-6.052 , y=4.471 , z=9.63
x=-6.709 , y=5.855 , z=11.471
x=-6.873 , y=5.857 , z=11.801
x=-5.5 , y=6.069 , z=13.465
x=-3.53 , y=7.037 , z=16.583
x=-2.153 , y=6.348 , z=16.255
x=-1.024 , y=1.954 , z=12.825
x=0.555 , y=-2.339 , z=10.022
x=1.709 , y=-1.965 , z=11.124
x=2.437 , y=1.916 , z=15.424
x=1.677 , y=5.226 , z=18.551
x=0.384 , y=5.621 , z=16.651
x=0.023 , y=3.669 , z=10.475
x=-0.451 , y=2.444 , z=3.221
x=-0.492 , y=2.9 , z=1.053
x=-0.082 , y=5.097 , z=5.821
x=0.409 , y=7.318 , z=9.332
x=0.07 , y=6.39 , z=8.054
x=0.02 , y=2.796 , z=3.559
x=0.179 , y=1.246 , z=0.347
x=1.609 , y=6.379 , z=5.389
x=2.289 , y=14.099 , z=12.98
x=2.523 , y=16.633 , z=16.826
x=1.447 , y=10.988 , z=7.821
x=1.8 , y=3.155 , z=-1.072
x=1.25 , y=-0.397 , z=-7.15
x=0.474 , y=3.22 , z=-0.355
x=0.058 , y=9.907 , z=10.646
x=-1.855 , y=13.35 , z=15.081
x=-3.251 , y=9.427 , z=10.79
x=-4.551 , y=2.979 , z=5.108
x=-5.226 , y=-0.343 , z=3.394
x=-3.861 , y=1.663 , z=7.858
x=-2.131 , y=5.698 , z=14.298
x=-0.39 , y=8.397 , z=18.6
x=0.787 , y=8.661 , z=18.636
x=2.015 , y=8.126 , z=16.836
x=2.068 , y=6.507 , z=13.341
x=1.806 , y=4.337 , z=10.14
x=1.804 , y=3.264 , z=6.944
x=4.111 , y=2.879 , z=8.447
x=3.266 , y=5.005 , z=7.442
x=2.417 , y=6.319 , z=10.331
x=0.476 , y=5.836 , z=11.537
