BUMPER : 1
time : 2019-11-02 10:00:45
position : 23.560661666666668 , 87.29871666666668
----------------------------------
ACCELEROMETER DATA
----------------------------------
x=5.14 , y=-6.598 , z=0.606
x=2.726 , y=-4.692 , z=12.864
x=-2.087 , y=-3.812 , z=21.412
x=-3.391 , y=-6.252 , z=29.173
x=-6.382 , y=-12.337 , z=23.562
x=-6.955 , y=-16.494 , z=24.12
x=-5.601 , y=-16.384 , z=27.447
x=-4.961 , y=-16.141 , z=30.981
x=-4.087 , y=-17.144 , z=30.145
x=-3.619 , y=-19.562 , z=31.227
x=-4.453 , y=-24.013 , z=26.263
x=-3.891 , y=-22.718 , z=23.957
x=-5.942 , y=-21.703 , z=23.971
x=-6.612 , y=-17.751 , z=35.039
x=-5.985 , y=-17.153 , z=38.348
x=-5.503 , y=-15.799 , z=37.577
x=-3.012 , y=-16.406 , z=35.919
x=-2.838 , y=-13.848 , z=31.673
x=-2.845 , y=-10.355 , z=25.246
x=-3.636 , y=-5.963 , z=20.344
x=-5.986 , y=-4.123 , z=17.486
x=-7.588 , y=-4.069 , z=9.306
x=-7.108 , y=-2.941 , z=1.167
x=-4.612 , y=1.836 , z=-1.927
x=-1.532 , y=3.317 , z=-0.739
x=3.096 , y=6.453 , z=-1.074
x=7.656 , y=9.595 , z=-5.743
x=12.53 , y=15.359 , z=-11.239
x=15.014 , y=21.55 , z=-18.629
x=15.063 , y=24.512 , z=-27.185
x=12.133 , y=28.351 , z=-36.105
x=10.344 , y=33.636 , z=-36.021
-----------------------------------
GPS DATA
-----------------------------------
 23.557615000000002 , 87.29869166666667 , 43.00627670288086
 23.55773333333333 , 87.29870166666666 , 43.53067474365235
 23.557865 , 87.29868333333334 , 42.554144668579106
 23.557961666666664 , 87.29868666666668 , 42.144632720947264
 23.558065000000003 , 87.29867666666665 , 42.19281120300293
 23.558170000000004 , 87.29867 , 43.189724349975585
 23.558275000000002 , 87.29867333333335 , 43.51029167175293
 23.55837166666667 , 87.29867166666666 , 43.47323341369629
 23.55848 , 87.29867333333335 , 42.863595199584964
 23.55858 , 87.298675 , 43.55105781555176
 23.558693333333334 , 87.298675 , 42.0408634185791
 23.55879333333333 , 87.29867 , 42.735738372802736
 23.558913333333333 , 87.29868166666665 , 44.12919616699219
 23.559021666666663 , 87.29869 , 44.798129653930665
 23.559131666666666 , 87.298705 , 44.8926326751709
 23.55924333333333 , 87.29870166666666 , 42.84877052307129
 23.55934 , 87.298675 , 41.20516090393067
 23.559453333333334 , 87.29865 , 36.515217590332036
 23.559545000000004 , 87.29863666666667 , 32.39600028991699
 23.559618333333333 , 87.29861833333334 , 30.394758224487305
 23.559684999999998 , 87.29860666666667 , 28.743736267089844
 23.559761666666667 , 87.29862 , 30.05009994506836
 23.559835 , 87.29864500000001 , 32.008721923828126
 23.559915 , 87.29867333333335 , 33.44850425720215
 23.56 , 87.29869333333333 , 35.94819946289063
