x,y,z
-0.834 , 4.2 , 8.902
-0.831 , 4.156 , 8.908
-0.838 , 4.191 , 8.99
-0.824 , 4.199 , 8.871
-0.877 , 4.209 , 8.879
-0.84 , 4.203 , 8.91
-0.903 , 4.102 , 8.85
-0.836 , 4.138 , 8.96
-0.879 , 4.133 , 8.92
-0.864 , 4.169 , 8.927
-0.847 , 4.128 , 8.989
-0.812 , 4.161 , 8.932
-0.862 , 4.195 , 8.909
-0.829 , 4.133 , 8.934
-0.791 , 4.128 , 8.963
-0.834 , 4.149 , 8.901
-0.835 , 4.209 , 8.904
-0.873 , 4.171 , 8.923
-0.846 , 4.194 , 8.877
-0.872 , 4.186 , 8.954
-0.914 , 4.28 , 8.96
-0.949 , 4.197 , 8.913
-0.917 , 4.246 , 9.024
-0.931 , 4.194 , 8.929
-0.922 , 4.2 , 8.956
-0.939 , 4.229 , 8.963
-0.922 , 4.267 , 8.942
-0.946 , 4.242 , 8.938
-0.892 , 4.292 , 8.963
-0.913 , 4.274 , 8.916
-0.923 , 4.266 , 8.886
-0.909 , 4.314 , 8.897
-0.903 , 4.343 , 8.915
-0.913 , 4.3 , 8.91
-0.908 , 4.253 , 8.911
-0.899 , 4.297 , 8.886
-0.886 , 4.327 , 8.909
-0.882 , 4.283 , 8.957
-0.917 , 4.276 , 8.95
-0.879 , 4.262 , 8.91
-0.872 , 4.258 , 8.904
-0.919 , 4.268 , 8.933
-0.927 , 4.236 , 8.959
-0.981 , 4.157 , 8.884
-0.971 , 4.192 , 8.887
-0.913 , 4.188 , 8.892
-0.957 , 4.231 , 8.91
-0.935 , 4.176 , 8.918
-0.929 , 4.204 , 9.03
-0.91 , 4.205 , 8.951
-0.882 , 4.15 , 8.924
-0.831 , 4.16 , 8.903
-0.909 , 4.13 , 8.911
-0.897 , 4.16 , 8.959
-0.865 , 4.212 , 8.911
-0.873 , 4.174 , 8.829
-0.898 , 4.156 , 8.859
-0.902 , 4.148 , 8.837
-0.908 , 4.203 , 8.917
-0.899 , 4.174 , 8.929
-0.854 , 4.143 , 8.902
-0.897 , 4.137 , 8.873
-0.901 , 4.122 , 8.914
-0.846 , 4.142 , 8.941
-0.893 , 4.167 , 8.921
-0.873 , 4.14 , 8.933
-0.871 , 4.101 , 8.928
-0.85 , 4.028 , 8.898
-0.879 , 4.051 , 8.968
-0.897 , 4.119 , 8.982
-0.914 , 4.089 , 8.998
-0.959 , 4.067 , 9.002
-0.831 , 4.137 , 8.942
-0.858 , 4.169 , 8.903
-0.893 , 4.127 , 8.849
-0.849 , 4.181 , 8.855
-0.892 , 4.199 , 8.974
-0.88 , 4.175 , 8.884
-0.899 , 4.182 , 8.832
-0.884 , 4.163 , 8.859
-0.861 , 4.166 , 8.891
-0.905 , 4.181 , 8.883
-0.877 , 4.167 , 8.863
-0.874 , 4.216 , 8.887
-0.905 , 4.228 , 8.863
-0.892 , 4.173 , 8.911
-0.891 , 4.249 , 8.875
-0.892 , 4.209 , 8.976
-0.907 , 4.205 , 8.966
-0.947 , 4.203 , 8.993
-0.928 , 4.193 , 8.989
-0.892 , 4.158 , 8.952
-0.886 , 4.207 , 8.958
-0.837 , 4.191 , 8.935
-0.944 , 4.234 , 8.892
-0.876 , 4.198 , 8.932
-0.89 , 4.298 , 8.917
-0.902 , 4.249 , 8.902
-0.92 , 4.268 , 8.92
-0.899 , 4.251 , 8.95
-0.866 , 4.265 , 8.866
-0.919 , 4.282 , 8.883
-0.921 , 4.268 , 8.861
-0.891 , 4.29 , 8.908
-0.866 , 4.271 , 8.877
-0.874 , 4.258 , 8.856
-0.838 , 4.318 , 8.88
-0.876 , 4.33 , 8.922
-0.891 , 4.237 , 8.863
-0.864 , 4.288 , 8.904
-0.855 , 4.279 , 8.865
-0.793 , 4.286 , 8.908
-0.799 , 4.267 , 8.935
-0.823 , 4.313 , 8.907
-0.837 , 4.223 , 8.929
-0.831 , 4.277 , 8.917
-0.854 , 4.231 , 8.926
-0.813 , 4.278 , 8.923
-0.795 , 4.284 , 8.971
-0.799 , 4.234 , 8.942
-0.782 , 4.239 , 8.902
-0.764 , 4.278 , 8.921
-0.791 , 4.266 , 8.855
-0.82 , 4.273 , 8.859
-0.831 , 4.314 , 8.954
-0.832 , 4.325 , 8.898
-0.788 , 4.343 , 8.94
-0.765 , 4.332 , 8.881
-0.795 , 4.343 , 8.929
-0.715 , 4.339 , 8.904
-0.719 , 4.309 , 8.969
-0.713 , 4.304 , 8.904
-0.722 , 4.377 , 8.854
-0.734 , 4.319 , 8.891
-0.689 , 4.351 , 8.891
-0.734 , 4.33 , 8.895
-0.727 , 4.341 , 8.983
-0.743 , 4.301 , 8.91
-0.733 , 4.284 , 8.941
-0.703 , 4.264 , 8.902
-0.765 , 4.262 , 8.891
-0.728 , 4.259 , 8.911
-0.764 , 4.262 , 8.965
-0.7 , 4.256 , 8.895
-0.759 , 4.267 , 8.942
-0.734 , 4.272 , 8.935
-0.768 , 4.236 , 8.972
-0.735 , 4.23 , 8.936
-0.788 , 4.304 , 8.917
-0.786 , 4.288 , 8.941
-0.762 , 4.237 , 8.924
-0.756 , 4.294 , 8.86
-0.791 , 4.273 , 8.885
-0.735 , 4.27 , 8.905
-0.688 , 4.245 , 8.883
-0.805 , 4.227 , 8.929
-0.795 , 4.237 , 8.911
-0.786 , 4.241 , 8.868
-0.825 , 4.239 , 8.886
-0.846 , 4.276 , 8.854
-0.823 , 4.204 , 8.839
-0.8 , 4.271 , 8.863
-0.813 , 4.252 , 8.921
-0.822 , 4.237 , 8.905
-0.793 , 4.23 , 8.909
-0.853 , 4.174 , 8.859
-0.865 , 4.222 , 8.91
-0.807 , 4.258 , 8.936
-0.798 , 4.217 , 8.936
-0.753 , 4.203 , 8.922
-0.762 , 4.224 , 8.975
-0.783 , 4.144 , 8.934
-0.798 , 4.173 , 8.902
-0.831 , 4.187 , 8.963
-0.824 , 4.206 , 8.944
-0.838 , 4.234 , 8.936
-0.81 , 4.201 , 8.96
-0.786 , 4.193 , 8.947
-0.848 , 4.233 , 8.93
-0.792 , 4.195 , 8.91
-0.812 , 4.245 , 8.897
-0.83 , 4.211 , 8.911
-0.853 , 4.212 , 8.936
-0.844 , 4.194 , 8.984
-0.834 , 4.187 , 8.897
-0.826 , 4.193 , 8.905
-0.836 , 4.195 , 8.944
-0.818 , 4.213 , 8.899
-0.818 , 4.203 , 8.896
-0.826 , 4.138 , 8.933
-0.871 , 4.137 , 8.924
-0.82 , 4.207 , 8.97
-0.831 , 4.187 , 8.97
-0.84 , 4.192 , 8.968
-0.925 , 4.171 , 8.945
-0.938 , 4.182 , 8.938
-0.932 , 4.132 , 8.939
-0.911 , 4.156 , 8.938
-0.897 , 4.216 , 8.893
-0.914 , 4.151 , 8.874
-0.814 , 4.143 , 8.859
-0.844 , 4.078 , 8.917
-0.871 , 4.217 , 8.901
-0.838 , 4.179 , 8.941
-0.852 , 4.236 , 8.976
-0.925 , 4.187 , 9.0
-0.885 , 4.204 , 9.035
-0.915 , 4.212 , 9.018
-0.922 , 4.199 , 8.951
-0.935 , 4.128 , 9.067
-0.867 , 4.168 , 9.005
-0.873 , 4.205 , 8.896
-0.813 , 4.14 , 8.948
-0.765 , 4.173 , 8.867
-0.817 , 4.185 , 8.879
-0.777 , 4.206 , 8.879
-0.832 , 4.182 , 8.875
-0.862 , 4.203 , 8.873
-0.891 , 4.173 , 8.838
-0.911 , 4.199 , 8.901
-0.905 , 4.161 , 8.908
-0.923 , 4.154 , 8.915
-0.97 , 4.199 , 8.944
-0.829 , 4.118 , 8.891
