x=-0.32225037 , y=1.6885071 , z=4.2694244
x=-0.7733154 , y=3.7698517 , z=12.538239
x=0.7296295 , y=3.628769 , z=12.606796
x=-1.4314117 , y=1.4017792 , z=8.108017
x=-2.58609 , y=2.0339203 , z=11.659454
x=0.66807556 , y=2.8567657 , z=7.5337524
x=0.55044556 , y=3.71846 , z=5.3686676
x=-3.468811 , y=2.8136597 , z=8.207062
x=-1.7819061 , y=2.076889 , z=9.886581
x=4.367264 , y=2.8745575 , z=10.886276
x=3.526657 , y=3.9449615 , z=12.569916
x=-3.121872 , y=2.3867798 , z=7.5977783
x=-4.930084 , y=2.6272278 , z=7.8460236
x=0.33216858 , y=4.1335907 , z=10.692551
x=3.0427094 , y=3.0681152 , z=6.280319
x=0.59625244 , y=2.2677155 , z=5.919754
x=-0.65382385 , y=3.119278 , z=11.28923
x=-0.5757141 , y=2.4657898 , z=11.054764
x=-2.0798798 , y=1.1977844 , z=11.061218
x=-1.3026886 , y=1.2313385 , z=12.745239
x=2.293106 , y=2.2498016 , z=9.488846
x=1.3512268 , y=3.0942078 , z=6.9308014
x=-3.8285217 , y=2.9712524 , z=8.673462
x=-3.4947357 , y=2.0369873 , z=8.330505
x=2.8825226 , y=2.7081757 , z=7.8230133
x=3.9842377 , y=4.993164 , z=13.265976
x=-1.8234558 , y=2.8566437 , z=7.868408
x=-5.1441803 , y=2.6730804 , z=6.0964355
x=-0.4833374 , y=4.8937225 , z=12.513992
x=3.778183 , y=3.5123444 , z=7.3404846
x=2.0472717 , y=1.9913788 , z=2.517044
x=-0.33973694 , y=3.9847565 , z=11.861389
x=-1.434967 , y=3.374405 , z=13.150391
x=-2.5976257 , y=0.32551575 , z=7.3285065
x=-0.83651733 , y=1.627594 , z=12.862289
x=2.8787537 , y=2.6003723 , z=10.112854
x=0.8059082 , y=2.6901855 , z=6.1260834
x=-4.5 , y=2.1011047 , z=8.148468
x=-2.4953613 , y=2.1555939 , z=9.999023
