x,y,z
-0.32225037 , 1.6885071 , 4.2694244
-0.7733154 , 3.7698517 , 12.538239
0.7296295 , 3.628769 , 12.606796
-1.4314117 , 1.4017792 , 8.108017
-2.58609 , 2.0339203 , 11.659454
0.66807556 , 2.8567657 , 7.5337524
0.55044556 , 3.71846 , 5.3686676
-3.468811 , 2.8136597 , 8.207062
-1.7819061 , 2.076889 , 9.886581
4.367264 , 2.8745575 , 10.886276
3.526657 , 3.9449615 , 12.569916
-3.121872 , 2.3867798 , 7.5977783
-4.930084 , 2.6272278 , 7.8460236
0.33216858 , 4.1335907 , 10.692551
3.0427094 , 3.0681152 , 6.280319
0.59625244 , 2.2677155 , 5.919754
-0.65382385 , 3.119278 , 11.28923
-0.5757141 , 2.4657898 , 11.054764
-2.0798798 , 1.1977844 , 11.061218
-1.3026886 , 1.2313385 , 12.745239
2.293106 , 2.2498016 , 9.488846
1.3512268 , 3.0942078 , 6.9308014
-3.8285217 , 2.9712524 , 8.673462
-3.4947357 , 2.0369873 , 8.330505
2.8825226 , 2.7081757 , 7.8230133
3.9842377 , 4.993164 , 13.265976
-1.8234558 , 2.8566437 , 7.868408
-5.1441803 , 2.6730804 , 6.0964355
-0.4833374 , 4.8937225 , 12.513992
3.778183 , 3.5123444 , 7.3404846
2.0472717 , 1.9913788 , 2.517044
-0.33973694 , 3.9847565 , 11.861389
-1.434967 , 3.374405 , 13.150391
-2.5976257 , 0.32551575 , 7.3285065
-0.83651733 , 1.627594 , 12.862289
2.8787537 , 2.6003723 , 10.112854
0.8059082 , 2.6901855 , 6.1260834
-4.5 , 2.1011047 , 8.148468
-2.4953613 , 2.1555939 , 9.999023
3.7016602 , 3.475586 , 11.832611
3.3617554 , 3.8643494 , 10.923264
-2.105896 , 2.8540344 , 6.564987
-3.135727 , 3.7685547 , 8.672089
0.70840454 , 4.3723755 , 9.1081085
1.5458832 , 2.944046 , 4.7967224
-0.07014465 , 2.9853058 , 8.110062
0.24847412 , 3.5718231 , 12.237534
-0.51597595 , 2.174057 , 9.865555
-2.601593 , 1.295105 , 11.888306
-0.57481384 , 1.4795837 , 12.276581
2.9943542 , 2.6153564 , 7.934967
0.4444275 , 3.1168976 , 6.9796295
-4.1788177 , 2.4524078 , 9.241928
-1.1829529 , 1.3210144 , 7.0726166
4.1852417 , 3.903122 , 12.509628
1.6961517 , 3.972351 , 12.745102
-4.394638 , 1.3894653 , 4.648056
-3.0856628 , 3.6337128 , 9.717255
2.5440826 , 4.434021 , 10.83844
2.446701 , 2.3266907 , 3.5795746
-0.7906952 , 3.074417 , 8.608063
-0.71481323 , 4.220627 , 13.991409
-0.3717804 , 2.0828705 , 8.320496
-1.226471 , 1.4439087 , 9.147568
0.18803406 , 2.6066132 , 12.012131
1.0844574 , 2.734497 , 7.0798492
-2.3679504 , 2.5706177 , 7.354248
-3.3796997 , 2.168457 , 9.811981
1.8796997 , 2.9944 , 11.080688
4.293335 , 3.8939667 , 11.408844
-0.5695038 , 3.1498566 , 8.099136
-4.370819 , 3.1891022 , 7.812332
-1.1151581 , 4.0095367 , 9.229416
2.627884 , 3.1667175 , 5.2570343
1.3483734 , 3.0043488 , 7.1020355
-0.6447296 , 3.6177673 , 12.893585
-1.2978516 , 2.219345 , 10.115753
-2.1118164 , 1.3486176 , 10.113861
-0.408844 , 1.6128998 , 11.954941
2.6325378 , 2.514145 , 9.084412
0.40083313 , 2.6045532 , 6.7789917
-4.5043793 , 2.1269836 , 9.530365
-1.9762421 , 1.2790375 , 8.277649
4.1777344 , 3.6103516 , 12.301941
2.4591064 , 3.8594818 , 11.710587
-3.6302032 , 2.1317291 , 5.507904
-3.8150787 , 3.69281 , 9.682648
1.4339905 , 3.846634 , 8.90715
2.866684 , 2.752716 , 4.1308594
-0.0023040771 , 3.8313293 , 10.468185
-1.683258 , 3.7682648 , 12.964935
-1.7673187 , 1.7588348 , 7.335327
-0.6239166 , 1.994461 , 9.905243
1.7214355 , 2.8248749 , 11.056625
0.87571716 , 2.4792175 , 6.702591
-3.2411346 , 2.1463623 , 7.6787567
-2.7712708 , 2.3686676 , 11.34166
2.2870789 , 3.1117096 , 12.194519
2.9111328 , 3.4230804 , 9.721115
-2.059433 , 3.2135468 , 7.0956726
-3.7257538 , 3.8019562 , 8.282852
0.20501709 , 3.8534698 , 7.4847565
2.3990479 , 2.7997131 , 4.7310944
0.83361816 , 3.3513184 , 10.296417
-0.41282654 , 3.2223053 , 12.761032
-1.5302277 , 2.1022491 , 9.718979
-2.484665 , 1.5705261 , 10.523621
0.21548462 , 2.0462341 , 10.563126
3.0659637 , 2.9324036 , 7.997925
-0.21281433 , 2.7456818 , 8.061951
-3.9445496 , 2.0470276 , 9.991196
-0.5465698 , 1.9815369 , 8.250061
3.2030334 , 4.3003693 , 11.233948
0.28929138 , 3.4535217 , 8.904327
-3.3237152 , 2.099823 , 5.333374
-0.7579193 , 2.9921265 , 8.900681
2.8413239 , 2.7861786 , 10.554474
1.6385345 , 1.0325623 , 7.105606
-0.4577942 , 1.8576202 , 11.841705
0.3748932 , 2.790985 , 14.010208
0.9566803 , 2.1634521 , 8.991745
-0.02519226 , 2.3204956 , 8.518555
0.5402527 , 3.5811462 , 8.451523
1.26828 , 3.7270508 , 6.242508
-0.847702 , 3.7412872 , 8.205627
-2.9791718 , 1.9192352 , 6.1139984
-0.35534668 , 2.785492 , 9.676712
3.008255 , 4.4479218 , 14.560669
1.1431732 , 2.317215 , 6.7628784
-2.8976746 , 1.6238861 , 7.0841675
-2.2992096 , 4.269333 , 15.393204
2.3008575 , 1.7954254 , 4.702194
3.420044 , 2.780014 , 6.576462
1.3363953 , 3.8893127 , 13.413437
-0.13323975 , 2.373413 , 8.230759
-1.9651184 , 3.5580444 , 11.277191
-1.8664856 , 0.7414551 , 7.6324005
1.6517792 , 2.4782562 , 9.21431
1.670044 , 2.4374542 , 9.114914
-2.909607 , 1.2776184 , 11.03804
-3.6063232 , 0.70526123 , 12.566818
1.0730896 , 0.56118774 , 9.694565
3.0825653 , 3.5051575 , 13.31044
-1.1029053 , 2.800827 , 8.922241
-4.900772 , 2.2184906 , 5.5581665
-2.303955 , 3.9613342 , 9.160492
1.9995575 , 4.1194916 , 8.45488
1.9777069 , 3.1615906 , 5.395035
-0.05101013 , 3.838211 , 9.39679
-0.74328613 , 4.1395264 , 11.138046
-1.3090515 , 2.7587585 , 7.6718445
-0.79190063 , 2.3308868 , 7.670105
1.531311 , 3.1130676 , 8.48587
0.7759094 , 2.879013 , 8.033081
-3.04776 , 1.4769287 , 10.174347
-2.6514893 , 0.6492157 , 11.889832
1.6010284 , 2.1188965 , 13.807022
2.2445374 , 2.8918304 , 12.455521
-1.781189 , 1.6932526 , 6.800705
-3.47583 , 2.3407288 , 7.1917725
-0.39219666 , 4.132416 , 10.543594
0.8249512 , 2.6697693 , 5.90007
-0.49525452 , 2.2591248 , 7.4536896
0.5447235 , 3.4418945 , 12.692322
0.9022522 , 3.3042145 , 9.726379
-1.7655945 , 2.2717133 , 7.6971283
-1.7247162 , 2.3043823 , 8.646973
1.647583 , 3.1087646 , 7.870514
1.4367065 , 3.0426636 , 9.623856
-1.8592682 , 2.166977 , 13.13089
-1.936676 , 0.73851013 , 8.022217
0.21276855 , 3.1071167 , 10.6922
0.5727997 , 4.0350647 , 10.832993
-0.20307922 , 2.876297 , 3.8576355
-0.10571289 , 3.111145 , 5.749954
-0.11618042 , 3.341385 , 10.180634
-1.16539 , 1.8636932 , 8.469894
-0.6526947 , 2.2000885 , 13.312729
1.214035 , 2.5995483 , 13.506454
0.90541077 , 1.5320892 , 5.587494
-0.6029053 , 2.902542 , 8.373505
-0.20147705 , 3.6502686 , 11.466782
-0.13703918 , 1.5223694 , 6.7964783
-1.4186096 , 1.4405212 , 9.714661
-1.2954712 , 3.5331573 , 16.417389
-0.10266113 , 2.3647919 , 6.731674
0.07156372 , 3.5505066 , 5.7958374
0.80685425 , 2.9865265 , 7.398361
2.570221 , 3.8247375 , 6.765808
0.7339783 , 4.7375336 , 12.757462
-2.31279 , 2.2067719 , 10.455368
-0.6570587 , 2.7167206 , 7.5411224
3.3090973 , 4.346985 , 10.619385
2.0704498 , 4.495575 , 9.425919
-2.2632904 , 0.9333801 , 2.2529907
-2.903061 , 2.1572113 , 11.065262
-0.15771484 , 3.104599 , 13.572281
0.7792511 , 1.2212982 , 8.58429
0.7113495 , 1.1862793 , 10.06311
1.5784149 , 3.0847015 , 13.195236
0.57328796 , 2.4457245 , 7.8825073
-1.9378052 , 3.2274475 , 9.095169
-1.5911865 , 4.019745 , 11.28894
1.1597137 , 3.727005 , 5.5437317
0.7810364 , 4.1926117 , 6.1797943
-1.5983582 , 3.4389496 , 7.3773193
-1.8916168 , 3.7198334 , 9.986084
-0.83070374 , 1.3981171 , 7.4895325
-0.07102966 , 2.928711 , 15.178543
0.9385071 , 1.6669312 , 12.297577
1.392807 , 1.564148 , 5.9875946
-0.3319702 , 3.413208 , 9.938522
-1.3287201 , 2.1767273 , 8.088959
-0.9457245 , 3.403839 , 10.82872
0.06326294 , 0.680954 , 3.7541351
0.36087036 , 5.274063 , 16.10048
-0.67533875 , 1.5729828 , 5.9093475
-1.9674377 , 2.0613403 , 5.14386
-1.6831512 , 4.3929596 , 17.63124
0.39508057 , 1.2500153 , 7.718338
0.67619324 , 3.4147797 , 8.094376
-0.5831909 , 2.737793 , 7.6762695
-1.217865 , 4.274765 , 9.846573
-1.5959473 , 2.557312 , 6.7264404
-1.4166107 , 3.262619 , 10.87529
-0.02432251 , 2.7628784 , 8.691635
1.4338379 , 2.2558289 , 5.323105
0.47602844 , 4.3291626 , 14.13591
-0.80937195 , 1.4070435 , 7.9362946
-0.096328735 , 2.2257385 , 9.695557
2.5112457 , 2.4936981 , 11.095276
2.7750854 , 2.9803772 , 9.681946
-0.65979004 , 1.7610321 , 8.525375
-2.6157074 , 2.5031128 , 11.825043
-0.75946045 , 2.1910858 , 8.281296
1.690567 , 2.1466827 , 6.125824
0.9881592 , 4.9411316 , 14.806976
-1.0808563 , 1.3357086 , 5.3832855
-1.7908936 , 3.8852234 , 9.174927
-0.1566925 , 3.7813263 , 10.147263
1.6851349 , 3.924881 , 6.388504
0.4004364 , 4.6052704 , 8.702454
-1.338028 , 1.8131256 , 5.6989594
-0.60546875 , 5.0030823 , 12.386948
0.7316437 , 0.9504547 , 5.2890015
1.0767365 , 2.5162964 , 10.595322
0.20121765 , 2.5723114 , 15.070419
-0.57977295 , -0.2323761 , 8.388062
-0.55807495 , 2.6144257 , 13.170319
0.8162079 , 1.7241669 , 11.58667
1.2738342 , 1.9191589 , 7.726303
-0.7490082 , 2.4075165 , 7.6098633
-1.7593231 , 3.6118622 , 12.988129
-0.41290283 , 3.345459 , 8.710297
1.0852966 , 2.037857 , 3.1822205
1.1304474 , 5.335724 , 13.198593
-0.536438 , 3.6589203 , 6.112549
-2.3245087 , 3.8289337 , 6.1056366
-1.3982086 , 4.4504547 , 12.779037
0.7339325 , 2.9154816 , 6.6499023
-0.083862305 , 3.9162292 , 8.223633
-2.7195282 , 5.1194305 , 16.29338
-2.729004 , 1.881134 , 6.1974487
0.4491577 , 2.3414154 , 7.900406
3.3583832 , 4.688843 , 14.518539
3.1176147 , 3.255066 , 4.2413025
-0.43199158 , 3.1022797 , 3.394394
-1.8731995 , 3.7133179 , 12.049622
-0.46188354 , 3.5449371 , 12.316345
