x,y,z
0.12440491 , 3.058838 , 8.912079
0.18252563 , 2.960373 , 9.031403
0.12265015 , 2.8717804 , 9.170044
0.035079956 , 2.7735748 , 9.203369
0.026443481 , 2.6915436 , 9.240097
-0.0032653809 , 2.5895386 , 9.338669
-0.035247803 , 2.504959 , 9.460342
-0.017089844 , 2.4492493 , 9.539703
0.0014648438 , 2.433426 , 9.539932
-0.041732788 , 2.4840546 , 9.4565735
-0.11090088 , 2.5099182 , 9.37262
-0.07559204 , 2.562378 , 9.307434
0.012451172 , 2.6667175 , 9.2812805
0.025131226 , 2.7419586 , 9.236206
-0.03224182 , 2.7878113 , 9.170258
-0.059402466 , 2.8064728 , 9.129257
0.006729126 , 2.821762 , 9.131454
0.094680786 , 2.8271637 , 9.156876
0.08883667 , 2.8221893 , 9.207184
0.03152466 , 2.7812653 , 9.214645
0.05256653 , 2.7587128 , 9.219238
0.109680176 , 2.7403564 , 9.235123
0.08432007 , 2.7039032 , 9.202759
-0.0033569336 , 2.6316986 , 9.268738
-0.043640137 , 2.5772247 , 9.3619995
0.03895569 , 2.5414886 , 9.437622
0.16192627 , 2.5218964 , 9.469254
0.10343933 , 2.53862 , 9.399933
0.027511597 , 2.5916595 , 9.335983
0.048828125 , 2.6494904 , 9.284637
0.120651245 , 2.6883087 , 9.26796
0.19119263 , 2.7720795 , 9.214813
0.13887024 , 2.7925262 , 9.159409
0.05445862 , 2.7967834 , 9.135208
0.032440186 , 2.7695923 , 9.177643
0.07644653 , 2.7777557 , 9.2165985
0.13169861 , 2.769287 , 9.237137
0.103881836 , 2.7337494 , 9.236588
0.05155945 , 2.6846619 , 9.265366
0.009460449 , 2.6448212 , 9.295471
0.02003479 , 2.620514 , 9.325714
0.054595947 , 2.6302795 , 9.36409
0.0790863 , 2.6502228 , 9.36882
0.05696106 , 2.655716 , 9.324738
0.021392822 , 2.66568 , 9.260132
0.0066223145 , 2.6858368 , 9.193054
0.039520264 , 2.7502441 , 9.17395
0.069366455 , 2.7585602 , 9.236771
0.045928955 , 2.7401123 , 9.272476
0.019546509 , 2.7328491 , 9.267853
0.0034942627 , 2.719101 , 9.26889
0.020599365 , 2.7042084 , 9.241653
0.033340454 , 2.7083282 , 9.261795
0.06906128 , 2.7155457 , 9.287994
0.060028076 , 2.7144775 , 9.275772
0.060134888 , 2.6975708 , 9.232483
0.020446777 , 2.6828156 , 9.2270355
0.017150879 , 2.6564636 , 9.238968
0.0315094 , 2.6409912 , 9.279282
0.026870728 , 2.6120453 , 9.331879
-0.0066223145 , 2.6177979 , 9.347382
-0.035324097 , 2.6598969 , 9.333221
-0.010116577 , 2.7213745 , 9.294357
0.013305664 , 2.7644043 , 9.24173
0.0066223145 , 2.8102722 , 9.173126
-0.019515991 , 2.8418274 , 9.126282
-0.03340149 , 2.849411 , 9.132095
-0.01461792 , 2.8303375 , 9.179153
0.007736206 , 2.7973938 , 9.23056
-0.0027618408 , 2.7690887 , 9.267288
-0.008102417 , 2.7388153 , 9.287369
0.01524353 , 2.7040253 , 9.313141
0.08218384 , 2.702835 , 9.328812
0.10652161 , 2.7115326 , 9.301559
0.049057007 , 2.7014313 , 9.283264
0.0337677 , 2.682434 , 9.276978
0.08248901 , 2.6839142 , 9.272003
0.10612488 , 2.6932678 , 9.300247
0.08917236 , 2.7008972 , 9.265778
0.028640747 , 2.717926 , 9.237991
0.012329102 , 2.6976624 , 9.216995
0.029144287 , 2.731903 , 9.2326355
0.09817505 , 2.7575836 , 9.253098
0.12788391 , 2.7700043 , 9.233063
0.06890869 , 2.7714539 , 9.192062
0.026535034 , 2.732483 , 9.20166
0.07054138 , 2.7136536 , 9.240372
0.110443115 , 2.6748657 , 9.251846
0.13795471 , 2.6572876 , 9.290787
0.111709595 , 2.6539154 , 9.323563
0.032165527 , 2.6261597 , 9.342453
0.016143799 , 2.6040955 , 9.35347
0.055755615 , 2.618637 , 9.358841
0.08280945 , 2.6427155 , 9.326004
0.043685913 , 2.6747742 , 9.289673
-0.022369385 , 2.6936188 , 9.267532
-0.015625 , 2.7225952 , 9.252548
0.017684937 , 2.7476044 , 9.225723
0.014282227 , 2.7555237 , 9.202118
-0.013900757 , 2.7669983 , 9.191925
-0.008392334 , 2.7478943 , 9.210922
0.009002686 , 2.7478027 , 9.19664
0.036758423 , 2.7448883 , 9.219482
0.012451172 , 2.7139435 , 9.206314
-0.042404175 , 2.6814117 , 9.260895
-9.460449E-4 , 2.6585083 , 9.308914
0.007003784 , 2.6249695 , 9.321243
0.0018310547 , 2.644104 , 9.296631
-0.0076904297 , 2.651352 , 9.319565
-0.009933472 , 2.6517792 , 9.316895
0.0069732666 , 2.6249847 , 9.287262
0.018112183 , 2.6288757 , 9.308792
0.017654419 , 2.6388245 , 9.312302
0.025360107 , 2.6533508 , 9.3004
0.016662598 , 2.6754456 , 9.281525
0.012466431 , 2.6912537 , 9.253296
-0.0184021 , 2.7148132 , 9.240433
-0.033996582 , 2.7210846 , 9.266571
0.046691895 , 2.7210236 , 9.277374
0.1361084 , 2.73938 , 9.2739105
0.14453125 , 2.7680664 , 9.249893
0.11439514 , 2.7646942 , 9.204407
0.12568665 , 2.7514343 , 9.197586
0.16668701 , 2.7249908 , 9.248856
0.16531372 , 2.6975708 , 9.266556
0.10223389 , 2.6742249 , 9.295593
0.037368774 , 2.6603546 , 9.358597
0.06391907 , 2.6695557 , 9.322861
0.094055176 , 2.674469 , 9.261871
0.1335144 , 2.7145233 , 9.248184
0.1387024 , 2.7203217 , 9.2323
0.08418274 , 2.7271423 , 9.183121
0.02456665 , 2.692047 , 9.204193
0.056167603 , 2.714386 , 9.262802
0.10340881 , 2.6708221 , 9.212265
0.1053009 , 2.6776428 , 9.330917
0.037979126 , 2.636963 , 9.36528
0.0054473877 , 2.6258392 , 9.33725
3.0517578E-5 , 2.6358032 , 9.331802
0.010681152 , 2.6515198 , 9.322403
0.002609253 , 2.6766357 , 9.290298
-0.03807068 , 2.739334 , 9.287643
-0.06402588 , 2.7551117 , 9.242828
-0.045959473 , 2.786911 , 9.175247
