x=0.06220150115462211 , y=1.5293955264884296 , z=4.455971196782889
x=0.09126141994500057 , y=1.4801637974376782 , z=4.5156321484606945
x=0.0613241342181838 , y=1.435868211064106 , z=4.58495176571703
x=0.017539709451058046 , y=1.386766179734393 , z=4.601614108231649
x=0.013221538268239926 , y=1.345751182775329 , z=4.619977779675189
x=-0.001632665429546073 , y=1.2947494612962847 , z=4.669262913669897
x=-0.017623631505847795 , y=1.252460374959958 , z=4.730098774114759
x=-0.008544791033138325 , y=1.2246058820474688 , z=4.769778647474895
x=7.32410659983285E-4 , y=1.2166943210641077 , z=4.769893086640517
x=-0.020866074531815465 , y=1.24200826449978 , z=4.728214342520843
x=-0.055449590382901204 , y=1.2549398902151099 , z=4.686238056570551
x=-0.03779544176622077 , y=1.2811693469757612 , z=4.653645782201295
x=0.006225490609857923 , y=1.333338347944154 , z=4.6405692002095105
x=0.012565420385338234 , y=1.3709583163230872 , z=4.618032313859608
x=-0.01612066379734043 , y=1.3938842958361055 , z=4.585058575604943
x=-0.029700778117863837 , y=1.4032149024731844 , z=4.56455870640312
x=0.0033645114692982155 , y=1.41085943873676 , z=4.565657322393095
x=0.04733966817912795 , y=1.4135602030454482 , z=4.578367699054888
x=0.04441765481690297 , y=1.4110730585125884 , z=4.603521427658689
x=0.015762087745056948 , y=1.3906113356993053 , z=4.607252144457979
x=0.026282861704608508 , y=1.379335263246646 , z=4.609548557048135
x=0.05483924816624847 , y=1.3701572421637305 , z=4.617490635142328
x=0.04215938861528784 , y=1.3519308977189382 , z=4.6013089371233225
x=-0.001678441095795028 , y=1.3158291556039285 , z=4.634297933933404
x=-0.021819734245335367 , y=1.2885926341858003 , z=4.680928079285672
x=0.019477545988930485 , y=1.2707248657932912 , z=4.7187387796073095
x=0.08096189503898563 , y=1.2609288732160149 , z=4.734554272296323
x=0.051718873583611345 , y=1.2692905615841574 , z=4.699894463668156
x=0.013755587707811072 , y=1.295809930897719 , z=4.667920160793261
x=0.0244136886661095 , y=1.3247248934116422 , z=4.642247641305305
x=0.060324698838414945 , y=1.3441337759011993 , z=4.633908840770287
x=0.095594849683235 , y=1.3860185105189935 , z=4.607336066512769
x=0.06943405642195705 , y=1.3962417426479268 , z=4.579634159154442
x=0.027228892140420253 , y=1.3983703111285033 , z=4.567534124709302
x=0.0162198444075465 , y=1.3847749382525636 , z=4.588751146015693
x=0.038222681317877684 , y=1.3888566018264288 , z=4.608228692004623
x=0.06584829589912222 , y=1.3846223526984003 , z=4.618497699799805
x=0.051940122637147965 , y=1.3668537649160974 , z=4.618223045802312
x=0.025779329375870002 , y=1.3423103785289492 , z=4.6326118635599
