x,y,z
-0.814 , 7.952 , 6.121
-0.696 , 8.039 , 6.129
-0.586 , 8.105 , 5.951
-0.549 , 8.118 , 5.776
-0.483 , 8.206 , 5.863
-0.498 , 8.324 , 5.763
-0.495 , 8.335 , 5.836
-0.437 , 8.317 , 5.978
-0.401 , 8.323 , 6.064
-0.496 , 8.414 , 5.862
-0.295 , 8.244 , 6.155
-0.48 , 8.038 , 5.661
-0.406 , 7.953 , 5.697
-0.557 , 7.928 , 6.184
-0.735 , 7.976 , 6.226
-0.859 , 7.891 , 6.136
-1.055 , 7.696 , 6.431
-1.222 , 7.61 , 6.091
-1.18 , 7.527 , 6.047
-1.186 , 7.462 , 6.255
-1.248 , 7.528 , 6.323
-1.103 , 7.592 , 6.618
-0.995 , 7.62 , 6.64
-0.895 , 7.661 , 6.42
-0.776 , 7.585 , 6.3
-0.585 , 7.637 , 6.355
-0.563 , 7.931 , 6.1
-0.398 , 8.091 , 6.141
-0.459 , 8.101 , 5.944
-0.555 , 8.133 , 5.504
-0.527 , 8.221 , 5.848
-0.768 , 8.284 , 5.978
-0.749 , 8.327 , 5.883
-0.856 , 8.196 , 5.618
-0.82 , 7.951 , 5.802
-0.753 , 8.117 , 5.717
-0.755 , 8.123 , 5.963
-0.591 , 8.136 , 6.025
-0.621 , 8.008 , 6.193
-0.65 , 7.869 , 6.347
-0.418 , 7.863 , 6.377
-0.489 , 7.812 , 6.51
-0.289 , 7.78 , 6.426
-0.259 , 7.872 , 6.46
-0.362 , 7.897 , 6.451
-0.275 , 8.05 , 6.231
-0.343 , 8.074 , 6.069
-0.344 , 8.174 , 6.096
-0.312 , 8.342 , 5.821
-0.16 , 8.512 , 5.804
-0.191 , 8.4 , 5.735
-0.191 , 8.318 , 5.545
-0.24 , 8.317 , 5.625
-0.277 , 8.26 , 5.883
-0.351 , 8.243 , 5.952
-0.428 , 8.097 , 5.921
-0.594 , 7.793 , 5.875
-0.721 , 7.721 , 5.886
-0.879 , 7.829 , 6.043
-1.126 , 7.79 , 6.345
-1.208 , 7.598 , 6.428
-1.268 , 7.453 , 6.45
-1.16 , 7.466 , 6.571
-0.999 , 7.622 , 6.801
-0.761 , 7.811 , 6.868
-0.495 , 7.761 , 6.578
-0.39 , 7.587 , 6.195
-0.289 , 7.527 , 5.903
-0.321 , 7.67 , 5.843
-0.446 , 7.834 , 6.121
-0.644 , 7.843 , 6.27
-0.842 , 7.749 , 6.097
-1.004 , 7.676 , 5.964
-1.117 , 7.643 , 6.037
-1.214 , 7.688 , 6.057
-1.212 , 7.63 , 6.153
-1.188 , 7.507 , 6.093
-1.121 , 7.375 , 5.948
-0.945 , 7.386 , 6.264
-0.765 , 7.553 , 6.642
-0.682 , 7.547 , 6.78
-0.486 , 7.381 , 6.475
-0.346 , 7.139 , 6.197
-0.379 , 7.036 , 6.079
-0.334 , 7.364 , 6.574
-0.411 , 7.904 , 7.052
-0.325 , 8.164 , 7.337
-0.176 , 7.92 , 6.768
-0.024 , 7.638 , 6.017
0.088 , 7.6 , 5.665
0.252 , 7.788 , 5.823
0.009 , 7.972 , 5.923
-0.212 , 7.91 , 6.047
-0.611 , 7.74 , 6.276
-0.943 , 7.64 , 6.315
-1.078 , 7.689 , 6.292
-0.974 , 7.611 , 6.535
-0.957 , 7.616 , 6.487
-0.771 , 7.51 , 6.22
-0.538 , 7.458 , 6.165
-0.502 , 7.532 , 6.231
-0.424 , 7.672 , 6.153
-0.312 , 7.686 , 6.394
-0.434 , 7.625 , 6.285
-0.548 , 7.526 , 6.106
-0.629 , 7.521 , 6.05
-0.713 , 7.707 , 6.324
-0.797 , 7.96 , 6.835
-0.87 , 8.095 , 6.494
-0.685 , 7.836 , 6.305
-0.756 , 7.788 , 5.788
-0.586 , 8.026 , 5.74
-0.308 , 8.369 , 6.015
-0.291 , 8.536 , 5.787
-0.085 , 8.46 , 5.606
-0.112 , 8.196 , 5.446
-0.101 , 8.123 , 5.677
-0.313 , 8.321 , 5.786
-0.549 , 8.395 , 6.329
-0.703 , 8.338 , 6.261
-0.781 , 8.211 , 5.99
-0.733 , 8.3 , 6.098
-0.633 , 8.352 , 6.026
-0.495 , 8.344 , 5.914
-0.36 , 8.274 , 6.014
-0.436 , 8.116 , 5.771
-0.497 , 7.96 , 5.685
-0.591 , 7.903 , 5.94
