x,y,z
0.003 , 8.156 , 6.075
-0.313 , 8.127 , 6.025
-0.397 , 7.867 , 7.034
-0.7 , 7.82 , 7.131
-0.921 , 7.914 , 6.788
-1.104 , 7.858 , 6.682
-1.368 , 7.881 , 6.149
-1.558 , 8.184 , 5.355
-1.491 , 8.262 , 5.108
-1.451 , 8.382 , 5.043
-1.204 , 8.634 , 5.01
-1.098 , 8.755 , 4.92
-0.988 , 8.807 , 4.955
-1.025 , 8.704 , 4.699
-0.98 , 8.822 , 4.525
-1.025 , 8.965 , 4.488
-1.259 , 9.039 , 4.582
-1.28 , 9.118 , 4.582
-1.312 , 9.13 , 4.708
-1.299 , 9.021 , 4.845
-0.97 , 8.716 , 5.016
-0.89 , 8.546 , 4.851
-0.676 , 8.241 , 5.024
-0.676 , 8.122 , 5.156
-0.844 , 7.908 , 5.661
-1.138 , 7.933 , 6.026
-1.377 , 7.789 , 6.348
-1.652 , 7.646 , 6.676
-1.675 , 7.518 , 6.81
-1.575 , 7.455 , 6.704
-1.374 , 7.382 , 6.829
-1.256 , 7.472 , 6.594
-1.132 , 7.507 , 6.478
-1.129 , 7.607 , 6.438
-1.133 , 7.86 , 6.251
-1.138 , 8.481 , 6.067
-0.876 , 8.945 , 6.322
-1.016 , 8.678 , 4.785
-1.052 , 8.18 , 3.595
-0.975 , 8.074 , 3.078
-1.062 , 8.493 , 3.85
-1.21 , 9.358 , 5.483
-1.137 , 9.872 , 5.957
-1.019 , 9.334 , 5.945
-0.882 , 8.425 , 4.883
-0.457 , 8.035 , 3.844
-0.29 , 8.059 , 3.975
-0.476 , 8.128 , 4.623
-0.48 , 8.107 , 5.465
-0.922 , 7.773 , 6.093
-1.269 , 7.239 , 6.692
-1.322 , 7.127 , 7.239
-1.212 , 7.296 , 7.669
-1.038 , 7.23 , 7.845
-0.842 , 7.071 , 7.436
-0.739 , 6.98 , 6.572
-0.586 , 7.118 , 6.178
-0.495 , 7.467 , 6.238
-0.446 , 8.032 , 6.157
-0.38 , 8.215 , 5.999
-0.326 , 8.257 , 5.857
-0.218 , 8.311 , 5.613
-0.21 , 8.458 , 5.298
-0.17 , 8.607 , 5.103
-0.15 , 8.681 , 4.922
-0.248 , 8.712 , 4.66
-0.344 , 8.676 , 4.834
-0.374 , 8.575 , 5.057
-0.266 , 8.506 , 5.402
-0.069 , 8.373 , 5.832
0.164 , 8.175 , 6.05
0.289 , 7.982 , 5.947
0.294 , 7.705 , 5.94
0.108 , 7.496 , 6.061
-0.131 , 7.504 , 6.28
-0.512 , 7.597 , 6.534
-0.647 , 7.642 , 6.57
-0.599 , 7.703 , 6.658
-0.476 , 7.735 , 6.456
-0.194 , 7.84 , 6.175
0.038 , 7.92 , 5.851
0.141 , 8.043 , 5.486
0.209 , 8.186 , 5.193
0.087 , 8.187 , 5.071
-0.091 , 8.275 , 5.144
-0.312 , 8.401 , 5.265
-0.46 , 8.531 , 5.504
-0.379 , 8.594 , 5.926
-0.501 , 8.475 , 5.702
-0.318 , 8.342 , 5.526
-0.146 , 7.999 , 5.024
0.145 , 7.588 , 5.8
-0.506 , 8.553 , 5.616
0.025 , 8.831 , 6.892
-0.209 , 8.174 , 6.002
-0.549 , 7.488 , 4.891
-0.564 , 7.512 , 5.556
0.001 , 8.207 , 7.107
-0.99 , 8.498 , 5.24
-0.035 , 7.881 , 6.251
-0.631 , 7.295 , 5.769
-0.325 , 7.995 , 6.109
-0.312 , 8.669 , 6.282
0.049 , 8.631 , 6.302
0.061 , 8.041 , 5.363
0.334 , 7.844 , 4.993
0.457 , 8.218 , 5.322
0.287 , 8.28 , 5.543
0.243 , 8.421 , 5.551
0.25 , 8.407 , 6.003
-0.227 , 8.315 , 6.302
-0.257 , 8.208 , 5.813
-0.208 , 8.05 , 5.598
-0.222 , 8.053 , 5.836
0.084 , 8.399 , 6.158
0.222 , 8.585 , 5.616
0.269 , 8.261 , 5.301
0.424 , 8.0 , 5.179
0.378 , 8.226 , 5.266
0.267 , 8.607 , 5.839
0.16 , 8.632 , 5.984
0.141 , 8.348 , 5.836
0.09 , 8.02 , 5.399
0.184 , 8.142 , 5.565
0.31 , 8.466 , 6.018
0.385 , 8.491 , 5.991
0.506 , 8.376 , 5.794
0.567 , 8.206 , 5.673
0.474 , 8.172 , 5.465
0.485 , 8.205 , 5.763
0.383 , 8.171 , 6.088
0.228 , 8.159 , 6.079
0.137 , 8.157 , 5.995
0.181 , 8.095 , 5.982
0.234 , 8.209 , 5.962
0.237 , 8.278 , 5.861
0.4 , 8.429 , 5.857
0.379 , 8.502 , 5.674
0.427 , 8.454 , 5.504
0.475 , 8.508 , 5.437
0.572 , 8.597 , 5.462
0.556 , 8.645 , 5.565
0.55 , 8.56 , 5.395
0.566 , 8.53 , 5.392
0.492 , 8.564 , 5.529
0.439 , 8.633 , 5.588
0.389 , 8.622 , 5.527
0.372 , 8.565 , 5.526
0.331 , 8.462 , 5.541
0.319 , 8.482 , 5.651
0.39 , 8.496 , 5.807
0.452 , 8.42 , 5.787
0.491 , 8.318 , 5.671
0.53 , 8.332 , 5.669
0.436 , 8.378 , 5.782
0.397 , 8.424 , 5.698
0.299 , 8.448 , 5.634
0.227 , 8.473 , 5.632
0.183 , 8.444 , 5.695
0.17 , 8.637 , 5.717
0.287 , 8.579 , 5.614
0.461 , 8.558 , 5.58
0.515 , 8.537 , 5.462
0.617 , 8.546 , 5.379
