x=-0.030075073 , y=4.9091797 , z=8.350388
x=0.14735413 , y=4.9945374 , z=7.9806976
x=0.24414062 , y=4.962448 , z=8.2235565
x=0.28633118 , y=4.8027344 , z=8.477249
x=0.6241455 , y=4.733185 , z=8.6528015
x=0.71084595 , y=4.7596893 , z=8.691147
x=0.35162354 , y=4.782852 , z=8.415482
x=0.31481934 , y=4.9181213 , z=8.248505
x=0.7313843 , y=5.092865 , z=8.287994
x=1.0513611 , y=5.253769 , z=8.1779175
x=0.99938965 , y=5.397156 , z=7.9567566
x=0.7812958 , y=5.510132 , z=7.7190857
x=0.6878052 , y=5.4591064 , z=7.775818
x=0.90286255 , y=5.2840424 , z=8.185379
x=1.2046814 , y=5.1106415 , z=8.484848
x=1.0246277 , y=5.0254517 , z=8.580765
x=0.5227814 , y=4.9218903 , z=8.485275
x=0.39543152 , y=4.904022 , z=8.416077
x=0.63175964 , y=4.963974 , z=8.355072
x=0.5518646 , y=5.015991 , z=8.338242
x=0.2924347 , y=5.035507 , z=8.291458
x=0.45466614 , y=5.1235046 , z=8.131485
x=0.8421936 , y=5.279953 , z=7.9254456
x=0.85517883 , y=5.3232727 , z=7.892746
x=0.5470123 , y=5.27742 , z=7.941757
x=0.28744507 , y=5.31575 , z=8.041382
x=0.28019714 , y=5.239975 , z=7.888092
x=0.55836487 , y=5.1685333 , z=7.9390717
x=0.72080994 , y=5.068817 , z=8.097702
x=0.35046387 , y=4.9469147 , z=8.585754
x=-0.088012695 , y=4.6408386 , z=8.308685
x=0.31082153 , y=4.7426453 , z=8.536713
x=1.3087463 , y=4.9370575 , z=8.502289
x=1.1755981 , y=4.868103 , z=8.152664
x=0.31881714 , y=4.7669525 , z=8.602631
x=0.44029236 , y=4.8827057 , z=8.329575
x=0.956604 , y=5.028244 , z=7.721344
x=0.7758179 , y=4.880432 , z=7.8515472
x=0.553833 , y=4.691513 , z=8.221512
x=0.71917725 , y=4.452011 , z=8.269531
x=0.7107086 , y=4.1502075 , z=8.405762
x=0.6251221 , y=4.0395966 , z=8.791321
x=0.7866974 , y=4.098358 , z=8.8433075
x=0.6536102 , y=4.210251 , z=8.764801
x=0.18286133 , y=4.1468353 , z=8.212189
x=0.07699585 , y=4.326706 , z=8.237839
x=0.47543335 , y=4.3374786 , z=8.2873535
x=0.714447 , y=4.134598 , z=8.562698
x=0.7059479 , y=3.9486694 , z=9.035522
x=0.8027954 , y=3.9855042 , z=8.811523
x=0.82107544 , y=4.255493 , z=8.38678
x=0.5005646 , y=4.3949738 , z=8.286194
x=0.25737 , y=4.386688 , z=8.199814
x=0.41238403 , y=4.5055084 , z=8.270233
x=0.76504517 , y=4.6335907 , z=8.230179
x=1.0515442 , y=4.6421204 , z=7.796692
x=1.423996 , y=4.5243835 , z=7.5729065
x=1.5839691 , y=4.4383698 , z=8.426819
x=1.5638275 , y=4.1061554 , z=8.91507
x=1.4638672 , y=4.0052032 , z=9.19397
x=1.24617 , y=4.1524963 , z=8.823196
x=0.92041016 , y=4.4599 , z=8.278671
x=0.7850342 , y=4.788666 , z=8.178711
x=0.9534149 , y=4.8326416 , z=7.7950134
x=1.4943695 , y=4.853058 , z=8.001236
x=2.081253 , y=4.8794403 , z=8.647751
x=2.14711 , y=4.786789 , z=8.572876
x=1.8858337 , y=4.7849426 , z=8.592514
x=2.156723 , y=4.9383545 , z=8.416183
x=2.5001068 , y=5.3427734 , z=8.249298
x=1.360321 , y=5.515167 , z=7.931793
x=-0.33218384 , y=5.3753967 , z=7.2677765
x=0.025253296 , y=5.3762817 , z=7.118164
x=1.7813568 , y=5.165329 , z=7.532852
x=2.31279 , y=4.550049 , z=8.443558
x=2.029251 , y=4.0323944 , z=9.116913
x=2.6848602 , y=4.1480865 , z=9.328613
x=3.2465363 , y=4.435959 , z=8.864868
x=2.1633453 , y=4.686157 , z=8.595978
x=0.87464905 , y=5.225052 , z=8.341904
x=0.5622406 , y=5.944031 , z=7.572693
x=0.06410217 , y=6.134201 , z=6.9825745
x=-0.5626526 , y=6.1266327 , z=7.683609
x=-0.46183777 , y=6.034958 , z=7.6821594
x=-0.7258148 , y=5.7150574 , z=7.419464
x=-1.9658508 , y=5.137329 , z=8.540024
x=-2.0259705 , y=4.374542 , z=8.543701
x=-0.5951843 , y=4.390274 , z=9.591263
x=0.0099487305 , y=4.4403687 , z=9.723511
x=-0.51805115 , y=4.5125427 , z=8.553299
x=-0.36824036 , y=4.966446 , z=7.996277
x=0.6952362 , y=5.5417023 , z=8.274628
x=1.4588623 , y=5.7527466 , z=7.907852
x=1.6923065 , y=5.9404144 , z=7.2469482
x=1.2875824 , y=6.105896 , z=7.424347
x=-0.119506836 , y=5.4920807 , z=7.5349884
x=-1.3845673 , y=4.892105 , z=8.534271
x=-1.12677 , y=4.6123047 , z=9.036026
x=-0.6905823 , y=4.5811005 , z=8.637955
x=-1.8302765 , y=4.452896 , z=8.211319
x=-3.265808 , y=4.200882 , z=7.9743347
x=-3.1112213 , y=4.020752 , z=8.134003
x=-2.0283203 , y=3.9686127 , z=9.023941
x=-1.4646606 , y=3.8763733 , z=9.67598
x=-1.443573 , y=4.0015717 , z=9.397827
x=-1.6430817 , y=4.4627075 , z=8.711884
x=-1.9110413 , y=4.928955 , z=8.296463
x=-1.7190857 , y=5.347275 , z=8.048386
x=-0.9654083 , y=5.7269897 , z=7.878372
x=-0.64453125 , y=5.743408 , z=7.5485992
x=-1.061264 , y=5.561722 , z=7.6515656
x=-1.4036255 , y=5.1444244 , z=8.072601
x=-1.3360596 , y=4.504837 , z=8.487289
x=-1.0770874 , y=3.926239 , z=9.389053
x=-0.72698975 , y=3.76622 , z=9.922089
x=-0.74697876 , y=3.9672394 , z=9.219864
x=-1.3153839 , y=4.3344727 , z=8.293213
x=-1.4872284 , y=4.6870575 , z=7.924103
x=-0.84484863 , y=4.9247284 , z=7.932358
x=-0.32936096 , y=5.0806427 , z=8.207794
x=-0.57398987 , y=5.1450653 , z=8.088974
x=-0.9580078 , y=5.2386475 , z=7.6015472
x=-1.1326599 , y=5.1490173 , z=7.4613495
x=-1.1812897 , y=4.7455444 , z=7.9583893
x=-1.055481 , y=4.254547 , z=8.692963
x=-0.95739746 , y=3.8818054 , z=9.122498
x=-1.204483 , y=3.639267 , z=9.197968
x=-1.3949738 , y=3.585205 , z=9.431946
x=-0.91270447 , y=3.6072235 , z=9.260757
x=-0.1605835 , y=3.8467255 , z=8.568741
x=0.25779724 , y=4.438034 , z=8.144119
x=0.44041443 , y=4.8982086 , z=7.3374634
x=0.60427856 , y=5.0453796 , z=6.8668976
x=0.7792511 , y=4.875412 , z=7.7121887
x=1.0061035 , y=4.537491 , z=8.573517
x=1.0227051 , y=4.3453064 , z=8.683762
x=0.4834442 , y=4.5123596 , z=8.946411
x=0.022232056 , y=4.5102997 , z=8.228104
x=0.43092346 , y=4.7310944 , z=7.4764557
x=0.8761444 , y=5.0147705 , z=7.8141937
x=0.4818573 , y=4.6395264 , z=7.704254
x=0.10913086 , y=4.1117554 , z=8.484314
x=0.5889282 , y=3.825653 , z=9.690857
x=0.99372864 , y=3.7924805 , z=9.776749
