x,y,z
0.43301392 , 4.8019257 , 8.257004
0.49934387 , 4.81308 , 8.242096
0.5418396 , 4.768875 , 8.259552
0.57237244 , 4.757065 , 8.315491
0.5065613 , 4.730957 , 8.3984375
0.44763184 , 4.6845856 , 8.4339905
0.47244263 , 4.665695 , 8.431686
0.53723145 , 4.669525 , 8.388763
0.5257263 , 4.712097 , 8.385452
0.52194214 , 4.7366486 , 8.344696
0.5244293 , 4.7446594 , 8.326767
0.5355377 , 4.74292 , 8.3220215
0.5665741 , 4.7394257 , 8.329147
0.57777405 , 4.742401 , 8.317215
0.5959625 , 4.731598 , 8.329224
0.59413147 , 4.7207184 , 8.380829
0.5745392 , 4.7248077 , 8.37558
0.5895996 , 4.736969 , 8.341248
0.6124878 , 4.751877 , 8.2999115
0.6200409 , 4.7719574 , 8.277878
0.60928345 , 4.773285 , 8.283691
0.5864105 , 4.7574005 , 8.311844
0.6007385 , 4.744049 , 8.355026
0.6091919 , 4.7283325 , 8.386612
0.58509827 , 4.7178955 , 8.402023
0.5747528 , 4.7250824 , 8.408951
0.5857086 , 4.7413483 , 8.369751
0.60665894 , 4.756729 , 8.315567
0.61428833 , 4.801071 , 8.294556
0.5973053 , 4.8068695 , 8.281845
0.6071625 , 4.790848 , 8.303726
0.5746155 , 4.7901154 , 8.307159
0.5930939 , 4.7540283 , 8.303375
0.584671 , 4.7467346 , 8.342972
0.5978699 , 4.7417603 , 8.377075
0.5990753 , 4.7381287 , 8.375671
0.62519836 , 4.7469482 , 8.335571
0.65023804 , 4.773239 , 8.30368
0.64227295 , 4.791931 , 8.279175
0.622345 , 4.7875366 , 8.2973175
0.6094818 , 4.759903 , 8.313293
0.5976715 , 4.73967 , 8.34111
0.6053009 , 4.7240906 , 8.349289
0.60214233 , 4.714813 , 8.356277
0.59355164 , 4.7034454 , 8.3853
0.5836029 , 4.720871 , 8.404053
0.577652 , 4.729477 , 8.367096
0.58226013 , 4.7468567 , 8.31987
0.58766174 , 4.7581177 , 8.2860565
0.58377075 , 4.757416 , 8.287994
0.5528717 , 4.75325 , 8.318695
0.5336151 , 4.746521 , 8.312805
0.58132935 , 4.75766 , 8.297882
0.6152344 , 4.7653046 , 8.318634
0.57676697 , 4.751877 , 8.338242
0.5439606 , 4.7388306 , 8.361893
0.5252075 , 4.74411 , 8.324829
0.530838 , 4.7400513 , 8.300827
0.51197815 , 4.7446594 , 8.28804
0.4716034 , 4.722351 , 8.370224
0.48120117 , 4.6986847 , 8.39505
0.49057007 , 4.695114 , 8.387955
0.5290222 , 4.722473 , 8.399048
0.5149994 , 4.7362213 , 8.371277
0.50079346 , 4.750229 , 8.329727
0.47598267 , 4.752777 , 8.268997
0.47607422 , 4.782196 , 8.270355
0.49768066 , 4.8069763 , 8.256119
0.5009308 , 4.8081207 , 8.278671
0.4797058 , 4.772293 , 8.321091
0.4801178 , 4.763794 , 8.332474
0.5150757 , 4.7579956 , 8.334961
0.51612854 , 4.7443237 , 8.340073
0.49301147 , 4.7388153 , 8.363373
0.49568176 , 4.7283936 , 8.384689
0.49783325 , 4.7207184 , 8.388748
0.5016937 , 4.727173 , 8.36676
0.5440674 , 4.73201 , 8.342072
0.5473175 , 4.736252 , 8.326965
0.5205841 , 4.7449646 , 8.323929
0.5359955 , 4.7450714 , 8.302307
0.5406952 , 4.750824 , 8.299683
0.5471344 , 4.7496796 , 8.280655
0.5187378 , 4.747177 , 8.305359
0.52375793 , 4.74704 , 8.316513
0.5647125 , 4.735077 , 8.317505
0.5699768 , 4.733368 , 8.377914
0.5380249 , 4.7007294 , 8.40036
0.5650482 , 4.69722 , 8.370132
0.609375 , 4.735077 , 8.33992
0.64216614 , 4.7379 , 8.334961
0.6330261 , 4.747177 , 8.334488
0.61024475 , 4.740509 , 8.34874
0.5737457 , 4.7385254 , 8.34996
0.56474304 , 4.7336426 , 8.3267975
0.57684326 , 4.7389374 , 8.323669
0.58343506 , 4.7344055 , 8.332169
0.56663513 , 4.730301 , 8.346039
