x=0.43301392 , y=4.8019257 , z=8.257004
x=0.49934387 , y=4.81308 , z=8.242096
x=0.5418396 , y=4.768875 , z=8.259552
x=0.57237244 , y=4.757065 , z=8.315491
x=0.5065613 , y=4.730957 , z=8.3984375
x=0.44763184 , y=4.6845856 , z=8.4339905
x=0.47244263 , y=4.665695 , z=8.431686
x=0.53723145 , y=4.669525 , z=8.388763
x=0.5257263 , y=4.712097 , z=8.385452
x=0.52194214 , y=4.7366486 , z=8.344696
x=0.5244293 , y=4.7446594 , z=8.326767
x=0.5355377 , y=4.74292 , z=8.3220215
x=0.5665741 , y=4.7394257 , z=8.329147
x=0.57777405 , y=4.742401 , z=8.317215
x=0.5959625 , y=4.731598 , z=8.329224
x=0.59413147 , y=4.7207184 , z=8.380829
x=0.5745392 , y=4.7248077 , z=8.37558
x=0.5895996 , y=4.736969 , z=8.341248
x=0.6124878 , y=4.751877 , z=8.2999115
x=0.6200409 , y=4.7719574 , z=8.277878
x=0.60928345 , y=4.773285 , z=8.283691
x=0.5864105 , y=4.7574005 , z=8.311844
x=0.6007385 , y=4.744049 , z=8.355026
x=0.6091919 , y=4.7283325 , z=8.386612
x=0.58509827 , y=4.7178955 , z=8.402023
x=0.5747528 , y=4.7250824 , z=8.408951
x=0.5857086 , y=4.7413483 , z=8.369751
x=0.60665894 , y=4.756729 , z=8.315567
x=0.61428833 , y=4.801071 , z=8.294556
x=0.5973053 , y=4.8068695 , z=8.281845
x=0.6071625 , y=4.790848 , z=8.303726
x=0.5746155 , y=4.7901154 , z=8.307159
x=0.5930939 , y=4.7540283 , z=8.303375
x=0.584671 , y=4.7467346 , z=8.342972
x=0.5978699 , y=4.7417603 , z=8.377075
x=0.5990753 , y=4.7381287 , z=8.375671
x=0.62519836 , y=4.7469482 , z=8.335571
x=0.65023804 , y=4.773239 , z=8.30368
x=0.64227295 , y=4.791931 , z=8.279175
x=0.622345 , y=4.7875366 , z=8.2973175
x=0.6094818 , y=4.759903 , z=8.313293
x=0.5976715 , y=4.73967 , z=8.34111
x=0.6053009 , y=4.7240906 , z=8.349289
x=0.60214233 , y=4.714813 , z=8.356277
x=0.59355164 , y=4.7034454 , z=8.3853
x=0.5836029 , y=4.720871 , z=8.404053
x=0.577652 , y=4.729477 , z=8.367096
x=0.58226013 , y=4.7468567 , z=8.31987
x=0.58766174 , y=4.7581177 , z=8.2860565
x=0.58377075 , y=4.757416 , z=8.287994
x=0.5528717 , y=4.75325 , z=8.318695
x=0.5336151 , y=4.746521 , z=8.312805
x=0.58132935 , y=4.75766 , z=8.297882
x=0.6152344 , y=4.7653046 , z=8.318634
x=0.57676697 , y=4.751877 , z=8.338242
x=0.5439606 , y=4.7388306 , z=8.361893
x=0.5252075 , y=4.74411 , z=8.324829
x=0.530838 , y=4.7400513 , z=8.300827
x=0.51197815 , y=4.7446594 , z=8.28804
x=0.4716034 , y=4.722351 , z=8.370224
x=0.48120117 , y=4.6986847 , z=8.39505
x=0.49057007 , y=4.695114 , z=8.387955
x=0.5290222 , y=4.722473 , z=8.399048
x=0.5149994 , y=4.7362213 , z=8.371277
x=0.50079346 , y=4.750229 , z=8.329727
x=0.47598267 , y=4.752777 , z=8.268997
x=0.47607422 , y=4.782196 , z=8.270355
x=0.49768066 , y=4.8069763 , z=8.256119
x=0.5009308 , y=4.8081207 , z=8.278671
x=0.4797058 , y=4.772293 , z=8.321091
x=0.4801178 , y=4.763794 , z=8.332474
x=0.5150757 , y=4.7579956 , z=8.334961
x=0.51612854 , y=4.7443237 , z=8.340073
x=0.49301147 , y=4.7388153 , z=8.363373
x=0.49568176 , y=4.7283936 , z=8.384689
x=0.49783325 , y=4.7207184 , z=8.388748
x=0.5016937 , y=4.727173 , z=8.36676
x=0.5440674 , y=4.73201 , z=8.342072
x=0.5473175 , y=4.736252 , z=8.326965
x=0.5205841 , y=4.7449646 , z=8.323929
x=0.5359955 , y=4.7450714 , z=8.302307
x=0.5406952 , y=4.750824 , z=8.299683
x=0.5471344 , y=4.7496796 , z=8.280655
x=0.5187378 , y=4.747177 , z=8.305359
x=0.52375793 , y=4.74704 , z=8.316513
x=0.5647125 , y=4.735077 , z=8.317505
x=0.5699768 , y=4.733368 , z=8.377914
x=0.5380249 , y=4.7007294 , z=8.40036
x=0.5650482 , y=4.69722 , z=8.370132
x=0.609375 , y=4.735077 , z=8.33992
x=0.64216614 , y=4.7379 , z=8.334961
x=0.6330261 , y=4.747177 , z=8.334488
x=0.61024475 , y=4.740509 , z=8.34874
x=0.5737457 , y=4.7385254 , z=8.34996
x=0.56474304 , y=4.7336426 , z=8.3267975
x=0.57684326 , y=4.7389374 , z=8.323669
