x=2.00177 , y=4.607956 , z=8.339264
x=1.2805328 , y=4.4467926 , z=8.451187
x=0.662323 , y=4.3116302 , z=8.382568
x=1.1131592 , y=4.524597 , z=8.320236
x=1.13768 , y=4.4638367 , z=8.376724
x=0.84399414 , y=4.257477 , z=8.604385
x=1.2580414 , y=4.2769775 , z=8.677246
x=1.4729004 , y=4.3869476 , z=8.573547
x=0.95783997 , y=4.324417 , z=8.449051
x=0.82658386 , y=4.359314 , z=8.399536
x=1.1623077 , y=4.474716 , z=8.3637085
x=1.0361328 , y=4.4143677 , z=8.51358
x=0.7876892 , y=4.341858 , z=8.656525
x=1.0134277 , y=4.4417114 , z=8.534317
x=1.0171967 , y=4.5245667 , z=8.473923
x=0.67440796 , y=4.473175 , z=8.511612
x=0.72984314 , y=4.5014343 , z=8.439331
x=1.212677 , y=4.7015533 , z=8.378204
x=1.1533661 , y=4.7360992 , z=8.180649
x=0.5895233 , y=4.652954 , z=8.182617
x=0.679245 , y=4.6286926 , z=8.324371
x=0.9146271 , y=4.487213 , z=8.465286
x=0.5948181 , y=4.219513 , z=8.799011
x=0.63246155 , y=4.151596 , z=8.866684
x=0.7617798 , y=4.2110596 , z=8.795837
x=0.6705475 , y=4.2169952 , z=8.70282
x=0.6059723 , y=4.3039703 , z=8.659485
x=0.87472534 , y=4.491043 , z=8.441055
x=0.92326355 , y=4.6765137 , z=8.26857
x=0.64746094 , y=4.7045593 , z=8.198853
x=0.6016388 , y=4.6939545 , z=8.089676
x=0.7225342 , y=4.6896515 , z=8.207779
x=0.55244446 , y=4.508667 , z=8.399124
x=0.36402893 , y=4.271164 , z=8.60202
x=0.46992493 , y=4.1852417 , z=8.873581
x=0.5417633 , y=4.203491 , z=8.847763
x=0.5060272 , y=4.3824005 , z=8.300842
x=0.53585815 , y=4.5870667 , z=8.230133
x=0.50431824 , y=4.5998383 , z=8.69812
x=0.38357544 , y=4.3613586 , z=8.41098
x=0.39282227 , y=4.233673 , z=8.598709
x=0.94602966 , y=4.320526 , z=9.160889
x=1.083664 , y=4.30307 , z=8.231277
x=0.018692017 , y=4.3865356 , z=8.558228
x=-0.59425354 , y=4.3025513 , z=8.582397
x=0.21003723 , y=4.369934 , z=8.159958
x=0.8524933 , y=4.5190125 , z=8.7417145
x=0.44091797 , y=4.378708 , z=8.538025
x=-0.004547119 , y=4.341629 , z=8.335449
x=0.013122559 , y=4.298279 , z=8.564117
x=0.22943115 , y=4.220047 , z=8.668594
x=0.591156 , y=4.180023 , z=8.688721
x=0.6407318 , y=4.2714996 , z=8.902695
x=0.1619873 , y=4.27652 , z=8.573669
x=-0.027893066 , y=4.296585 , z=8.360962
x=0.27226257 , y=4.476181 , z=8.377304
x=0.570282 , y=4.566147 , z=8.250305
x=0.4854126 , y=4.5209503 , z=8.368301
x=0.388031 , y=4.494919 , z=8.467529
x=0.54455566 , y=4.5057373 , z=8.380295
x=0.55630493 , y=4.4834595 , z=8.447922
x=0.3530426 , y=4.3681946 , z=8.52356
x=0.2180481 , y=4.2488403 , z=8.651764
x=0.21781921 , y=4.1496887 , z=8.815781
x=0.25971985 , y=4.1115265 , z=8.801224
x=0.23347473 , y=4.1669006 , z=8.7183075
x=0.13972473 , y=4.247864 , z=8.605637
x=0.05331421 , y=4.3329926 , z=8.49646
x=0.09300232 , y=4.422867 , z=8.396698
x=0.2765808 , y=4.5059204 , z=8.391327
x=0.3568573 , y=4.521408 , z=8.362106
x=0.28105164 , y=4.4813232 , z=8.438583
x=0.2506714 , y=4.429611 , z=8.488495
x=0.20880127 , y=4.3837585 , z=8.495941
x=0.19232178 , y=4.347809 , z=8.537918
x=0.2233429 , y=4.342758 , z=8.621704
x=0.31044006 , y=4.326004 , z=8.556473
x=0.30421448 , y=4.3105164 , z=8.543121
x=0.24794006 , y=4.3532867 , z=8.578003
x=0.3105774 , y=4.3811646 , z=8.446991
x=0.33418274 , y=4.491623 , z=8.482437
x=0.23176575 , y=4.508438 , z=8.490173
x=0.19224548 , y=4.504715 , z=8.362259
x=0.2006836 , y=4.5111847 , z=8.330734
x=0.15449524 , y=4.4637756 , z=8.386353
x=0.18777466 , y=4.390625 , z=8.473663
x=0.32563782 , y=4.342499 , z=8.573242
x=0.27742004 , y=4.285202 , z=8.609467
x=0.16731262 , y=4.2411804 , z=8.565353
x=0.2376709 , y=4.279587 , z=8.513931
x=0.32362366 , y=4.3255005 , z=8.49884
x=0.33651733 , y=4.365738 , z=8.524353
x=0.34288025 , y=4.413986 , z=8.502426
x=0.3788147 , y=4.447418 , z=8.427277
x=0.4555359 , y=4.5135345 , z=8.4045105
x=0.43321228 , y=4.4759674 , z=8.4787445
x=0.47032166 , y=4.4746857 , z=8.565247
