bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
-2.8927436,-1.6633657,10.601164,0.0,0.0,0.0,10000.0,0.0,263368074,1
-3.617019E-8,-4.440892E-16,9.742318,0.0,0.0,0.0,10000.0,0.0,263368152,0
3.2690903E-9,0.0,9.987172,0.0,0.0,0.0,10000.0,0.0,263368189,0
4.2568935E-9,4.440892E-16,9.532333,0.0,0.0,0.0,10000.0,0.0,263368227,0
-0.009089896,-0.17899877,10.15203,0.0,0.0,0.0,10000.0,0.0,263368318,0
-0.08970419,0.41351023,9.7556,0.0,0.0,0.0,10000.0,0.0,263368413,0
0.02942502,-0.12206054,10.087358,0.0,0.0,0.0,10000.0,0.0,263368422,0
-0.10159888,0.6475133,9.585289,0.0,0.0,0.0,10000.0,0.0,263368494,0
-0.07868462,0.5664,9.553317,0.0,0.0,0.0,10000.0,0.0,263368566,0
0.004016725,-0.016060226,9.989692,0.0,0.0,0.0,10000.0,0.0,263368656,0
-0.06434799,0.31609535,9.74539,0.0,0.0,0.0,10000.0,0.0,263368665,0
-0.011139657,0.35097545,9.768694,0.0,0.0,0.0,10000.0,0.0,263368726,0
0.020295862,0.078470655,9.963038,0.0,0.0,0.0,10000.0,0.0,263368739,0
-0.002259226,0.15131845,9.890798,0.0,0.0,0.0,10000.0,0.0,263368747,0
-0.052857686,0.6260972,9.568784,0.0,0.0,0.0,10000.0,0.0,263368821,0
-0.04501498,0.505358,9.66002,0.0,0.0,0.0,10000.0,0.0,263368828,0
8.0068555E-4,0.28651536,9.767823,0.0,0.0,0.0,10000.0,0.0,263368904,0
0.07598264,0.1889405,9.85805,0.0,0.0,0.0,10000.0,0.0,263368992,0
0.03266241,0.30317405,9.794105,0.0,0.0,0.0,10000.0,0.0,263369066,0
-0.05934221,0.49780667,9.661239,0.0,0.0,0.0,10000.0,0.0,263369155,0
-0.08127219,0.32985586,9.744948,0.0,0.0,0.0,10000.0,0.0,263369244,0
0.07017916,-0.9390579,10.622266,0.0,0.0,0.0,10000.0,0.0,263369333,0
0.0568175,-0.51723856,10.352814,0.0,0.0,0.0,10000.0,0.0,263369341,0
-0.08032855,0.70396936,9.517184,0.0,0.0,0.0,10000.0,0.0,263369423,0
0.15062249,-0.75102097,10.480377,0.0,0.0,0.0,10000.0,0.0,263369430,0
-0.17581339,1.3017784,9.181442,0.0,0.0,0.0,10000.0,0.0,263369513,0
