bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262965626,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262965649,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262965663,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262965676,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262965692,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262965705,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262965717,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262965740,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262965749,0
-0.72894084,2.7552264,6.6571226,0.0,0.0,0.0,0.0,0.0,262965828,0
0.085785255,1.1330761,10.2906065,0.0,0.0,0.0,0.0,0.0,262965846,0
-0.4085478,0.38762042,10.312689,0.0,0.0,0.0,0.0,0.0,262965864,0
-0.061222564,0.61642426,10.248446,0.0,0.0,0.0,0.0,0.0,262965875,0
-2.724865E-9,-4.440892E-16,9.680212,0.0,0.0,0.0,0.0,0.0,262965918,0
0.82720846,1.3687079,7.8667316,0.0,0.0,0.0,0.0,0.0,262965939,0
0.228235,-2.250613,12.426358,0.0,0.0,0.0,0.0,0.0,262965948,0
0.34727687,-0.4647912,11.443902,0.0,0.0,0.0,0.0,0.0,262965961,0
0.15641357,2.8329184,5.9965005,0.0,0.0,0.0,0.0,0.0,262966192,0
0.5110813,-2.266512,12.695214,0.0,0.0,0.0,0.0,0.0,262966207,0
2.384227E-10,0.0,9.542857,0.0,0.0,0.0,0.0,0.0,262966219,0
-0.3565479,-0.20970482,11.05581,0.0,0.0,0.0,0.0,0.0,262966231,0
-0.7719748,2.4026773,7.0594482,0.0,0.0,0.0,0.0,0.0,262966241,0
-0.85868794,-1.6487498,11.123833,0.0,0.0,0.0,0.0,0.0,262966251,0
-1.1021001,2.243894,7.1129265,0.0,0.0,0.0,0.0,0.0,262966271,0
-0.092844516,-0.46840495,10.574457,0.0,0.0,0.0,0.0,0.0,262966278,0
-0.5927717,-0.01751175,10.806028,0.0,0.0,0.0,0.0,0.0,262966341,0
