bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
1.6137573,3.1282058,7.027995,23.573775,87.298975,-175.607666015625,1.2,0.0,92613315,0
0.50568485,-0.19807999,10.278732,23.573775,87.298975,-175.607666015625,1.2,0.0,92613344,0
-1.3378516E-9,-4.440892E-16,9.850801,23.573775,87.298975,-175.607666015625,1.2,0.0,92613397,0
-1.4399415E-9,0.0,10.03848,23.573775,87.298975,-175.607666015625,1.2,0.0,92613425,0
-9.885148E-10,0.0,9.9634285,23.573775,87.298975,-175.607666015625,1.2,0.0,92613455,0
-1.2184124E-9,0.0,9.92005,23.573775,87.298975,-175.607666015625,1.2,0.0,92613496,0
0.008105186,0.10870412,9.800445,23.573775,87.298975,-175.607666015625,1.2,0.0,92613538,0
0.024963344,0.06979581,9.896277,23.573775,87.298975,-175.607666015625,1.2,0.0,92613579,0
0.10887465,-0.02842087,9.820374,23.573775,87.298975,-175.607666015625,1.2,0.0,92613604,0
0.090698965,-0.084633574,9.834995,23.573775,87.298975,-175.607666015625,1.2,0.0,92613621,0
0.058090817,-0.105174564,9.885787,23.573775,87.298975,-175.607666015625,1.2,0.0,92613662,0
0.08203704,0.0017551684,9.890439,23.573775,87.298975,-175.607666015625,1.2,0.0,92613704,0
0.12735586,-0.076316394,9.863979,23.573775,87.298975,-175.607666015625,1.2,0.0,92613745,0
0.018512098,-0.057758614,9.93407,23.573775,87.298975,-175.607666015625,1.2,0.0,92613787,0
0.064120084,0.113052316,9.8833685,23.573775,87.298975,-175.607666015625,1.2,0.0,92613805,0
0.0064295386,0.07658672,9.85708,23.573775,87.298975,-175.607666015625,1.2,0.0,92613829,0
-0.044412825,-0.12076394,9.843561,23.573775,87.298975,-175.607666015625,1.2,0.0,92613870,0
-0.030137451,-0.055794626,9.904399,23.573775,87.298975,-175.607666015625,1.3,0.0,92613912,0
-0.026601253,0.16203426,9.859465,23.573775,87.298975,-175.607666015625,1.3,0.0,92613953,0
-0.025934344,-0.0018392918,9.887395,23.573775,87.298975,-175.607666015625,1.3,0.0,92613995,0
0.020912256,-0.055836473,9.900536,23.573775,87.298975,-175.607666015625,1.3,0.0,92614006,0
0.025226032,-0.061897133,9.874255,23.573775,87.298975,-175.607666015625,1.3,0.0,92614037,0
0.005826916,0.051677033,9.823761,23.573775,87.298975,-175.607666015625,1.3,0.0,92614078,0
0.021264948,-0.050299376,9.870968,23.573775,87.298975,-175.607666015625,1.3,0.0,92614120,0
0.0013319205,-0.084340625,9.865234,23.573775,87.298975,-175.607666015625,1.3,0.0,92614161,0
-0.017577251,-0.095144495,9.857507,23.573775,87.298975,-175.607666015625,1.3,0.0,92614204,0
0.05424741,0.004722294,9.872636,23.573775,87.298975,-175.607666015625,1.3,0.0,92614245,0
-0.006025248,-0.03888909,9.895136,23.573775,87.298975,-175.607666015625,1.3,0.0,92614286,0
0.022520378,0.088142626,9.849561,23.573775,87.298975,-175.607666015625,1.3,0.0,92614328,0
-0.06141708,0.02146043,9.843817,23.573775,87.298975,-175.607666015625,1.3,0.0,92614370,0
-0.09232939,-0.025118934,9.836281,23.573775,87.298975,-175.607666015625,1.3,0.0,92614405,0
-0.051352736,-0.01705244,9.838482,23.573775,87.298975,-175.607666015625,1.3,0.0,92614412,0
-0.12056991,0.048417382,9.8562765,23.573775,87.298975,-175.607666015625,1.3,0.0,92614453,0
0.005635423,0.035169933,9.923654,23.573775,87.298975,-175.607666015625,1.3,0.0,92614495,0
0.021372857,-0.13491118,9.861921,23.573775,87.298975,-175.607666015625,1.3,0.0,92614536,0
0.031545654,0.03355954,9.847496,23.573775,87.298975,-175.607666015625,1.3,0.0,92614577,0
0.019972218,0.072134756,9.811663,23.573775,87.298975,-175.607666015625,1.3,0.0,92614604,0
0.05727958,-0.039579198,9.869956,23.573775,87.298975,-175.607666015625,1.3,0.0,92614619,0
0.10673047,-0.17455272,9.83245,23.573775,87.298975,-175.607666015625,1.3,0.0,92614661,0
0.25087404,-0.039161973,9.821273,23.573775,87.298975,-175.607666015625,1.3,0.0,92614702,0
0.20680282,0.03815798,9.910818,23.573775,87.298975,-175.607666015625,1.3,0.0,92614744,0
0.07566784,0.03558801,9.921354,23.573775,87.298975,-175.607666015625,1.3,0.0,92614785,0
