bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
-0.73792917,-3.340862,10.005277,0.0,0.0,0.0,10000.0,0.0,265472650,0
-1.572885,-1.8977238,9.040891,0.0,0.0,0.0,10000.0,0.0,265472729,0
0.08193695,-0.37367728,10.415096,0.0,0.0,0.0,10000.0,0.0,265472772,0
0.0026880011,-0.3303027,10.398147,0.0,0.0,0.0,10000.0,0.0,265472802,0
-1.8644178E-8,0.0,9.634452,0.0,0.0,0.0,10000.0,0.0,265472892,0
0.08961764,0.7583912,9.336529,0.0,0.0,0.0,10000.0,0.0,265472981,0
0.09470678,0.24250056,9.909104,0.0,0.0,0.0,10000.0,0.0,265473071,0
-0.047379315,0.38636196,9.799681,0.0,0.0,0.0,10000.0,0.0,265473079,0
-0.026276583,0.31559893,9.860147,0.0,0.0,0.0,10000.0,0.0,265473159,0
-0.011980624,0.39168492,9.858791,0.0,0.0,0.0,10000.0,0.0,265473250,0
-0.017930815,0.36008748,9.760749,0.0,0.0,0.0,10000.0,0.0,265473258,0
-0.22697374,0.15651108,10.203867,0.0,0.0,0.0,10000.0,0.0,265473341,0
-0.21007574,0.4203085,9.743826,0.0,0.0,0.0,10000.0,0.0,265473351,0
-0.33197865,0.36625147,10.103053,0.0,0.0,0.0,10000.0,0.0,265473359,0
-0.09522097,0.49040493,9.692977,0.0,0.0,0.0,10000.0,0.0,265473430,0
-0.22396603,0.23689824,10.011999,0.0,0.0,0.0,10000.0,0.0,265473441,0
-0.2926055,0.312597,9.913421,0.0,0.0,0.0,10000.0,0.0,265473448,0
0.02239874,0.36268845,9.79893,0.0,0.0,0.0,10000.0,0.0,265473517,0
0.5230813,0.5010652,9.664576,0.0,0.0,0.0,10000.0,0.0,265473526,0
0.18416405,-0.08959042,9.934063,0.0,0.0,0.0,10000.0,0.0,265473609,0
-0.57321805,0.06034319,10.34084,0.0,0.0,0.0,10000.0,0.0,265473616,0
0.0643185,0.18262546,9.851726,0.0,0.0,0.0,10000.0,0.0,265473696,0
-0.35526913,0.6901093,9.891039,0.0,0.0,0.0,10000.0,0.0,265473784,0
-1.13135,0.89436555,9.996108,0.0,0.0,0.0,10000.0,0.0,265473873,0
-1.0547613,1.2590595,10.1012335,0.0,0.0,0.0,10000.0,0.0,265473962,0
-0.8788749,0.6999699,9.948356,0.0,0.0,0.0,10000.0,0.0,265474054,0
0.40921915,0.0141313,9.636705,0.0,0.0,0.0,10000.0,0.0,265474063,0
3.6202166,-0.7957942,9.530024,0.0,0.0,0.0,10000.0,0.0,265474143,0
3.131832,-0.4626907,9.425587,0.0,0.0,0.0,10000.0,0.0,265474152,0
4.3623905,-0.50845975,8.91913,0.0,0.0,0.0,10000.0,0.0,265474160,0
3.7593532,-0.37250844,9.305736,0.0,0.0,0.0,10000.0,0.0,265474233,0
2.3184087,0.26231503,9.059095,0.0,0.0,0.0,10000.0,0.0,265474243,0
0.3237442,0.96994793,10.130369,0.0,0.0,0.0,10000.0,0.0,265474322,0
0.04289109,1.1029323,10.073227,0.0,0.0,0.0,10000.0,0.0,265474330,0
0.52796644,1.0697327,9.928292,0.0,0.0,0.0,10000.0,0.0,265474411,0
0.014622697,1.1080292,9.837838,0.0,0.0,0.0,10000.0,0.0,265474422,0
0.48240373,0.7256087,10.237091,0.0,0.0,0.0,10000.0,0.0,265474432,0
1.1412292,0.4988234,9.91983,0.0,0.0,0.0,10000.0,0.0,265474439,0
0.862165,0.5765259,9.857175,0.0,0.0,0.0,10000.0,0.0,265474497,0
1.2846793,0.47556573,9.844363,0.0,0.0,0.0,10000.0,0.0,265474508,0
1.2762313,0.8462056,9.241212,0.0,0.0,0.0,10000.0,0.0,265474515,0
1.4021329,0.63573444,9.883127,0.0,0.0,0.0,10000.0,0.0,265474586,0
0.95663226,0.8442471,9.555062,0.0,0.0,0.0,10000.0,0.0,265474596,0
1.1548965,0.4827599,9.956631,0.0,0.0,0.0,10000.0,0.0,265474604,0
0.89836603,0.6862417,9.791958,0.0,0.0,0.0,10000.0,0.0,265474675,0
0.86743313,0.8704964,9.7734995,0.0,0.0,0.0,10000.0,0.0,265474687,0
0.9911353,0.88310474,9.693635,0.0,0.0,0.0,10000.0,0.0,265474694,0
1.0265886,0.70581657,9.97263,0.0,0.0,0.0,10000.0,0.0,265474757,0
1.2559531,0.69188535,9.88987,0.0,0.0,0.0,10000.0,0.0,265474768,0
1.1348736,0.66449106,9.840037,0.0,0.0,0.0,10000.0,0.0,265474789,0
0.8319705,0.93383753,9.779622,0.0,0.0,0.0,10000.0,0.0,265474845,0
0.86508256,0.9445264,9.642549,0.0,0.0,0.0,10000.0,0.0,265474852,0
1.2496008,0.5769171,10.007414,0.0,0.0,0.0,10000.0,0.0,265474935,0
1.285933,0.6520818,9.899653,0.0,0.0,0.0,10000.0,0.0,265474942,0
0.6785338,0.74897194,9.961491,0.0,0.0,0.0,10000.0,0.0,265475025,0
1.0062113,0.5713911,9.874749,0.0,0.0,0.0,10000.0,0.0,265475035,0
0.82228965,0.745063,9.779252,0.0,0.0,0.0,10000.0,0.0,265475044,0
1.2048483,0.7732564,9.753602,0.0,0.0,0.0,10000.0,0.0,265475096,0
1.403381,0.7542679,9.653303,0.0,0.0,0.0,10000.0,0.0,265475107,0
0.91232777,0.81727743,9.721744,0.0,0.0,0.0,10000.0,0.0,265475178,0
0.8694988,0.6498933,9.836181,0.0,0.0,0.0,10000.0,0.0,265475188,0
0.82477814,0.62153816,9.933397,0.0,0.0,0.0,10000.0,0.0,265475266,0
0.96017504,0.6812911,9.828498,0.0,0.0,0.0,10000.0,0.0,265475276,0
0.9522023,0.7177204,9.733983,0.0,0.0,0.0,10000.0,0.0,265475357,0
0.9120835,0.6158802,9.873091,0.0,0.0,0.0,10000.0,0.0,265475367,0
0.80106986,0.67061317,9.892949,0.0,0.0,0.0,10000.0,0.0,265475377,0
0.9039297,0.76319677,9.776928,0.0,0.0,0.0,10000.0,0.0,265475444,0
0.86644197,0.7865353,9.786415,0.0,0.0,0.0,10000.0,0.0,265475453,0
0.9004844,0.6692134,9.898996,0.0,0.0,0.0,10000.0,0.0,265475460,0
1.0087036,0.63267684,9.83176,0.0,0.0,0.0,10000.0,0.0,265475534,0
0.9571033,0.71251565,9.734719,0.0,0.0,0.0,10000.0,0.0,265475544,0
0.84136826,0.69542134,9.909048,0.0,0.0,0.0,10000.0,0.0,265475624,0
0.8646009,0.79053545,9.725779,0.0,0.0,0.0,10000.0,0.0,265475633,0
0.98334116,0.753922,9.798194,0.0,0.0,0.0,10000.0,0.0,265475698,0
1.0014864,0.66954845,9.875617,0.0,0.0,0.0,10000.0,0.0,265475706,0
1.0255183,0.6814902,9.831255,0.0,0.0,0.0,10000.0,0.0,265475777,0
1.0375493,0.7231759,9.765403,0.0,0.0,0.0,10000.0,0.0,265475785,0
1.0123824,0.6696402,9.733617,0.0,0.0,0.0,10000.0,0.0,265475867,0
0.95771307,0.57559425,9.91564,0.0,0.0,0.0,10000.0,0.0,265475878,0
0.9670992,0.60287035,9.913467,0.0,0.0,0.0,10000.0,0.0,265475885,0
0.9638193,0.86096686,9.664364,0.0,0.0,0.0,10000.0,0.0,265475957,0
0.9701108,0.7862003,9.787312,0.0,0.0,0.0,10000.0,0.0,265475966,0
1.0368774,0.623472,9.8907795,0.0,0.0,0.0,10000.0,0.0,265475978,0
1.0201644,0.64320797,9.892212,0.0,0.0,0.0,10000.0,0.0,265476045,0
1.0461859,0.77674073,9.71253,0.0,0.0,0.0,10000.0,0.0,265476134,0
1.1105161,0.7835999,9.815758,0.0,0.0,0.0,10000.0,0.0,265476141,0
1.1003221,0.804949,9.722962,0.0,0.0,0.0,10000.0,0.0,265476226,0
1.0510436,0.7639816,9.8004875,0.0,0.0,0.0,10000.0,0.0,265476235,0
0.990639,0.7734038,9.754933,0.0,0.0,0.0,10000.0,0.0,265476295,0
0.89865094,0.7272465,9.8384285,0.0,0.0,0.0,10000.0,0.0,265476303,0
