bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
6.5719723E-9,0.0,9.821402,0.0,0.0,0.0,10000.0,0.0,265010051,0
2.9779315E-9,8.881784E-16,9.611702,0.0,0.0,0.0,10000.0,0.0,265010119,0
8.2494256E-10,0.0,9.994899,0.0,0.0,0.0,10000.0,0.0,265010141,0
3.8989967E-9,0.0,9.790134,0.0,0.0,0.0,10000.0,0.0,265010207,0
1.195466E-9,-4.440892E-16,10.1186495,0.0,0.0,0.0,10000.0,0.0,265010215,0
7.504329E-9,8.881784E-16,9.700679,0.0,0.0,0.0,10000.0,0.0,265010297,0
0.03507056,0.051816963,9.668039,0.0,0.0,0.0,10000.0,0.0,265010304,0
-0.16215608,-0.4113509,9.941766,0.0,0.0,0.0,10000.0,0.0,265010386,0
-0.042388957,-0.3639644,9.8913965,0.0,0.0,0.0,10000.0,0.0,265010396,0
-0.022306373,0.03152424,9.613015,0.0,0.0,0.0,10000.0,0.0,265010468,0
0.0072961887,-0.28413284,9.95716,0.0,0.0,0.0,10000.0,0.0,265010475,0
0.19493389,-0.4040898,9.786953,0.0,0.0,0.0,10000.0,0.0,265010542,0
0.06341686,-0.32700136,9.883916,0.0,0.0,0.0,10000.0,0.0,265010633,0
-0.62636214,0.15113395,9.873354,0.0,0.0,0.0,10000.0,0.0,265010723,0
0.058482412,-0.016001789,9.52462,0.0,0.0,0.0,10000.0,0.0,265010733,0
-0.018742627,-0.3781446,9.898316,0.0,0.0,0.0,10000.0,0.0,265010742,0
0.20841543,-0.06174701,9.599353,0.0,0.0,0.0,10000.0,0.0,265010811,0
0.49308115,-0.30843675,9.870273,0.0,0.0,0.0,10000.0,0.0,265010821,0
-0.7414895,0.3666801,9.409426,0.0,0.0,0.0,10000.0,0.0,265010901,0
-0.21911883,-0.20625642,9.929596,0.0,0.0,0.0,10000.0,0.0,265010988,0
-0.28208563,-0.22825794,9.788439,0.0,0.0,0.0,10000.0,0.0,265011064,0
-0.7131379,-0.13773577,9.832393,0.0,0.0,0.0,10000.0,0.0,265011153,0
-0.35629946,0.1277256,9.52761,0.0,0.0,0.0,10000.0,0.0,265011243,0
-0.66553336,-0.17140359,10.098171,0.0,0.0,0.0,10000.0,0.0,265011334,0
-0.8560475,0.6523214,9.036469,0.0,0.0,0.0,10000.0,0.0,265011342,0
0.014407854,-0.30325097,9.700275,0.0,0.0,0.0,10000.0,0.0,265011423,0
-0.48263043,-1.1728058,10.496446,0.0,0.0,0.0,10000.0,0.0,265011432,0
-1.2229935,0.17169452,9.714651,0.0,0.0,0.0,10000.0,0.0,265011513,0
-1.0163492,0.1574201,9.858787,0.0,0.0,0.0,10000.0,0.0,265011522,0
-0.4113416,0.12213916,9.732961,0.0,0.0,0.0,10000.0,0.0,265011529,0
-0.3951551,-0.13889699,9.849212,0.0,0.0,0.0,10000.0,0.0,265011601,0
-0.30688155,-0.3168977,9.754549,0.0,0.0,0.0,10000.0,0.0,265011608,0
-0.18647224,-0.11674116,9.690309,0.0,0.0,0.0,10000.0,0.0,265011690,0
-0.28313258,-0.08765955,9.707451,0.0,0.0,0.0,10000.0,0.0,265011699,0
-0.55514455,0.03500047,9.784823,0.0,0.0,0.0,10000.0,0.0,265011779,0
-0.6856148,-0.031544983,9.755574,0.0,0.0,0.0,10000.0,0.0,265011787,0
-0.5497042,-0.10366875,9.719112,0.0,0.0,0.0,10000.0,0.0,265011869,0
-0.63286096,-0.34020138,9.910128,0.0,0.0,0.0,10000.0,0.0,265011878,0
-0.6123684,-0.13947056,9.726493,0.0,0.0,0.0,10000.0,0.0,265011955,0
-0.46142656,0.0045380136,9.57223,0.0,0.0,0.0,10000.0,0.0,265012045,0
-0.5155613,-0.030082544,9.602578,0.0,0.0,0.0,10000.0,0.0,265012134,0
-0.6789122,-0.24757048,9.973076,0.0,0.0,0.0,10000.0,0.0,265012226,0
-0.6428329,-0.13583405,9.866846,0.0,0.0,0.0,10000.0,0.0,265012237,0
-0.76997316,0.20506182,9.40339,0.0,0.0,0.0,10000.0,0.0,265012244,0
-0.9408862,-0.03749129,9.833628,0.0,0.0,0.0,10000.0,0.0,265012315,0
-0.8195394,-0.2976467,10.111416,0.0,0.0,0.0,10000.0,0.0,265012326,0
-0.5895596,-0.35502934,9.958708,0.0,0.0,0.0,10000.0,0.0,265012403,0
-0.5821296,-0.035020504,9.539213,0.0,0.0,0.0,10000.0,0.0,265012417,0
-0.6092833,-0.18176553,9.763456,0.0,0.0,0.0,10000.0,0.0,265012425,0
-0.57257265,0.10974122,9.436384,0.0,0.0,0.0,10000.0,0.0,265012491,0
-0.6755536,0.08368844,9.641854,0.0,0.0,0.0,10000.0,0.0,265012583,0
-0.83132607,0.13596688,9.58965,0.0,0.0,0.0,10000.0,0.0,265012593,0
-0.8930106,-0.009583538,9.834875,0.0,0.0,0.0,10000.0,0.0,265012600,0
-0.7681023,0.044650067,9.673455,0.0,0.0,0.0,10000.0,0.0,265012668,0
-0.75769055,-0.20345391,9.914443,0.0,0.0,0.0,10000.0,0.0,265012679,0
-0.73580605,-0.022936411,9.7525425,0.0,0.0,0.0,10000.0,0.0,265012686,0
-0.2792956,-0.14543022,9.831776,0.0,0.0,0.0,10000.0,0.0,265012758,0
-0.35992986,-0.11142256,9.657827,0.0,0.0,0.0,10000.0,0.0,265012767,0
-0.36693922,-0.24094972,9.654157,0.0,0.0,0.0,10000.0,0.0,265012846,0
-0.4020337,-0.3421892,9.790915,0.0,0.0,0.0,10000.0,0.0,265012853,0
-0.016315175,-0.08111297,9.742611,0.0,0.0,0.0,10000.0,0.0,265012938,0
-0.16024421,-0.119010165,9.745066,0.0,0.0,0.0,10000.0,0.0,265012948,0
-0.22009793,-0.20168503,9.847142,0.0,0.0,0.0,10000.0,0.0,265012960,0
0.1626787,-0.12959391,9.655508,0.0,0.0,0.0,10000.0,0.0,265013026,0
0.023935126,-0.14353372,9.649559,0.0,0.0,0.0,10000.0,0.0,265013037,0
-0.4000116,-0.25470397,9.85051,0.0,0.0,0.0,10000.0,0.0,265013045,0
-0.3551082,0.057681676,9.916287,0.0,0.0,0.0,10000.0,0.0,265013115,0
-0.5272581,0.19076665,9.751958,0.0,0.0,0.0,10000.0,0.0,265013126,0
-1.0171256,0.3801198,9.357544,0.0,0.0,0.0,10000.0,0.0,265013133,0
0.026286885,-0.931661,10.064642,0.0,0.0,0.0,10000.0,0.0,265013205,0
0.24319206,-0.683511,9.88354,0.0,0.0,0.0,10000.0,0.0,265013216,0
0.0937053,-0.20123833,9.850968,0.0,0.0,0.0,10000.0,0.0,265013225,0
-0.30117035,-0.5693067,10.097068,0.0,0.0,0.0,10000.0,0.0,265013294,0
-0.69456327,-0.6391088,10.259338,0.0,0.0,0.0,10000.0,0.0,265013306,0
-0.11885201,-0.12803945,9.783083,0.0,0.0,0.0,10000.0,0.0,265013314,0
0.030637106,0.44994187,9.452995,0.0,0.0,0.0,10000.0,0.0,265013384,0
0.10672165,0.06448275,9.7770195,0.0,0.0,0.0,10000.0,0.0,265013393,0
0.12696293,0.05708953,9.598482,0.0,0.0,0.0,10000.0,0.0,265013400,0
0.23953982,-0.8284337,10.0660305,0.0,0.0,0.0,10000.0,0.0,265013468,0
0.20428081,-0.49855563,9.740462,0.0,0.0,0.0,10000.0,0.0,265013479,0
0.2254345,-0.346814,9.8530245,0.0,0.0,0.0,10000.0,0.0,265013489,0
-0.038376346,0.24754234,9.597849,0.0,0.0,0.0,10000.0,0.0,265013558,0
-0.13559486,0.044509824,9.782122,0.0,0.0,0.0,10000.0,0.0,265013568,0
-0.33581647,-0.3783516,9.913665,0.0,0.0,0.0,10000.0,0.0,265013646,0
-0.24908179,-0.15162955,9.903713,0.0,0.0,0.0,10000.0,0.0,265013659,0
0.21425195,-0.48542982,9.835893,0.0,0.0,0.0,10000.0,0.0,265013737,0
0.38035816,-0.83614075,10.027164,0.0,0.0,0.0,10000.0,0.0,265013747,0
-0.02413483,0.26680145,9.548907,0.0,0.0,0.0,10000.0,0.0,265013826,0
-0.063197464,0.08484965,9.668106,0.0,0.0,0.0,10000.0,0.0,265013836,0
-0.28181612,-0.46291482,9.989822,0.0,0.0,0.0,10000.0,0.0,265013844,0
-0.23399772,-0.03083786,9.7851,0.0,0.0,0.0,10000.0,0.0,265013915,0
-0.1470129,0.15215494,9.770076,0.0,0.0,0.0,10000.0,0.0,265013925,0
