bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
-0.5334837,-3.5940132,9.533481,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1590176,0
-1.4811191E-9,0.0,9.74225,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1590185,0
-2.4281906E-8,0.0,10.099322,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1590237,0
3.7587045E-10,0.0,9.493836,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1590269,0
-9.270991E-9,-1.110223E-16,10.086351,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1590310,0
7.980166E-9,6.938894E-18,9.581825,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1590351,0
7.36499E-9,5.551115E-17,9.741166,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1590368,0
-1.4990231E-8,-5.551115E-17,9.879888,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1590393,0
0.09326346,-0.15191127,9.731052,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1590434,0
0.1935303,-0.115105286,9.702859,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1590476,0
0.11574701,-0.21893792,9.805691,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1590518,0
0.25129208,-0.15768154,9.729407,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1590560,0
0.2554249,-0.1754636,9.746252,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1590601,0
0.14360918,-0.19813064,9.786803,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1590642,0
0.120464034,-0.17176954,9.7389765,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1590684,0
0.054429743,-0.26902303,9.806985,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1590726,0
0.04010999,-0.16636246,9.7812605,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1590766,0
0.06461744,-0.12918718,9.791815,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1590809,0
0.1644321,-0.18292812,9.800118,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1590850,0
0.122316234,-0.08157311,9.753713,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1590892,0
0.20375718,-0.17966092,9.8163,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1590934,0
0.15030204,-0.13875951,9.73581,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1590966,0
0.1158797,-0.22392477,9.8067465,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1590975,0
0.21390224,-0.14745925,9.672491,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1591017,0
0.05388526,-0.18267952,9.75454,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1591024,0
-0.0557104,-0.19322018,9.804737,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1591076,0
0.0712019,-0.22653587,9.764014,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1591100,0
-0.053502,-0.22428799,9.878438,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1591142,0
0.09162354,-0.20467775,9.750079,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1591166,0
0.024697755,-0.09311981,9.722789,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1591183,0
-0.09196781,-0.23287311,9.837017,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1591225,0
-0.14219941,-0.25144473,9.798211,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1591266,0
-0.19007592,-0.2607751,9.778142,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1591308,0
-0.0077194325,-0.22630003,9.713454,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1591349,0
-0.088047914,-0.22658682,9.779999,23.556600000000003,87.30772,-88.17259216308594,1.0,0.0,1591366,0
-0.015890405,-0.20851186,9.776745,23.556600000000003,87.30772,-88.17259216308594,1.1,0.0,1591391,0
-0.036053766,-0.23944569,9.784716,23.556600000000003,87.30772,-88.17259216308594,1.1,0.0,1591434,0
0.005978597,-0.2376114,9.766307,23.556600000000003,87.30772,-88.17259216308594,1.1,0.0,1591474,0
