bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023079,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023096,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023110,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023128,0
-1.0337583E-8,0.0,10.093102,0.0,0.0,0.0,0.0,0.0,1023143,0
-0.22602348,-0.33087593,10.193159,0.0,0.0,0.0,0.0,0.0,1023158,0
0.459486,0.41878814,10.483474,0.0,0.0,0.0,0.0,0.0,1023174,0
4.9470104E-9,-1.9984014E-15,10.059212,0.0,0.0,0.0,0.0,0.0,1023188,0
4.9470104E-9,-1.9984014E-15,10.059212,0.0,0.0,0.0,0.0,0.0,1023200,0
2.8562046E-9,-1.7763568E-15,9.657324,0.0,0.0,0.0,0.0,0.0,1023223,0
-0.6306328,-0.33907562,10.374739,0.0,0.0,0.0,0.0,0.0,1023233,0
0.020970372,-0.35365716,10.286984,0.0,0.0,0.0,0.0,0.0,1023272,0
-2.1455164E-9,0.0,9.859266,0.0,0.0,0.0,0.0,0.0,1023281,0
-2.0297093E-9,-1.3322676E-15,9.977362,0.0,0.0,0.0,0.0,0.0,1023298,0
-0.341674,-0.017530253,10.488769,0.0,0.0,0.0,0.0,0.0,1023307,0
1.340865E-8,0.0,10.180653,0.0,0.0,0.0,0.0,0.0,1023340,0
-1.7228006E-8,-2.220446E-16,10.037959,0.0,0.0,0.0,0.0,0.0,1023354,0
0.2633702,0.23813549,10.292228,0.0,0.0,0.0,0.0,0.0,1023381,0
0.43306965,0.44442636,10.554965,0.0,0.0,0.0,0.0,0.0,1023394,0
0.43306965,0.44442636,10.554965,0.0,0.0,0.0,0.0,0.0,1023403,0
0.68340284,0.55492204,10.298924,0.0,0.0,0.0,0.0,0.0,1023423,0
3.233691E-9,-8.881784E-16,10.124595,0.0,0.0,0.0,0.0,0.0,1023435,0
0.2611877,-0.19152185,10.266786,0.0,0.0,0.0,0.0,0.0,1023466,0
0.62450325,-0.1537838,10.305834,0.0,0.0,0.0,0.0,0.0,1023477,0
