bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
-0.43206763,-3.3503103,10.553606,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6949751,0
-1.4844092,10.457585,3.3358598,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6949758,0
-2.7593288,2.1792567,2.5882998,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6949770,0
-2.2509098,-8.410232,17.94536,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6949790,0
0.31499237,-4.511377,9.556778,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6949812,0
0.08084371,-1.7381406,7.9748416,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6949832,0
0.08084371,-1.7381406,7.9748416,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6949849,0
0.82765967,5.1157837,7.6155496,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6949859,0
-2.4666126,8.647727,9.877988,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6949873,0
-4.653902,-4.4248667,10.880077,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6949893,0
-0.06217124,-8.015966,12.960746,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6949913,0
0.865009,-5.968914,2.4195707,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6949933,0
2.4351716,2.920493,24.89143,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6949953,0
-0.49485582,17.828993,-12.68027,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6949975,0
-5.5215206,-4.804182,21.269009,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6949995,0
-5.2767615,-13.683573,5.3186007,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6950015,0
0.45627466,-3.4733076,21.920444,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6950036,0
2.489262,4.8930635,2.0026886,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6950055,0
1.5013832,4.307538,-2.7629066,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6950076,0
-5.1603827,0.114028774,21.850512,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6950096,0
-2.3222063,-4.2285733,4.325908,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6950116,0
-1.3065741,-4.181728,15.814429,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6950136,0
1.7756367,1.5687325,5.783511,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6950157,0
-1.2412949,4.565182,6.4587646,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6950178,0
-4.0612426,-0.36834738,15.141904,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6950197,0
2.9238109E-8,0.0,9.841694,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6950218,0
0.6199866,6.734749,11.778841,23.55661261,87.30775838,-133.75247192382812,4.5509996,0.0,6950238,0
3.2747998,1.780406,-0.940949,23.55661868,87.30771495,-81.3788833618164,6.068,0.0,6950260,0
-0.25091657,7.5526204,13.797542,23.55661868,87.30771495,-81.3788833618164,6.068,0.0,6950278,0
-2.205611,2.4158983,10.606827,23.55661868,87.30771495,-81.3788833618164,6.068,0.0,6950299,0
1.7806645E-10,-8.881784E-16,9.887815,23.55661868,87.30771495,-81.3788833618164,6.068,0.0,6950319,0
2.0005755E-9,0.0,9.535944,23.55661868,87.30771495,-81.3788833618164,6.068,0.0,6950339,0
1.4110755,-0.43467602,14.72775,23.55661868,87.30771495,-81.3788833618164,6.068,0.0,6950360,0
1.1443999E-8,0.0,9.692356,23.55661868,87.30771495,-81.3788833618164,6.068,0.0,6950381,0
1.1715944,2.4148564,-0.49087188,23.55661868,87.30771495,-81.3788833618164,6.068,0.0,6950402,0
0.1829514,-14.1286745,19.496117,23.55661868,87.30771495,-81.3788833618164,6.068,0.0,6950421,0
1.5292298,-5.106728,1.5244286,23.55661868,87.30771495,-81.3788833618164,6.068,0.0,6950442,0
1.7073945,-3.1101835,11.66734,23.55661868,87.30771495,-81.3788833618164,6.068,0.0,6950462,0
