bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
4.763291E-8,-4.440892E-16,9.651594,0.0,0.0,0.0,0.0,0.0,6698735,0
-5.9839E-9,0.0,9.596809,0.0,0.0,0.0,0.0,0.0,6698763,0
7.64113E-8,0.0,9.481099,0.0,0.0,0.0,0.0,0.0,6698772,0
-8.9767145E-9,-4.440892E-16,9.926422,0.0,0.0,0.0,0.0,0.0,6698779,0
6.5202364E-8,0.0,9.443078,0.0,0.0,0.0,0.0,0.0,6698804,0
-1.3737154E-7,-4.440892E-16,9.860923,0.0,0.0,0.0,0.0,0.0,6698827,0
4.1906432E-8,0.0,9.744319,0.0,0.0,0.0,0.0,0.0,6698848,0
4.1906432E-8,0.0,9.744319,0.0,0.0,0.0,0.0,0.0,6698861,0
1.2551981E-8,0.0,9.515027,0.0,0.0,0.0,0.0,0.0,6698930,0
0.12097862,-0.09556246,9.576298,0.0,0.0,0.0,0.0,0.0,6698950,0
0.2423477,-0.009802754,9.696543,0.0,0.0,0.0,0.0,0.0,6698971,0
0.15837446,-0.045530315,9.789745,0.0,0.0,0.0,0.0,0.0,6698991,0
0.09817127,-0.10315344,9.688596,0.0,0.0,0.0,0.0,0.0,6699011,0
0.08899195,0.05514305,9.48811,0.0,0.0,0.0,0.0,0.0,6699032,0
0.10732132,0.03350484,9.662314,0.0,0.0,0.0,0.0,0.0,6699053,0
0.076652214,-0.037135564,9.850186,0.0,0.0,0.0,0.0,0.0,6699073,0
0.015589741,0.062126797,9.633765,0.0,0.0,0.0,0.0,0.0,6699093,0
0.07072472,0.042100094,9.5290785,0.0,0.0,0.0,0.0,0.0,6699113,0
0.11957161,-0.051896926,9.666148,0.0,0.0,0.0,0.0,0.0,6699133,0
0.12999241,-0.009802754,9.747344,0.0,0.0,0.0,0.0,0.0,6699154,0
0.1431941,-0.043498125,9.700987,0.0,0.0,0.0,0.0,0.0,6699174,0
0.18167476,-0.1204928,9.61465,0.0,0.0,0.0,0.0,0.0,6699195,0
0.1939824,-0.09975261,9.624426,0.0,0.0,0.0,0.0,0.0,6699215,0
0.21730286,-0.033756014,9.681818,0.0,0.0,0.0,0.0,0.0,6699236,0
0.15121327,-0.014486795,9.710019,0.0,0.0,0.0,0.0,0.0,6699256,0
0.024659354,-0.016627895,9.650936,0.0,0.0,0.0,0.0,0.0,6699276,0
-0.028345527,-0.013189358,9.676076,0.0,0.0,0.0,0.0,0.0,6699297,0
0.061373528,-0.025254454,9.700173,0.0,0.0,0.0,0.0,0.0,6699317,0
0.18621545,0.027793374,9.624693,0.0,0.0,0.0,0.0,0.0,6699337,0
0.17450245,-0.007144849,9.624935,0.0,0.0,0.0,0.0,0.0,6699358,0
-0.020175463,0.09128077,9.670886,0.0,0.0,0.0,0.0,0.0,6699378,0
-0.096938856,0.21395643,9.684183,0.0,0.0,0.0,0.0,0.0,6699398,0
0.07487405,0.13137153,9.645736,0.0,0.0,0.0,0.0,0.0,6699420,0
0.09589468,0.11585932,9.677709,0.0,0.0,0.0,0.0,0.0,6699439,0
-0.03984854,0.22570975,9.639005,0.0,0.0,0.0,0.0,0.0,6699459,0
0.10750708,0.1755184,9.581392,0.0,0.0,0.0,0.0,0.0,6699480,0
0.06802745,0.035978626,9.671297,0.0,0.0,0.0,0.0,0.0,6699500,0
-0.09162266,0.0105334865,9.7802,0.0,0.0,0.0,0.0,0.0,6699520,0
0.037103985,-0.0105020255,9.690052,0.0,0.0,0.0,0.0,0.0,6699540,0
0.34221116,-0.14082904,9.60941,0.0,0.0,0.0,0.0,0.0,6699561,0
0.31034884,-0.096100114,9.5854225,0.0,0.0,0.0,0.0,0.0,6699581,0
0.073192485,-0.02174913,9.700165,0.0,0.0,0.0,0.0,0.0,6699603,0
-0.053230178,-0.03343566,9.780852,0.0,0.0,0.0,0.0,0.0,6699622,0
0.10750159,0.011221945,9.665639,0.0,0.0,0.0,0.0,0.0,6699642,0
0.21563129,0.06911695,9.593863,0.0,0.0,0.0,0.0,0.0,6699662,0
0.20632786,-0.009685912,9.637212,0.0,0.0,0.0,0.0,0.0,6699683,0
0.041767552,-0.0644246,9.74107,0.0,0.0,0.0,0.0,0.0,6699703,0
-0.016213354,0.028728984,9.726168,0.0,0.0,0.0,0.0,0.0,6699723,0
0.012810832,0.05928037,9.645064,0.0,0.0,0.0,0.0,0.0,6699744,0
0.08290593,0.028546743,9.712944,0.0,0.0,0.0,0.0,0.0,6699764,0
0.02282723,0.14865457,9.661402,0.0,0.0,0.0,0.0,0.0,6699784,0
0.1523946,0.13964269,9.608003,0.0,0.0,0.0,0.0,0.0,6699805,0
-0.111402035,0.2215405,9.155346,0.0,0.0,0.0,0.0,0.0,6699825,0
-1.3431486,-0.13004617,10.731465,0.0,0.0,0.0,0.0,0.0,6699845,1
-0.5496127,0.36488026,10.705374,0.0,0.0,0.0,0.0,0.0,6699865,0
3.9186478,0.30609584,6.4952507,0.0,0.0,0.0,0.0,0.0,6699887,0
1.7905793,-2.2412827,10.491119,0.0,0.0,0.0,0.0,0.0,6699906,0
-2.9901888,1.6779544,10.529056,0.0,0.0,0.0,0.0,0.0,6699927,0
-2.740405,1.5618309,9.927948,0.0,0.0,0.0,0.0,0.0,6699947,0
2.3022108,-2.6356864,10.390691,0.0,0.0,0.0,0.0,0.0,6699967,0
3.06046,0.140534,8.011382,0.0,0.0,0.0,0.0,0.0,6699988,0
-0.17747541,1.362391,8.67214,0.0,0.0,0.0,0.0,0.0,6700008,0
-1.2264276,-1.4213176,11.187207,0.0,0.0,0.0,0.0,0.0,6700028,0
-1.646049,-0.5180768,11.078542,0.0,0.0,0.0,0.0,0.0,6700049,0
0.8862918,1.5693836,7.668833,0.0,0.0,0.0,0.0,0.0,6700070,0
0.5702018,-0.6632992,9.982876,0.0,0.0,0.0,0.0,0.0,6700088,0
-0.16418375,-0.4777933,10.354862,0.0,0.0,0.0,0.0,0.0,6700109,0
-0.435536,1.5393703,8.920796,0.0,0.0,0.0,0.0,0.0,6700129,0
0.36671287,-0.37939337,9.8030815,0.0,0.0,0.0,0.0,0.0,6700149,0
0.082987875,-0.3950038,10.070494,0.0,0.0,0.0,0.0,0.0,6700170,0
-1.095056,1.2289709,9.615212,0.0,0.0,0.0,0.0,0.0,6700191,0
0.0053180857,-0.04337047,9.811528,0.0,0.0,0.0,0.0,0.0,6700211,0
-0.186064,-0.92998743,10.544728,0.0,0.0,0.0,0.0,0.0,6700232,0
-0.63833183,0.4857005,9.5938635,0.0,0.0,0.0,0.0,0.0,6700251,0
1.4186214,-0.19576482,9.037915,0.0,0.0,0.0,0.0,0.0,6700272,0
4.89228,-0.22729833,7.1318436,0.0,0.0,0.0,0.0,0.0,6700293,0
1.8406522,-0.3555622,8.393542,0.0,0.0,0.0,0.0,0.0,6700313,0
-6.0389295,-1.4026941,14.624311,0.0,0.0,0.0,0.0,0.0,6700333,0
-2.2736192,2.1261573,10.344332,0.0,0.0,0.0,0.0,0.0,6700354,0
3.2982037,0.60071707,6.01506,0.0,0.0,0.0,0.0,0.0,6700374,0
2.7939374,-2.1223855,9.357095,0.0,0.0,0.0,0.0,0.0,6700394,0
-2.9970996,2.2563162,11.861986,0.0,0.0,0.0,0.0,0.0,6700415,0
-1.6546289,2.479184,8.938428,0.0,0.0,0.0,0.0,0.0,6700436,0
2.9975624,-2.4757884,8.433048,0.0,0.0,0.0,0.0,0.0,6700455,0
0.9811618,-1.8772141,10.063681,0.0,0.0,0.0,0.0,0.0,6700476,0
-3.191825,1.4749677,11.875907,0.0,0.0,0.0,0.0,0.0,6700496,0
-1.7424425,-0.066859744,9.322432,0.0,0.0,0.0,0.0,0.0,6700516,0
2.8460066,-2.146148,9.297923,0.0,0.0,0.0,0.0,0.0,6700537,0
