bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
-1.6002456,-1.2096149,10.174172,23.55123231,87.29674492,-41.62828826904297,3.216,0.0,42502991,0
-1.9125922,1.4378878,8.903004,23.55123231,87.29674492,-41.62828826904297,3.216,0.0,42503074,0
-1.7481366E-8,8.881784E-16,9.732485,23.55123231,87.29674492,-41.62828826904297,3.216,0.0,42503128,0
-1.8494774E-10,8.881784E-16,9.514519,23.55123231,87.29674492,-41.62828826904297,3.216,0.0,42503211,0
-0.009009663,-0.021783492,9.266016,23.55123231,87.29674492,-41.62828826904297,3.216,0.0,42503291,0
-1.5865295E-11,0.0,9.982648,23.55123231,87.29674492,-41.62828826904297,3.216,0.0,42503318,0
-0.047449477,0.5059595,9.041427,23.55123231,87.29674492,-41.62828826904297,3.216,0.0,42503370,0
-0.03299176,0.5762461,8.950008,23.55123305,87.29674448,-41.62828826904297,3.216,0.0,42503449,0
0.024420295,0.5283512,9.087437,23.55123305,87.29674448,-41.62828826904297,3.216,0.0,42503530,0
-0.29885006,-1.6752936,9.708936,23.55123305,87.29674448,-41.62828826904297,3.216,0.0,42503556,0
-0.40497357,0.63403976,8.956764,23.55123305,87.29674448,-41.62828826904297,3.216,0.0,42503607,0
-0.21760415,0.59326583,8.950174,23.55123305,87.29674448,-41.62828826904297,3.216,0.0,42503687,0
-0.17793892,-1.8143512,9.689521,23.55123305,87.29674448,-41.62828826904297,3.216,0.0,42503709,0
0.065932766,0.6696053,8.98326,23.55123305,87.29674448,-41.62828826904297,3.216,0.0,42503765,0
0.0888964,0.38615012,9.092161,23.55123305,87.29674448,-41.62828826904297,3.216,0.0,42503845,0
0.09795301,0.45483887,9.012334,23.55123305,87.29674448,-41.62828826904297,3.216,0.0,42503924,0
-0.031301744,-0.33721358,9.412718,23.55123305,87.29674448,-41.62828826904297,3.216,0.0,42504003,0
-0.036543984,-0.07842887,9.196478,23.55123305,87.29674448,-41.62828826904297,3.216,0.0,42504071,0
-0.5332798,-1.1160936,9.564219,23.55123305,87.29674448,-41.62828826904297,3.216,0.0,42504092,0
-0.059660293,0.9096057,9.494887,23.55123305,87.29674448,-41.62828826904297,3.216,0.0,42504160,0
-0.47136456,-2.2942073,10.156308,23.55123305,87.29674448,-41.62828826904297,3.216,0.0,42504182,0
-0.028311666,-0.31659204,9.4466095,23.55123305,87.29674448,-41.62828826904297,3.216,0.0,42504240,0
-0.31195906,-0.60035264,9.505249,23.55123305,87.29674448,-41.62828826904297,3.216,0.0,42504319,0
-0.3771636,-0.5430186,9.289327,23.55123305,87.29674448,-41.62828826904297,3.216,0.0,42504345,0
-0.35214344,-0.38108197,9.224766,23.55123277,87.29674313,-41.62828826904297,3.216,0.0,42504399,0
-0.09726442,0.4051236,9.121066,23.55123277,87.29674313,-41.62828826904297,3.216,0.0,42504472,0
-0.37467268,-1.666534,9.737022,23.55123277,87.29674313,-41.62828826904297,3.216,0.0,42504494,0
0.1280367,0.69221514,9.617068,23.55123277,87.29674313,-41.62828826904297,3.216,0.0,42504557,0
-0.3715924,-2.0083113,9.948818,23.55123277,87.29674313,-41.62828826904297,3.216,0.0,42504578,0
0.096767105,1.8354129,8.7200575,23.55123277,87.29674313,-41.62828826904297,3.216,0.0,42504636,0
