bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41222073,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41222103,0
5.735708E-9,0.0,10.172043,0.0,0.0,0.0,0.0,0.0,41222136,0
1.3857804E-9,0.0,9.708831,0.0,0.0,0.0,0.0,0.0,41222168,0
-0.017961286,-0.092562,10.426426,0.0,0.0,0.0,0.0,0.0,41222193,0
0.1805694,2.0010366,9.324021,0.0,0.0,0.0,0.0,0.0,41222306,0
0.010554079,-0.41832873,10.076675,0.0,0.0,0.0,0.0,0.0,41222331,0
0.07950415,2.7624903,9.00391,0.0,0.0,0.0,0.0,0.0,41222357,0
1.8527466,1.9857227,9.762208,0.0,0.0,0.0,0.0,0.0,41222429,0
2.3217282,0.13567744,9.822227,0.0,0.0,0.0,0.0,0.0,41222454,0
2.071823,2.4653916,9.18497,0.0,0.0,0.0,0.0,0.0,41222508,0
1.578034,-0.07108641,9.544673,0.0,0.0,0.0,0.0,0.0,41222539,0
1.4527605,1.3164726,10.126194,0.0,0.0,0.0,0.0,0.0,41222580,0
3.815252,1.7712998,9.10013,0.0,0.0,0.0,0.0,0.0,41222603,0
1.8943136,0.8382587,9.2241745,0.0,0.0,0.0,0.0,0.0,41222659,0
1.1463184,0.29827178,10.175159,0.0,0.0,0.0,0.0,0.0,41222684,0
-1.426408,-0.09161085,9.71964,0.0,0.0,0.0,0.0,0.0,41222719,0
-1.4099858,-0.0389756,9.516772,0.0,0.0,0.0,0.0,0.0,41222746,0
1.5058225,0.14792486,10.367011,0.0,0.0,0.0,0.0,0.0,41222826,0
0.8107211,1.4870785,9.194623,0.0,0.0,0.0,0.0,0.0,41222857,0
-0.9905748,1.4718848,9.117335,0.0,0.0,0.0,0.0,0.0,41222910,0
1.4973669,0.9937977,8.693362,0.0,0.0,0.0,0.0,0.0,41222983,0
1.3572407,0.68426365,9.424741,0.0,0.0,0.0,0.0,0.0,41223008,0
0.09059907,-0.7679159,9.5795355,0.0,0.0,0.0,0.0,0.0,41223058,0
-0.11731126,0.79768395,9.71038,23.55124104,87.29674399,0.0,6.432,0.0,41223141,0
0.3453707,6.513627E-4,9.706159,23.55124104,87.29674399,0.0,6.432,0.0,41223173,0
0.19131303,2.1758218,8.949462,23.55124104,87.29674399,0.0,6.432,0.0,41223197,0
0.24565949,-0.079549484,9.959115,23.55124104,87.29674399,0.0,6.432,0.0,41223221,0
1.3583127,0.51724416,9.560478,23.55124104,87.29674399,0.0,6.432,0.0,41223299,0
1.1165473,0.8466934,10.276885,23.55124104,87.29674399,0.0,6.432,0.0,41223322,0
0.61760306,1.1547095,9.253133,23.55124104,87.29674399,0.0,6.432,0.0,41223378,0
0.7113501,0.50248617,9.531926,23.55124104,87.29674399,0.0,6.432,0.0,41223400,0
0.38616446,0.9538398,9.6669035,23.55124104,87.29674399,0.0,6.432,0.0,41223458,0
-0.14827803,-0.23528339,9.67459,23.55124104,87.29674399,0.0,6.432,0.0,41223479,0
-0.1329699,1.9689876,8.744812,23.55124104,87.29674399,0.0,6.432,0.0,41223537,0
0.09604251,0.5966781,9.314666,23.55124104,87.29674399,0.0,6.432,0.0,41223558,0
0.4034521,0.596443,9.950573,23.55124104,87.29674399,0.0,6.432,0.0,41223585,0
-0.47351044,1.9467891,8.982275,23.55124104,87.29674399,0.0,6.432,0.0,41223616,0
0.87959737,0.85880965,9.734565,23.55124104,87.29674399,0.0,6.432,0.0,41223637,0
-0.029458899,1.4137119,9.73492,23.55124104,87.29674399,0.0,6.432,0.0,41223694,0
