bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
-2.3696535E-8,8.881784E-16,9.734223,23.54741925,87.31093936,-170.86447143554688,4.5509996,5013.0,252690407,0
-6.885781E-9,-8.881784E-16,9.577231,23.54741925,87.31093936,-170.86447143554688,4.5509996,5013.0,252690418,0
-6.565663E-10,-8.881784E-16,9.60484,23.54741925,87.31093936,-170.86447143554688,4.5509996,5013.0,252690481,0
-1.1473281E-11,0.0,9.577959,23.54741925,87.31093936,-170.86447143554688,4.5509996,4973.0,252690505,0
-1.1071604E-9,0.0,9.589505,23.54741925,87.31093936,-170.86447143554688,4.5509996,4973.0,252690522,0
-3.2152112E-10,0.0,9.586987,23.54741925,87.31093936,-170.86447143554688,4.5509996,4973.0,252690542,0
7.3875936E-9,0.0,9.594177,23.54741925,87.31093936,-170.86447143554688,4.5509996,4973.0,252690562,0
0.005304396,0.0024423674,9.570477,23.54741925,87.31093936,-170.86447143554688,4.5509996,4973.0,252690582,0
0.015821755,-0.057237092,9.582413,23.54741925,87.31093936,-170.86447143554688,4.5509996,4973.0,252690602,0
-0.023571433,-0.087078,9.57681,23.54741925,87.31093936,-170.86447143554688,4.5509996,4973.0,252690624,0
-0.023571433,-0.087078,9.57681,23.54741925,87.31093936,-170.86447143554688,4.5509996,4918.0,252690643,0
0.018741898,-0.08531945,9.558159,23.54741925,87.31093936,-170.86447143554688,4.5509996,4918.0,252690654,0
0.035402812,-0.08261716,9.562656,23.54741925,87.31093936,-170.86447143554688,4.5509996,4918.0,252690665,0
0.08696142,-0.04465019,9.559719,23.54741925,87.31093936,-170.86447143554688,4.5509996,4918.0,252690682,0
0.07213799,-0.060757164,9.580379,23.54741925,87.31093936,-170.86447143554688,4.5509996,4918.0,252690702,0
0.046628214,-0.018540246,9.59763,23.54741925,87.31093936,-170.86447143554688,4.5509996,4918.0,252690723,0
0.031244852,-0.025637014,9.589102,23.54741925,87.31093936,-170.86447143554688,4.5509996,4918.0,252690742,0
