bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
1.1481696E-8,2.7755576E-17,9.83224,23.5511251,87.29692757,108.64591979980469,3.216,5694.674,79399971,0
-1.3684187,-0.6933181,12.196349,23.5511251,87.29692757,108.64591979980469,3.216,5719.6504,79399986,0
0.06842332,0.3315798,8.953066,23.5511251,87.29692757,108.64591979980469,3.216,5719.6504,79400007,0
-0.6786714,0.10081052,11.933315,23.5511251,87.29692757,108.64591979980469,3.216,5719.6504,79400033,0
0.4238639,1.3310832,6.7133555,23.5511251,87.29692757,108.64591979980469,3.216,5719.6504,79400073,0
-0.25353518,-0.077428214,8.967876,23.5511251,87.29692757,108.64591979980469,3.216,5734.6367,79400086,0
-0.50662386,-0.25356752,12.094513,23.5511251,87.29692757,108.64591979980469,3.216,5734.6367,79400103,0
0.08777069,1.020529,7.0722303,23.5511251,87.29692757,108.64591979980469,3.216,5734.6367,79400122,0
-1.3116803,-0.7315071,12.444114,23.5511251,87.29692757,108.64591979980469,3.216,5734.6367,79400142,0
0.035778444,0.35351408,8.925662,23.5511251,87.29692757,108.64591979980469,3.216,5734.6367,79400160,0
-0.5421778,0.074058056,11.147414,23.5511251,87.29692757,108.64591979980469,3.216,5734.6367,79400181,0
0.29188484,0.65789235,8.016149,23.5511251,87.29692757,108.64591979980469,3.216,5734.6367,79400202,0
0.29188484,0.65789235,8.016149,23.5511251,87.29692757,108.64591979980469,3.216,5812.064,79400219,0
9.435355E-10,-5.551115E-17,9.440343,23.5511251,87.29692757,108.64591979980469,3.216,5812.064,79400241,0
-0.07442199,0.10206637,10.468481,23.5511251,87.29692757,108.64591979980469,3.216,5812.064,79400259,0
-0.084772885,0.46837178,8.622139,23.5511251,87.29692757,108.64591979980469,3.216,5812.064,79400280,0
-0.6895562,-0.9034915,11.506131,23.5511251,87.29692757,108.64591979980469,3.216,5812.064,79400299,0
0.008190279,-0.23815876,10.297821,23.5511251,87.29692757,108.64591979980469,3.216,5812.064,79400318,0
5.5929533E-8,0.0,9.652802,23.55112511,87.29692757,108.64591979980469,3.216,5812.064,79400339,0
5.5929533E-8,0.0,9.652802,23.55112511,87.29692757,108.64591979980469,3.216,5849.5293,79400352,0
-0.4875329,-0.69040745,10.707341,23.55112511,87.29692757,108.64591979980469,3.216,5849.5293,79400379,0
-0.2476952,-0.040416148,10.910179,23.55112511,87.29692757,108.64591979980469,3.216,5849.5293,79400400,0
0.37364572,0.7330556,8.243739,23.55112511,87.29692757,108.64591979980469,3.216,5849.5293,79400418,0
-1.1633843,-0.6288359,11.298595,23.55112511,87.29692757,108.64591979980469,3.216,5849.5293,79400438,0
-4.3408924E-8,0.0,9.740008,23.55112511,87.29692757,108.64591979980469,3.216,5849.5293,79400457,0
-0.25746557,-0.08982777,11.99102,23.55112511,87.29692757,108.64591979980469,3.216,5849.5293,79400478,0
0.6164613,1.1536485,7.2849565,23.55112511,87.29692757,108.64591979980469,3.216,5934.4497,79400497,0
-0.74369365,-0.24192448,12.083019,23.55112511,87.29692757,108.64591979980469,3.216,5934.4497,79400518,0
-0.012717415,0.21455367,8.73301,23.55112511,87.29692757,108.64591979980469,3.216,5934.4497,79400537,0
-0.40694177,-0.060593925,12.046073,23.55112511,87.29692757,108.64591979980469,3.216,5934.4497,79400556,0
0.6390165,0.9927475,7.2050767,23.55112511,87.29692757,108.64591979980469,3.216,5934.4497,79400576,0
-0.74816304,-0.4761895,12.568949,23.55112511,87.29692757,108.64591979980469,3.216,5934.4497,79400596,0
0.28751317,0.18484862,9.049699,23.55112511,87.29692757,108.64591979980469,3.216,5934.4497,79400617,0
-0.110414796,0.013114574,11.181858,23.55112511,87.29692757,108.64591979980469,3.216,5939.445,79400636,0
0.27589014,1.0340486,8.071037,23.55112511,87.29692757,108.64591979980469,3.216,5939.445,79400656,0
-0.41683295,-0.24657905,11.758086,23.55112511,87.29692757,108.64591979980469,3.216,5939.445,79400675,0
2.5018794E-8,0.0,10.095394,23.55112511,87.29692757,108.64591979980469,3.216,5939.445,79400695,0
-3.07316E-8,0.0,9.568019,23.55112511,87.29692757,108.64591979980469,3.216,5939.445,79400716,0
-1.4110973,-0.7876513,10.765817,23.55112511,87.29692757,108.64591979980469,3.216,5939.445,79400734,0
-1.4110973,-0.7876513,10.765817,23.55112511,87.29692757,108.64591979980469,3.216,5984.403,79400752,0
-1.5115578,-0.4763469,10.884238,23.55112511,87.29692757,108.64591979980469,3.216,5984.403,79400774,0
0.42958495,0.30913106,8.509791,23.55112511,87.29692757,108.64591979980469,3.216,5984.403,79400794,0
-1.5178446,-0.5481321,11.98484,23.55112511,87.29692757,108.64591979980469,3.216,5984.403,79400814,0
-5.096692E-8,-1.110223E-16,9.645905,23.55112511,87.29692757,108.64591979980469,3.216,5984.403,79400834,0
-2.4208536,-0.23084566,11.334163,23.55112511,87.29692757,108.64591979980469,3.216,5984.403,79400854,0
-0.0057740943,0.45753044,9.130498,23.55112511,87.29692757,108.64591979980469,3.216,5984.403,79400873,0
-0.0057740943,0.45753044,9.130498,23.55112511,87.29692757,108.64591979980469,3.216,5979.4077,79400890,0
-4.741729E-8,2.7755576E-17,9.733447,23.55112511,87.29692757,108.64591979980469,3.216,5979.4077,79400912,0
-0.40304768,0.20295264,12.108703,23.55112511,87.29692757,108.64591979980469,3.216,5979.4077,79400934,0
0.02246982,1.234441,8.598276,23.55112511,87.29692757,108.64591979980469,3.216,5979.4077,79400953,0
-1.7531832,-0.042902745,9.967705,23.55112511,87.29692757,108.64591979980469,3.216,5979.4077,79400972,0
-1.0464634,0.10577348,11.137443,23.55112511,87.29692757,108.64591979980469,3.216,5979.4077,79400991,0
0.943719,1.7499182,9.009472,23.55112511,87.29692757,108.64591979980469,3.216,5979.4077,79401012,0
-1.0392078,0.7607027,10.478322,23.55112511,87.29692757,108.64591979980469,3.216,5984.403,79401033,0
-1.1184878,0.31636924,9.430203,23.55112511,87.29692757,108.64591979980469,3.216,5984.403,79401050,0
-1.9952691,-0.6615277,11.298754,23.55112511,87.29692757,108.64591979980469,3.216,5984.403,79401071,0
-0.10825141,0.71205324,8.664639,23.55112511,87.29692757,108.64591979980469,3.216,5984.403,79401090,0
-0.07437615,0.59546155,12.310168,23.55112511,87.29692757,108.64591979980469,3.216,5984.403,79401110,0
0.3739104,1.8402303,7.733935,23.55112511,87.29692757,108.64591979980469,3.216,5984.403,79401130,0
-2.8079407,-0.08086588,10.406869,23.55112511,87.29692757,108.64591979980469,3.216,5984.403,79401149,0
-0.73859626,0.021982383,11.465229,23.55112511,87.29692757,108.64591979980469,3.216,5949.4355,79401170,0
0.31462157,1.5078582,9.421602,23.55112511,87.29692757,108.64591979980469,3.216,5949.4355,79401189,0
-1.4554858,0.5369531,9.108644,23.55112511,87.29692757,108.64591979980469,3.216,5949.4355,79401209,0
-0.51939285,0.15893817,13.109533,23.55112511,87.29692757,108.64591979980469,3.216,5949.4355,79401228,0
0.4354792,1.9174368,6.4605722,23.55112511,87.29692757,108.64591979980469,3.216,5949.4355,79401249,0
0.103673756,0.7188431,11.583893,23.55112511,87.29692757,108.64591979980469,3.216,5949.4355,79401269,0
0.103673756,0.7188431,11.583893,23.55112511,87.29692757,108.64591979980469,3.216,5931.952,79401285,0
-1.1197696,-0.27513042,11.2294445,23.55112511,87.29692757,108.64591979980469,3.216,5931.952,79401308,0
-0.06054961,1.1301829,8.390395,23.55112512,87.29692757,108.64591979980469,3.216,5931.952,79401331,0
-0.24111323,0.5123476,10.858705,23.55112512,87.29692757,108.64591979980469,3.216,5931.952,79401349,0
-1.6780815,0.11462065,10.801836,23.55112512,87.29692757,108.64591979980469,3.216,5931.952,79401367,0
1.0136821,1.5966157,8.427812,23.55112512,87.29692757,108.64591979980469,3.216,5931.952,79401386,0
-1.8852644,0.32554686,11.472838,23.55112512,87.29692757,108.64591979980469,3.216,5931.952,79401406,0
-1.8852644,0.32554686,11.472838,23.55112512,87.29692757,108.64591979980469,3.216,5857.022,79401419,0
-2.3110263,-0.3010686,11.632219,23.55112512,87.29692757,108.64591979980469,3.216,5857.022,79401446,0
0.67741305,0.2953285,10.443766,23.55112512,87.29692757,108.64591979980469,3.216,5857.022,79401467,0
-2.3757167,0.51531553,10.523711,23.55112512,87.29692757,108.64591979980469,3.216,5857.022,79401485,0
0.5227473,1.5025802,7.65639,23.55112512,87.29692757,108.64591979980469,3.216,5857.022,79401505,0
-2.3442516,-0.6546332,12.145601,23.55112512,87.29692757,108.64591979980469,3.216,5857.022,79401526,0
-1.3972813,1.049802,9.624224,23.55112512,87.29692757,108.64591979980469,3.216,5857.022,79401546,0
-0.75494695,1.0379444,10.291433,23.55112512,87.29692757,108.64591979980469,3.216,5789.585,79401565,0
-1.8873247,1.3923779,12.131139,23.55112512,87.29692757,108.64591979980469,3.216,5789.585,79401585,0
1.4040581,2.6078293,7.6105475,23.55112512,87.29692757,108.64591979980469,3.216,5789.585,79401604,0
-3.69633,1.6452011,12.888255,23.55112512,87.29692757,108.64591979980469,3.216,5789.585,79401624,0
3.619737,2.965616,6.7263327,23.55112512,87.29692757,108.64591979980469,3.216,5789.585,79401644,0
-4.1882277,1.3508108,14.196414,23.55112512,87.29692757,108.64591979980469,3.216,5789.585,79401663,0
4.094306,2.2200818,6.3415613,23.55112512,87.29692757,108.64591979980469,3.216,5789.585,79401689,0
-5.28007,-0.50758475,17.36202,23.55112512,87.29692757,108.64591979980469,3.216,5717.153,79401703,0
4.8532953,3.8821847,3.086049,23.55112512,87.29692757,108.64591979980469,3.216,5717.153,79401723,0
-4.1062813,-0.05601533,17.522491,23.55112512,87.29692757,108.64591979980469,3.216,5717.153,79401745,0
4.787652,2.8643677,2.4647846,23.55112512,87.29692757,108.64591979980469,3.216,5717.153,79401763,0
-5.7325706,-1.1288878,18.97954,23.55112512,87.29692757,108.64591979980469,3.216,5717.153,79401783,0
4.343663,3.9209816,1.1666785,23.55112512,87.29692757,108.64591979980469,3.216,5717.153,79401803,0
4.343663,3.9209816,1.1666785,23.55112512,87.29692757,108.64591979980469,3.216,5614.7485,79401821,0
4.6126413,3.936253,2.2478316,23.55112512,87.29692757,108.64591979980469,3.216,5614.7485,79401842,0
-5.063279,-0.5890374,17.061752,23.55112512,87.29692757,108.64591979980469,3.216,5614.7485,79401862,0
1.5446428,4.1375794,2.468323,23.55112512,87.29692757,108.64591979980469,3.216,5614.7485,79401884,0
-4.475514,0.052924026,15.317789,23.55112512,87.29692757,108.64591979980469,3.216,5614.7485,79401901,0
-0.7271438,1.9214873,4.1755886,23.55112512,87.29692757,108.64591979980469,3.216,5614.7485,79401921,0
-2.5070617,-0.10688301,14.586348,23.55112512,87.29692757,108.64591979980469,3.216,5614.7485,79401942,0
-2.5070617,-0.10688301,14.586348,23.55112512,87.29692757,108.64591979980469,3.216,5402.4473,79401954,0
-0.93005,1.5385854,9.529313,23.55112512,87.29692757,108.64591979980469,3.216,5402.4473,79401984,0
-5.6044426,0.335504,12.3594265,23.55112512,87.29692757,108.64591979980469,3.216,5402.4473,79402001,1
0.042875145,3.1746697,2.631772,23.55112512,87.29692757,108.64591979980469,3.216,5402.4473,79402021,0
-4.3701797,-0.118638836,16.22977,23.55112512,87.29692757,108.64591979980469,3.216,5402.4473,79402041,0
-1.4535607,2.7056093,1.6238729,23.55112512,87.29692757,108.64591979980469,3.216,5402.4473,79402061,0
-3.18784,-0.9296281,16.24568,23.55112512,87.29692757,108.64591979980469,3.216,5402.4473,79402081,0
-3.18784,-0.9296281,16.24568,23.55112512,87.29692757,108.64591979980469,3.216,5307.536,79402093,0
-1.5395708,0.017270697,13.162515,23.55112512,87.29692757,108.64591979980469,3.216,5307.536,79402119,0
-3.3793032,0.976964,7.694005,23.55112512,87.29692757,108.64591979980469,3.216,5307.536,79402140,0
-0.38630086,1.678435,8.891185,23.55112512,87.29692757,108.64591979980469,3.216,5307.536,79402159,0
-2.3773072,0.9584148,12.086535,23.55112512,87.29692757,108.64591979980469,3.216,5307.536,79402178,0
-0.6873516,2.4257178,5.213738,23.55112512,87.29692757,108.64591979980469,3.216,5307.536,79402200,0
-0.9407508,0.86800206,14.801741,23.55112512,87.29692757,108.64591979980469,3.216,5307.536,79402219,0
-1.516482,2.4716983,5.602912,23.55112512,87.29692757,108.64591979980469,3.216,5437.4146,79402238,0
-0.28536022,1.8833615,12.827469,23.55112512,87.29692757,108.64591979980469,3.216,5437.4146,79402257,0
