bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
2.3262804,-9.020283,-0.34314686,23.55118586,87.29680117,-20.880544662475586,3.216,938.9135,78576442,0
2.5532591,-10.544245,-0.6899141,23.55118586,87.29680117,-20.880544662475586,3.216,938.9135,78576502,0
-0.047792066,0.65187395,9.033779,23.55118586,87.29680117,-20.880544662475586,3.216,938.9135,78576551,0
-0.85719836,-0.28829697,11.059674,23.55118586,87.29680117,-20.880544662475586,3.216,938.9135,78576580,0
-0.984642,-0.5159216,10.979829,23.55118586,87.29680117,-20.880544662475586,3.216,949.73676,78576643,0
-0.5388463,0.41835687,8.961395,23.55118586,87.29680117,-20.880544662475586,3.216,949.73676,78576670,0
-5.7376432E-8,0.0,10.1479645,23.55118586,87.29680117,-20.880544662475586,3.216,949.73676,78576742,0
-4.723311E-9,-2.7755576E-17,9.965135,23.55118586,87.29680117,-20.880544662475586,3.216,955.1483,78576776,0
1.1222259,0.3475264,10.754754,23.55118586,87.29680117,-20.880544662475586,3.216,955.1483,78576831,0
0.20291486,0.45434195,9.363906,23.55118586,87.29680117,-20.880544662475586,3.216,955.1483,78576842,0
-0.21529548,0.1457742,9.293575,23.55118586,87.29680117,-20.880544662475586,3.216,957.8541,78576910,0
1.0148121,0.021076137,11.214169,23.55118586,87.29680117,-20.880544662475586,3.216,957.8541,78576922,0
0.25167593,0.5080198,8.666338,23.55118586,87.29680117,-20.880544662475586,3.216,957.8541,78576934,0
0.75992936,-0.25442904,11.84407,23.55118586,87.29680117,-20.880544662475586,3.216,957.8541,78576947,0
0.6939449,0.74170727,8.549765,23.55118586,87.29680117,-20.880544662475586,3.216,957.8541,78577002,0
0.7918453,0.06356598,11.652418,23.55118586,87.29680117,-20.880544662475586,3.216,957.8541,78577015,0
0.22121687,0.5076219,8.790379,23.55118586,87.29680117,-20.880544662475586,3.216,957.8541,78577026,0
1.4501058,0.047940843,12.014472,23.55118586,87.29680117,-20.880544662475586,3.216,955.1483,78577043,0
0.7920195,0.9535142,8.294254,23.55118586,87.29680117,-20.880544662475586,3.216,955.1483,78577092,0
0.853115,-0.023579862,11.045081,23.55118586,87.29680117,-20.880544662475586,3.216,955.1483,78577105,0
4.9719862E-8,2.7755576E-17,9.815221,23.55118586,87.29680117,-20.880544662475586,3.216,955.1483,78577116,0
-1.5356287E-8,0.0,9.454424,23.55118586,87.29680117,-20.880544662475586,3.216,957.8541,78577177,0
-0.011950018,-0.4660598,10.869367,23.55118586,87.29680117,-20.880544662475586,3.216,957.8541,78577190,0
0.06975993,0.5081621,9.296546,23.55118586,87.29680117,-20.880544662475586,3.216,957.8541,78577201,0
0.6261769,0.31719035,9.345128,23.55118586,87.29680117,-20.880544662475586,3.216,957.8541,78577269,0
0.2591024,-0.20105684,11.293853,23.55118586,87.29680117,-20.880544662475586,3.216,957.8541,78577281,0
0.10026111,0.37562737,8.613377,23.55118586,87.29680117,-20.880544662475586,3.216,957.8541,78577294,0
-0.026009053,-0.45069212,11.680997,23.55118586,87.29680117,-20.880544662475586,3.216,957.8541,78577306,0
0.14341216,0.1634626,8.993267,23.55118418,87.29680271,-20.880544662475586,3.216,952.44257,78577344,0
0.32394126,0.747398,9.093328,23.55118418,87.29680271,-20.880544662475586,3.216,952.44257,78577432,0
0.23760708,0.21127611,11.467002,23.55118418,87.29680271,-20.880544662475586,3.216,952.44257,78577447,0
-0.41600564,-0.28673625,9.39869,23.55118418,87.29680271,-20.880544662475586,3.216,947.03094,78577521,0
-0.14964677,-0.8477137,10.762248,23.55118418,87.29680271,-20.880544662475586,3.216,955.1483,78577577,0
-0.380385,-0.22626807,8.651755,23.55118418,87.29680271,-20.880544662475586,3.216,955.1483,78577611,0
0.15913828,-0.6714742,11.982972,23.55118418,87.29680271,-20.880544662475586,3.216,955.1483,78577625,0
