bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
-0.4269069,0.75549513,10.203576,23.5512365,87.29673684,-6.14479398727417,3.216,8681.88,77526144,0
3.8675328E-8,-2.220446E-16,9.564287,23.5512365,87.29673684,-6.14479398727417,3.216,8656.903,77526181,0
-1.6135804E-8,0.0,10.0507345,23.5512365,87.29673684,-6.14479398727417,3.216,8656.903,77526260,0
1.4239996E-8,1.110223E-16,9.966048,23.5512365,87.29673684,-6.14479398727417,3.216,8459.588,77526285,0
-9.866552E-13,1.110223E-16,9.866245,23.55123141,87.29673361,-6.14479398727417,3.216,8459.588,77526343,0
0.22692622,0.2793197,9.989605,23.55123141,87.29673361,-6.14479398727417,3.216,8459.588,77526419,0
0.33120522,0.4025058,10.10787,23.55123141,87.29673361,-6.14479398727417,3.216,8589.467,77526498,0
0.11193789,0.19147253,10.086812,23.55123141,87.29673361,-6.14479398727417,3.216,8746.819,77526552,0
-7.6333067E-4,0.16855311,10.057955,23.55123141,87.29673361,-6.14479398727417,3.216,8746.819,77526577,0
-0.016943002,0.2683418,9.949087,23.55123141,87.29673361,-6.14479398727417,3.216,8746.819,77526588,0
-0.022773137,0.29143646,10.087196,23.55123141,87.29673361,-6.14479398727417,3.216,8746.819,77526655,0
0.024158012,0.37366003,9.997699,23.55123141,87.29673361,-6.14479398727417,3.216,8746.819,77526666,0
0.0106987,0.28397438,10.01283,23.55123141,87.29673361,-6.14479398727417,3.216,8796.772,77526687,0
0.08901681,0.27118787,10.074877,23.55123141,87.29673361,-6.14479398727417,3.216,8796.772,77526735,0
0.07725154,0.2448963,10.07222,23.55123141,87.29673361,-6.14479398727417,3.216,8796.772,77526747,0
0.19297214,0.38448608,9.992589,23.55123141,87.29673361,-6.14479398727417,3.216,8796.772,77526758,0
0.29048753,0.3136446,10.1060295,23.55123141,87.29673361,-6.14479398727417,3.216,8796.772,77526814,0
0.34397092,0.21299279,10.150922,23.55123141,87.29673361,-6.14479398727417,3.216,8796.772,77526825,0
0.5529721,0.35426283,10.051284,23.55123141,87.29673361,-6.14479398727417,3.216,8844.229,77526893,0
0.6092986,0.35793686,10.117044,23.55123141,87.29673361,-6.14479398727417,3.216,8871.702,77526953,0
0.54176354,0.3906809,10.0427265,23.55123141,87.29673361,-6.14479398727417,3.216,8871.702,77526972,0
0.44342172,0.35580295,10.014537,23.55123141,87.29673361,-6.14479398727417,3.216,8871.702,77526988,0
