bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
-0.31176323,-0.60864425,8.98327,23.5511956,87.29674676,-147.27651977539062,6.068,1091.0,37590968,0
-4.1732884E-9,-4.440892E-16,9.928025,23.5511956,87.29674676,-147.27651977539062,6.068,1091.0,37591056,0
3.9820183E-9,-4.440892E-16,9.69757,23.5511956,87.29674676,-147.27651977539062,6.068,1086.0,37591116,0
-1.08339515E-8,0.0,9.657361,23.5511956,87.29674676,-147.27651977539062,6.068,1086.0,37591175,0
-1.08339515E-8,0.0,9.657361,23.5511956,87.29674676,-147.27651977539062,6.068,1080.0,37591188,0
-9.257004E-9,0.0,9.791636,23.5511956,87.29674676,-147.27651977539062,6.068,1080.0,37591235,0
8.669964E-10,4.440892E-16,9.678961,23.5511956,87.29674676,-147.27651977539062,6.068,1080.0,37591294,0
8.669964E-10,4.440892E-16,9.678961,23.5511956,87.29674676,-147.27651977539062,6.068,1073.0,37591311,0
3.1225305E-9,0.0,9.725855,23.5511956,87.29674676,-147.27651977539062,6.068,1073.0,37591353,0
-1.6201762E-11,4.440892E-16,9.7256,23.55119561,87.2967468,-147.27651977539062,4.5509996,1073.0,37591411,0
-1.6201762E-11,4.440892E-16,9.7256,23.55119561,87.2967468,-147.27651977539062,4.5509996,1066.0,37591445,0
0.01785583,0.013928188,9.694176,23.55119561,87.2967468,-147.27651977539062,4.5509996,1066.0,37591471,0
9.15383E-4,-0.016053705,9.715511,23.55119561,87.2967468,-147.27651977539062,4.5509996,1066.0,37591531,0
9.15383E-4,-0.016053705,9.715511,23.55119561,87.2967468,-147.27651977539062,4.5509996,1059.0,37591580,0
-0.09280031,-0.0121964095,9.689428,23.55119561,87.2967468,-147.27651977539062,4.5509996,1059.0,37591649,0
-0.100120865,0.008807426,9.726235,23.55119561,87.2967468,-147.27651977539062,4.5509996,1059.0,37591708,0
-0.100120865,0.008807426,9.726235,23.55119561,87.2967468,-147.27651977539062,4.5509996,1051.0,37591720,0
-0.14190762,-8.859197E-4,9.729733,23.55119561,87.2967468,-147.27651977539062,4.5509996,1051.0,37591767,0
-0.16404718,0.0040560504,9.695101,23.55119561,87.2967468,-147.27651977539062,4.5509996,1051.0,37591827,0
-0.16404718,0.0040560504,9.695101,23.55119561,87.2967468,-147.27651977539062,4.5509996,1040.0,37591848,0
-0.17295966,0.03312915,9.718505,23.55119561,87.2967468,-147.27651977539062,4.5509996,1040.0,37591887,0
-0.2032448,0.011704895,9.719594,23.55119561,87.2967468,-147.27651977539062,4.5509996,1040.0,37591945,0
-0.2032448,0.011704895,9.719594,23.55119561,87.2967468,-147.27651977539062,4.5509996,1011.0,37591982,0
-0.085485205,0.095907755,9.693777,23.55119561,87.2967468,-147.27651977539062,4.5509996,1011.0,37592004,0
-0.020322092,-0.04430276,9.725984,23.55119561,87.2967468,-147.27651977539062,4.5509996,1011.0,37592064,0
-0.020322092,-0.04430276,9.725984,23.55119561,87.2967468,-147.27651977539062,4.5509996,982.0,37592116,0
-0.12628932,0.045475326,9.703833,23.55119561,87.2967468,-147.27651977539062,4.5509996,982.0,37592128,0
-0.18731426,-0.030812044,9.718847,23.55119561,87.2967468,-147.27651977539062,4.5509996,982.0,37592182,0
-0.14825435,-0.03781058,9.744699,23.55119561,87.2967468,-147.27651977539062,4.5509996,982.0,37592241,0
-0.14825435,-0.03781058,9.744699,23.55119561,87.2967468,-147.27651977539062,4.5509996,967.0,37592254,0
