bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0,,,,,
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp,
-0.98566586,-1.2172924,9.838045,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12957698,0
-1.1157897,-0.5451724,9.6232605,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12957737,0
-0.66485447,-1.3998152,9.473721,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12957758,0
-0.94953835,0.42919305,9.14637,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12957799,0
-0.2876287,-0.9928496,9.427776,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12957839,0
-0.86379623,0.062401302,9.146184,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12957879,0
-0.9905312,-1.0378212,9.860666,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12957901,0
-1.5142896,-1.6243463,9.973042,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12957939,0
-0.760213,-0.20640232,9.461652,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12957961,0
-0.5554186,-1.2818292,9.545587,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12958000,0
-0.6186196,-0.31081727,9.680075,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12958040,0
-0.75882816,-0.08027616,9.660139,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12958061,0
-1.3419374,-2.1630735,10.344524,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12958100,0
-0.535573,-0.09092081,9.419211,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12958123,0
-0.8521142,-0.5696465,9.103263,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12958161,0
-0.88582695,-0.2638657,9.28279,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12958201,0
-1.1162125,0.102345854,8.646025,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12958242,0
-0.85416853,0.024766752,8.976173,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12958283,0
-1.1884413,0.38856265,8.264529,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12958322,0
-1.8859351,-3.0613852,10.573784,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12958344,0
-1.1501894,-0.72333014,9.976729,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12958382,0
-0.8805526,0.47060356,8.688991,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12958403,0
-0.85186857,-0.60722744,9.682792,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12958444,0
-1.0681112,0.18205991,9.048628,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12958483,0
-1.2720244,-2.0192404,9.871441,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12958504,0
-1.5520878,-0.1844107,9.272111,23.55112215,87.29695269,56.5759735107422,4.5509996,0,12958544,0
-0.8576808,-1.4903356,9.618745,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12958583,0
-1.5776336,-1.7288145,9.812126,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12958604,0
-1.3698192,-0.43449837,9.540453,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12958644,0
-0.9233351,-1.1835992,9.662104,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12958667,0
-1.7696326,-1.2147886,9.600345,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12958689,0
-1.425855,-0.02995543,9.1406355,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12958726,0
-1.759508,-1.2933698,9.462202,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12958768,0
-1.2805175,0.139827,9.193616,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12958808,0
-1.6509783,-1.1224021,9.469997,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12958848,0
-1.0164453,0.0021992142,9.354908,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12958887,0
-1.4948386,-1.1677837,9.654896,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12958929,0
-1.085828,0.11282122,9.392889,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12958968,0
-1.5942074,-1.3123542,9.342691,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12959008,0
-0.7092794,-0.2857817,9.634695,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12959047,0
-1.9411321,-1.6160585,9.828426,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12959088,0
-1.6622994,-0.57618475,9.590918,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12959128,0
-2.0997114,-1.9864272,9.928081,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12959168,0
-1.9586279,-0.48880053,8.884998,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12959208,0
-1.6981219,-2.718487,11.078237,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12959250,0
1.4127321,3.4015636,10.824563,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12959289,0
-2.4385524,-2.165202,9.442602,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12959329,0
-1.3539299,-2.6847992,9.546328,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12959370,0
-4.638163,-1.880088,8.727374,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12959411,0
-1.6717626,1.5885723,7.426016,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12959450,0
-2.1259775,-0.22320955,7.1809535,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12959491,0
-0.7809114,0.5537118,9.193533,23.55112221,87.29695275,56.5759735107422,4.5509996,0,12959531,0
-2.5642767,-2.0590048,10.3800955,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12959572,0
-2.1966438,-1.6751939,11.972802,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12959612,0
1.1679803,5.4626446,6.3264656,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12959634,0
1.9821657,7.2953463,5.2964344,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12959672,0
-4.417374,-6.273692,13.940412,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12959694,0
-1.8971136,-2.6318283,12.447517,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12959732,0
-1.0955625,0.46521956,8.8915825,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12959773,0
-3.7070253,-2.5042608,11.229823,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12959794,0
0.64149064,3.9925404,6.8158917,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12959816,0
2.3078225,5.3118978,6.207564,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12959853,0
2.000162,4.7864594,6.909277,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12959893,0
-4.7873793,-2.3404052,11.037966,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12959916,0
-0.82208234,1.1715796,8.428535,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12959953,0
-4.0503993,-2.88627,12.211435,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12959974,0
-5.1889224,-4.851702,13.508332,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12960014,0
-1.7449065,-1.5551666,11.489359,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12960055,0
-1.7556791,0.8295956,8.715696,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12960095,0
-3.4615233,0.056191258,9.803726,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12960135,0
-3.723618,-3.6092148,12.741592,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12960176,0
-2.227389,-5.8952947,14.381538,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12960216,0
