,ori,,
1582893359401,250.20853,-24.88058,1.690566
1582893359417,249.61415,-24.32156,2.279042
1582893359438,249.33987,-23.81095,2.954305
1582893359457,247.90736,-22.436628,2.71774
1582893359475,247.92535,-22.581125,2.696109
1582893359496,251.79733,-26.25333,1.4675634
1582893359513,251.3234,-25.55534,2.1075935
1582893359533,250.42374,-24.641449,1.9747279
1582893359553,250.18814,-24.515594,2.188584
1582893359572,253.67398,-27.611115,1.4646136
1582893359604,252.97336,-26.861147,1.5876596
1582893359629,252.37575,-26.293756,1.3241919
1582893359632,252.354,-26.339895,1.6525484
1582893359647,255.06503,-28.73281,1.017335
1582893359666,254.30368,-27.929453,1.0439558
1582893359686,253.84886,-27.572678,0.6221273
1582893359705,253.7869,-27.696661,0.660073
1582893359724,255.60727,-29.335468,0.1553349
1582893359745,254.91104,-28.625921,-0.06321598
1582893359764,254.58607,-28.38567,-0.42023546
1582893359803,254.81975,-28.750427,-0.47574866
1582893359804,255.87238,-29.701382,-0.70500684
1582893359821,255.03912,-28.911427,-1.0658023
1582893359838,254.97246,-28.875465,-1.316464
1582893359857,255.31796,-29.365644,-1.5694844
1582893359877,255.62889,-29.731985,-1.6801095
1582893359897,254.66202,-28.872784,-1.9593885
1582893359917,254.67487,-28.975592,-2.224742
1582893359936,255.20497,-29.61654,-2.5096846
1582893359957,255.09702,-29.6111,-2.4143803
1582893359983,254.13577,-28.745804,-2.5886712
1582893359993,254.19504,-28.884535,-2.6952014
1582893360010,254.92145,-29.612204,-2.8923967
1582893360030,254.60901,-29.45253,-2.9912639
1582893360049,253.69736,-28.60109,-3.0649908
1582893360070,253.60184,-28.61693,-3.1024125
1582893360091,254.51819,-29.503695,-3.3939178
1582893360106,254.38512,-29.33736,-3.1219463
1582893360126,253.57625,-28.483019,-3.1354866
1582893360145,253.4061,-28.450333,-3.076039
1582893360174,254.60986,-29.59619,-3.462344
1582893360186,254.27863,-29.197454,-3.097448
1582893360202,253.61322,-28.468351,-3.0103626
1582893360221,253.42987,-28.434977,-2.7199543
1582893360241,254.83827,-29.690645,-2.799001
1582893360260,254.81317,-29.502989,-2.5791335
1582893360279,254.55267,-29.025356,-2.4372067
1582893360300,254.44992,-28.93344,-2.150097
1582893360319,255.73145,-30.058802,-2.3611312
1582893360340,255.49005,-29.681566,-2.3187976
1582893360368,255.32954,-29.340502,-2.3241687
1582893360376,255.03397,-29.21154,-2.2743535
1582893360395,255.95688,-30.166374,-2.4297066
1582893360415,255.42078,-29.561745,-2.5574238
1582893360435,255.11679,-29.274506,-2.6588566
1582893360454,255.13158,-29.492418,-2.739638
1582893360473,255.33511,-29.861536,-2.6566455
1582893360492,254.98816,-29.33578,-2.627382
1582893360511,254.66943,-29.115665,-2.6078937
1582893360533,255.42346,-29.814964,-2.5873168
1582893360550,255.43416,-29.83409,-2.4813485
1582893360571,255.40958,-29.541302,-2.3427582
1582893360591,255.17143,-29.36564,-2.2872405
1582893360614,256.0484,-30.194647,-2.4107306
1582893360625,255.75221,-29.840164,-2.4453354
1582893360645,255.71838,-29.703274,-2.5435054
1582893360664,255.51837,-29.632,-2.6177585
1582893360684,255.86237,-30.114109,-2.6660018
1582893360701,255.48514,-29.639927,-2.771009
1582893360725,255.23627,-29.492384,-2.8547008
1582893360758,255.59827,-29.871962,-2.8976433
1582893360760,255.65154,-29.984835,-2.7821207
1582893360779,255.56995,-29.679626,-2.6900823
1582893360798,255.27963,-29.493542,-2.6542072
1582893360815,256.09625,-30.234924,-2.6641345
1582893360837,255.85275,-29.99617,-2.7140188
1582893360857,255.82571,-29.855137,-2.705374
1582893360875,255.60889,-29.77,-2.7528424
1582893360896,255.99539,-30.282282,-2.8442097
1582893360916,255.59277,-29.818123,-2.9459774
1582893360934,255.3309,-29.639715,-3.055669
1582893360957,255.57886,-29.924837,-3.1079304
1582893360970,255.62067,-30.062115,-3.0068073
1582893360990,255.69196,-29.81715,-2.8441112
1582893361018,255.37405,-29.574652,-2.8141625
1582893361028,256.1331,-30.302473,-2.7717667
