,ori,,
1582894077531,174.26868,-36.45564,12.9398575
1582894077549,173.99957,-38.82371,11.988077
1582894077568,172.39648,-38.58227,9.779877
1582894077589,171.26666,-38.55964,8.228301
1582894077609,170.47162,-36.932125,7.0736594
1582894077626,170.7746,-36.083015,7.528839
1582894077645,169.99164,-34.814228,6.2564716
1582894077665,170.18427,-36.196472,6.5757704
1582894077684,170.23254,-35.240067,6.6196117
1582894077707,170.19574,-34.620148,6.517719
1582894077742,169.6372,-33.088226,5.546279
1582894077742,169.68451,-34.619335,5.666197
1582894077760,169.62396,-34.2095,5.5449953
1582894077778,169.2937,-33.80378,4.9157977
1582894077799,168.93652,-32.329372,4.1993947
1582894077817,168.85272,-33.3633,4.0910196
1582894077837,168.74854,-33.19427,3.874269
1582894077857,168.46002,-33.012024,3.2817533
1582894077875,168.35681,-31.88984,2.9657862
1582894077898,168.19806,-32.684,2.7270458
1582894077935,168.10779,-32.555157,2.5225515
1582894077952,167.80786,-32.557102,1.8943764
1582894077953,167.77136,-31.951622,1.7347851
1582894077970,167.60278,-32.261723,1.4123952
1582894077990,167.56,-32.648956,1.4175223
1582894078009,167.47607,-32.587128,1.2244505
1582894078029,167.62012,-32.28209,1.4163245
1582894078048,167.56274,-32.035946,1.1980927
1582894078068,167.5971,-32.540176,1.3619254
1582894078091,167.60156,-32.313477,1.3264997
1582894078125,167.76599,-32.09657,1.5980328
1582894078125,167.72504,-31.981186,1.4136844
1582894078151,167.66235,-32.07701,1.2799041
1582894078162,167.57098,-31.84045,1.0674404
1582894078180,167.55157,-31.811298,0.97900355
1582894078201,167.50848,-31.720919,0.8381737
1582894078221,167.46436,-31.765076,0.73217124
1582894078240,167.38898,-31.876759,0.6329858
1582894078259,167.25122,-31.991838,0.31024086
1582894078281,167.22406,-31.562065,0.06815933
1582894078308,167.2406,-31.43167,-0.054366603
1582894078316,167.25574,-31.748802,0.024740651
1582894078335,167.16809,-31.964964,-0.15452532
1582894078353,167.15875,-31.411312,-0.30711752
1582894078373,167.20026,-31.366455,-0.32266372
1582894078393,167.30133,-31.645199,-0.0636593
1582894078412,167.2605,-32.0356,-0.09967769
1582894078432,167.4455,-31.398066,0.13860112
1582894078450,167.4339,-31.209263,0.022591066
1582894078469,167.60419,-31.809338,0.4908546
1582894078490,167.58783,-31.802118,0.31878406
1582894078510,167.81348,-30.92591,0.36997452
1582894078529,167.74268,-30.896654,0.0063569853
1582894078549,167.73047,-31.443254,0.08016233
1582894078565,167.69171,-31.44227,0.09502591
1582894078585,167.6753,-31.055729,0.11875467
1582894078604,167.54895,-31.013641,-0.042450063
1582894078624,167.50891,-30.999834,-0.03755964
1582894078643,167.46124,-31.15088,-0.03300326
1582894078666,167.49841,-30.977386,0.03210189
1582894078694,167.48431,-30.742037,-0.038161766
1582894078699,167.46765,-30.745413,-0.12533748
1582894078722,167.43994,-31.074482,-0.13762653
1582894078738,167.47937,-30.86871,-0.16441718
1582894078757,167.47913,-30.505402,-0.32104978
1582894078777,167.54773,-30.556555,-0.33404297
1582894078795,167.5326,-30.899338,-0.42291847
1582894078816,167.55322,-30.660957,-0.48892185
1582894078834,167.56616,-30.273031,-0.51205707
1582894078854,167.5882,-30.340048,-0.51287186
1582894078873,167.53888,-30.886316,-0.5533504
1582894078899,167.59326,-30.428913,-0.5642705
1582894078915,167.66284,-30.167645,-0.5475405
1582894078938,167.74634,-29.928793,-0.5964299
1582894078948,167.81335,-30.960302,-0.4381746
1582894078968,167.89807,-30.251694,-0.56267774
1582894078988,168.05182,-30.046627,-0.45715043
1582894079007,168.0531,-30.3007,-0.6353351
