,ori,,
1582892038237,190.661,-8.321295,-12.021461
1582892038254,190.36327,-9.390902,-12.396722
1582892038273,190.25807,-9.0064,-12.944949
1582892038294,190.49445,-10.239632,-11.76484
1582892038312,190.62517,-10.414963,-11.290183
1582892038332,190.86418,-10.7796955,-10.388417
1582892038351,190.69865,-10.888467,-10.760225
1582892038370,190.81544,-11.453301,-10.108856
1582892038387,191.11513,-11.683104,-9.135511
1582892038414,191.30553,-12.147838,-8.382708
1582892038437,191.21597,-12.404033,-8.559475
1582892038458,191.32368,-12.667919,-8.161556
1582892038465,191.60075,-12.89503,-7.4815545
1582892038483,191.8305,-13.111089,-6.871133
1582892038503,191.77118,-13.575318,-7.08853
1582892038522,191.83846,-13.487368,-6.9217744
1582892038540,191.95038,-13.597277,-6.71809
1582892038560,192.25574,-13.508736,-5.983925
1582892038581,192.19693,-14.224485,-6.1915746
1582892038602,192.23901,-13.821339,-5.9879456
1582892038621,192.24149,-13.914712,-5.927916
1582892038649,192.36443,-13.634879,-5.5271025
1582892038655,192.36998,-14.338552,-5.440889
1582892038675,192.16469,-13.972515,-5.7692947
1582892038695,192.14502,-13.846111,-5.6353188
1582892038714,192.11784,-13.38561,-5.6138415
1582892038732,192.23111,-14.237644,-5.261236
1582892038754,192.07088,-13.776699,-5.6616693
1582892038771,192.01385,-13.818281,-5.719567
1582892038794,192.03749,-13.235435,-5.7441854
1582892038823,192.10237,-13.869301,-5.592091
1582892038828,192.16617,-13.707734,-5.5072656
1582892038847,192.30136,-13.733022,-5.1763
1582892038865,192.11,-13.403107,-5.878584
1582892038885,192.15791,-13.71889,-5.628345
1582892038906,192.15758,-13.636442,-5.649699
1582892038924,192.18959,-13.610535,-5.411371
1582892038944,192.06114,-13.895989,-5.6175094
1582892038963,191.95944,-13.783218,-5.3897367
1582892038985,191.94565,-13.536522,-5.0060716
1582892039001,191.89946,-13.721033,-4.8577166
1582892039027,191.95425,-14.583398,-4.7130218
1582892039051,191.9517,-14.054378,-4.7834587
1582892039061,192.12398,-13.912032,-4.515111
1582892039077,192.26227,-13.678423,-4.4250174
1582892039097,192.44131,-14.23634,-4.445659
1582892039117,192.58289,-14.036755,-4.6493964
1582892039138,192.71448,-14.000074,-4.7484612
1582892039155,192.82704,-13.4746895,-4.819857
1582892039174,192.91219,-13.743551,-4.8296976
1582892039212,192.95525,-13.863144,-4.92162
1582892039215,193.02151,-13.741857,-4.7867527
1582892039235,192.89507,-13.795931,-5.134015
1582892039251,192.75963,-13.921779,-5.241649
1582892039269,192.77078,-13.573448,-5.0140357
1582892039290,192.49625,-13.870914,-5.4721646
1582892039309,192.4209,-13.787582,-5.4355927
1582892039326,192.52269,-13.855557,-4.9873786
1582892039347,192.44879,-14.247806,-5.1868725
1582892039366,192.6627,-14.068477,-4.5918794
