,ori,,
1582892544337,244.1344,-11.262745,-4.5618553
1582892544355,242.88773,-9.961646,-4.6164618
1582892544373,243.87367,-10.351869,-3.5150244
1582892544395,242.7508,-8.868333,-3.622168
1582892544414,242.42715,-8.333724,-3.2000954
1582892544432,244.49309,-10.931702,-3.2016718
1582892544451,244.9259,-11.230574,-2.935004
1582892544470,244.22076,-10.118289,-2.7694945
1582892544489,243.69537,-9.529052,-2.7172782
1582892544515,245.29053,-11.530044,-2.5770433
1582892544537,245.7023,-11.764988,-2.2330492
1582892544560,245.18646,-10.887356,-2.1179624
1582892544564,244.90424,-10.438857,-1.7809931
1582892544583,246.04279,-11.948124,-1.7155867
1582892544602,246.23308,-12.001882,-1.4852726
1582892544623,246.0568,-11.490413,-1.3154961
1582892544643,245.85623,-11.187451,-1.1127003
1582892544662,246.70813,-12.430115,-1.2071079
1582892544681,246.7454,-12.300514,-1.1065743
1582892544704,246.55002,-11.848113,-1.0900128
1582892544725,246.374,-11.658543,-0.9895643
1582892544749,246.96255,-12.602658,-1.0976669
1582892544756,246.80296,-12.373511,-1.312546
1582892544775,246.68497,-12.019465,-1.1679306
1582892544796,246.56577,-11.974219,-1.1906257
1582892544814,246.98526,-12.749712,-1.3288188
1582892544834,246.78668,-12.4119215,-1.498126
1582892544853,246.55814,-12.080837,-1.608236
1582892544873,246.52823,-12.175783,-1.6389323
1582892544895,246.81708,-12.778058,-1.8112321
1582892544912,246.56523,-12.419207,-2.021218
1582892544938,246.32852,-12.095211,-2.140856
1582892544961,246.4288,-12.317588,-2.0994492
1582892544966,246.66338,-12.861793,-2.2497551
1582892544987,246.38895,-12.460493,-2.4264233
1582892545006,246.20992,-12.186831,-2.506618
1582892545026,246.28468,-12.404439,-2.498439
1582892545047,246.55164,-12.861308,-2.4639556
1582892545065,246.33826,-12.492523,-2.6044862
1582892545085,246.24432,-12.253795,-2.566405
1582892545114,246.37361,-12.4944105,-2.493104
1582892545120,246.56604,-12.9461355,-2.592557
1582892545141,246.379,-12.55079,-2.6661975
1582892545158,246.26202,-12.274029,-2.6859818
1582892545177,246.34851,-12.50362,-2.648846
1582892545197,246.61621,-13.0013895,-2.6679785
1582892545218,246.42834,-12.629468,-2.7716658
1582892545238,246.26732,-12.318868,-2.8409
1582892545257,246.36765,-12.536675,-2.7674897
1582892545278,246.62262,-13.065761,-2.844271
1582892545294,246.55188,-12.829278,-2.917627
1582892545318,246.35074,-12.3483305,-2.955404
1582892545337,246.34772,-12.376122,-2.854084
1582892545351,246.58334,-12.950324,-2.8858826
1582892545370,246.59329,-12.938967,-2.9257524
1582892545390,246.47484,-12.566079,-2.9060476
1582892545409,246.44716,-12.513072,-2.800374
1582892545429,246.64352,-12.977165,-2.8192449
1582892545448,246.62555,-12.8970995,-2.8462594
1582892545467,246.50687,-12.559849,-2.8454041
1582892545493,246.48068,-12.548491,-2.7628052
1582892545504,246.72076,-13.042258,-2.7879863
1582892545525,246.71753,-12.933881,-2.8086371
1582892545545,246.61758,-12.600336,-2.8272672
1582892545561,246.63272,-12.621478,-2.7034326
1582892545581,246.88712,-13.172197,-2.7242737
1582892545600,246.8367,-12.978076,-2.7486706
1582892545621,246.74744,-12.668908,-2.7800117
1582892545640,246.73349,-12.679574,-2.6768842
1582892545658,246.91739,-13.21316,-2.7451737
1582892545677,246.82689,-12.9494705,-2.8127956
1582892545706,246.71657,-12.670416,-2.8658814
1582892545718,246.63443,-12.644803,-2.899656
1582892545740,246.72867,-13.058573,-2.9653375
1582892545753,246.65718,-12.852066,-3.0933988
1582892545773,246.56409,-12.612274,-3.085494
1582892545792,246.56485,-12.691772,-3.1095614
1582892545813,246.61096,-12.94101,-3.1151226
1582892545831,246.5086,-12.678412,-3.198894
1582892545852,246.4185,-12.524587,-3.2194684
1582892545886,246.51096,-12.748439,-3.1927779
1582892545889,246.47577,-12.811623,-3.175165
1582892545907,246.36531,-12.535993,-3.1967337
1582892545931,246.2642,-12.4519005,-3.2486126
1582892545945,246.36365,-12.690612,-3.237015
1582892545964,246.36798,-12.741436,-3.1701043
1582892545985,246.2521,-12.48758,-3.2028713
1582892546005,246.21558,-12.435806,-3.1657825
1582892546022,246.39682,-12.776299,-3.1439538
1582892546045,246.40486,-12.773708,-3.0664382
1582892546071,246.31897,-12.494011,-3.0789995
1582892546080,246.23245,-12.401345,-3.1020093
1582892546103,246.4591,-12.858294,-3.0887425
1582892546123,246.44115,-12.7758045,-3.0375402
1582892546150,246.25012,-12.339301,-3.0032947
1582892546161,246.25507,-12.40479,-2.8719103
1582892546175,246.50024,-12.820121,-2.7952962
1582892546197,246.56174,-12.80347,-2.7279973
1582892546213,246.59265,-12.5312805,-2.6921806
1582892546232,246.63058,-12.372966,-2.630672
1582892546251,246.96582,-12.805046,-2.6862714
1582892546270,247.12411,-12.845046,-2.6837876
1582892546291,247.12256,-12.510807,-2.7903054
1582892546310,247.02225,-12.240777,-2.7669811
1582892546336,247.26291,-12.7542305,-2.789525
1582892546348,247.28296,-12.772933,-2.783833
1582892546366,247.21555,-12.529016,-2.7927582
1582892546387,247.09589,-12.33169,-2.6912339
1582892546406,247.24364,-12.791549,-2.7026298
1582892546426,247.22534,-12.708249,-2.5949008
1582892546460,247.18893,-12.599278,-2.65
1582892546465,247.10712,-12.446427,-2.58798
1582892546481,247.23491,-12.860073,-2.631506
1582892546500,247.24979,-12.733568,-2.6254675
1582892546526,247.25737,-12.608869,-2.7156851
1582892546553,247.21556,-12.483631,-2.7405674
