,ori,,
1582892636779,139.79684,-14.281684,3.0520186
1582892636798,139.40906,-14.081157,1.3667831
1582892636817,139.38977,-14.984382,1.8716137
1582892636835,139.52905,-15.548591,2.8502095
1582892636855,139.7514,-15.888369,3.8703868
1582892636875,139.98087,-14.684007,3.983339
1582892636894,140.05804,-15.096228,4.4485
1582892636913,139.98087,-15.74173,4.498164
1582892636932,140.1265,-15.502282,4.9601007
1582892636955,140.19879,-14.475029,4.758625
1582892636985,140.16266,-14.977094,4.884423
1582892637016,140.08508,-15.688354,4.943509
1582892637016,140.17114,-15.397688,5.1244373
1582892637026,140.21646,-14.695406,4.947373
1582892637045,140.12848,-14.961539,4.7563057
1582892637065,139.9226,-15.437974,4.2301173
1582892637084,139.9284,-15.28832,4.1747813
1582892637104,139.90802,-14.743967,3.7065995
1582892637123,139.85254,-14.811552,3.382981
1582892637145,139.69434,-15.189825,2.8455002
1582892637187,139.73816,-14.997048,2.841393
1582892637187,139.71979,-14.527271,2.3532617
1582892637206,139.67093,-14.736037,2.1232297
1582892637217,139.51755,-15.093111,1.599122
1582892637237,139.5014,-14.765369,1.3787858
1582892637257,139.42957,-14.441986,0.8607727
1582892637277,139.34375,-14.59489,0.6036513
1582892637299,139.17664,-14.850745,0.045323856
1582892637315,139.13321,-14.494799,-0.19192909
1582892637337,139.0466,-14.375824,-0.5858731
1582892637353,138.94495,-14.53894,-0.8882171
1582892637380,138.80267,-14.750391,-1.3865515
1582892637393,138.77838,-14.275185,-1.7157712
1582892637409,138.6767,-14.258647,-2.174786
1582892637428,138.60394,-14.389332,-2.3821244
1582892637447,138.47205,-14.529678,-2.958643
1582892637467,138.52615,-13.920989,-3.057501
1582892637488,138.43796,-13.981227,-3.4616296
1582892637507,138.39484,-14.142773,-3.542277
1582892637526,138.30408,-14.252237,-3.9523287
1582892637562,138.3667,-13.658957,-3.9855695
1582892637568,138.3526,-13.689595,-4.171443
1582892637588,138.31891,-13.9091,-4.1703057
1582892637600,138.36234,-13.957886,-4.0950503
1582892637621,138.47614,-13.379891,-4.013981
1582892637641,138.4967,-13.581379,-3.8613873
1582892637659,138.51968,-13.847996,-3.5906518
1582892637680,138.57596,-13.825171,-3.4704497
1582892637698,138.6994,-13.31908,-3.2054734
1582892637723,138.70682,-13.613391,-3.000694
1582892637738,138.72137,-13.843075,-2.7618892
1582892637765,138.78348,-13.777314,-2.6106327
1582892637776,138.9057,-13.263721,-2.3968701
1582892637793,138.89105,-13.597318,-2.3131154
1582892637815,138.88678,-13.848112,-2.1047819
1582892637831,138.9585,-13.715746,-1.9644285
1582892637851,139.06754,-13.259954,-1.8188324
1582892637871,139.05646,-13.648112,-1.7404264
1582892637891,139.04706,-13.90145,-1.6308683
1582892637911,139.11069,-13.70344,-1.5725449
1582892637948,139.19751,-13.223833,-1.4925939
1582892637949,139.16418,-13.631158,-1.4440402
1582892637971,139.15793,-13.875632,-1.251663
1582892637988,139.23065,-13.570265,-1.1665183
1582892638004,139.31195,-13.231964,-0.95361274
1582892638025,139.32394,-13.583753,-0.7984425
1582892638043,139.33182,-13.832741,-0.59980786
1582892638063,139.42145,-13.612838,-0.4318001
1582892638081,139.47815,-13.389079,-0.30746925
1582892638104,139.48874,-13.679755,-0.14195494
1582892638133,139.46857,-13.894153,-0.037756436
1582892638139,139.51483,-13.621533,0.13695736
1582892638162,139.52106,-13.435465,0.13249898
1582892638177,139.45789,-13.724514,0.10800028
1582892638198,139.39526,-13.925899,-0.009632701
1582892638217,139.38818,-13.544434,-0.089951485
1582892638234,139.36386,-13.408186,-0.27918297
1582892638255,139.27124,-13.621286,-0.52843744
1582892638273,139.22675,-13.764419,-0.74978924
1582892638295,139.22717,-13.315537,-0.9456608
1582892638312,139.2251,-13.268491,-1.0972203
1582892638343,139.18231,-13.434962,-1.2441672
1582892638350,139.17609,-13.528331,-1.3529507
1582892638369,139.22156,-13.126171,-1.3074441
1582892638390,139.24753,-13.211431,-1.2312325
1582892638407,139.2334,-13.4209585,-1.1488926
1582892638427,139.26025,-13.473979,-1.0204668
1582892638446,139.31683,-13.098192,-0.8867985
1582892638465,139.33987,-13.265515,-0.70392585
1582892638487,139.341,-13.534231,-0.57458127
