,ori,,
1582891833250,9.12735,-5.949788,0.8253536
1582891833272,9.0849,-5.7301984,0.91482335
1582891833291,9.022491,-5.502559,0.9987382
1582891833315,8.781769,-5.599594,1.2535088
1582891833331,8.768402,-5.52694,1.2415963
1582891833350,8.632385,-5.2186627,1.4218107
1582891833370,8.487122,-5.075164,1.5868303
1582891833390,8.387238,-5.1701765,1.6694592
1582891833411,8.35791,-5.2001615,1.662018
1582891833434,8.421448,-5.0757456,1.5657363
1582891833463,8.459351,-5.00648,1.5062524
1582891833471,8.515076,-5.04055,1.4146826
1582891833491,8.583984,-5.1075974,1.2993804
1582891833517,8.632294,-5.1548443,1.2012073
1582891833533,8.681702,-5.1412115,1.098749
1582891833553,8.77887,-5.0824246,0.9433504
1582891833592,8.866486,-5.0651145,0.8069223
1582891833594,8.919922,-5.1059012,0.71485555
1582891833612,8.991089,-5.0932937,0.63355005
1582891833633,9.081818,-4.9809,0.54130226
1582891833655,9.196564,-4.938785,0.4238473
1582891833675,9.3220215,-5.039054,0.27766904
1582891833693,9.43692,-5.092356,0.14212756
1582891833713,9.507294,-5.0613604,0.06399056
1582891833737,9.496918,-5.1147127,0.06662643
1582891833756,9.364136,-5.195049,0.19870424
1582891833774,9.2491455,-5.124057,0.28300548
1582891833795,9.178253,-5.0596204,0.30638736
1582891833814,8.990509,-5.1360235,0.48160538
1582891833837,8.834137,-5.1337895,0.61333925
1582891833855,8.782135,-4.9990106,0.6549545
1582891833879,8.762756,-4.9492674,0.6795529
1582891833896,8.78772,-4.9814873,0.6623072
1582891833920,8.818817,-4.9576006,0.6738493
1582891833937,8.911133,-4.9542084,0.6016873
1582891833958,9.025024,-4.9982877,0.50564754
1582891833978,9.123535,-4.98675,0.4278735
1582891833998,9.206665,-4.9905066,0.35062662
1582891834017,9.227783,-5.05873,0.3361562
1582891834039,9.243042,-5.071174,0.30755737
1582891834062,9.265778,-5.0207567,0.2776888
1582891834077,9.2725525,-5.007942,0.28374025
1582891834096,9.277252,-5.0411725,0.29913524
1582891834118,9.32019,-5.0370846,0.26509285
1582891834141,9.338623,-5.0156555,0.2771836
1582891834159,9.306061,-5.037229,0.3405602
1582891834181,9.263611,-5.0543294,0.39464
1582891834199,9.246124,-5.013826,0.41549838
1582891834220,9.22757,-5.0062904,0.4524257
1582891834244,9.210297,-5.01186,0.49506113
1582891834274,9.225647,-4.989887,0.50240964
1582891834280,9.234528,-4.9982424,0.52534217
1582891834299,9.229919,-5.010378,0.5608675
1582891834323,9.240936,-4.982567,0.5764535
1582891834340,9.25943,-4.974958,0.5842291
1582891834362,9.272003,-5.000774,0.5965089
1582891834383,9.298737,-4.9912267,0.591798
1582891834402,9.336365,-4.9631743,0.575843
1582891834423,9.36026,-4.987367,0.5707038
1582891834447,9.343994,-5.004481,0.607918
1582891834477,9.3185425,-4.9734163,0.64737797
1582891834481,9.282288,-4.968124,0.6962431
1582891834503,9.246094,-4.990993,0.74052274
1582891834521,9.219666,-4.9511843,0.7837583
1582891834544,9.203491,-4.917542,0.8182956
1582891834565,9.189178,-4.9754834,0.83884424
1582891834582,9.181763,-4.857598,0.8721191
1582891834602,9.191711,-4.801255,0.87387246
1582891834622,9.167511,-4.9264846,0.9221735
1582891834645,9.140625,-5.0350556,0.95647055
1582891834676,9.126007,-4.9470973,0.9756794
1582891834684,9.100464,-4.9104958,1.0059001
1582891834703,9.069611,-4.964454,1.0447465
1582891834726,9.062347,-4.945881,1.062754
1582891834744,9.063263,-4.9062233,1.0788922
1582891834766,9.047974,-4.9406376,1.1082262
1582891834788,9.031464,-4.967007,1.1242383
1582891834806,9.01535,-4.925717,1.1459955
1582891834826,9.002197,-4.9077945,1.1608907
1582891834853,8.9921875,-4.938691,1.174591
1582891834878,8.999603,-4.9178543,1.1662568
1582891834888,9.011169,-4.8811917,1.1549386
1582891834904,9.01474,-4.9062448,1.144171
1582891834925,9.01593,-4.926142,1.1339312
1582891834946,9.003357,-4.9310126,1.1401411
1582891834967,8.987091,-4.941281,1.1369262
1582891834987,8.983063,-4.924186,1.0989858
1582891835009,8.975769,-4.9028773,1.0760908
1582891835028,8.949524,-4.918201,1.0908892
1582891835050,8.928833,-4.943694,1.0986506
1582891835087,8.93512,-4.914388,1.0787055
1582891835088,8.958923,-4.872447,1.0392468
1582891835106,8.962402,-4.9196835,1.0407969
1582891835128,8.945679,-4.9874263,1.052678
1582891835149,8.956329,-4.992327,1.0026033
1582891835167,8.950653,-4.9794207,0.9930094
1582891835187,8.9219055,-4.964667,1.0080761
1582891835210,8.884827,-4.972628,1.0229481
1582891835232,8.819611,-5.0082016,1.033145
1582891835257,8.734192,-4.978289,1.0573955
1582891835286,8.660248,-4.90051,1.0668553
1582891835289,8.605286,-4.910787,1.071674
1582891835311,8.568848,-5.0121975,1.0813102
1582891835329,8.537689,-5.0044713,1.1023756
1582891835349,8.524445,-4.8992934,1.098422
1582891835370,8.519623,-4.8983226,1.0891073
1582891835390,8.517822,-4.946639,1.08495
1582891835413,8.531616,-4.9130597,1.0719116
1582891835433,8.5660095,-4.8717537,1.0366697
1582891835458,8.611298,-4.897328,0.9958578
1582891835472,8.644928,-4.9414587,0.9725806
1582891835504,8.670105,-4.9453163,0.93135285
1582891835511,8.66687,-4.9257455,0.91393876
1582891835532,8.636597,-4.9114065,0.9255248
1582891835552,8.605652,-4.905978,0.9123216
1582891835572,8.568726,-4.9309564,0.9028973
1582891835592,8.517914,-4.9277205,0.9031494
1582891835612,8.474976,-4.909869,0.9047961
1582891835632,8.446075,-4.9236364,0.9115339
1582891835656,8.431519,-4.942068,0.90099984
1582891835697,8.41568,-4.96929,0.8762006
1582891835697,8.3914795,-4.9691434,0.8530821
1582891835715,8.370148,-4.954346,0.81973433
1582891835735,8.356201,-4.9771714,0.7739469
1582891835755,8.340027,-5.0049195,0.7307057
1582891835777,8.311859,-4.9972363,0.6982434
1582891835795,8.265533,-4.9835634,0.66972613
1582891835814,8.209503,-4.9902287,0.638659
1582891835838,8.159607,-5.008541,0.60794467
1582891835858,8.130005,-4.993882,0.57675624
1582891835917,8.1409,-4.9475255,0.5260409
1582891835918,8.195862,-4.9217086,0.45450848
1582891835918,8.293243,-4.8961945,0.3649611
1582891835936,8.419739,-4.8535075,0.2593228
1582891835956,8.555206,-4.854136,0.15171377
1582891835976,8.691681,-4.860914,0.045447227
1582891835996,8.836945,-4.86105,-0.07675147
1582891836016,8.979187,-4.8902903,-0.1871771
1582891836038,9.107513,-4.889613,-0.2675371
1582891836060,9.208191,-4.899715,-0.32389808
1582891836117,9.276337,-4.946461,-0.37487185
1582891836117,9.309784,-4.954286,-0.40111962
1582891836117,9.313538,-4.888323,-0.39181632
